,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,30-103,1990,6,5,469,0,1,0,0,1,0,0.00,0.19,0.19,0.00,0.19,0.6,0.6,0.5,0.12,0.10,0.21,0.12,0.21,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,23-069,1997,10,6,559,3,1,0,0,0,0,0.48,0.16,0.64,0.48,0.64,3.5,3.5,0.9,0.57,0.14,0.71,0.57,0.71,Matches
3,Che Adams\Che-Adams,eng ENG,FW,Southampton,24-150,1996,11,11,945,3,3,0,0,1,0,0.29,0.29,0.57,0.29,0.57,2.6,2.6,2.8,0.25,0.27,0.51,0.25,0.51,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,23-077,1997,7,7,630,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.03,0.01,0.03,0.03,0.03,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,33-342,1987,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,32-191,1988,2,2,109,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.14,0.46,0.60,0.14,0.60,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,24-063,1996,8,8,720,1,0,0,0,0,0,0.12,0.00,0.12,0.12,0.12,0.3,0.3,0.2,0.04,0.03,0.07,0.04,0.07,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19-187,2001,4,3,275,1,0,0,0,0,0,0.33,0.00,0.33,0.33,0.33,0.2,0.2,0.3,0.06,0.11,0.17,0.06,0.17,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,27-031,1993,10,10,900,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25-296,1995,4,3,290,1,0,0,0,2,0,0.31,0.00,0.31,0.31,0.31,0.1,0.1,0.0,0.02,0.01,0.03,0.02,0.03,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,DFMF,Leicester City,31-022,1989,7,3,353,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,0.05,0.21,0.27,0.05,0.27,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29-243,1991,2,1,135,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.03,0.14,0.17,0.03,0.17,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31-283,1989,7,7,620,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches
14,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,22-064,1998,9,8,713,0,1,0,0,1,0,0.00,0.13,0.13,0.00,0.13,0.7,0.7,1.2,0.09,0.15,0.24,0.09,0.24,Matches
15,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DFMF,Leeds United,28-302,1992,9,6,505,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.1,0.06,0.19,0.25,0.06,0.25,Matches
