,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
26,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30-275,1990,7,7,526,3,0,0,0,1,0,0.51,0.00,0.51,0.51,0.51,2.8,2.8,0.4,0.47,0.07,0.54,0.47,0.54,Matches
27,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,27-305,1993,14,14,1260,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
28,Stuart Armstrong\Stuart-Armstrong,sco SCO,MF,Southampton,28-273,1992,12,12,1021,2,2,0,0,0,0,0.18,0.18,0.35,0.18,0.35,1.1,1.1,0.9,0.10,0.08,0.18,0.10,0.18,Matches
29,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,26-086,1994,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
30,Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,31-193,1989,13,13,1166,3,1,1,1,2,0,0.23,0.08,0.31,0.15,0.23,3.1,2.3,1.5,0.24,0.12,0.36,0.18,0.30,Matches
31,Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,28-004,1992,8,8,693,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,0.7,0.7,0.4,0.09,0.05,0.14,0.09,0.14,Matches
32,Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,31-176,1989,4,0,93,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.07,0.00,0.07,0.07,0.07,Matches
33,Jordan Ayew\Jordan-Ayew,gh GHA,FW,Crystal Palace,29-108,1991,11,8,707,1,0,0,0,0,0,0.13,0.00,0.13,0.13,0.13,1.2,1.2,0.1,0.15,0.01,0.16,0.15,0.16,Matches
34,Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,29-125,1991,15,15,1329,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.5,0.04,0.10,0.14,0.04,0.14,Matches
35,César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,31-122,1989,6,4,411,0,1,0,0,1,0,0.00,0.22,0.22,0.00,0.22,0.1,0.1,0.0,0.01,0.01,0.02,0.01,0.02,Matches
36,Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,26-260,1994,3,2,188,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
37,Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,29-127,1991,12,12,1080,1,0,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.6,0.6,0.0,0.05,0.00,0.05,0.05,0.05,Matches
