Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xGA per game,probability no goals allowed
1,Liverpool,37,31,3,3,82,32,50,96,70.0,40.9,29.1,0.79,W W D L W,53143,Mohamed Salah - 19,Alisson,,1.1054054054054054,0.3310766347741542
2,Manchester City,37,25,3,9,97,35,62,78,90.0,34.0,56.1,1.52,L W W W W,54219,Raheem Sterling - 19,Ederson,,0.918918918918919,0.3989501054460608
3,Manchester Utd,37,17,12,8,64,36,28,63,57.9,36.2,21.7,0.59,W W D W D,72726,Marcus Rashford Anthony Martial - 17,David de Gea,,0.9783783783783785,0.37592020518064984
4,Chelsea,37,19,6,12,67,54,13,63,66.8,37.9,28.9,0.78,W W L W L,40563,Tammy Abraham - 15,Kepa Arrizabalaga,,1.0243243243243243,0.3590389773706363
5,Leicester City,37,18,8,11,67,39,28,62,59.5,43.5,16.0,0.43,W D L W L,32061,Jamie Vardy - 23,Kasper Schmeichel,,1.1756756756756757,0.3086103886931242
6,Wolves,37,15,14,8,51,38,13,59,47.4,33.2,14.2,0.38,L L W D W,31360,Raúl Jiménez - 17,Rui Patrício,,0.8972972972972973,0.4076699829122367
7,Tottenham,37,16,10,11,60,46,14,58,46.0,52.1,-6.2,-0.17,W D W W W,59384,Harry Kane - 17,Hugo Lloris,,1.4081081081081082,0.2446056130524889
8,Sheffield Utd,37,14,12,11,38,36,2,54,41.3,45.7,-4.5,-0.12,D W W L L,30869,Oliver McBurnie Lys Mousset - 6,Dean Henderson,,1.2351351351351352,0.29079546302835757
9,Burnley,37,15,9,13,42,48,-6,54,42.3,47.3,-5.1,-0.14,D W D D W,20260,Chris Wood - 13,Nick Pope,,1.2783783783783782,0.2784885375202354
10,Arsenal,37,13,14,10,53,46,7,53,47.7,53.5,-5.8,-0.16,W D L W L,60279,Pierre-Emerick Aubameyang - 20,Bernd Leno,,1.445945945945946,0.23552317895163635
11,Everton,37,13,10,14,43,53,-10,49,47.7,47.5,0.2,0.01,L D L D W,39150,Dominic Calvert-Lewin Richarlison - 13,Jordan Pickford,,1.2837837837837838,0.27698725524925266
12,Southampton,37,14,7,16,48,59,-11,49,52.4,52.4,-0.1,0.0,W D D D W,29675,Danny Ings - 21,Alex McCarthy,,1.4162162162162162,0.24263034297109995
13,Newcastle Utd,37,11,11,15,37,55,-18,44,33.6,57.9,-24.3,-0.66,D L L L D,48248,Jonjo Shelvey - 6,Martin Dúbravka,,1.5648648648648649,0.20911627021941512
14,Crystal Palace,37,11,9,17,30,49,-19,42,34.4,51.2,-16.8,-0.45,L L L L L,25060,Jordan Ayew - 9,Vicente Guaita,,1.3837837837837839,0.25062843286860104
15,West Ham,37,10,8,19,48,61,-13,38,45.5,62.5,-17.0,-0.46,D L W W D,59925,Michail Antonio - 10,Łukasz Fabiański,,1.6891891891891893,0.18466919508711938
16,Brighton,37,8,14,15,37,53,-16,38,41.3,53.1,-11.8,-0.32,W L L D D,30358,Neal Maupay - 10,Mathew Ryan,,1.4351351351351351,0.23808318843686765
17,Aston Villa,37,9,7,21,40,66,-26,34,40.1,66.3,-26.2,-0.71,L L W D W,41661,Jack Grealish - 7,Tom Heaton,,1.7918918918918918,0.16664459768394285
18,Watford,37,8,10,19,34,61,-27,34,42.6,56.7,-14.2,-0.38,L W W L L,20837,Troy Deeney - 9,Ben Foster,,1.5324324324324325,0.21600959900823946
19,Bournemouth,37,8,7,22,37,64,-27,31,42.4,55.7,-13.4,-0.36,L D W L L,10510,Callum Wilson - 8,Aaron Ramsdale,,1.5054054054054056,0.22192730506313557
20,Norwich City,37,5,6,26,26,70,-44,21,38.5,59.6,-21.1,-0.57,L L L L L,27025,Teemu Pukki - 11,Tim Krul,,1.6108108108108108,0.19972560872342587
