Rk,Squad,MP,W,D,L,GF,GA,GDiff,Pts,xG,xGA,xGDiff,xGDiff/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xGA per game,probability no goals allowed
1,Liverpool,16,15,1,0,40,14,26,46,30.6,16.0,14.6,0.91,W W W W W,53043,Sadio Mané - 9,Adrián,,1.0,0.36787944117144233
2,Leicester City,16,12,2,2,39,10,29,38,29.1,15.4,13.7,0.86,W W W W W,32018,Jamie Vardy - 16,Kasper Schmeichel,,0.9625,0.3819368493039489
3,Manchester City,16,10,2,4,44,19,25,32,42.0,16.4,25.6,1.6,L W D W L,54364,Sergio Agüero - 9,Ederson,,1.025,0.3587964654059516
4,Chelsea,16,9,2,5,31,24,7,29,30.8,17.6,13.2,0.82,W L L W L,40596,Tammy Abraham - 11,Kepa Arrizabalaga,,1.1,0.33287108369807955
5,Manchester Utd,16,6,6,4,25,19,6,24,26.2,17.0,9.2,0.57,W D D W W,73486,Marcus Rashford - 10,David de Gea,,1.0625,0.3455907525769745
6,Wolves,16,5,9,2,23,19,4,24,21.0,16.2,4.8,0.3,W W D W D,31183,Raúl Jiménez - 6,Rui Patrício,,1.0125,0.36330956935901126
7,Tottenham,16,6,5,5,30,23,7,23,21.6,21.6,0.0,0.0,D W W L W,59459,Harry Kane - 9,Paulo Gazzaniga,,1.35,0.2592402606458915
8,Sheffield Utd,16,5,7,4,19,16,3,22,18.7,19.0,-0.3,-0.02,D D D L W,30922,Lys Mousset - 5,Dean Henderson,,1.1875,0.3049827687110593
9,Arsenal,16,5,7,4,24,24,0,22,23.9,24.7,-0.8,-0.05,L D D L W,60299,Pierre-Emerick Aubameyang - 11,Bernd Leno,,1.54375,0.21357867778130243
10,Crystal Palace,16,6,4,6,14,18,-4,22,14.5,21.8,-7.4,-0.46,L L W W D,25118,Jordan Ayew - 4,Vicente Guaita,,1.3625,0.25601992640813004
11,Newcastle Utd,16,6,4,6,17,23,-6,22,13.3,27.6,-14.3,-0.89,W L D W W,46124,Jonjo Shelvey - 5,Martin Dúbravka,,1.725,0.1781730517728984
12,Brighton,16,5,4,7,20,24,-4,19,19.6,26.9,-7.3,-0.46,L L L W D,30298,Neal Maupay - 6,Mathew Ryan,,1.68125,0.18614115411337984
13,Burnley,16,5,3,8,21,29,-8,18,19.9,19.0,0.9,0.06,W W L L L,20382,Chris Wood Ashley Barnes - 6,Nick Pope,,1.1875,0.3049827687110593
14,Everton,16,5,2,9,19,28,-9,17,21.0,21.5,-0.5,-0.03,W L L L W,39204,Richarlison - 6,Jordan Pickford,,1.34375,0.26086558612628497
15,Bournemouth,16,4,4,8,18,24,-6,16,19.3,25.3,-6.0,-0.37,L L L L L,10632,Harry Wilson - 6,Aaron Ramsdale,,1.58125,0.2057177901831446
16,West Ham,16,4,4,8,18,28,-10,16,19.0,31.4,-12.4,-0.78,L L W L L,59915,Sébastien Haller - 4,Roberto,,1.9625,0.14050671468471812
17,Aston Villa,16,4,3,9,23,28,-5,15,21.5,32.4,-10.9,-0.68,L W D L L,41738,Wesley Moraes Jack Grealish - 4,Tom Heaton,,2.025,0.13199384318783022
18,Southampton,16,4,3,9,18,35,-17,15,21.9,25.7,-3.8,-0.24,L D W W L,29540,Danny Ings - 9,Angus Gunn,,1.60625,0.20063859984618576
19,Norwich City,16,3,2,11,17,34,-17,11,19.2,28.2,-9.0,-0.56,L W D L L,27038,Teemu Pukki - 8,Tim Krul,,1.7625,0.17161528885593874
20,Watford,16,1,6,9,9,30,-21,9,18.9,28.2,-9.3,-0.58,W L L L D,20508,Andre Gray Gerard Deulofeu - 2,Ben Foster,,1.7625,0.17161528885593874
