id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,team_name,games played,adjusted points,xG,xG_points,xG_week1,goals_week1,xPoints week 1,bonus_week1,clean_sheet_points,xGA_week1,cleansheet_week1,xA,xA_points,xA_week1,assists_week1,adjusted points per game,gameweek,xPoints,form 5,form 10,form 15,form 20,gameweek 2 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,gameweek 10 prediction,gameweek 11 prediction,xPoints_next10,value,value form 5,value form 10,valuePoints metric,xG+xA,xG+xA per game
1,,,80201,0,0,0,0,0,1,2.6,3.6,1,Bernd,1.0,False,,,50,80201.jpg,1.0,Leno,2.1,False,,a,1,3,1,1996,1996,19699,19699,0.2,0.2,Leno,90,0,0,0,2,0,0,0,0,0,1,0,11,11.8,0.0,0.0,1.2,150,17,427,45,391,45,217,17,,,,,,,Arsenal,1.0,2.09012717213605,0.0,0.0,0.0,0.0,2.09012717213605,0.0,1.0901271721360504,1.3,0.0,0.0,0.0,0.0,0.0,2.09012717213605,1,2.09012717213605,,,,,3.1437644958496094,3.10566782951355,2.457404375076294,3.3074851036071777,3.0827579498291016,3.479783296585083,2.7757933139801025,3.071486473083496,3.0827579498291016,2.972527265548706,30.47942805290222,0.41802543442721,,,0.9347332877031225,0.0,0.0
2,,,115918,0,0,0,0,0,1,1.0,2.0,0,Rúnar Alex,0.0,False,,,40,115918.jpg,0.0,Rúnarsson,1.5,False,,a,1,3,0,4578,4578,2251,2251,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,277,30,268,11,201,10,290,30,,,,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,3.423261880874634,3.3664443492889404,2.7944765090942383,3.5990142822265625,3.403174638748169,3.721921443939209,3.09621000289917,3.3322629928588867,3.343534469604492,3.292943954467773,33.373244524002075,,,,,,
3,,,47431,-1,1,-1,1,0,3,2.2,3.2,0,Willian,0.0,False,,,64,47431.jpg,0.0,Borges Da Silva,0.3,False,,a,1,3,0,614,614,5283,5283,0.0,0.0,Willian,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,534,224,537,225,531,222,537,225,4.0,,2.0,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.463294744491577,2.436351776123047,2.019078254699707,2.9186079502105717,2.4136109352111816,2.8426318168640137,2.396375894546509,2.402170181274414,2.353970766067505,2.5038764476776123,24.749968767166138,,,,,,
4,25.0,25.0,54694,-1,1,-1,1,0,4,0.8,1.0,0,Pierre-Emerick,0.0,False,Illness - 25% chance of playing,2021-08-13T14:30:14.477664Z,99,54694.jpg,0.0,Aubameyang,1.8,False,,d,1,3,0,817,817,74611,74611,0.0,0.0,Aubameyang,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,553,73,553,73,553,73,553,73,,,,,1.0,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.574336290359497,2.672518730163574,2.019078254699707,3.045354127883911,2.590141773223877,2.9536736011505127,2.5074174404144287,2.6383373737335205,2.5305016040802,2.7400436401367188,26.271402835845947,,,,,,
5,,,58822,0,0,0,0,0,2,1.7,2.7,0,Cédric,0.0,False,,,45,58822.jpg,0.0,Soares,0.2,False,,a,1,3,0,453,453,2645,2645,0.0,0.0,Cédric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,315,119,309,116,247,90,328,120,,,5.0,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.78622841835022,2.98222017288208,1.966113924980164,3.165446758270264,2.899842977523804,3.230340480804444,2.8171186447143555,2.9480385780334477,2.840202808380127,3.049744844436645,28.68529760837555,,,,,,
6,25.0,25.0,59966,0,0,0,0,0,4,0.7,0.9,0,Alexandre,0.0,False,Illness - 25% chance of playing,2021-08-13T14:30:14.582063Z,85,59966.jpg,0.0,Lacazette,1.9,False,,d,1,3,0,514,514,53204,53204,0.0,0.0,Lacazette,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,550,72,551,72,549,71,551,72,,,3.0,,2.0,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.574336290359497,2.672518730163574,2.019078254699707,3.045354127883911,2.590141773223877,2.9536736011505127,2.5074174404144287,2.6383373737335205,2.5305016040802,2.7400436401367188,26.271402835845947,,,,,,
7,,,84450,0,0,0,0,0,3,1.4,2.4,2,Granit,2.0,False,,,50,84450.jpg,2.0,Xhaka,1.0,False,,a,1,3,2,5770,5770,10028,10028,0.4,0.4,Xhaka,90,0,0,0,2,0,0,0,0,0,0,0,13,15.2,24.7,5.0,4.5,123,49,41,28,123,70,88,51,,,4.0,,,,Arsenal,1.0,3.0725317930340124,0.1,0.5,0.1,0.0,3.0725317930340124,0.0,0.2725317930340126,1.3,0.0,0.1,0.3,0.1,0.0,3.0725317930340124,1,3.0725317930340124,,,,,2.5311925411224365,2.9979634284973145,2.1900525093078613,3.044340848922729,2.895349740982056,3.093755006790161,2.878114938735962,2.9637818336486816,2.895349740982056,3.005847930908203,28.49574851989746,0.6145063586068025,,,1.3740779904506732,0.2,0.2
8,,,92371,0,0,0,0,0,2,1.7,2.7,1,Pablo,1.0,False,,,45,92371.jpg,1.0,Marí,0.2,False,,a,1,3,1,615,615,1306,1306,0.2,0.2,Marí,90,0,0,0,2,0,0,0,0,0,0,0,14,16.6,1.3,7.0,2.5,111,41,182,51,106,21,157,48,,,,,,,Arsenal,1.0,3.89012717213605,0.3,1.7999999999999998,0.3,0.0,3.89012717213605,0.0,1.0901271721360504,1.3,0.0,0.0,0.0,0.0,0.0,3.89012717213605,1,3.89012717213605,,,,,4.218186378479004,3.5448875427246094,2.946925401687622,4.786508560180664,3.515432596206665,4.6852569580078125,3.4686007499694824,3.366682529449463,3.515432596206665,3.552772045135498,37.600685358047485,0.8644727049191222,,,1.8338235353969659,0.3,0.3
9,,,98745,0,0,0,0,0,2,2.2,3.2,0,Héctor,0.0,False,,,50,98745.jpg,0.0,Bellerín,0.9,False,,a,1,3,0,1392,1392,14899,14899,0.0,0.0,Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,435,170,436,169,403,158,444,169,,,,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.78622841835022,2.98222017288208,1.966113924980164,3.165446758270264,2.899842977523804,3.230340480804444,2.8171186447143555,2.9480385780334477,2.840202808380127,3.049744844436645,28.68529760837555,,,,,,
10,,,101184,0,0,0,0,0,2,1.7,2.7,1,Calum,1.0,False,,,45,101184.jpg,1.0,Chambers,0.4,False,,a,1,3,1,1149,1149,2859,2859,0.2,0.2,Chambers,80,0,0,0,2,0,0,0,0,0,0,0,14,13.2,16.8,12.0,4.2,136,56,68,16,86,17,99,27,,,,,,,Arsenal,1.0,2.9901271721360505,0.1,0.6000000000000001,0.1,0.0,2.9901271721360505,0.0,1.0901271721360504,1.3,0.0,0.1,0.3,0.1,0.0,2.9901271721360505,1,2.9901271721360505,,,,,2.723585367202759,3.301136016845703,2.0041275024414062,3.1959304809570312,3.1056060791015625,3.3862144947052,3.0228817462921143,3.2669546604156494,3.1056060791015625,3.309020757675171,30.42106318473816,0.6644727049191224,,,1.4095594666850375,0.2,0.2
11,,,111457,0,0,0,0,0,2,1.7,2.7,0,Sead,0.0,False,,,45,111457.jpg,0.0,Kolasinac,0.1,False,,a,1,3,0,185,185,1449,1449,0.0,0.0,Kolasinac,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,330,127,325,125,267,102,342,127,,,,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.78622841835022,2.98222017288208,1.966113924980164,3.165446758270264,2.899842977523804,3.230340480804444,2.8171186447143555,2.9480385780334477,2.840202808380127,3.049744844436645,28.68529760837555,,,,,,
12,,,153256,0,0,0,0,0,3,1.0,2.0,0,Mohamed Naser,0.0,False,,,45,153256.jpg,0.0,El Sayed Elneny,0.7,False,,a,1,3,0,2687,2687,5985,5985,0.0,0.0,Elneny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,340,130,336,137,278,111,352,136,,,,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.463294744491577,2.436351776123047,2.019078254699707,2.9186079502105717,2.4136109352111816,2.8426318168640137,2.396375894546509,2.402170181274414,2.353970766067505,2.5038764476776123,24.749968767166138,,,,,,
13,,,154043,0,0,0,0,0,3,1.9,2.9,0,Ainsley,0.0,False,,,55,154043.jpg,0.0,Maitland-Niles,0.1,False,,a,1,3,0,205,205,1127,1127,0.0,0.0,Maitland-Niles,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,495,199,499,202,488,198,501,201,,,,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.463294744491577,2.436351776123047,2.019078254699707,2.9186079502105717,2.4136109352111816,2.8426318168640137,2.396375894546509,2.402170181274414,2.353970766067505,2.5038764476776123,24.749968767166138,,,,,,
14,,,156074,0,0,0,0,0,2,1.7,2.7,0,Rob,0.0,False,,,45,156074.jpg,0.0,Holding,1.8,False,,a,1,3,0,608,608,25789,25789,0.0,0.0,Holding,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,342,136,341,135,284,113,354,136,,,,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.78622841835022,2.98222017288208,1.966113924980164,3.165446758270264,2.899842977523804,3.230340480804444,2.8171186447143555,2.9480385780334477,2.840202808380127,3.049744844436645,28.68529760837555,,,,,,
15,0.0,0.0,167199,0,0,0,0,0,3,0.0,0.0,0,Thomas,0.0,False,Ankle injury - Expected back 28 Aug,2021-08-04T10:30:07.806099Z,50,167199.jpg,0.0,Partey,0.1,False,,i,1,3,0,131,131,1137,1137,0.0,0.0,Partey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,447,177,451,182,421,169,456,181,,,,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.463294744491577,2.436351776123047,2.019078254699707,2.9186079502105717,2.4136109352111816,2.8426318168640137,2.396375894546509,2.402170181274414,2.353970766067505,2.5038764476776123,24.749968767166138,,,,,,
16,,,192895,0,0,0,0,0,2,2.2,3.2,1,Kieran,1.0,False,,,50,192895.jpg,1.0,Tierney,7.5,False,,a,1,3,1,12223,12223,51346,51346,0.2,0.2,Tierney,90,0,0,0,2,0,0,0,0,0,0,0,17,26.8,87.0,41.0,15.5,57,14,1,1,23,5,4,1,2.0,,,,,,Arsenal,1.0,4.4901271721360505,0.1,0.6000000000000001,0.1,0.0,4.4901271721360505,0.0,1.0901271721360504,1.3,0.0,0.6,1.7999999999999998,0.6,0.0,4.4901271721360505,1,4.4901271721360505,,,,,3.942401647567749,3.8717000484466553,3.0560452938079834,4.480778217315674,3.9242756366729736,4.4712910652160645,3.87744402885437,4.0290303230285645,3.9242756366729736,4.029433250427246,39.606675148010254,0.8980254344272101,,,2.0080459169030216,0.7,0.7
17,,,195735,-1,1,-1,1,0,3,2.5,3.5,2,Nicolas,2.0,False,,,74,195735.jpg,2.0,Pépé,2.7,False,,a,1,3,2,3757,3757,63535,63535,0.3,0.3,Pépé,90,0,0,0,2,0,0,0,0,0,0,0,9,7.6,43.9,51.0,10.3,182,74,10,6,17,8,21,12,1.0,,1.0,,3.0,,Arsenal,1.0,4.372531793034012,0.3,1.5,0.3,0.0,4.372531793034012,0.0,0.2725317930340126,1.3,0.0,0.2,0.6000000000000001,0.2,0.0,4.372531793034012,1,4.372531793034012,,,,,4.163422584533691,3.1951074600219727,2.812880516052246,4.912902355194092,3.225863456726074,4.81165075302124,3.244520902633667,3.2084145545959477,3.225863456726074,3.3528406620025635,36.15346670150757,0.590882674734326,,,1.6073746549043304,0.5,0.5
18,,,198849,0,0,0,0,0,3,1.0,2.0,0,Lucas,0.0,False,,,45,198849.jpg,0.0,Torreira,0.5,False,,a,1,3,0,3071,3071,4799,4799,0.0,0.0,Torreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,359,136,358,143,306,120,371,142,,,,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.463294744491577,2.436351776123047,2.019078254699707,2.9186079502105717,2.4136109352111816,2.8426318168640137,2.396375894546509,2.402170181274414,2.353970766067505,2.5038764476776123,24.749968767166138,,,,,,
20,0.0,0.0,205533,0,0,0,0,0,4,0.0,0.0,0,Edward,0.0,False,Ankle injury - Expected back 11 Sep,2021-08-08T18:00:05.173437Z,55,205533.jpg,0.0,Nketiah,0.1,False,,i,1,3,0,295,295,2137,2137,0.0,0.0,Nketiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,506,55,509,59,498,53,512,59,,,,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.574336290359497,2.672518730163574,2.019078254699707,3.045354127883911,2.590141773223877,2.9536736011505127,2.5074174404144287,2.6383373737335205,2.5305016040802,2.7400436401367188,26.271402835845947,,,,,,
21,,,209289,0,0,0,0,0,3,1.9,2.9,2,Emile,2.0,False,,,55,209289.jpg,2.0,Smith Rowe,6.8,False,,a,1,3,2,18605,18605,50668,50668,0.4,0.4,Smith Rowe,90,0,0,0,2,0,0,0,0,0,0,0,13,13.0,35.3,25.0,7.3,141,53,18,11,47,27,40,23,,,,,,,Arsenal,1.0,3.9725317930340127,0.1,0.5,0.1,0.0,3.9725317930340127,0.0,0.2725317930340126,1.3,0.0,0.4,1.2000000000000002,0.4,0.0,3.9725317930340127,1,3.9725317930340127,,,,,3.5648417472839355,3.501478910446167,3.118025302886963,4.138707637786865,3.613690853118897,4.093731880187988,3.632348299026489,3.658809185028076,3.613690853118897,3.6592118740081783,36.594536542892456,0.722278507824366,,,1.6938932480405782,0.5,0.5
22,,,223340,0,0,0,0,0,3,2.3,3.3,1,Bukayo,1.0,False,,,65,223340.jpg,1.0,Saka,12.5,False,,a,1,3,1,13487,13487,174614,174614,0.2,0.2,Saka,31,0,0,0,1,0,0,0,0,0,0,0,4,6.6,12.3,12.0,3.1,194,81,97,62,90,52,134,72,3.0,,6.0,,,,Arsenal,1.0,1.2725317930340123,0.0,0.0,0.0,0.0,1.0,0.0,0.2725317930340126,1.3,0.0,0.0,0.0,0.0,0.0,1.2725317930340123,1,1.2725317930340123,,,,,1.973429799079895,2.0061776638031006,1.5302469730377195,2.4167113304138184,1.92379629611969,2.390126466751098,1.906561255455017,1.971995830535889,1.92379629611969,2.0140621662139893,20.056904077529907,0.19577412200523267,,,0.499128034180588,0.0,0.0
23,0.0,0.0,226597,0,0,0,0,0,2,0.0,0.0,0,Gabriel,0.0,False,Knee injury - Unknown return date,2021-08-04T10:30:07.822243Z,50,226597.jpg,0.0,Magalhães,0.1,False,,i,1,3,0,87,87,1532,1532,0.0,0.0,Gabriel,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,461,179,465,179,442,174,471,179,,,,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.78622841835022,2.98222017288208,1.966113924980164,3.165446758270264,2.899842977523804,3.230340480804444,2.8171186447143555,2.9480385780334477,2.840202808380127,3.049744844436645,28.68529760837555,,,,,,
24,0.0,0.0,233963,0,0,0,0,0,2,0.0,0.0,0,Konstantinos,0.0,False,Season long loan to Stuttgart,2021-07-02T08:43:27.623007Z,45,233963.jpg,0.0,Mavropanos,0.0,False,,u,1,3,0,0,0,16,16,0.0,0.0,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,392,157,390,157,345,139,402,157,,,,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.78622841835022,2.98222017288208,1.966113924980164,3.165446758270264,2.899842977523804,3.230340480804444,2.8171186447143555,2.9480385780334477,2.840202808380127,3.049744844436645,28.68529760837555,,,,,,
25,0.0,0.0,242166,0,0,0,0,0,3,0.0,0.0,0,Mattéo,0.0,False,Season long loan to Marseille,2021-07-08T07:32:22.717852Z,45,242166.jpg,0.0,Guendouzi,0.0,False,,u,1,3,0,0,0,44,44,0.0,0.0,Guendouzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,396,149,394,154,349,135,406,153,,,,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.463294744491577,2.436351776123047,2.019078254699707,2.9186079502105717,2.4136109352111816,2.8426318168640137,2.396375894546509,2.402170181274414,2.353970766067505,2.5038764476776123,24.749968767166138,,,,,,
26,,,444145,0,0,0,0,0,3,1.9,2.9,2,Gabriel Teodoro,2.0,False,,,55,444145.jpg,2.0,Martinelli Silva,0.4,False,,a,1,3,2,1990,1990,4624,4624,0.4,0.4,Martinelli,70,0,0,0,1,0,0,0,0,0,0,0,7,2.2,22.4,11.0,3.6,241,107,48,31,94,54,124,69,,,,,,,Arsenal,1.0,3.0725317930340124,0.1,0.5,0.1,0.0,3.0725317930340124,0.0,0.2725317930340126,1.3,0.0,0.1,0.3,0.1,0.0,3.0725317930340124,1,3.0725317930340124,,,,,2.5311925411224365,2.9979634284973145,2.1900525093078613,3.044340848922729,2.895349740982056,3.093755006790161,2.878114938735962,2.9637818336486816,2.895349740982056,3.005847930908203,28.49574851989746,0.5586421441880023,,,1.3101319586004792,0.2,0.2
27,0.0,0.0,462424,0,0,0,0,0,2,0.0,0.0,0,William,0.0,False,Joined Marseille on loan for 2021/22. - Expected back 23 May,2021-07-15T17:30:06.383244Z,45,462424.jpg,0.0,Saliba,0.0,False,,u,1,3,0,0,0,64,64,0.0,0.0,Saliba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,413,164,410,163,369,147,422,163,,,,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,2.78622841835022,2.98222017288208,1.966113924980164,3.165446758270264,2.899842977523804,3.230340480804444,2.8171186447143555,2.9480385780334477,2.840202808380127,3.049744844436645,28.68529760837555,,,,,,
67,,,198869,0,0,0,0,0,2,1.7,2.7,1,Ben,1.0,False,,,45,198869.jpg,1.0,White,22.4,False,,a,1,3,1,17879,17879,167288,167288,0.2,0.2,White,90,0,0,0,2,0,0,0,0,0,0,0,12,10.8,0.5,0.0,1.1,159,64,222,72,307,123,224,78,,,,,,,Arsenal,1.0,2.09012717213605,0.0,0.0,0.0,0.0,2.09012717213605,0.0,1.0901271721360504,1.3,0.0,0.0,0.0,0.0,0.0,2.09012717213605,1,2.09012717213605,,,,,2.5067312717437744,2.721443653106689,1.688137173652649,2.8739173412323,2.5794262886047363,2.9882025718688965,2.496701955795288,2.6872620582580566,2.5794262886047363,2.729328155517578,25.850576758384705,0.46447270491912224,,,0.9852953979731089,0.0,0.0
466,,,437626,0,0,0,0,0,2,1.7,2.7,1,Nuno,1.0,False,,,45,437626.jpg,1.0,Varela Tavares,0.3,False,,a,1,3,1,718,718,3049,3049,0.2,0.2,Tavares,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7,1.0,0.1,405,161,214,65,181,56,271,92,,,,,,,Arsenal,1.0,2.09012717213605,0.0,0.0,0.0,0.0,1.0,0.0,1.0901271721360504,1.3,0.0,0.0,0.0,0.0,0.0,2.09012717213605,1,2.09012717213605,,,,,2.337333917617798,2.552046298980713,1.5773484706878662,2.7045199871063232,2.41002893447876,2.81880521774292,2.3273046016693115,2.51786470413208,2.41002893447876,2.5599308013916016,24.215211868286133,0.46447270491912224,,,0.9852953979731089,0.0,0.0
478,,,437742,0,0,0,0,0,3,1.4,2.4,2,Albert,2.0,False,,,50,437742.jpg,2.0,Sambi Lokonga,0.2,False,,a,1,3,2,1347,1347,2237,2237,0.4,0.4,Sambi Lokonga,90,0,0,0,2,0,0,0,0,0,0,0,13,19.4,34.3,8.0,6.2,100,39,21,14,102,60,55,31,,,,,,,Arsenal,1.0,2.5725317930340124,0.0,0.0,0.0,0.0,2.5725317930340124,0.0,0.2725317930340126,1.3,0.0,0.1,0.3,0.1,0.0,2.5725317930340124,1,2.5725317930340124,,,,,2.213184595108032,2.530369758605957,1.838183641433716,2.8376235961914062,2.447988986968994,2.8110387325286865,2.4307541847229004,2.4961884021759038,2.447988986968994,2.538254499435425,24.59157538414001,0.5145063586068025,,,1.1504711927006943,0.1,0.1
530,,,232223,0,0,0,0,0,4,1.3,2.3,1,Folarin,1.0,False,,,50,232223.jpg,1.0,Balogun,0.5,False,,a,1,3,1,11029,11029,6061,6061,0.2,0.2,Balogun,58,0,0,0,1,0,0,0,0,0,0,0,-2,0.0,0.4,15.0,0.9,462,46,227,30,78,19,230,27,,,,,,,Arsenal,1.0,2.2,0.3,1.2,,,,,0.0,1.3,0.0,0.0,0.0,,,2.2,1,2.2,,,,,2.856817960739136,2.050700664520264,1.5990829467773438,3.5178301334381104,1.9879653453826904,3.469954252243042,1.905241131782532,1.8724952936172483,1.9879653453826904,2.0585854053497314,23.306638479232788,0.44000000000000006,,,0.9838699100999075,0.3,0.3
531,,,200641,0,0,0,0,0,3,1.4,2.4,1,Reiss,1.0,False,,,50,200641.jpg,1.0,Nelson,0.0,False,,a,1,3,1,152,152,54,54,0.2,0.2,Nelson,19,0,0,0,1,0,0,0,0,0,0,0,4,4.0,11.6,20.0,3.6,215,97,107,67,63,37,123,68,,,,,,,Arsenal,1.0,1.2725317930340123,0.0,0.0,,,,,0.2725317930340126,1.3,0.0,0.0,0.0,,,1.2725317930340123,1,1.2725317930340123,,,,,2.00657057762146,2.039318084716797,1.563387155532837,2.449851751327514,1.9569364786148071,2.423266887664795,1.9397014379501345,2.005136251449585,1.9569364786148071,2.0472028255462646,20.388307929039,0.2545063586068025,,,0.569093518550749,0.0,0.0
532,,,463748,0,0,0,0,0,1,1.0,2.0,0,Karl,0.0,False,,,40,463748.jpg,0.0,Hein,0.1,False,,a,1,3,0,943,943,127,127,0.0,0.0,Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,294,35,285,16,220,15,307,35,,,,,,,Arsenal,,,,,,,,,,,,,,,,,1,,,,,,3.423261880874634,3.3664443492889404,2.7944765090942383,3.5990142822265625,3.403174638748169,3.721921443939209,3.09621000289917,3.3322629928588867,3.343534469604492,3.292943954467773,33.373244524002075,,,,,,
28,,,79852,0,0,0,0,0,1,1.5,1.5,0,Jed,0.0,False,,,40,79852.jpg,0.0,Steer,1.1,False,,a,2,7,0,3290,3290,2046,2046,0.0,0.0,Steer,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,272,26,263,7,196,6,285,26,,,,,,,Aston Villa,,,,,,,,,,,,,,,,,1,,,,,,3.065201997756958,3.6486525535583496,3.4331061840057373,3.435633897781372,2.630228281021118,2.8703479766845703,3.731765747070313,3.1919100284576416,2.987048387527466,2.7493715286254883,31.743266582489014,,,,,,
29,,,85242,0,0,0,0,0,3,1.9,1.9,0,Conor,0.0,False,,,50,85242.jpg,0.0,Hourihane,0.0,False,,a,2,7,0,142,142,437,437,0.0,0.0,Hourihane,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,430,167,431,172,396,158,439,171,,,,,,,Aston Villa,,,,,,,,,,,,,,,,,1,,,,,,2.365368127822876,2.9682462215423584,2.47313928604126,2.5055413246154785,1.9457038640975952,2.274623155593872,2.8524763584136963,2.321453809738159,2.2722160816192627,1.9739729166030884,23.952741146087646,,,,,,
30,,,98980,0,0,0,0,0,1,3.8,3.8,2,Emiliano,2.0,False,,,55,98980.jpg,2.0,Martínez,33.4,False,,a,2,7,2,15994,15994,105013,105013,0.4,0.4,Martínez,90,0,0,0,3,0,0,0,0,0,4,0,18,28.2,0.0,0.0,2.8,52,6,492,54,478,54,147,8,,,,,,,Aston Villa,1.0,3.2047768476488088,0.0,0.0,0.0,0.0,3.2047768476488088,0.0,1.2047768476488083,1.2,0.0,0.0,0.0,0.0,0.0,3.2047768476488088,1,3.2047768476488088,,,,,3.56491756439209,3.8189988136291504,3.5694801807403564,3.977993249893189,3.4363222122192383,3.540940284729004,3.738712310791016,3.66832971572876,3.397507667541504,3.2928895950317383,36.006091594696045,0.5826866995725107,,,1.366521439357202,0.0,0.0
31,0.0,0.0,108156,0,0,0,0,0,2,0.0,0.0,0,Björn,0.0,False,Transferred to Royal Antwerp,2021-06-25T10:09:04.469362Z,45,108156.jpg,0.0,Engels,0.0,False,,u,2,7,0,0,0,18,18,0.0,0.0,Engels,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,328,125,324,124,265,100,341,126,,,,,,,Aston Villa,,,,,,,,,,,,,,,,,1,,,,,,2.786110639572144,3.215084791183472,2.7960727214813232,3.051409244537353,1.8927392959594729,2.4084126949310303,3.240185022354126,2.807685852050781,2.406005382537842,1.96167266368866,26.565378308296204,,,,,,
32,,,110504,0,0,0,0,0,3,2.6,2.6,4,Bertrand,4.0,False,,,60,110504.jpg,4.0,Traoré,2.0,False,,a,2,7,4,5016,5016,13688,13688,0.7,0.7,Traoré,18,0,1,0,0,0,0,0,0,0,0,0,16,5.8,1.6,26.0,3.3,202,86,174,106,45,26,129,71,4.0,,2.0,,,,Aston Villa,1.0,2.072194211912202,0.0,0.0,0.0,0.0,1.771,0.0,0.3011942119122021,1.2,0.0,0.0,0.0,0.0,1.0,2.072194211912202,1,2.072194211912202,,,,,2.183964490890503,2.824201822280884,2.2917356491088867,2.324137687683105,1.7560663223266602,2.093219518661499,2.7084319591522217,2.140050172805786,2.0908124446868896,1.7843356132507324,22.196955680847168,0.34536570198536704,,,0.8459697445222684,0.0,0.0
34,0.0,0.0,122775,0,0,0,0,0,3,0.0,0.0,0,Morgan,0.0,False,Knee injury - Unknown return date,2021-08-09T06:00:12.415351Z,50,122775.jpg,0.0,Sanson,0.0,False,,i,2,7,0,30,30,225,225,0.0,0.0,Sanson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,441,174,443,179,410,165,450,178,,,,,,,Aston Villa,,,,,,,,,,,,,,,,,1,,,,,,2.365368127822876,2.9682462215423584,2.47313928604126,2.5055413246154785,1.9457038640975952,2.274623155593872,2.8524763584136963,2.321453809738159,2.2722160816192627,1.9739729166030884,23.952741146087646,,,,,,
