id,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,team_name,games played,adjusted points,xG,xG_points,xG_week1,goals_week1,xPoints week 1,bonus_week1,clean_sheet_points,xGA_week1,cleansheet_week1,xA,xA_points,xA_week1,assists_week1,adjusted points per game,gameweek,xPoints,form 5,form 10,form 15,form 20,gameweek 2 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,gameweek 10 prediction,gameweek 11 prediction,xPoints_next10,value,value form 5,value form 10,valuePoints metric,xG+xA,xG+xA per game
184,,,55914,0,0,0,0,0,2,1.7,1.2,-1,Liam,-1.0,False,,,45,55914.jpg,-1.0,Cooper,0.3,False,,a,10,2,-1,988,988,2118,2118,-0.2,-0.2,Cooper,90,0,0,0,5,0,0,0,1,0,0,0,10,25.4,10.5,2.0,3.8,63,16,117,33,149,39,110,31,,,,,,,Leeds United,1.0,-0.1074793594062807,0.0,0.0,0.0,0.0,-0.1074793594062807,0.0,0.8925206405937193,1.5,0.0,0.0,0.0,0.0,0.0,-0.1074793594062807,1,-0.1074793594062807,,,,,2.069856643676758,1.7532141208648682,2.7208354473114014,1.7712852954864502,2.826982259750366,1.7712852954864502,2.597553968429565,3.641538143157959,2.67876935005188,2.826982259750366,24.658302783966064,-0.0238843020902846,,,0.05066625591584482,0.0,0.0
185,,,66588,0,0,0,0,0,2,1.7,1.2,6,Luke,6.0,False,,,45,66588.jpg,6.0,Ayling,12.7,False,,a,10,2,6,79181,79181,20730,20730,1.3,1.3,Ayling,90,1,0,0,5,0,0,0,0,0,0,0,23,52.4,4.8,13.0,7.0,12,3,140,40,83,16,46,11,,,,,,,Leeds United,1.0,1.4925206405937188,0.1,0.6000000000000001,0.1,1.0,1.4925206405937188,0.0,0.8925206405937193,1.5,0.0,0.0,0.0,0.0,0.0,1.4925206405937188,1,1.4925206405937188,,,,,1.948714017868042,1.6320725679397583,2.599693536758423,1.6501437425613403,2.564699411392212,1.6501437425613403,2.476412057876587,3.3792552947998047,2.5576274394989014,2.564699411392212,23.02346122264862,0.3316712534652708,,,0.7035809773498056,0.1,0.1
186,,,72222,0,0,0,0,0,3,1.9,1.4,2,Mateusz,2.0,False,,,55,72222.jpg,2.0,Klich,0.5,False,,a,10,2,2,1642,1642,2998,2998,0.4,0.4,Klich,90,0,0,0,5,0,0,0,0,0,0,0,7,5.8,5.2,10.0,2.1,201,85,138,82,95,55,174,84,5.0,,,,2.0,,Leeds United,1.0,2.72313016014843,0.1,0.5,0.1,0.0,2.72313016014843,0.0,0.2231301601484298,1.5,0.0,0.0,0.0,0.0,0.0,2.72313016014843,1,2.72313016014843,,,,,1.813907504081726,1.666572093963623,2.2024483680725098,1.694841384887695,2.4330012798309326,1.694841384887695,2.1446564197540283,2.850487232208252,2.1603822708129883,2.4330012798309326,21.094139218330383,0.4951145745724418,,,1.161146601746427,0.1,0.1
187,,,80954,0,0,0,0,0,4,2.1,1.6,1,Rodrigo,1.0,False,,,65,80954.jpg,1.0,Moreno,1.7,False,,a,10,2,1,7504,7504,16198,16198,0.2,0.2,Rodrigo,45,0,0,0,1,0,0,0,0,0,0,0,7,3.6,1.3,0.0,0.5,222,21,190,23,533,65,255,30,,,5.0,,,,Leeds United,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,,,,,1.8205924034118648,1.5663639307022097,2.230415105819702,1.5946332216262815,2.56352972984314,1.5946332216262815,2.1071338653564453,3.000432252883911,2.1883490085601807,2.56352972984314,21.22961246967316,0.15384615384615385,,,0.3922322702763681,0.0,0.0
188,,,87873,0,0,0,0,0,3,1.9,1.4,5,Stuart,5.0,False,,,55,87873.jpg,5.0,Dallas,14.9,False,,a,10,2,5,36695,36695,48567,48567,0.9,0.9,Dallas,90,0,1,0,5,0,0,0,0,0,0,0,25,29.6,13.1,0.0,4.3,48,21,92,59,471,191,97,55,2.0,,,,,,Leeds United,1.0,2.99413016014843,0.0,0.0,0.0,0.0,2.99413016014843,0.0,0.2231301601484298,1.5,0.0,0.0,0.0,0.0,1.0,2.99413016014843,1,2.99413016014843,,,,,2.313228130340576,2.165892601013184,2.686413288116455,2.194162130355835,2.7054781913757324,2.194162130355835,2.6519172191619877,3.221995115280152,2.6443471908569336,2.7054781913757324,25.483074188232425,0.544387301845169,,,1.2767013900111677,0.0,0.0
189,,,106617,0,0,0,0,0,4,2.5,2.0,2,Patrick,2.0,False,,,80,106617.jpg,2.0,Bamford,17.0,False,,a,10,2,2,31060,31060,131220,131220,0.2,0.2,Bamford,76,0,0,0,5,0,0,0,0,0,0,0,0,0.0,10.8,8.0,1.8,547,70,116,14,105,24,193,22,,,,,1.0,,Leeds United,1.0,2.8,0.2,0.8,0.2,0.0,2.8,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,2.8,1,2.8,,,,,1.672842264175415,1.6099692583084106,2.0967705249786377,1.6100045442581177,3.4655086994171143,1.6100045442581177,1.9967851638793943,3.7517318725585938,2.054704427719116,3.4655086994171143,23.33382999897003,0.35,,,0.9899494936611665,0.2,0.2
190,0.0,0.0,149915,0,0,0,0,0,2,0.0,0.0,0,Diego,0.0,False,Knock - Expected back 28 Aug,2021-08-09T12:30:08.525803Z,45,149915.jpg,0.0,Llorente,0.1,False,,i,10,2,0,56,56,1556,1556,0.0,0.0,Llorente,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,339,134,335,133,277,110,351,134,,,,,,,Leeds United,,,,,,,,,,,,,,,,,1,,,,,,2.2237086296081543,1.7965645790100098,2.82529616355896,1.865497350692749,3.030381202697754,1.865497350692749,2.6423745155334477,3.7955455780029297,2.7235898971557617,3.030381202697754,25.79883646965027,,,,,,
191,,,155405,0,0,0,0,0,3,1.4,0.9,0,Kalvin,0.0,False,,,50,155405.jpg,0.0,Phillips,2.4,False,,a,10,2,0,7958,7958,19551,19551,0.0,0.0,Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,444,175,447,180,417,167,453,179,4.0,,2.0,,,,Leeds United,,,,,,,,,,,,,,,,,1,,,,,,2.089919090270996,1.8495291471481323,2.339064121246338,1.8777984380722048,2.783542394638061,1.8777984380722048,2.22163200378418,3.0616321563720703,2.23735785484314,2.783542394638061,23.121816039085388,,,,,,
192,,,165808,0,0,0,0,0,3,1.9,1.4,1,Hélder Wander,1.0,False,,,55,165808.jpg,1.0,Sousa de Azevedo e Costa,0.2,False,,a,10,2,1,583,583,1892,1892,0.2,0.2,Costa,21,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.4,1.0,0.0,500,204,228,125,184,100,506,206,,,,,,,Leeds United,1.0,1.22313016014843,0.0,0.0,0.0,0.0,1.0,0.0,0.2231301601484298,1.5,0.0,0.0,0.0,0.0,0.0,1.22313016014843,1,1.22313016014843,,,,,1.5859506130218506,1.4555752277374268,1.884486198425293,1.483844518661499,2.2673864364624023,1.483844518661499,1.826694369316101,2.594867706298828,1.8424201011657717,2.2673864364624023,18.692456126213077,0.22238730184516908,,,0.5215444526795955,0.0,0.0
193,,,173821,0,0,0,0,0,3,1.4,0.9,1,Tyler,1.0,False,,,50,173821.jpg,1.0,Roberts,0.1,False,,a,10,2,1,315,315,579,579,0.2,0.2,Roberts,13,0,0,0,0,0,0,0,0,0,0,0,7,4.4,14.3,3.0,2.2,208,91,84,55,147,83,172,83,,,,,,,Leeds United,1.0,2.12313016014843,0.0,0.0,0.0,0.0,1.9,0.0,0.2231301601484298,1.5,0.0,0.3,0.8999999999999999,0.3,0.0,2.12313016014843,1,2.12313016014843,,,,,1.9096438884735107,1.7042738199234009,2.167210102081299,1.7325431108474731,2.772237539291382,1.7325431108474731,2.1094181537628174,3.058748722076416,2.1251440048217773,2.772237539291382,22.08399999141693,0.42462603202968596,,,0.9494926726343809,0.3,0.3
