id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week17,assists_week18,assists_week19,assists_week2,assists_week20,assists_week21,assists_week22,assists_week23,assists_week24,assists_week25,assists_week26,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week12,bonus_week13,bonus_week14,bonus_week15,bonus_week16,bonus_week17,bonus_week18,bonus_week19,bonus_week2,bonus_week20,bonus_week21,bonus_week22,bonus_week23,bonus_week24,bonus_week25,bonus_week26,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week17,cleansheet_week18,cleansheet_week19,cleansheet_week2,cleansheet_week20,cleansheet_week21,cleansheet_week22,cleansheet_week23,cleansheet_week24,cleansheet_week25,cleansheet_week26,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 21 prediction,gameweek 22 prediction,gameweek 23 prediction,gameweek 24 prediction,gameweek 25 prediction,gameweek 26 prediction,gameweek 27 prediction,gameweek 28 prediction,gameweek 29 prediction,gameweek 3 prediction,gameweek 30 prediction,gameweek 31 prediction,gameweek 32 prediction,gameweek 33 prediction,gameweek 34 prediction,gameweek 35 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week17,goals_week18,goals_week19,goals_week2,goals_week20,goals_week21,goals_week22,goals_week23,goals_week24,goals_week25,goals_week26,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week17,xA_week18,xA_week19,xA_week2,xA_week20,xA_week21,xA_week22,xA_week23,xA_week24,xA_week25,xA_week26,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week17,xGA_week18,xGA_week19,xGA_week2,xGA_week20,xGA_week21,xGA_week22,xGA_week23,xGA_week24,xGA_week25,xGA_week26,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week17,xG_week18,xG_week19,xG_week2,xG_week20,xG_week21,xG_week22,xG_week23,xG_week24,xG_week25,xG_week26,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 17,xPoints week 18,xPoints week 19,xPoints week 2,xPoints week 20,xPoints week 21,xPoints week 22,xPoints week 23,xPoints week 24,xPoints week 25,xPoints week 26,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 36 prediction
1,7.213997037094645,2.4046656790315484,0,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,48,100.0,100.0,3.2139970370946447,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80201,,,0,0,-5,5,0.0,595,69,,,0,1,0.0,1.0,0,Bernd,0.0,,,,,3.0,26,,,,,,,,,,,,,,,,,,,0.0,4.401143550872803,7.831694602966309,,4.353902339935303,4.307070255279541,4.307070255279541,3.9728291034698486,3.880227088928223,3.9728291034698486,,,,,,,9,0,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,7.9,418,30,False,79.0,363,29,270,,2022-02-11T08:00:15.144286Z,45,0,0,,0,,80201.jpg,1.3,0,9,Leno,0.8,False,,a,1,3,Arsenal,0.0,575,60,4,63981,219,188826,341,0.5343701508958997,,,1.133570272086508,0.0,9.215249379475912,0.9,Leno,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,2.09012717213605,,,,,,,,,,,2.220092880225629,,,,,,,,1.0894830874246624,,,,,,,41.4686222076416,0,4.4418559074401855
2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,115918,,,0,0,0,0,0.0,505,32,,,0,1,0.0,0.0,0,Rúnar Alex,0.0,,,,,,26,,,,,,,,,,,,,,,,,,,0.0,3.587690830230713,5.725663185119629,,3.403174638748169,3.3563427925109863,3.2967026233673096,3.1098709106445312,2.91864275932312,3.1098709106445312,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,521,53,False,0.0,517,53,0,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.069158Z,40,0,0,,0,,115918.jpg,0.0,0,0,Rúnarsson,0.6,False,,u,1,3,Arsenal,0.0,466,19,0,19017,0,77545,223,,,,,0.0,8.078970193862915,0.0,Rúnarsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.31588077545166,0,3.807922124862671
3,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,47431,,,0,0,-2,2,0.0,706,292,,,0,3,0.0,0.0,0,Willian,0.0,,,,,,26,,,,,,,,,,,,,,,,,,,0.0,2.678804636001587,4.406983375549316,,2.4136109352111816,2.396375894546509,2.336735725402832,2.2980473041534424,2.203810214996338,2.2980473041534424,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,706,292,False,0.0,706,292,0,Transferred to Corinthians,2021-08-20T09:30:14.065783Z,63,0,0,,0,,47431.jpg,0.0,0,0,Borges Da Silva,0.1,False,,u,1,3,Arsenal,0.0,706,292,0,914,0,20452,6,,,,,0.0,3.805761640034025,0.0,Willian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.976298332214355,0,2.943882942199707
4,50.411,3.6007857142857143,1,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,0.0,3.0,0.0,1.0,0.0,3.0,0.0,131,0.0,0.0,0.0,6,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,54694,,,0,0,-4,4,132.4,193,30,,,0,4,0.0,0.0,0,Pierre-Emerick,0.0,,3.1,3.496777777777778,,14.0,26,,,,,,,,,,,,,,,,,,,0.0,3.528766870498657,5.567423343658447,,3.0051658153533936,2.9538068771362305,2.9538068771362305,2.674980640411377,2.5426173210144043,2.706345796585083,,,,,,,16,4,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,1.0,92.9,82,21,False,217.6,229,28,1036,Left club by mutual consent,2022-02-02T08:21:28.428217Z,96,0,2,,0,,54694.jpg,3.1,0,0,Aubameyang,1.3,False,,u,1,3,Arsenal,582.0,28,13,44,742898,0,891486,1528,0.37508184523809524,,,1.1621485920575125,0.0,3.0685034890969596,4.6,Aubameyang,0.8,2.4000000000000004,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,0.0,0.1,0.4,0.0,0.0,0.1999999999999999,0.1,5.8,6.6,0.4714285714285714,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,22.24,,0.2999999999999998,0.9000000000000004,0.2000000000000001,0.5999999999999996,0.5,0.2999999999999998,,,,,0.0,,,,,,,,0.0,1.3,0.0999999999999998,0.2000000000000001,0.0999999999999998,0.3,1.0,,,3.2,2.6000000000000014,2.8000000000000007,3.3999999999999986,4.0,2.2,,,,,1.0,,,,,,,,1.0,10.5,3.6,3.8000000000000007,2.3999999999999995,6.8,4.071,29.45763349533081,3,3.5247199535369877
5,13.92799407418929,2.321332345698215,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,66,100.0,100.0,6.427994074189289,1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58822,,,0,0,-3,3,92.8,237,63,,,0,2,0.0,6.4,2,Cédric,2.7,3.3405083944461667,3.3405083944461667,3.3405083944461667,4.51076259166925,6.0,26,,,,,,,,,,,,,,,,,,,0.0,3.4404971599578857,5.024953842163086,,3.229783296585083,3.11519718170166,3.11519718170166,2.742076873779297,2.6466403007507324,2.710214853286743,,,,,,,9,0,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.0,0.0,0.0,,,,,,19.1,360,126,False,75.0,368,142,394,,2022-01-13T23:00:13.573747Z,42,0,0,,0,,58822.jpg,1.7,0,0,Soares,0.2,False,,a,1,3,Arsenal,23.0,362,133,10,15705,355,26727,277,0.552698177547194,0.7953591415348016,1.0739910932545833,1.1326942027523388,0.6,6.941669895535424,2.4,Cédric,0.3,0.8999999999999999,,,,,,,,,,0.0,,0.1,,,,,0.0,,0.1999999999999999,0.0,0.0,,,,,,0.1,0.4,0.06666666666666667,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.6000000000000001,,,,,,,,,,0.0,,0.0,,,,,0.0,,0.1,0.0,0.0,,,,,,5.395246544376102,,,,,,,,,,1.0,,1.5200928802256288,,,,,3.626278638962399,,5.395246544376102,-0.9105169125753376,1.0,,,,,,29.15501356124878,1,3.130452871322632
6,59.095,3.2830555555555554,5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,0.0,0.0,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,201,100.0,100.0,0.0,8,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59966,,,0,0,-2,2,286.8,82,12,,,1,4,0.0,7.6,5,Alexandre,3.3,5.307857142857142,4.029583333333332,3.473823529411764,4.447333333333334,18.0,26,,,,,,,,,,,,,,,,,,,0.0,4.395521640777588,6.867763519287109,,3.9382033348083496,3.867064476013184,3.867064476013184,3.33191466331482,3.192714214324951,3.307607889175415,,,,,,,7,3,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,1.0,0.0,105.0,60,15,False,278.8,174,17,1111,,2021-08-13T14:30:14.582063Z,83,0,1,2.0,0,,59966.jpg,3.2,0,0,Lacazette,5.2,False,,a,1,3,Arsenal,485.0,48,20,58,1129590,10044,861775,36301,0.39554886211512713,0.6395008605851978,0.5358232931726907,1.1395652193976202,0.4,4.475441323705466,7.0,Lacazette,1.2,3.6,,0.0,0.0999999999999999,0.2,0.0,0.0,0.0,0.0,0.3,0.0999999999999999,0.0,,,0.0999999999999999,,0.1999999999999999,0.0,,0.0,0.0,,,,0.0,0.2,0.0,5.4,6.6000000000000005,0.3666666666666667,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,20.64,,0.0,0.1999999999999999,0.0,0.1,0.0,0.0,0.3,1.1999999999999995,0.8000000000000003,0.9999999999999996,,,0.0,,0.3000000000000007,0.7999999999999998,,0.2000000000000001,0.0,,,,0.0,0.5,0.0,3.5710000000000006,,1.0,3.1,2.6,1.4000000000000004,1.0,2.0,4.2,6.470999999999999,6.271000000000001,8.770999999999997,,,2.3,,3.8000000000000025,5.970999999999999,,3.5710000000000006,1.0,,,,1.0,3.6,2.0,37.14616298675537,0,4.378308773040772
7,23.88499703709464,1.9904164197578869,1,0.0,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,125,100.0,100.0,3.2139970370946447,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84450,,,0,0,-2,2,187.7,153,95,4.0,,0,3,0.0,3.6,2,Granit,1.3,2.620207629858235,2.45474210705186,2.45474210705186,2.127690647917313,12.0,26,,,,,,,,,,,,,,,,,,,0.0,2.323383331298828,3.9391086101531982,,2.3007137775421143,2.2834789752960205,2.2834789752960205,2.1767289638519287,2.1071484088897705,2.1767289638519287,,,,,,,16,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,44.0,246,114,False,161.6,277,114,1005,,2022-01-10T00:00:11.840953Z,48,0,0,,0,,84450.jpg,1.8,1,0,Xhaka,0.3,False,,a,1,3,Arsenal,91.0,252,132,22,27412,272,86735,299,0.4146700874495598,0.545876589553799,0.44326888498277356,0.9084966432750551,0.3,4.616523285706839,4.6,Xhaka,0.8,2.4000000000000004,0.1,,,,,,0.0,0.0,0.0,0.5,0.0999999999999999,0.0,,0.0,,,0.0,,0.1,0.0,,,0.0,,,,0.5,1.3,0.10833333333333334,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,2.5,0.1,,,,,,0.0,0.0,0.3,0.0999999999999999,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,2.848811636094026,3.0725317930340124,,,,,,1.3678794411714423,2.5488116360940256,4.17032004603564,3.99413016014843,2.11873075307798,2.055023220056407,,1.1826835240527347,,,1.4065696597405997,,2.848811636094026,-2.0,,,2.3328710836980795,,,,22.159311771392822,5,2.5685417652130127
8,5.242664691396429,2.6213323456982147,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,35,0.0,0.0,2.14266469139643,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92371,,,0,0,-3,3,12.3,401,148,,,0,2,0.0,0.0,0,Pablo,0.0,,,,,2.0,26,,,,,,,,,,,,,,,,,,,0.0,3.52803635597229,5.00273323059082,,2.992020845413208,2.909296751022339,2.909296751022339,2.416426181793213,2.2561638355255127,2.416426181793213,,,,,,,4,0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7.9,417,152,False,55.4,386,148,180,Joined Udinese on loan until the end of the season - Expected back 01 Jul,2022-01-20T22:30:17.110379Z,42,0,0,,0,,92371.jpg,0.5,0,0,Marí,0.1,False,,u,1,3,Arsenal,11.0,388,144,1,5760,0,14703,58,0.6241267489757654,,,1.2790792136946185,0.0,6.659828310921078,0.2,Marí,0.1,0.3,0.0,,,,,,,,,,,0.1,,,,,,,,,,,,,,,0.3,0.4,0.2,1.3,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,2.9000000000000004,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,1.7999999999999998,0.3,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,3.89012717213605,,,,,,,,,,,0.5200928802256288,,,,,,,,,,,,,,,27.97127890586853,1,3.540878772735596
9,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,98745,,,0,0,-2,2,0.0,669,237,,,0,2,0.0,0.0,0,Héctor,0.0,,,,,,26,,,,,,,,,,,,,,,,,,,0.0,3.353081226348877,4.539356231689453,,2.899842977523804,2.8171186447143555,2.7574784755706787,2.528827428817749,2.337599277496338,2.528827428817749,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,670,237,False,0.0,670,237,0,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31T22:00:09.090880Z,48,0,0,,0,,98745.jpg,0.0,0,0,Bellerín,0.2,False,,u,1,3,Arsenal,0.0,657,236,0,3737,0,70456,42,,,,,0.0,5.644525686899821,0.0,Bellerín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.09372329711914,0,3.3315916061401367
11,2.14266469139643,1.071332345698215,0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,6,0.0,0.0,2.14266469139643,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111457,,,0,0,-3,3,0.2,468,175,,,0,2,0.0,0.0,0,Sead,0.0,,,1.0,,2.0,26,,,,,,,,,,,,,,,,,,,0.0,2.5408003330230717,3.3112359046936035,,2.199450731277466,2.1167266368865967,2.1167266368865967,1.779043197631836,1.6864413022994995,1.779043197631836,,,,,,,5,0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.4,488,175,False,4.2,472,175,91,Contract ended by mutual consent,2022-01-13T23:00:13.612208Z,42,0,0,,0,,111457.jpg,0.0,0,0,Kolasinac,0.1,False,,u,1,3,Arsenal,0.0,519,212,0,3727,0,11460,40,0.2550791299281464,,,0.5227566571595055,0.0,4.782413783527555,0.0,Kolasinac,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,,1.200000000000001,0.5999999999999996,4.399999999999999,0.2000000000000028,1.7999999999999972,1.0,0.6000000000000014,0.3999999999999986,1.5,0.2000000000000028,,0.0,1.6999999999999993,0.0,0.5,0.8999999999999986,0.0,0.6000000000000014,3.8,0.6999999999999993,1.200000000000001,1.0999999999999996,1.4000000000000004,0.7999999999999989,1.5,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,-0.9105169125753376,,,,,,,20.08613789081573,1,2.556669950485229
