id,adjusted points,adjusted points per game,assists,assists_week1,assists_week2,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,bonus,bonus_week1,bonus_week2,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week2,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 2 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week2,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week2,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week2,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xG_points,xG_week1,xG_week2,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xPoints,xPoints week 1,xPoints week 2,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints_next10,yellow_cards,gameweek 18 prediction
383,,,0,,,,,,,,,0,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,73426,,,0,0,-1,1,0.0,592,77,,,0,4,0.0,0.0,0,Andre,0.0,,,,,,8,2.282155990600586,2.6558122634887695,2.0803632736206055,2.366461992263794,2.0803632736206055,1.9212570190429688,2.3269128799438477,2.691704750061035,,,,,,,,2.20168399810791,0,0,,,,,,,,,0.0,594,76,False,0.0,594,76,0,Joined QPR on a season-long loan - Expected back 01 Jul,2021-08-31T22:30:15.666399Z,54,0,0,,0,,73426.jpg,0.0,0,0,Gray,0.1,False,,u,18,57,Watford,0.0,587,76,0,5584,0,22817,124,,,,,0.0,4.267558477543018,0.0,Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0448157787323,0,2.4381003379821777
384,6.1835866586590384,2.061195552886346,0,0.0,0.0,,,,,0.0,,0,0.0,0.0,,,,,0.0,,30,0.0,0.0,1.9835866586590385,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85624,,,0,0,-1,1,0.3,380,139,,,0,2,0.0,0.0,0,Christian,0.3,2.141334991795345,2.141334991795345,2.141334991795345,1.0,3.0,8,2.1799814701080322,2.7681829929351807,1.9417970180511475,2.098586320877075,1.9417970180511475,1.8482972383499146,2.0897207260131836,2.804075241088867,,,,,,,,2.0034773349761963,4,0,0.0,0.0,,,,,0.0,,5.5,329,115,False,50.2,268,107,202,Hamstring injury - Unknown return date,2021-10-07T17:30:15.508777Z,44,0,0,,0,,85624.jpg,1.0,0,0,Kabasele,0.1,False,,i,18,57,Watford,4.0,324,109,3,1807,20,6315,267,0.4684535347468968,0.4866670435898511,0.2272727272727272,0.9826364243982578,0.1,5.042282207445664,0.7,Kabasele,0.0,0.0,0.0,0.0,,,,,0.0,,0.2,0.2,0.0666666666666666,1.1,1.5,0.8999999999999999,2.0,1.0,2.5,1.8000000000000007,3.6,1.2000000000000002,0.2,0.0,,,,,0.0,,,3.531484334792318,1.8925206405937192,,,,,1.0,,22.186041712760925,0,2.5101263523101807
385,,,0,,,,,,,,,0,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,89085,,,0,0,0,0,0.0,578,234,,,0,3,0.0,0.0,0,Nathaniel,0.0,,,,,,8,2.155410051345825,2.55476713180542,2.015118360519409,2.3283331394195557,2.015118360519409,1.9212570190429688,2.200166940689087,2.5906596183776855,,,,,,,,2.136439085006714,0,0,,,,,,,,,0.0,582,232,False,0.0,581,232,0,Transferred to Fulham,2021-08-12T12:00:08.997086Z,50,0,0,,0,,89085.jpg,0.0,0,0,Chalobah,0.0,False,,u,18,57,Watford,0.0,566,229,0,183,0,1398,14,,,,,0.0,4.450865030288696,0.0,Chalobah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.25432515144348,0,2.3370554447174072
387,15.58956442309077,1.9486955528863463,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,,,5.289564423090769,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131304,,,0,0,0,0,13.4,295,95,,,0,2,0.0,-0.5,0,William,1.0,2.1577466186439707,2.1577466186439707,2.1577466186439707,1.8823378669606663,8.0,8,2.427631378173828,2.952824115753174,2.2810022830963135,2.35060715675354,2.2810022830963135,1.961111307144165,2.3967771530151367,2.9887163639068604,,,,,,,,2.3426828384399414,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,201,66,False,155.0,62,20,720,,,45,0,0,,0,,131304.jpg,1.2,0,0,Troost-Ekong,0.1,False,,a,18,57,Watford,11.0,283,87,10,11373,531,11963,610,0.4330434561969658,0.479499248587549,0.4182973037690369,0.9186238932760026,0.2,5.50317923227946,2.2,Troost-Ekong,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0125,1.1,1.5,0.8999999999999999,2.0,1.0,2.5,1.8000000000000007,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1092948897891702,2.331484334792318,1.8925206405937192,3.626278638962397,1.5413411329464508,3.4715177646857693,1.3283399944955951,2.9611955528863456,0.1092948897891702,24.76430654525757,1,2.781951665878296
388,,,0,,,,,,,,,0,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,140941,,,0,0,0,0,0.0,495,60,,,0,4,0.0,0.0,0,Stipe,0.0,,,,,,8,2.282155990600586,2.6558122634887695,2.0803632736206055,2.366461992263794,2.0803632736206055,1.9212570190429688,2.3269128799438477,2.691704750061035,,,,,,,,2.20168399810791,0,0,,,,,,,,,0.0,508,60,False,0.0,506,59,0,Transferred to Maccabi Tel Aviv,2021-08-14T18:30:10.219289Z,45,0,0,,0,,140941.jpg,0.0,0,0,Perica,1.0,False,,u,18,57,Watford,0.0,467,56,0,6250,0,237620,1991,,,,,0.0,5.121070173051622,0.0,Perica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0448157787323,0,2.4381003379821777
389,10.644782211545383,2.6611955528863462,0,0.0,0.0,0.0,0.0,,,,,0,0.0,0.0,0.0,0.0,,,,,60,100.0,100.0,2.6447822115453845,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154506,,,0,0,-1,1,0.0,469,37,,,0,1,-1.0,-1.5,0,Daniel,0.0,3.097906186823721,3.097906186823721,3.097906186823721,2.541341132946451,4.0,8,3.514690399169922,3.8215348720550537,3.359485387802124,3.51181960105896,3.359485387802124,3.4682376384735107,3.5867538452148438,3.8215348720550537,,,,,,,,3.359485387802124,7,0,0.0,0.0,0.0,0.0,,,,,9.0,287,18,False,89.6,167,18,360,,2021-09-23T13:00:17.628091Z,44,0,0,,0,,154506.jpg,2.0,0,12,Bachmann,1.5,False,,a,18,57,Watford,0.0,438,33,8,123296,279,171899,5871,0.6048171711105332,0.7040695879144819,0.5775775302151024,1.2686752011719358,0.0,8.072634122588417,1.8,Bachmann,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,1.1,1.5,0.8999999999999999,2.0,1.0,2.5,1.8000000000000007,3.6,0.0,0.0,0.0,0.0,0.0,,,,,,2.331484334792318,1.8925206405937192,5.626278638962397,2.541341132946451,,,,,35.51959013938904,0,3.7165627479553223
390,6.944782211545385,1.7361955528863462,0,0.0,0.0,0.0,,,,,0.0,0,0.0,0.0,0.0,,,,,0.0,46,,,2.6447822115453845,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155651,6.0,,0,0,-2,2,31.9,213,62,5.0,,0,2,-1.0,-1.5,0,Adam,0.0,1.9625709035871088,1.9625709035871088,1.9625709035871088,0.0,4.0,8,2.0936806201934814,2.6950740814208984,1.8869280815124512,1.98450767993927,1.8869280815124512,1.7268003225326538,2.034851551055908,2.730966567993164,,,,,,,,1.948608636856079,7,0,0.0,0.0,0.0,,,,,0.0,9.8,279,93,False,65.4,236,93,315,,,43,0,0,,0,,155651.jpg,1.0,0,0,Masina,0.1,False,,a,18,57,Watford,0.0,412,159,4,5514,108,9784,199,0.4037664076479875,0.4564118380435137,0.0,0.8372678432636306,0.0,4.996412299400151,0.9,Masina,0.1,0.3,0.0,0.0,0.0,,,,,0.0,0.0,0.1,0.025,1.1,1.5,0.8999999999999999,2.0,1.0,2.5,1.8000000000000007,3.6,0.0,0.0,0.0,0.0,,,,,0.0,0.0,2.331484334792318,1.8925206405937192,3.626278638962397,,,,,0.0,21.484572887420654,0,2.496227264404297
391,8.626494441107933,1.7252988882215867,0,0.0,0.0,,0.0,0.0,,0.0,,0,0.0,0.0,,0.0,0.0,,0.0,,17,,,0.8264944411079327,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157775,3.0,,0,0,-2,2,40.3,182,109,4.0,,0,3,-0.7,-1.2,0,Ken,0.3,1.671200248769302,1.671200248769302,1.671200248769302,1.0,5.0,8,1.8549340963363647,2.2026355266571045,1.690813660621643,1.9624439477920532,1.690813660621643,1.5980467796325684,1.754541039466858,2.23852801322937,,,,,,,,1.690813660621643,5,0,0.0,0.0,,0.0,0.0,,0.0,,8.3,297,132,False,17.4,336,141,242,,,53,0,0,,0,,157775.jpg,1.2,0,0,Sema,0.0,False,,a,18,57,Watford,26.0,236,124,6,973,21,3744,81,0.3255280921172805,0.3153208016545853,0.1886792452830188,0.7494219475134407,0.1,3.5208935107824937,1.1,Sema,0.6,1.7999999999999998,0.5,0.0999999999999999,,0.0,0.0,,0.0,,0.0,0.6,0.12,1.1,1.5,0.8999999999999999,2.0,1.0,2.5,1.8000000000000007,3.6,0.0,0.0,0.0,,0.0,0.0,,0.0,,,2.8328710836980795,2.5231301601484297,,1.0,1.0,,1.0,,18.660735607147217,1,1.9771652221679688
392,,,0,,,,,,,,,0,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,162344,,,0,0,0,0,0.0,602,245,,,0,3,0.0,0.0,0,Philip,0.0,,,,,,8,2.155410051345825,2.55476713180542,2.015118360519409,2.3283331394195557,2.015118360519409,1.9212570190429688,2.200166940689087,2.5906596183776855,,,,,,,,2.136439085006714,0,0,,,,,,,,,0.0,604,244,False,0.0,604,244,0,Joined Nottingham Forest on a season-long loan - Expected back 01 Jul,2021-08-08T12:00:11.230037Z,55,0,0,,0,,162344.jpg,0.0,0,0,Zinckernagel,0.0,False,,u,18,57,Watford,0.0,599,242,0,0,0,452,5,,,,,0.0,4.046240936626088,0.0,Zinckernagel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.25432515144348,0,2.3370554447174072
393,,,0,,,,,,,,,0,,,,,,,,,0,0.0,0.0,,0,,,,,,,,,173514,,,0,0,0,0,0.0,583,75,,,0,4,0.0,0.0,0,Isaac,0.0,,,,,,8,2.282155990600586,2.6558122634887695,2.0803632736206055,2.366461992263794,2.0803632736206055,1.9212570190429688,2.3269128799438477,2.691704750061035,,,,,,,,2.20168399810791,0,0,,,,,,,,,0.0,587,74,False,0.0,586,73,0,Transferred to Udinese,2021-08-26T17:59:08.709960Z,50,0,0,,0,,173514.jpg,0.0,0,0,Success Ajayi,0.1,False,,u,18,57,Watford,0.0,573,73,0,5401,0,37603,274,,,,,0.0,4.60896315574646,0.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0448157787323,0,2.4381003379821777
