id,adjusted points,adjusted points per game,assists,assists_week1,assists_week2,assists_week3,assists_week4,assists_week5,assists_week6,assists_week7,bonus,bonus_week1,bonus_week2,bonus_week3,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week2,cleansheet_week3,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 2 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week2,goals_week3,goals_week4,goals_week5,goals_week6,goals_week7,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week2,xA_week3,xA_week4,xA_week5,xA_week6,xA_week7,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week2,xGA_week3,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xG_points,xG_week1,xG_week2,xG_week3,xG_week4,xG_week5,xG_week6,xG_week7,xPoints,xPoints week 1,xPoints week 2,xPoints week 3,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints_next10,yellow_cards
407,,,0,,,,,,,,0,,,,,,,,0,,,,0,,,,,,,,32259,,,0,0,0,0,0.0,349,23,,,0,1,0.5,0.0,0,Darren,0.0,,,,,,2,2.5317177772521973,1.9524290561676023,2.5600502490997314,,,,,,2.623940706253052,3.153388023376465,2.168585062026977,2.959458827972412,2.397554636001587,1.9455668926239007,2.694406270980835,0,0,,,,,,,,0.0,367,40,False,0.0,357,40,0,,,45,0,0,,0,,32259.jpg,0.0,0,0,Randolph,0.2,False,,a,19,21,West Ham,0.0,301,21,0,404,126,1569,474,,,,,0.0,5.55268833372328,0.0,Randolph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.98709750175476,0
408,4.331484334792318,4.331484334792318,0,0.0,0.0,,,,,,0,0.0,0.0,,,,,,17,,,1.3314843347923182,0,0.0,0.0,,,,,,37096,,,0,0,0,0,0.0,464,48,,,0,1,2.0,1.5,2,Lukasz,1.5,,,,,1.0,2,2.763240098953247,2.29282021522522,2.567141056060791,,,,,,2.9815495014190674,3.292308807373047,2.39005708694458,3.129392147064209,2.706509113311768,2.29282021522522,2.8790318965911865,3,0,0.0,0.0,,,,,,1.5,264,18,False,15.0,195,18,180,,,50,0,0,,0,,37096.jpg,1.5,0,1,Fabianski,2.0,False,,a,19,21,West Ham,0.0,442,47,3,7652,3964,16983,6193,0.8662968669584636,,,1.937098683214216,0.3,5.4589740276336665,0.6,Fabianski,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,1.4,0.8000000000000003,,,,,,0.0,0.0,0.0,,,,,,3.797315856468886,1.9863878557664256,3.797315856468886,,,,,,27.29487013816833,0
409,5.662968669584636,2.831484334792318,0,0.0,0.0,,,,,,0,0.0,0.0,,,,,,33,100.0,100.0,2.6629686695846364,0,0.0,0.0,,,,,,40669,,,0,0,0,0,1.1,247,77,,,0,2,2.0,1.5,2,Angelo,1.5,,,,,2.0,2,2.3973991870880127,1.542163968086243,2.106120109558105,,,,,,2.549262285232544,3.0579476356506348,1.8668406009674072,2.864018440246582,2.3973991870880127,1.542163968086243,2.235403060913086,3,0,0.0,0.0,,,,,,2.8,229,81,False,25.2,153,65,180,,2021-08-10T08:00:10.277396Z,50,0,0,,0,,40669.jpg,1.5,0,0,Ogbonna,0.2,False,,a,19,21,West Ham,2.0,221,70,3,1814,1140,2119,610,0.5662968669584636,,,1.266278289964279,0.3,4.511743688583374,0.6,Ogbonna,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,1.4,0.8000000000000003,,,,,,0.0,0.0,0.0,,,,,,3.797315856468886,1.9863878557664256,3.797315856468886,,,,,,22.55871844291687,0
410,,,0,,,,,,,,0,,,,,,,,0,,,,0,,,,,,,,48717,,,0,0,0,0,0.0,301,108,,,0,2,0.5,0.0,0,Winston,0.0,,,,,,2,2.021930932998657,1.1638997793197632,1.745906114578247,,,,,,2.114153861999512,2.793215751647949,1.5810863971710205,2.5992865562438965,1.96229100227356,1.22353994846344,2.120025634765625,0,0,,,,,,,,0.0,321,107,False,0.0,311,105,0,,,40,0,0,,0,,48717.jpg,0.0,0,0,Reid,1.9,False,,a,19,21,West Ham,0.0,250,82,0,12032,3187,18036,7335,,,,,0.0,4.8313339948654175,0.0,Reid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.32533597946167,0
411,6.562968669584635,3.2814843347923177,0,0.0,0.0,,,,,,0,0.0,0.0,,,,,,42,,,2.6629686695846364,0,0.0,0.0,,,,,,55459,1.0,,0,0,0,0,21.7,106,23,1.0,,0,2,5.0,4.5,2,Aaron,4.5,,,,,2.0,2,3.0237765312194824,2.310141086578369,2.7516186237335205,,,,,,2.982844114303589,3.740626096725464,2.291707754135132,3.4647202491760254,3.0237765312194824,2.310141086578369,2.9849894046783447,3,1,1.0,0.0,,,,,,11.0,59,12,False,64.4,28,7,180,,,55,0,0,,0,,55459.jpg,4.5,0,0,Cresswell,18.1,False,,a,19,21,West Ham,24.0,90,18,9,124584,48094,101862,47171,0.596633515416785,,,1.399229621774872,0.8,5.251698450608687,1.6,Cresswell,0.1,0.3,0.1,0.0,,,,,,0.1,0.2,0.1,1.4,0.8000000000000003,,,,,,0.6000000000000001,0.1,0.0,,,,,,3.797315856468886,2.8863878557664258,3.797315856468886,,,,,,28.88434147834778,0
412,2.665742167396159,1.3328710836980795,0,0.0,0.0,,,,,,0,0.0,0.0,,,,,,7,,,0.6657421673961591,0,0.0,0.0,,,,,,56377,3.0,,-1,1,-1,1,2.1,223,123,,,0,3,1.5,1.0,1,Andriy,1.0,,,,,2.0,2,1.285513162612915,0.9897573590278624,1.2243348360061646,,,,,,1.3777360916137695,1.8687540292739868,1.197112202644348,1.674824595451355,1.2258729934692385,1.0493974685668943,1.6230018138885498,0,0,0.0,0.0,,,,,,0.3,301,142,False,1.0,299,140,2,,,54,0,0,,0,,56377.jpg,1.0,0,0,Yarmolenko,0.2,False,,a,19,21,West Ham,0.0,493,198,2,1356,453,6242,2038,0.2468279784626073,,,0.5735763899782327,0.2,2.503019361584274,0.4,Yarmolenko,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,1.4,0.8000000000000003,,,,,,0.0,0.0,0.0,,,,,,1.0,1.0,1.0,,,,,,13.516304552555084,0
413,20.333,10.1665,3,2.0,1.0,,,,,,6,3.0,3.0,,,,,,107,,,0.0,0,0.0,0.0,,,,,,57531,,,1,-1,2,-2,44.8,41,6,,,2,4,15.0,14.5,16,Michail,14.5,,,,,2.0,2,6.114678382873535,5.977397441864014,6.3648786544799805,,,,,,6.575305938720703,8.525400161743164,5.882309436798096,7.495676517486572,6.131280422210693,5.977397441864014,7.530033588409424,3,3,1.0,2.0,,,,,,33.5,1,1,True,148.6,1,1,178,,,77,0,1,2.0,0,,57531.jpg,14.5,0,0,Antonio,34.9,False,,a,19,21,West Ham,142.0,5,2,29,841630,464576,100019,36615,1.3203246753246751,,,3.66375228579776,1.9,8.646020517720805,3.8,Antonio,0.7,2.1,0.1,0.6,,,,,,2.1,2.8,1.4,1.4,0.8000000000000003,,,,,,7.92,1.1,1.0,,,,,,11.571,9.242,11.571,,,,,,66.5743579864502,0
414,8.062968669584636,4.031484334792318,0,0.0,0.0,,,,,,0,0.0,0.0,,,,,,23,,,2.6629686695846364,0,0.0,0.0,,,,,,60232,,,0,0,0,0,11.9,160,46,,,0,2,2.0,1.5,2,Craig,1.5,,,,,2.0,2,2.8162729740142822,2.272523880004883,2.6640214920043945,,,,,,2.867875337600708,4.431853771209717,2.129947662353516,3.7788941860198975,2.699901819229126,2.33216404914856,3.488929748535156,3,0,0.0,0.0,,,,,,8.5,87,22,False,25.6,151,64,180,,,50,0,0,,0,,60232.jpg,1.5,0,0,Dawson,0.3,False,,a,19,21,West Ham,47.0,44,7,3,2328,1230,3561,1197,0.8062968669584636,,,1.8029346045642287,0.3,5.896476984024048,0.6,Dawson,0.0,0.0,0.0,0.0,,,,,,0.4,0.4,0.2,1.4,0.8000000000000003,,,,,,2.4000000000000004,0.1,0.3,,,,,,5.597315856468886,2.586387855766426,5.597315856468886,,,,,,29.48238492012024,0
415,2.331484334792318,2.331484334792318,0,0.0,,,,,,,0,0.0,,,,,,,3,,,1.3314843347923182,0,0.0,0.0,,,,,,81012,,,0,0,0,0,0.0,365,142,,,0,2,1.0,0.5,0,Ryan,0.5,,,,,1.0,2,1.5330573320388794,0.8708881139755249,1.116287112236023,,,,,,1.6849206686019895,2.192453622817993,1.000702142715454,1.9985246658325195,1.5330573320388794,0.8708881139755249,1.3291271924972534,0,0,0.0,,,,,,,0.0,380,141,False,0.0,371,140,2,,,45,0,0,,0,,81012.jpg,1.0,0,0,Fredericks,0.1,False,,a,19,21,West Ham,0.0,321,123,1,994,336,2127,825,0.5181076299538484,,,1.09907225557457,0.1,3.1399791770511203,0.2,Fredericks,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,1.4,0.8000000000000003,,,,,,0.0,0.0,,,,,,,,1.0,,,,,,,14.129906296730042,0
416,,,0,,,,,,,,0,,,,,,,,0,100.0,100.0,,0,,,,,,,,86934,,,0,0,-1,1,0.0,540,224,4.0,,0,3,0.5,0.0,0,Manuel,0.0,,,,,,2,1.5640612840652466,1.2765395641326904,1.502882957458496,,,,,,1.6562844514846802,2.14730167388916,1.4756600856781006,1.953372836112976,1.5044211149215698,1.3361797332763672,1.901550054550171,0,0,,,,,,,,0.0,545,224,False,0.0,543,222,0,,2021-08-13T13:00:15.122575Z,59,0,0,,0,,86934.jpg,0.0,0,0,Lanzini,0.1,False,,a,19,21,West Ham,0.0,538,222,0,1222,563,3695,868,,,,,0.0,2.765805721282959,0.0,Lanzini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.318253755569458,0
