id,adjusted points,adjusted points per game,assists,assists_week1,assists_week2,bonus,bonus_week1,bonus_week2,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week2,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 2 prediction,gameweek 3 prediction,gameweek 4 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week2,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week2,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week2,xG_points,xG_week1,xG_week2,xPoints,xPoints week 1,xPoints week 2,xPoints_next10,yellow_cards,gameweek 12 prediction
283,2.546964093818005,2.546964093818005,0,,0.0,0,,0.0,3,,,1.546964093818005,0,,0.0,180804,,,0,0,0,0,0.0,391,153,,,0,2,1.0,1.0,1,Axel,0.5,,,,,1.0,2,1.931957125663757,3.517318725585937,,2.80911636352539,1.9940043687820437,1.931957125663757,2.3671345710754395,2.7374861240386963,2.4126737117767334,3.5070269107818604,0,0,,0.0,0.0,402,152,False,0.0,395,153,2,,,45,0,0,,0,,180804.jpg,1.0,0,0,Tuanzebe,0.7,False,,a,2,7,Aston Villa,0.0,353,139,1,4208,976,11854,4322,0.5659920208484456,,,1.2006503881182409,0.1,5.683724376890393,0.2,Tuanzebe,0.0,0.0,,0.0,0.0,0.0,0.0,,0.7,0.0,,0.0,1.0,,1.0,25.57675969600677,0,2.368084669113159
337,10.12,5.06,0,0.0,0.0,3,1.0,2.0,61,,,0.0,1,0.0,1.0,84939,,,1,-1,1,-1,4.3,207,26,,,0,4,8.0,8.0,8,Danny,7.5,,,,,2.0,2,4.072639465332031,5.246448516845703,,3.852030277252197,3.79933762550354,4.072639465332031,3.6204426288604736,4.572280406951904,3.961527347564697,5.189908504486084,3,2,1.0,1.0,12.8,40,8,False,66.6,26,6,180,,,81,0,0,2.0,0,,84939.jpg,7.5,0,0,Ings,39.9,False,,a,2,7,Aston Villa,57.0,35,14,15,395253,202766,216699,74567,0.6246913580246913,,,1.7779027733835553,0.9,5.228679474489189,1.9,Ings,0.0,0.0,0.0,0.0,0.9,0.9,0.45,1.2,0.7,3.12,0.8,0.0999999999999999,4.4,6.2,4.4,42.35230374336243,0,3.9650495052337646
492,2.957741023454501,2.957741023454501,1,1.0,,0,0.0,,14,75.0,,0.3867410234545012,0,0.0,0.0,215711,,,0,0,0,0,14.8,136,84,1.0,,0,3,1.9,2.5,0,Leon,2.0,,,,,1.0,2,2.3303704261779785,3.373991012573242,,2.893437623977661,2.332777738571167,2.3303704261779785,2.4625484943389893,2.739885807037353,2.610673427581787,3.363699197769165,1,0,0.0,,5.6,149,78,False,20.0,173,68,30,Hamstring injury - 75% chance of playing,2021-08-21T18:00:15.157762Z,65,0,0,,0,,215711.jpg,4.0,0,0,Bailey,1.9,False,,d,2,7,Aston Villa,21.0,105,58,4,30968,1143,79976,55876,0.4550370805314617,,,1.1601214765191072,0.3,4.1329079407912035,0.6,Bailey,0.1,0.3,0.1,,0.1,0.2,0.2,1.2,0.7,0.5,0.1,,,2.571,,26.863901615142822,0,2.4261474609375
496,,,0,,,0,,,0,,,,0,,,447715,,,0,0,0,0,0.0,439,175,,,0,3,0.5,0.5,0,Aaron,0.0,,,,,,2,2.2239718437194824,3.2460763454437256,,2.5319862365722656,2.286019086837769,2.2239718437194824,2.4410839080810547,2.8923184871673584,2.349026679992676,3.2357845306396484,0,0,,,0.0,450,174,False,0.0,445,171,0,,,45,0,0,,0,,447715.jpg,0.0,0,0,Ramsey,0.2,False,,a,2,7,Aston Villa,0.0,410,160,0,1768,597,2582,1027,,,,,0.0,5.727840423583984,0.0,Ramsey,,,,,,,,,,,,,,,,25.77528190612793,0,2.345042943954468
497,1.3867410234545012,1.3867410234545012,0,,0.0,0,,0.0,0,,,0.3867410234545012,0,,0.0,481624,,,0,0,0,0,0.0,501,203,,,0,3,1.0,1.0,1,Jaden,0.5,,,,,1.0,2,1.941683053970337,2.963787317276001,,2.249697208404541,2.003730297088623,1.941683053970337,2.15879487991333,2.610029458999634,2.066737651824951,2.953495502471924,0,0,,0.0,0.0,506,202,False,0.0,500,199,4,,,50,0,0,,0,,481624.jpg,1.0,0,0,Philogene-Bidace,0.0,False,,a,2,7,Aston Villa,0.0,489,196,1,104,44,467,157,0.27734820469090027,,,0.620169439126379,0.1,4.590478467941284,0.2,Philogene-Bidace,0.0,0.0,,0.0,0.0,0.0,0.0,,0.7,0.0,,0.0,1.0,,1.0,22.95239233970642,0,2.062753915786743
526,,,0,,,0,,,0,,,,0,,,478912,,,0,0,0,0,0.0,446,179,,,0,3,0.5,0.5,0,Carney,0.0,,,,,,2,2.2239718437194824,3.2460763454437256,,2.5319862365722656,2.286019086837769,2.2239718437194824,2.4410839080810547,2.8923184871673584,2.349026679992676,3.2357845306396484,0,0,,,0.0,457,178,False,0.0,452,175,0,,,45,0,0,,0,,478912.jpg,0.0,0,0,Chukwuemeka,0.0,False,,a,2,7,Aston Villa,0.0,418,165,0,590,186,584,233,,,,,0.0,5.727840423583984,0.0,Chukwuemeka,,,,,,,,,,,,,,,,25.77528190612793,0,2.345042943954468
76,9.799501992889242,4.899750996444621,0,0.0,0.0,3,0.0,3.0,52,,,2.7995019928892426,2,1.0,1.0,61810,,,0,0,0,0,10.3,176,54,,,0,2,7.0,7.0,9,Pontus,7.5,,,,,2.0,2,4.053469657897949,4.06602954864502,,3.896827220916748,3.847645521163941,3.6598329544067374,3.149972677230835,3.149972677230835,2.940420866012573,3.974745273590088,0,0,0.0,0.0,3.8,198,69,False,25.0,155,67,180,,,45,0,0,,0,,61810.jpg,7.5,0,0,Jansson,1.0,False,,a,3,94,Brentford,2.0,211,62,15,35806,25196,8182,4541,1.0888335547654713,,,2.3097647704743562,1.7,8.158126778072782,3.3,Jansson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.6000000000000001,0.0,0.0,0.0,7.195246544376106,2.892520640593719,7.195246544376106,36.71157050132752,0,3.972654104232788
77,7.19987549822231,3.599937749111155,0,0.0,0.0,0,0.0,0.0,31,,,0.6998754982223107,2,1.0,1.0,128295,,,0,0,0,0,5.7,198,110,,,0,3,4.5,4.5,2,Christian,5.0,,,,,2.0,2,4.724709987640381,4.62160062789917,,3.5754644870758057,3.367661952972412,3.503122568130493,3.235678195953369,3.235678195953369,3.1442067623138428,4.147104263305664,0,1,1.0,0.0,9.2,81,46,False,46.0,65,30,180,,,50,0,0,,0,,128295.jpg,5.0,0,0,Nørgaard,1.3,False,,a,3,94,Brentford,40.0,52,30,10,76966,17100,21784,10431,0.719987549822231,,,1.6099411043560252,1.0,7.523485803604126,2.0,Nørgaard,0.0,0.0,0.0,0.0,0.7,0.7,0.35,1.5,0.6000000000000001,3.5,0.7,0.0,1.5488116360940265,5.72313016014843,1.5488116360940265,37.61742901802063,1,4.062201976776123
78,6.3,3.15,0,0.0,0.0,0,0.0,0.0,9,,,0.0,2,1.0,1.0,144485,,,0,0,0,0,17.2,123,16,2.0,,0,4,1.5,1.5,2,Ivan,2.0,,,,,2.0,2,4.348533630371094,4.245423793792725,,3.047399044036865,2.59158992767334,2.829706907272339,2.5541489124298096,2.6137890815734863,2.556555986404419,3.77092719078064,0,0,0.0,0.0,9.8,74,15,False,10.4,220,19,180,,,65,0,0,1.0,0,,144485.jpg,2.0,0,0,Toney,25.8,False,,a,3,94,Brentford,70.0,24,10,4,155726,23424,396763,266457,0.4846153846153846,,,1.2355316513705594,0.3,4.969471711378831,0.6,Toney,0.1,0.3,0.1,0.0,0.5,0.6,0.3,1.5,0.6000000000000001,2.0,0.0,0.5,4.0,2.3,4.0,32.3015661239624,0,3.7434916496276855
79,,,0,,,0,,,0,75.0,75.0,,0,,,154138,,,0,0,-1,1,0.0,512,209,,,0,3,-0.4,-0.4,0,Tariqe,0.0,,,,,,2,2.9984395503997803,3.0087313652038574,,2.485872268676758,2.3205130100250244,2.384136915206909,2.1577932834625244,2.217433452606201,2.160200357437134,2.917447090148926,0,0,,,0.0,517,208,False,0.0,512,206,0,Knock - 75% chance of playing,2021-08-19T18:30:11.430175Z,54,0,0,,0,,154138.jpg,0.0,0,0,Fosu-Henry,0.1,False,,d,3,94,Brentford,0.0,501,203,0,290,19,3466,912,,,,,0.0,4.718360194453487,0.0,Fosu,,,,,,,,,,,,,,,,25.479145050048828,0,2.828577756881714
80,8.799501992889242,4.399750996444621,0,0.0,0.0,1,1.0,0.0,56,,,2.7995019928892426,2,1.0,1.0,154561,,,0,0,0,0,0.0,382,34,,,0,1,6.5,6.5,6,David,7.0,,,,,2.0,2,4.030677795410156,4.043237686157227,,3.949872732162476,3.962445020675659,3.732780694961548,3.5449795722961426,3.5449795722961426,3.3166961669921875,3.9672036170959473,0,0,0.0,0.0,4.4,179,9,False,44.2,72,9,180,,,45,0,0,,0,,154561.jpg,7.0,0,6,Raya Martin,4.9,False,,a,3,94,Brentford,0.0,341,32,14,171302,64905,29877,12241,0.9777224436543602,,,2.074062510078841,1.6,8.463761594560411,3.1,Raya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.6000000000000001,0.0,0.0,0.0,4.195246544376106,4.89252064059372,4.195246544376106,38.08692717552185,0,3.994054317474365
81,9.59987549822231,4.799937749111155,0,0.0,0.0,3,3.0,0.0,41,,,0.6998754982223107,2,1.0,1.0,174932,2.0,,0,0,0,0,37.6,61,41,,,0,3,6.5,6.5,3,Sergi,7.0,,,,,2.0,2,3.959882259368897,4.097931385040283,,3.6055188179016113,3.509607553482056,3.4977638721466064,3.115840435028076,3.115840435028076,2.904162645339966,4.006647109985352,0,1,1.0,0.0,15.0,32,19,False,75.6,16,8,180,,,55,0,0,,0,,174932.jpg,7.0,0,0,Canós,3.3,False,,a,3,94,Brentford,37.0,60,34,14,191605,41735,46148,24152,0.8727159543838464,,,2.0467003331456692,1.3,6.471658706665039,2.5,Canós,0.3,0.8999999999999999,0.2,0.0999999999999999,0.2,0.5,0.25,1.5,0.6000000000000001,1.0,0.2,0.0,2.8488116360940263,6.82313016014843,2.8488116360940263,35.594122886657715,0,3.780928373336792
82,,,0,,,0,,,0,0.0,0.0,,0,,,183656,,,-1,1,-1,1,0.0,516,211,,,0,3,0.0,0.0,0,Pelenda Joshua,0.0,,,,,,2,2.9984395503997803,3.0087313652038574,,2.485872268676758,2.3205130100250244,2.384136915206909,2.1577932834625244,2.217433452606201,2.160200357437134,2.917447090148926,0,0,,,0.0,521,210,False,0.0,516,208,0,Hip injury - Unknown return date,2021-08-09T06:00:12.543954Z,54,0,0,2.0,0,,183656.jpg,0.0,0,0,Dasilva,0.0,False,,i,3,94,Brentford,0.0,505,205,0,87,24,806,152,,,,,0.0,4.718360194453487,0.0,Dasilva,,,,,,,,,,,,,,,,25.479145050048828,0,2.828577756881714
