id,adjusted points,adjusted points per game,assists,assists_week1,assists_week10,assists_week11,assists_week12,assists_week13,assists_week14,assists_week15,assists_week16,assists_week17,assists_week18,assists_week19,assists_week2,assists_week20,assists_week21,assists_week22,assists_week23,assists_week24,assists_week25,assists_week26,assists_week27,assists_week28,assists_week29,assists_week3,assists_week30,assists_week31,assists_week32,assists_week33,assists_week4,assists_week5,assists_week6,assists_week7,assists_week8,assists_week9,bonus,bonus_week1,bonus_week10,bonus_week11,bonus_week12,bonus_week13,bonus_week14,bonus_week15,bonus_week16,bonus_week17,bonus_week18,bonus_week19,bonus_week2,bonus_week20,bonus_week21,bonus_week22,bonus_week23,bonus_week24,bonus_week25,bonus_week26,bonus_week27,bonus_week28,bonus_week29,bonus_week3,bonus_week30,bonus_week31,bonus_week32,bonus_week33,bonus_week4,bonus_week5,bonus_week6,bonus_week7,bonus_week8,bonus_week9,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheet_points,clean_sheets,cleansheet_week1,cleansheet_week10,cleansheet_week11,cleansheet_week12,cleansheet_week13,cleansheet_week14,cleansheet_week15,cleansheet_week16,cleansheet_week17,cleansheet_week18,cleansheet_week19,cleansheet_week2,cleansheet_week20,cleansheet_week21,cleansheet_week22,cleansheet_week23,cleansheet_week24,cleansheet_week25,cleansheet_week26,cleansheet_week27,cleansheet_week28,cleansheet_week29,cleansheet_week3,cleansheet_week30,cleansheet_week31,cleansheet_week32,cleansheet_week33,cleansheet_week4,cleansheet_week5,cleansheet_week6,cleansheet_week7,cleansheet_week8,cleansheet_week9,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,form 10,form 15,form 20,form 5,games played,gameweek,gameweek 10 prediction,gameweek 11 prediction,gameweek 12 prediction,gameweek 13 prediction,gameweek 14 prediction,gameweek 15 prediction,gameweek 16 prediction,gameweek 17 prediction,gameweek 18 prediction,gameweek 19 prediction,gameweek 2 prediction,gameweek 20 prediction,gameweek 21 prediction,gameweek 22 prediction,gameweek 23 prediction,gameweek 24 prediction,gameweek 25 prediction,gameweek 26 prediction,gameweek 27 prediction,gameweek 28 prediction,gameweek 29 prediction,gameweek 3 prediction,gameweek 30 prediction,gameweek 31 prediction,gameweek 32 prediction,gameweek 33 prediction,gameweek 34 prediction,gameweek 35 prediction,gameweek 36 prediction,gameweek 37 prediction,gameweek 38 prediction,gameweek 39 prediction,gameweek 4 prediction,gameweek 40 prediction,gameweek 41 prediction,gameweek 42 prediction,gameweek 5 prediction,gameweek 6 prediction,gameweek 7 prediction,gameweek 8 prediction,gameweek 9 prediction,goals_conceded,goals_scored,goals_week1,goals_week10,goals_week11,goals_week12,goals_week13,goals_week14,goals_week15,goals_week16,goals_week17,goals_week18,goals_week19,goals_week2,goals_week20,goals_week21,goals_week22,goals_week23,goals_week24,goals_week25,goals_week26,goals_week27,goals_week28,goals_week29,goals_week3,goals_week30,goals_week31,goals_week32,goals_week33,goals_week4,goals_week5,goals_week6,goals_week7,goals_week8,goals_week9,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,team_name,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value,value form 10,value form 5,valuePoints metric,value_form,value_next10,value_season,web_name,xA,xA_points,xA_week1,xA_week10,xA_week11,xA_week12,xA_week13,xA_week14,xA_week15,xA_week16,xA_week17,xA_week18,xA_week19,xA_week2,xA_week20,xA_week21,xA_week22,xA_week23,xA_week24,xA_week25,xA_week26,xA_week27,xA_week28,xA_week29,xA_week3,xA_week30,xA_week31,xA_week32,xA_week33,xA_week4,xA_week5,xA_week6,xA_week7,xA_week8,xA_week9,xG,xG+xA,xG+xA per game,xGA_week1,xGA_week10,xGA_week11,xGA_week12,xGA_week13,xGA_week14,xGA_week15,xGA_week16,xGA_week17,xGA_week18,xGA_week19,xGA_week2,xGA_week20,xGA_week21,xGA_week22,xGA_week23,xGA_week24,xGA_week25,xGA_week26,xGA_week27,xGA_week28,xGA_week29,xGA_week3,xGA_week30,xGA_week31,xGA_week32,xGA_week33,xGA_week4,xGA_week5,xGA_week6,xGA_week7,xGA_week8,xGA_week9,xG_points,xG_week1,xG_week10,xG_week11,xG_week12,xG_week13,xG_week14,xG_week15,xG_week16,xG_week17,xG_week18,xG_week19,xG_week2,xG_week20,xG_week21,xG_week22,xG_week23,xG_week24,xG_week25,xG_week26,xG_week27,xG_week28,xG_week29,xG_week3,xG_week30,xG_week31,xG_week32,xG_week33,xG_week4,xG_week5,xG_week6,xG_week7,xG_week8,xG_week9,xPoints,xPoints week 1,xPoints week 10,xPoints week 11,xPoints week 12,xPoints week 13,xPoints week 14,xPoints week 15,xPoints week 16,xPoints week 17,xPoints week 18,xPoints week 19,xPoints week 2,xPoints week 20,xPoints week 21,xPoints week 22,xPoints week 23,xPoints week 24,xPoints week 25,xPoints week 26,xPoints week 27,xPoints week 28,xPoints week 29,xPoints week 3,xPoints week 30,xPoints week 31,xPoints week 32,xPoints week 33,xPoints week 4,xPoints week 5,xPoints week 6,xPoints week 7,xPoints week 8,xPoints week 9,xPoints_next10,yellow_cards,gameweek 43 prediction
451,32.058636424728164,2.4660489557483203,0,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,,,,0.0,0.0,0.0,209,100.0,100.0,11.45863642472816,4,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,,,1.0,0.0,0.0,432830,,,0,0,-2,2,46.4,343,120,,,1,2,4.1,8.2,15,Nathan,4.6,2.136396571736104,2.136396571736104,2.3368049321616016,2.419640608343592,13.0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,3.162787914276123,3.2578201293945312,2.889389514923096,5.079063892364502,3.045743703842163,0.0,,0.0,0.0,0.0,,,,,,18,2,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,1.0,0.0,1.0,,,,0.0,0.0,0.0,53.7,262,87,False,327.8,191,77,1130,,2022-03-13T01:00:21.096866Z,43,0,0,,0,,432830.jpg,3.2,1,0,Collins,0.1,False,,a,5,90,Burnley,162.0,214,53,42,13654,1740,12678,244,0.5734997571507722,0.4968364120316522,0.5627071182194401,1.1892344080304678,1.1,4.054605849953585,9.8,Collins,0.4,1.2000000000000002,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,0.0,0.4,0.0,0.9,1.3,0.1,,0.5999999999999996,2.299999999999999,1.8000000000000007,0.1000000000000014,0.6999999999999993,1.3000000000000007,0.5999999999999979,0.0,0.0,0.0,,2.0,1.6000000000000014,0.0,2.099999999999998,2.1000000000000014,1.6000000000000014,1.3999999999999986,2.200000000000003,2.0999999999999943,1.9000000000000057,,0.0,4.299999999999997,1.5,3.3999999999999986,,,,0.5,1.8999999999999984,1.6000000000000014,5.4,,,,,,0.0,0.0,,,,,,,,,,,,0.0,0.1999999999999999,0.1,0.0,,,0.0999999999999999,0.0999999999999999,0.3,,,,0.1,0.0,0.0,6.9334930798413055,,,,,,3.98634121516564,2.0901271721360497,,,,,,,,,,,,2.986387855766427,1.2,1.0898257130119309,-1.4017255231094632,,,1.6542742360488036,2.4925206405937192,6.9334930798413055,,,,5.026122638850533,2.798274476890541,1.8075860719786203,17.434805154800415,1,0.0
480,6.062867142265871,3.0314335711329354,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,37,100.0,100.0,1.7628671422658708,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,20066,,,0,0,0,0,30.0,374,2,,,0,1,-0.5,-1.0,0,Wayne,0.0,,2.824463602462536,2.824463602462536,,2.0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,3.683714866638184,3.6989920139312735,3.3907759189605717,6.526847839355469,3.588046073913574,0.0,,0.0,0.0,0.0,,,,,,6,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,9.3,424,28,False,62.8,400,30,180,,2021-10-28T12:30:12.207343Z,45,0,0,,0,,20066.jpg,2.0,0,8,Hennessey,0.3,False,,a,5,90,Burnley,0.0,582,54,4,22435,35,23910,85,0.6736519046962078,,,1.4290314899097674,0.0,4.641861491733128,0.9,Hennessey,0.1,0.3,,,,,,,,,,,,,0.1,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.1,0.05,,,,,,,,,,,,,2.0,1.6000000000000014,0.0,2.099999999999998,2.1000000000000014,1.6000000000000014,1.3999999999999986,2.200000000000003,2.0999999999999943,1.9000000000000057,,0.0,4.299999999999997,1.5,3.3999999999999986,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.841341132946451,2.8075860719786205,,,,,,,,,,,,,,,,,,,,20.888376712799072,0,0.0
533,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461096,,,0,0,0,0,0.0,657,80,,,0,4,-0.5,-1.0,0,Lewis,0.0,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,2.650878667831421,2.8265535831451416,2.3879873752593994,4.423799514770508,2.5676372051239014,0.0,,0.0,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,663,79,False,0.0,662,78,0,,,45,0,0,,0,,461096.jpg,0.0,0,0,Richardson,3.2,False,,a,5,90,Burnley,0.0,644,78,0,570917,5440,343853,4867,,,,,0.0,3.3015236324734163,0.0,Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.856856346130373,0,0.0
534,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461102,,,0,0,-1,1,0.0,511,191,,,0,2,-0.5,-1.0,0,Bobby,0.0,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,2.960579872131348,3.324299097061157,2.697688341140747,4.68053674697876,2.877338409423828,0.0,,0.0,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,531,191,False,0.0,527,191,0,,,39,0,0,,0,,461102.jpg,0.0,0,0,Thomas,0.3,False,,a,5,90,Burnley,0.0,475,183,0,31473,165,27224,167,,,,,0.0,4.241139094034831,0.0,Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.54044246673584,0,0.0
565,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461567,,,0,0,-1,1,0.0,512,192,,,0,2,-0.5,-1.0,0,Owen,0.0,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,2.960579872131348,3.324299097061157,2.697688341140747,4.68053674697876,2.877338409423828,0.0,,0.0,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,532,192,False,0.0,528,192,0,,,39,0,0,,0,,461567.jpg,0.0,0,0,Dodgson,0.1,False,,a,5,90,Burnley,0.0,476,184,0,11434,60,10444,77,,,,,0.0,4.241139094034831,0.0,Dodgson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.54044246673584,0,0.0
575,44.81888464123115,2.0372220291468706,1,,,,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,1,,,,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,145,100.0,100.0,4.847884641231145,4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17349,,,0,0,-2,2,110.3,253,143,,,0,3,0.9,1.8,1,Aaron,1.4,3.0598911563260938,2.999892386368258,2.714193474029936,2.4215668345958163,22.0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,2.485760450363159,2.489443778991699,2.374547243118286,4.453385353088379,2.465411901473999,0.0,,0.0,0.0,0.0,,,,,,21,2,,,,,,0.0,,0.0,,,,,1.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,41.4,300,135,False,167.0,309,132,1329,,2021-11-04T14:00:15.979548Z,48,0,0,,0,,17349.jpg,2.4,0,0,Lennon,0.1,False,,a,5,90,Burnley,138.0,234,122,52,28601,74,20785,891,0.4244212560722647,0.6374773242346029,0.504493090540795,0.9298603833418234,0.3,2.9726143181324005,10.8,Lennon,0.4,1.2000000000000002,,,,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.1,0.0,0.0,0.1999999999999999,0.0,,,0.1,0.0,0.0,0.0,,0.0,0.0,,,0.6,1.0,0.045454545454545456,,0.5999999999999996,2.299999999999999,1.8000000000000007,0.1000000000000014,0.6999999999999993,1.3000000000000007,0.5999999999999979,0.0,0.0,0.0,,2.0,1.6000000000000014,0.0,2.099999999999998,2.1000000000000014,1.6000000000000014,1.3999999999999986,2.200000000000003,2.0999999999999943,1.9000000000000057,1.5,0.0,4.299999999999997,1.5,3.3999999999999986,1.2999999999999998,1.1999999999999993,2.6000000000000014,0.5,1.8999999999999984,1.6000000000000014,3.0,,,,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.3999999999999999,0.0999999999999999,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.1,0.1,,,1.0,,,,,,1.0,,1.0,,,,,2.135335283236613,2.2018965179946552,,4.122456428252982,1.0,2.5018965179946555,6.246596963941607,5.381803158362334,2.7224564282529826,2.1495686192226344,,,4.313568559012201,2.22313016014843,1.0,1.0,,1.5,1.5,,,14.268548727035522,2,0.0
578,73.53888464123115,3.342676574601416,1,,0.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,7,,2.0,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,,0.0,3.0,194,100.0,100.0,4.847884641231145,5,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,149519,3.0,,0,0,-1,1,229.1,156,97,1.0,,2,3,3.1,6.2,3,Maxwel,3.6,4.191755190328173,4.0134775582915045,3.703449111153689,6.497660152085897,22.0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6446495056152335,3.904422044754028,3.4541733264923096,6.487607002258301,3.5191211700439453,0.0,,0.0,0.0,0.0,,,,,,20,7,,1.0,0.0,1.0,,0.0,0.0,,,,,,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,,0.0,1.0,,0.0,2.0,108.0,104,64,False,355.4,173,64,1476,,2022-02-24T03:00:13.057923Z,59,0,1,2.0,0,,149519.jpg,3.7,0,0,Cornet,1.3,False,,a,5,90,Burnley,495.0,64,36,82,595131,1253,496277,11862,0.5665553516273586,0.7104669814115547,1.1012983308620163,1.3761581675446468,0.6,3.5610123812142063,13.9,Cornet,1.3,3.9,,0.4,0.0,0.0,,0.0,0.0,,,,,,,0.0,,0.0999999999999999,0.0,0.0,0.0,0.0,0.0999999999999999,0.0,,,0.1,0.1999999999999999,0.3,,0.1,0.0,,0.0,0.0,5.1,6.3999999999999995,0.2909090909090909,,0.5999999999999996,2.299999999999999,1.8000000000000007,0.1000000000000014,0.6999999999999993,1.3000000000000007,0.5999999999999979,0.0,0.0,0.0,,2.0,1.6000000000000014,0.0,2.099999999999998,2.1000000000000014,1.6000000000000014,1.3999999999999986,2.200000000000003,2.0999999999999943,1.9000000000000057,,0.0,4.299999999999997,1.5,3.3999999999999986,,1.1999999999999993,2.6000000000000014,0.5,1.8999999999999984,1.6000000000000014,25.02,,0.1,0.0,0.0999999999999998,,0.0,0.1,,,,,,,0.5,,0.1,0.0,0.1,0.0999999999999996,0.3000000000000002,0.1,0.2999999999999998,,,0.2999999999999998,0.7999999999999998,1.0,,0.3,0.2,,0.4,0.2999999999999999,7.9333732699603265,,6.248811636094027,1.1002588437228038,2.6652988882215856,,2.49658530379141,1.5000000000000004,,,,,,,3.5,,2.9224564282529824,2.1224564282529816,2.701896517994656,1.4999999999999982,3.610803158362336,1.8000000000000005,3.6495686192226335,,,7.584568559012201,6.823130160148429,7.9333732699603265,,2.8,1.0,,3.0,6.701896517994655,21.00997304916382,2,0.0
585,42.49250356699403,2.8328335711329355,1,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,,6,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,,0.0,,3.0,,,,,,,234,100.0,100.0,13.22150356699403,5,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,,,,,,192290,,,0,0,-1,1,123.4,234,62,,,3,2,3.1,6.2,16,Connor,3.6,3.534234972499861,3.640411721445647,3.3763705493010816,3.262013930926882,15.0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2156248092651367,3.293745279312134,2.9422264099121094,5.213878154754639,3.0985805988311768,0.0,,0.0,0.0,0.0,,,,,,16,1,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,1.0,,,,,,,40.2,305,103,False,232.4,263,102,1194,,2021-12-10T14:30:14.118965Z,44,0,0,,0,,192290.jpg,3.7,0,0,Roberts,0.5,False,,a,5,90,Burnley,46.0,346,121,56,98196,998,57965,2173,0.6438258116211216,0.8032352210226956,0.7413668024833822,1.3505004158171232,0.8,4.037285284562544,12.7,Roberts,0.3,0.8999999999999999,,,,,,,0.0,,,,,,,,,0.0,0.0,0.2,0.0999999999999999,0.0,0.0,0.0,,,0.0,,0.0,,,,,,,0.1,0.4,0.02666666666666667,,,,,,,1.3000000000000007,0.5999999999999979,0.0,0.0,0.0,,2.0,1.6000000000000014,0.0,2.099999999999998,2.1000000000000014,1.6000000000000014,1.3999999999999986,2.200000000000003,2.0999999999999943,1.9000000000000057,,0.0,4.299999999999997,1.5,3.3999999999999986,,,,,,,0.6000000000000001,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.1,0.0,0.0,,,0.0,,0.0,,,,,,,6.133493079841305,,,,,,,1.0,,,,,,,,,4.489825713011928,2.489825713011927,3.4075860719786206,8.057387855766427,4.043212633449334,0.4898257130119304,1.5982744768905368,,,2.054274236048804,,6.133493079841305,,,,,,,17.764055252075195,1,0.0
700,42.842000000000006,3.060142857142857,2,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,6,,,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,0.0,0.0,,,0.0,0.0,3.0,,,,,,,113,100.0,100.0,0.0,5,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,,,,,,,120202,,,0,0,-1,1,114.9,248,39,,,1,4,2.3,4.6,10,Wout,2.8,4.360222222222222,4.360222222222222,4.360222222222222,3.95,14.0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1904079914093018,3.1609883308410645,3.033048152923584,5.676424026489258,3.0979957580566406,0.0,,0.0,0.0,0.0,,,,,,15,2,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,1.0,,,,,,,51.6,268,41,False,162.4,319,40,1133,,2022-02-13T22:00:17.195834Z,64,0,0,,0,,120202.jpg,3.1,0,0,Weghorst,6.4,False,,a,5,90,Burnley,240.0,161,45,44,1262152,11606,672352,35461,0.4781473214285714,0.6812847222222221,0.6171875,1.2096276742583367,0.4,2.8373225405812263,6.9,Weghorst,0.7,2.1,,,,,,,,,,,,,,,,,0.4,0.0,0.0999999999999999,0.0,0.0,0.0,,,0.0,0.0,0.1999999999999999,,,,,,,2.3,3.0,0.21428571428571427,,,,,,,,,,,,,,,,2.099999999999998,2.1000000000000014,1.6000000000000014,1.3999999999999986,2.200000000000003,2.0999999999999943,1.9000000000000057,,0.0,4.299999999999997,1.5,3.3999999999999986,,,,,,,9.2,,,,,,,,,,,,,,,,,0.0999999999999999,0.5,0.1,0.2999999999999998,0.1,0.0,,,0.0,0.1,0.6999999999999997,,,,,,,9.4,,,,,,,,,,,,,,,,,4.371,4.0,8.471,4.199999999999999,2.4000000000000004,2.0,,,3.0,1.4000000000000004,9.4,,,,,,,18.15886425971985,3,0.0
708,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514229,,,0,0,0,0,0.0,568,48,,,0,1,-0.5,-1.0,0,Sam,0.0,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,3.492693901062012,3.587690830230713,3.2656946182250977,5.82622766494751,3.409452438354492,0.0,,0.0,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,586,69,False,0.0,582,69,0,,,40,0,0,,0,,514229.jpg,0.0,0,0,Waller,0.0,False,,a,5,90,Burnley,0.0,533,34,0,2187,67,1495,52,,,,,0.0,4.895439863204956,0.0,Waller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.581759452819824,0,0.0
726,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530873,,,0,0,0,0,0.0,683,283,,,0,3,0.8,1.6,0,Dara,0.0,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4147117137908936,2.650022506713867,2.2769458293914795,4.312758445739746,2.391106605529785,0.0,,0.0,0.0,0.0,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,686,282,False,0.0,686,282,0,,,45,0,0,,0,,530873.jpg,0.0,0,0,Costelloe,0.0,False,,a,5,90,Burnley,0.0,669,282,0,4,4,0,0,,,,,0.0,3.1212322447035046,0.0,Costelloe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.045545101165771,0,0.0
