,learning_rate,depth,objective,test RMSE
0,0.0014030375083286856,6,RMSE,3.020911167566962
1,0.1855146446280621,10,RMSE,2.9339401653722255
2,0.05114503120667693,7,RMSE,2.903897688962531
3,0.0031040704974251944,5,RMSE,2.9096235612693264
4,0.2219051024318804,5,RMSE,2.9079575936482005
5,0.08018271390321453,3,RMSE,2.900809873219628
6,0.044854415561860435,5,RMSE,2.899896348543912
7,0.11546977941903151,10,RMSE,2.921550155774653
8,0.03311466418774406,7,RMSE,2.901179402448105
9,0.08579541792627049,10,RMSE,2.92146259124352
10,0.01311638326108287,3,RMSE,2.9008864679842454
11,0.024435853173768254,3,RMSE,2.8994451322752326
12,0.01774700128096858,4,RMSE,2.899279361397094
13,0.012074910207625219,3,RMSE,2.901564401851681
14,0.019644872355015188,4,RMSE,2.8997667745762006
15,0.008280198856338331,4,RMSE,2.8995076384915883
16,0.006035600613857808,4,RMSE,2.9003048220470995
17,0.027662349472063256,8,RMSE,2.9054842551984668
18,0.023487317788601043,6,RMSE,2.899633779530874
19,0.01567735200361338,4,RMSE,2.9012681541278953
20,0.0046838932540605996,8,RMSE,2.904633778802694
21,0.010746520018420639,4,RMSE,2.8993427989234326
22,0.010235970037776005,3,RMSE,2.900099668460201
23,0.018582832387368554,5,RMSE,2.8995427550851236
24,0.036534017794022926,4,RMSE,2.898742772702277
25,0.040674855368488506,4,RMSE,2.901124438876361
26,0.009171789760648183,6,RMSE,2.9005994276337947
27,0.01592450098040607,5,RMSE,2.8998865355530286
28,0.05624920178327158,4,RMSE,2.8984390410966396
29,0.06679069923066044,6,RMSE,2.9008857325340056
30,0.03339218014905674,6,RMSE,2.900371576917061
31,0.05401996127448049,4,RMSE,2.9004738013023355
32,0.03275154029488278,4,RMSE,2.899428528256866
33,0.1308282008583896,5,RMSE,2.905110197426759
34,0.056678768361087595,3,RMSE,2.9011620536686036
35,0.281721251022035,5,RMSE,2.9111457545751778
36,0.0012855249428149593,4,RMSE,3.0471925544423923
37,0.0020549874584157315,3,RMSE,2.944530537714774
38,0.0214025130399479,5,RMSE,2.8990716152585065
39,0.04167364957369113,5,RMSE,2.9017967786099392
40,0.021468538007030462,5,RMSE,2.9000946281369897
41,0.02742146936613641,4,RMSE,2.899161768052839
42,0.04160543190591845,4,RMSE,2.8995159299328543
43,0.028252524687590024,5,RMSE,2.898941921072284
44,0.03069953758450052,7,RMSE,2.9020540619596114
45,0.06178556596991426,5,RMSE,2.9023059141262317
46,0.027521160086602336,7,RMSE,2.9016155166323783
47,0.07270340047734224,5,RMSE,2.9017724977279538
48,0.09126384819630139,3,RMSE,2.901215750383905
49,0.045170267005579856,5,RMSE,2.8998179662753136
50,0.02247801154132106,8,RMSE,2.9035183788768424
51,0.01685844326829406,4,RMSE,2.897498364110973
52,0.016407989234210416,4,RMSE,2.8991680835268143
53,0.025179881536894235,4,RMSE,2.8988359105131183
54,0.012346126271886132,3,RMSE,2.9013953783758293
55,0.0349202349953265,4,RMSE,2.901128796342611
56,0.024525369524310357,5,RMSE,2.8989966554714117
57,0.04712268173722826,9,RMSE,2.911248898549166
58,0.013762897216498138,6,RMSE,2.900298655386522
59,0.019142963658995295,4,RMSE,2.899616763311575
60,0.02760286692448637,3,RMSE,2.899902513745623
61,0.02112353649486793,5,RMSE,2.900772398126547
62,0.023201864366058898,5,RMSE,2.898997240700811
63,0.03659205862712475,6,RMSE,2.901355217847864
64,0.04890843300449273,4,RMSE,2.899727853791436
65,0.02517526968411626,4,RMSE,2.898561203546117
66,0.015098837986862696,4,RMSE,2.899347999181628
67,0.03690183727713275,3,RMSE,2.8999204228046316
68,0.017263619020390353,4,RMSE,2.8985506821681053
69,0.01728257176226793,4,RMSE,2.8989796583321317
70,0.013449301798994982,3,RMSE,2.9011425696960074
71,0.017326341903300894,4,RMSE,2.898779693222162
72,0.017925765586134016,4,RMSE,2.8987581953891555
73,0.010484024909556876,4,RMSE,2.8993180433883525
74,0.018149109593050848,4,RMSE,2.8988972078318263
75,0.014132602789656099,4,RMSE,2.899901832811287
76,0.011586132228792541,3,RMSE,2.9001760535039125
77,0.008597408108150115,4,RMSE,2.899555493287678
78,0.01871033548634076,4,RMSE,2.8981992073810554
79,0.017476373068506242,3,RMSE,2.899041576544895
80,0.019914134646111244,4,RMSE,2.899951893112996
81,0.02469558051857154,4,RMSE,2.899934171871604
82,0.030479290407943147,4,RMSE,2.89868377762191
83,0.031028114775600288,4,RMSE,2.90016664572829
84,0.01587205770141892,4,RMSE,2.8994568061936414
85,0.054392590206493646,3,RMSE,2.899000944501517
86,0.03893679849820208,4,RMSE,2.9003309307706573
87,0.020397784829497202,5,RMSE,2.9003257486526617
88,0.029689692251274834,3,RMSE,2.8991988217601037
89,0.03359937953497385,4,RMSE,2.8989961870430676
90,0.01279672046776722,4,RMSE,2.900086629447044
91,0.025373916096564423,4,RMSE,2.898699259961173
92,0.025571997187399158,4,RMSE,2.899718573280663
93,0.015522297348836922,4,RMSE,2.900694653560266
94,0.0222554977225223,4,RMSE,2.899933639550104
95,0.019174843237087846,4,RMSE,2.898373915545959
96,0.042609604770223665,5,RMSE,2.8991235552989743
97,0.030344751494724497,3,RMSE,2.899777504900019
98,0.01851398937315082,5,RMSE,2.8994344246985237
99,0.021385403162316952,4,RMSE,2.90046225383594
