,learning_rate,depth,objective,l2_leaf_reg,random_strength,test RMSE
0,0.15234135207878086,4,RMSE,0.06743447252328767,3.914793297043034,2.9037090818931217
1,0.08665323854129828,6,RMSE,0.5728171607080217,0.12851499307219735,2.9035979508278373
2,0.04179584459871119,3,RMSE,0.010740698006777209,0.3969344925988339,2.8985733831320877
3,0.005351593843859821,9,RMSE,0.0305660904865765,8.149012074078263,2.9058171242014987
4,0.2819852264334425,5,RMSE,0.012568378683439645,0.13682044774041707,2.913023619743886
5,0.005708318662338334,9,RMSE,0.004109326351203572,0.49224556802614267,2.9042404683588776
6,0.027925976136497034,8,RMSE,0.02183579001576685,3.143266055269298,2.90628954540514
7,0.0076066438001898854,3,RMSE,0.013683230289768741,0.008583662834687424,2.8968121961339364
8,0.01565708516703915,9,RMSE,0.002340981047896106,0.06282781343285176,2.9055029935786694
9,0.03381939063548858,10,RMSE,0.006009670656846492,0.11313886084226536,2.9130869811238096
10,0.0010553181032342583,3,RMSE,8.2906139355749,0.0034471094820361595,3.11089934490193
11,0.05739228011987574,3,RMSE,0.0012014540066391248,0.0063405828182686585,2.8976186478454897
12,0.01142402315529023,5,RMSE,0.0011761635239902221,0.004340784387410006,2.896260579792758
13,0.011056679351079731,5,RMSE,0.001319573129743794,0.0012906854402488063,2.897416106623983
14,0.007252323221759383,6,RMSE,0.0030714521284385334,0.011447080044927367,2.8973850255337545
15,0.0027684545728872243,4,RMSE,0.0010308505930298503,0.017524594756865918,2.9040399308292937
16,0.018038649799238783,7,RMSE,0.10849512346968236,0.0010054880524378214,2.9003698556899993
17,0.0029677966495963103,4,RMSE,0.004469603851513249,0.02205205758560883,2.901659462018932
18,0.013460735107435496,5,RMSE,0.008947953030787386,0.002624149765915904,2.896959897750638
19,0.024255751749973686,7,RMSE,0.0026707437207323242,0.006015426965313839,2.9009046819131443
20,0.020971299057667134,4,RMSE,0.0237153651173689,0.030788847860688064,2.895507669262108
21,0.010195523075642258,4,RMSE,0.027385460557869164,0.03278139181844467,2.895949809497993
22,0.02074775608194791,5,RMSE,0.050182762158105305,0.03635339340022043,2.8944941515019393
23,0.02104363473999045,4,RMSE,0.04948397072961757,0.03372169908631621,2.8943703875095403
24,0.024299870964863603,6,RMSE,0.06617385098821219,0.041180342021004124,2.9001179134042747
25,0.052349622358976125,4,RMSE,0.17042955759428846,0.01711550213122023,2.8981057147062645
26,0.019584547979165607,5,RMSE,0.04140191252334242,0.052509587858821115,2.894556853919288
27,0.036904245258977654,5,RMSE,0.2640116803974949,0.0739997292377841,2.897881187023354
28,0.01950019097384711,7,RMSE,0.047127930843914596,0.012581986849598477,2.9035032686799656
29,0.09917339228900342,6,RMSE,0.05948850114983775,0.04752077680697816,2.9073991923697378
30,0.0329165989612448,5,RMSE,0.10917666219965985,0.023704628058169714,2.8971413414066935
31,0.01857383872289653,4,RMSE,0.03713759634655056,0.0353091349133364,2.8955669126545174
32,0.023509981625312194,4,RMSE,0.019305772521415725,0.07782376031311647,2.895256336770099
33,0.05202832395997434,3,RMSE,0.01853299947356592,0.1828980380097479,2.9001396758818796
34,0.026231616855505402,5,RMSE,0.0360132425710494,0.06923424918790409,2.8965505880762765
