,learning_rate,depth,objective,l2_leaf_reg,subsample,colsample_bylevel,test RMSE
0,0.023516760140469002,6,RMSE,0.026751347462457952,0.3884709417011436,0.18512455510014986,2.901426694200939
1,0.02692710173955205,4,RMSE,0.06156854737866706,0.3241514927200645,0.31852385153739415,2.8988978976103636
2,0.07288939576741817,7,RMSE,0.08257789895160474,0.19971799406045626,0.8627008607323634,2.9100770960856583
3,0.09612052431530015,6,RMSE,0.01967181773308526,0.7122777452361575,0.4614586863571597,2.904259399234753
4,0.054906919976405094,4,RMSE,0.024104765722438103,0.9456056143533692,0.7948676661765214,2.897959511978253
5,0.016115405053179373,8,RMSE,0.055895760291633886,0.36362133277099384,0.16585057481030502,2.9047460371697227
6,0.04677627696314287,5,RMSE,0.06827390110848532,0.22230102178939765,0.4517241412150672,2.900533807704968
7,0.09372978762156119,8,RMSE,0.07845551134332843,0.7324638607447149,0.9596406730104134,2.909348712738993
8,0.08052896274864743,4,RMSE,0.05217886780154013,0.10151161702333174,0.387119486742574,2.9032133723030946
9,0.006593015484640521,8,RMSE,0.06679653332333271,0.5472822088863243,0.7570962271658604,2.900325806735516
10,0.05161755587419383,5,RMSE,0.0015886913804060501,0.9935994831157036,0.670389798971119,2.9002580428557323
11,0.036158862498110095,4,RMSE,0.09977202619072119,0.9023009817281507,0.6166458401098691,2.9010278546165367
12,0.0012648937284959819,4,RMSE,0.03716029900076096,0.5049458913430241,0.9924201062617676,3.050700269915325
13,0.05720380856789116,5,RMSE,0.042133379526750114,0.7082629518795328,0.30274508143383694,2.900153402678107
14,0.03226706046810213,4,RMSE,0.03436277462279036,0.848401930750656,0.5129060632795603,2.8970630251085296
15,0.034277217116981125,5,RMSE,0.023978055698930776,0.8331809595202825,0.5465920331794928,2.897835708528616
16,0.03823098771141001,5,RMSE,0.041098958982842236,0.8400758525521097,0.5408584137184757,2.8992321765360685
17,0.032759082638664304,5,RMSE,0.012177433020229503,0.8421832993573399,0.5619427722948083,2.8971296259994435
