,learning_rate,depth,objective,test RMSE
0,0.20508722577647318,10,RMSE,2.9331125581957416
1,0.4593951566835233,11,RMSE,2.9780625674746735
2,0.015649724871103565,11,MAE,3.0104747725451455
3,0.035314590916749024,4,MAE,3.104898488341888
4,0.016301569342015675,3,MAE,3.124290836064052
5,0.21772423421274315,4,MAE,3.0981534424969865
6,0.0024400224276296682,8,RMSE,2.926372731878516
7,0.2744032682481918,7,RMSE,2.9142536493759237
8,0.009585012571853586,6,RMSE,2.900656832302338
9,0.01681936674948177,6,MAE,3.0901055114470664
10,0.0013534208239765692,9,RMSE,3.045104487363317
11,0.05672299077653327,6,RMSE,2.900837586643339
12,0.044951055168310106,6,RMSE,2.9014497279594536
13,0.005737888382291319,6,RMSE,2.9011339178401165
14,0.08140762584051991,5,RMSE,2.9000761516992615
15,0.10029088514605781,4,RMSE,2.900749791766978
16,0.007503781626011181,5,RMSE,2.899449439075292
17,0.0066501270474262405,3,RMSE,2.9010560221215957
18,0.08761988778378799,5,RMSE,2.902132776291203
19,0.03380698073335253,8,RMSE,2.905407445139367
20,0.003764290615865669,5,RMSE,2.904578721133606
21,0.009456079343009377,7,RMSE,2.900598920718764
22,0.010913485123658244,7,RMSE,2.901396077641765
23,0.02470710250843909,5,RMSE,2.8986349370864035
24,0.02603967622804531,5,RMSE,2.8994849622353884
25,0.025221442386623792,4,RMSE,2.8992187151650297
26,0.023797711042387783,3,MAE,3.1151429677150397
27,0.020708803873734343,4,RMSE,2.9004412558484747
28,0.005420174000719158,12,RMSE,2.925954325204318
29,0.012564411618938476,4,RMSE,2.900192443229109
30,0.02392012068860286,3,RMSE,2.8987833977442605
31,0.025595441491436336,3,RMSE,2.899369043465674
32,0.027312283357167056,3,RMSE,2.8972732775633006
33,0.04364725417279374,3,RMSE,2.900178278235013
34,0.017343541780643103,4,RMSE,2.900076208199299
35,0.031199208856310952,3,MAE,3.1118289469500255
36,0.014557443692313397,4,RMSE,2.8991625503295877
37,0.01374498176734374,3,MAE,3.1311416759267714
38,0.01807635683392805,4,RMSE,2.8996312577333216
39,0.057043799017972206,10,MAE,3.014161752231472
40,0.012661364343557939,3,RMSE,2.8995737840678095
