id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,team_name,games played,adjusted points,xG,xG_points,clean_sheet_points,xA,xA_points,adjusted points per game,next10_xP,next1_xP,next5_xP
140,3,19,443,,,12,80146,0,0,0,0,445.6,67,6,0,4,1.8,,0,Jordan,0.0,45,9,192.4,39,14,False,597.4,74,11,3148,,,60,0,0,0,80146.jpg,3.6,0,0,Ayew,7.4,False,,a,6,31,885.0,31,16,132,0,0,0,0,0.0,22.0,Ayew,6,Crystal Palace,36.66666666666666,120.03362930077692,6.3,25.2,0.0,1.9,5.6999999999999975,3.2736444354757346,3.321813597554641,3.280611675684036,3.226400435006175
141,6,4,337,,,9,82403,0,0,0,0,588.0,33,27,0,3,2.4,,0,Wilfried,0.0,46,4,226.4,25,15,False,572.0,81,26,3279,,,70,0,0,0,82403.jpg,3.2,0,0,Zaha,6.8,False,,a,6,31,1103.0,19,8,120,0,0,0,0,0.0,17.1,Zaha,5,Crystal Palace,37.5,123.46582089161488,5.3,26.5,9.798562290061057,3.3,9.9,3.292421890443064,3.3893508912553436,3.341551682175992,3.2433544323423225
142,1,4,148,,,4,86417,0,0,0,0,101.9,227,129,0,3,1.8,,0,Jeffrey,0.0,16,3,60.8,231,114,False,240.0,241,102,1030,,,55,0,0,0,86417.jpg,3.0,0,0,Schlupp,0.1,False,,a,6,31,266.0,131,76,51,0,0,0,0,0.0,9.3,Schlupp,2,Crystal Palace,17.0,46.45322467175332,1.8,9.0,4.442014904827679,1.1,3.3000000000000003,2.7325426277501954,2.8153455941117533,2.7796292144332266,2.697329892244165
143,0,0,67,,,1,141020,0,0,0,0,68.9,259,136,0,3,1.4,,0,Max,0.0,11,0,23.8,311,137,False,68.0,330,141,645,,,50,0,0,0,141020.jpg,1.4,0,0,Meyer,0.1,False,,a,6,31,103.0,233,119,23,0,0,0,0,0.0,4.6,Meyer,1,Crystal Palace,16.42857142857143,31.892703479455317,0.7,3.5,4.292703479455319,0.7,2.1,1.941294994401628,2.0022256365060445,1.9852179442174926,1.9275344920854134
144,0,0,116,,,0,173954,0,0,0,0,47.1,285,146,0,3,1.0,,0,Jairo,0.0,9,0,19.1,324,141,False,117.0,305,130,761,,,45,0,0,0,173954.jpg,1.3,0,0,Riedewald,0.2,False,,a,6,31,27.0,301,146,22,0,0,0,0,0.0,4.9,Riedewald,0,Crystal Palace,16.923076923076927,28.12191528987371,0.1,0.5,4.4219152898737075,0.4,1.2000000000000002,1.6617495398561737,1.70893838146601,1.703684860641177,1.6614669059727767
145,0,0,0,0.0,,0,232423,0,0,0,0,0.0,374,142,0,2,0.0,,0,Nathan,0.0,0,0,0.0,393,143,False,0.0,393,143,0,Knee injury - Unknown return date,2020-08-26T09:30:07.992498Z,40,0,0,0,232423.jpg,0.0,0,0,Ferguson,4.5,False,,i,6,31,0.0,354,136,0,0,0,0,0,0.0,0.0,Ferguson,0,Crystal Palace,,,,,,,,,,,
146,0,0,23,,,0,244723,0,0,0,0,58.7,272,91,0,2,1.0,,0,Tyrick,0.0,4,0,9.7,344,124,False,36.4,346,126,193,,,40,0,0,0,244723.jpg,1.0,0,0,Mitchell,7.8,False,,a,6,31,2.0,334,127,4,0,0,0,0,0.0,1.0,Mitchell,1,Crystal Palace,4.0,8.780719910426049,0.0,0.0,4.180719910426051,0.2,0.6000000000000001,2.1951799776065126,2.3695417540826886,2.360839356175113,2.20816658137181
147,0,0,7,,,0,466955,0,0,0,0,21.0,321,153,0,3,1.0,,0,Brandon,0.0,0,0,2.9,364,154,False,6.4,371,157,13,,,45,0,0,0,466955.jpg,1.0,0,0,Pierrick,0.1,False,,a,6,31,2.0,336,157,2,0,0,0,0,0.0,0.4,Pierrick,0,Crystal Palace,2.0,,,,0.5225899888032564,,,,,,
486,1,3,253,,,5,19188,0,0,0,0,58.3,274,92,0,2,1.6,,0,Scott,0.0,14,0,48.6,262,86,False,250.2,233,90,1264,,,45,0,0,0,19188.jpg,3.2,0,0,Dann,0.2,False,,a,6,31,177.0,186,43,51,0,0,0,0,0.0,11.3,Dann,0,Crystal Palace,15.9375,49.26876566002944,0.4,2.4000000000000004,16.657555893103794,0.5,1.5,3.09137353160969,3.2711485694629676,3.2578158902156598,3.099050843869715
489,0,0,0,75.0,,0,232413,0,0,0,0,0.0,498,205,0,3,1.6,,0,Eberechi,0.0,0,0,0.0,498,205,False,0.0,498,205,0,Groin Injury - 75% chance of playing,2020-09-06T03:00:11.308404Z,60,0,0,0,232413.jpg,0.0,0,0,Eze,1.5,False,,d,6,31,0.0,498,205,0,0,0,0,0,0.0,0.0,Eze,0,Crystal Palace,,,,,,,,,,,
