,name,team,opp_team,was_home,gameweek,xP,std
0,Granit Xhaka,Arsenal,Tottenham,0,20,2.5664582,0.12108718
1,Granit Xhaka,Arsenal,Manchester Utd,1,21,2.787487,0.12070865
2,Granit Xhaka,Arsenal,Everton,0,22,3.1606228,0.08358679
3,Granit Xhaka,Arsenal,Brentford,1,23,2.8970737,0.14013259
4,Granit Xhaka,Arsenal,Manchester City,1,23,2.413632,0.13957813
5,Granit Xhaka,Arsenal,Aston Villa,0,24,2.91792,0.14907232
6,Granit Xhaka,Arsenal,Leicester City,0,25,2.8236141,0.11595698
7,Granit Xhaka,Arsenal,Bournemouth,1,26,3.454403,0.10758648
8,Granit Xhaka,Arsenal,Fulham,0,27,2.9029782,0.16795821
9,Granit Xhaka,Arsenal,Crystal Palace,1,28,3.3503165,0.11603795
10,Granit Xhaka,Arsenal,Leeds United,1,29,3.1823475,0.11654681
11,Mohamed Elneny,Arsenal,Tottenham,0,20,2.1137638,0.22527823
12,Mohamed Elneny,Arsenal,Manchester Utd,1,21,2.2888381,0.19489825
13,Mohamed Elneny,Arsenal,Everton,0,22,2.4778137,0.18784288
14,Mohamed Elneny,Arsenal,Brentford,1,23,2.3366678,0.20454572
15,Mohamed Elneny,Arsenal,Manchester City,1,23,1.9801226,0.17920099
16,Mohamed Elneny,Arsenal,Aston Villa,0,24,2.317351,0.18411566
17,Mohamed Elneny,Arsenal,Leicester City,0,25,2.2832906,0.18886085
18,Mohamed Elneny,Arsenal,Bournemouth,1,26,2.6909657,0.18244626
19,Mohamed Elneny,Arsenal,Fulham,0,27,2.328116,0.18264979
20,Mohamed Elneny,Arsenal,Crystal Palace,1,28,2.6007717,0.21612568
21,Mohamed Elneny,Arsenal,Leeds United,1,29,2.5650597,0.21486902
22,Rob Holding,Arsenal,Tottenham,0,20,2.1576529,0.2435261
23,Rob Holding,Arsenal,Manchester Utd,1,21,2.3536599,0.21732631
24,Rob Holding,Arsenal,Everton,0,22,2.7056105,0.21610291
25,Rob Holding,Arsenal,Brentford,1,23,2.4181209,0.23730975
26,Rob Holding,Arsenal,Manchester City,1,23,1.9069111,0.22618414
27,Rob Holding,Arsenal,Aston Villa,0,24,2.4455469,0.21655388
28,Rob Holding,Arsenal,Leicester City,0,25,2.3778012,0.21977852
29,Rob Holding,Arsenal,Bournemouth,1,26,2.9362268,0.19627237
30,Rob Holding,Arsenal,Fulham,0,27,2.456512,0.2056685
31,Rob Holding,Arsenal,Crystal Palace,1,28,2.825969,0.2386511
32,Rob Holding,Arsenal,Leeds United,1,29,2.6713593,0.20274939
33,Thomas Partey,Arsenal,Tottenham,0,20,2.4162169,0.10742942
34,Thomas Partey,Arsenal,Manchester Utd,1,21,2.620578,0.09459035
35,Thomas Partey,Arsenal,Everton,0,22,2.992439,0.10359245
36,Thomas Partey,Arsenal,Brentford,1,23,2.706814,0.14722496
37,Thomas Partey,Arsenal,Manchester City,1,23,2.269686,0.10219307
38,Thomas Partey,Arsenal,Aston Villa,0,24,2.7411084,0.12003646
39,Thomas Partey,Arsenal,Leicester City,0,25,2.6628609,0.091448985
40,Thomas Partey,Arsenal,Bournemouth,1,26,3.2441185,0.13971747
41,Thomas Partey,Arsenal,Fulham,0,27,2.7289681,0.13940778
