,name,team,opp_team,was_home,gameweek,xP,std
0,Granit Xhaka,Arsenal,Southampton,1,32,3.6009765,0.20806828
1,Granit Xhaka,Arsenal,Manchester City,0,33,2.2375503,0.08205987
2,Granit Xhaka,Arsenal,Chelsea,1,34,2.970447,0.12153774
3,Granit Xhaka,Arsenal,Newcastle Utd,0,35,2.7095637,0.104721345
4,Granit Xhaka,Arsenal,Brighton,1,36,2.7892587,0.19393735
5,Granit Xhaka,Arsenal,Nottingham Forest,0,37,3.2806802,0.23348834
6,Granit Xhaka,Arsenal,Wolves,1,38,3.5357451,0.18431811
7,Mohamed Elneny,Arsenal,Southampton,1,32,2.7028594,0.16177897
8,Mohamed Elneny,Arsenal,Manchester City,0,33,1.823246,0.1467461
9,Mohamed Elneny,Arsenal,Chelsea,1,34,2.3387523,0.18226318
10,Mohamed Elneny,Arsenal,Newcastle Utd,0,35,2.178264,0.19169898
11,Mohamed Elneny,Arsenal,Brighton,1,36,2.2770853,0.14155035
12,Mohamed Elneny,Arsenal,Nottingham Forest,0,37,2.512688,0.13054922
13,Mohamed Elneny,Arsenal,Wolves,1,38,2.6393044,0.19681576
14,Rob Holding,Arsenal,Southampton,1,32,3.0675614,0.08091022
15,Rob Holding,Arsenal,Manchester City,0,33,1.8179849,0.16002879
16,Rob Holding,Arsenal,Chelsea,1,34,2.4918723,0.13956405
17,Rob Holding,Arsenal,Newcastle Utd,0,35,2.331428,0.110070206
18,Rob Holding,Arsenal,Brighton,1,36,2.39189,0.15688013
19,Rob Holding,Arsenal,Nottingham Forest,0,37,2.790168,0.10392003
20,Rob Holding,Arsenal,Wolves,1,38,2.9963412,0.076351956
21,Thomas Partey,Arsenal,Southampton,1,32,3.0997522,0.11539376
22,Thomas Partey,Arsenal,Manchester City,0,33,2.0339584,0.08912242
23,Thomas Partey,Arsenal,Chelsea,1,34,2.6239643,0.12676762
24,Thomas Partey,Arsenal,Newcastle Utd,0,35,2.4186966,0.041337557
25,Thomas Partey,Arsenal,Brighton,1,36,2.480679,0.14278436
26,Thomas Partey,Arsenal,Nottingham Forest,0,37,2.8319013,0.121822216
27,Thomas Partey,Arsenal,Wolves,1,38,3.035161,0.089800395
28,Martin degaard,Arsenal,Southampton,1,32,5.750628,0.45363638
29,Martin degaard,Arsenal,Manchester City,0,33,3.7861404,0.503896
30,Martin degaard,Arsenal,Chelsea,1,34,4.583746,0.26247358
31,Martin degaard,Arsenal,Newcastle Utd,0,35,4.2885814,0.30470312
32,Martin degaard,Arsenal,Brighton,1,36,4.48722,0.77663237
33,Martin degaard,Arsenal,Nottingham Forest,0,37,5.4192414,0.5434102
34,Martin degaard,Arsenal,Wolves,1,38,5.6587577,0.48027253
35,Kieran Tierney,Arsenal,Southampton,1,32,3.066608,0.18710247
36,Kieran Tierney,Arsenal,Manchester City,0,33,1.8654537,0.16033532
37,Kieran Tierney,Arsenal,Chelsea,1,34,2.512342,0.17516923
38,Kieran Tierney,Arsenal,Newcastle Utd,0,35,2.3525987,0.1624886
39,Kieran Tierney,Arsenal,Brighton,1,36,2.4054122,0.12755097
40,Kieran Tierney,Arsenal,Nottingham Forest,0,37,2.8008823,0.14866506
41,Kieran Tierney,Arsenal,Wolves,1,38,3.0038526,0.1941707
42,Ben White,Arsenal,Southampton,1,32,4.192588,0.14671817
43,Ben White,Arsenal,Manchester City,0,33,2.3569975,0.17269406
44,Ben White,Arsenal,Chelsea,1,34,3.3219204,0.0716808
45,Ben White,Arsenal,Newcastle Utd,0,35,3.0993176,0.10283437
46,Ben White,Arsenal,Brighton,1,36,3.0688944,0.15892527
47,Ben White,Arsenal,Nottingham Forest,0,37,3.7754645,0.2186142
48,Ben White,Arsenal,Wolves,1,38,4.1023183,0.14443165
49,Eddie Nketiah,Arsenal,Southampton,1,32,3.6864839,0.18596205
50,Eddie Nketiah,Arsenal,Manchester City,0,33,2.255366,0.2366314
51,Eddie Nketiah,Arsenal,Chelsea,1,34,2.9432383,0.2580395
52,Eddie Nketiah,Arsenal,Newcastle Utd,0,35,2.8176494,0.23086067
53,Eddie Nketiah,Arsenal,Brighton,1,36,2.7628124,0.251968
54,Eddie Nketiah,Arsenal,Nottingham Forest,0,37,3.4484425,0.19800851
55,Eddie Nketiah,Arsenal,Wolves,1,38,3.6256592,0.21744789
56,Emile Smith Rowe,Arsenal,Southampton,1,32,2.9539444,0.22826104
57,Emile Smith Rowe,Arsenal,Manchester City,0,33,1.9317427,0.19811876
58,Emile Smith Rowe,Arsenal,Chelsea,1,34,2.444324,0.21450606
59,Emile Smith Rowe,Arsenal,Newcastle Utd,0,35,2.2959821,0.23447004
60,Emile Smith Rowe,Arsenal,Brighton,1,36,2.355179,0.15097156
61,Emile Smith Rowe,Arsenal,Nottingham Forest,0,37,2.719303,0.1821353
62,Emile Smith Rowe,Arsenal,Wolves,1,38,2.8903394,0.24456085
63,Bukayo Saka,Arsenal,Southampton,1,32,6.0034056,0.50293106
64,Bukayo Saka,Arsenal,Manchester City,0,33,4.3841705,0.660443
65,Bukayo Saka,Arsenal,Chelsea,1,34,4.9611254,0.54150665
66,Bukayo Saka,Arsenal,Newcastle Utd,0,35,4.7848644,0.47347972
67,Bukayo Saka,Arsenal,Brighton,1,36,4.8347015,0.70223206
68,Bukayo Saka,Arsenal,Nottingham Forest,0,37,5.9512057,0.7758429
69,Bukayo Saka,Arsenal,Wolves,1,38,5.997117,0.5648772
70,Takehiro Tomiyasu,Arsenal,Southampton,1,32,3.035111,0.14267622
71,Takehiro Tomiyasu,Arsenal,Manchester City,0,33,1.8279841,0.17171271
72,Takehiro Tomiyasu,Arsenal,Chelsea,1,34,2.4757335,0.1616079
73,Takehiro Tomiyasu,Arsenal,Newcastle Utd,0,35,2.3232198,0.16834064
74,Takehiro Tomiyasu,Arsenal,Brighton,1,36,2.3772564,0.127453
75,Takehiro Tomiyasu,Arsenal,Nottingham Forest,0,37,2.7614512,0.11837406
76,Takehiro Tomiyasu,Arsenal,Wolves,1,38,2.9627528,0.15492065
77,Aaron Ramsdale,Arsenal,Southampton,1,32,4.0838046,0.09028865
78,Aaron Ramsdale,Arsenal,Manchester City,0,33,2.3687103,0.13499328
79,Aaron Ramsdale,Arsenal,Chelsea,1,34,3.3026288,0.055765014
80,Aaron Ramsdale,Arsenal,Newcastle Utd,0,35,3.0399468,0.065998554
81,Aaron Ramsdale,Arsenal,Brighton,1,36,3.0956395,0.16328962
82,Aaron Ramsdale,Arsenal,Nottingham Forest,0,37,3.6971564,0.115275726
83,Aaron Ramsdale,Arsenal,Wolves,1,38,4.0031857,0.12304875
84,Gabriel Dos Santos,Arsenal,Southampton,1,32,4.435705,0.12076148
85,Gabriel Dos Santos,Arsenal,Manchester City,0,33,2.6018374,0.1534085
86,Gabriel Dos Santos,Arsenal,Chelsea,1,34,3.618817,0.08976262
87,Gabriel Dos Santos,Arsenal,Newcastle Utd,0,35,3.419416,0.06181262
88,Gabriel Dos Santos,Arsenal,Brighton,1,36,3.382957,0.19211374
89,Gabriel Dos Santos,Arsenal,Nottingham Forest,0,37,4.037524,0.18041341
90,Gabriel Dos Santos,Arsenal,Wolves,1,38,4.347459,0.12882763
91,Nuno Tavares,Arsenal,Southampton,1,32,3.345689,0.107347496
92,Nuno Tavares,Arsenal,Manchester City,0,33,1.9507412,0.13555393
93,Nuno Tavares,Arsenal,Chelsea,1,34,2.6706269,0.13278776
94,Nuno Tavares,Arsenal,Newcastle Utd,0,35,2.4931006,0.092017956
95,Nuno Tavares,Arsenal,Brighton,1,36,2.510984,0.16946119
96,Nuno Tavares,Arsenal,Nottingham Forest,0,37,3.0174217,0.12470067
97,Nuno Tavares,Arsenal,Wolves,1,38,3.2736878,0.11045305
98,Martinelli,Arsenal,Southampton,1,32,5.5944967,0.30213666
99,Martinelli,Arsenal,Manchester City,0,33,3.6343093,0.16365033
100,Martinelli,Arsenal,Chelsea,1,34,4.531969,0.2100238
101,Martinelli,Arsenal,Newcastle Utd,0,35,4.2230067,0.22055165
102,Martinelli,Arsenal,Brighton,1,36,4.4587526,0.56554013
103,Martinelli,Arsenal,Nottingham Forest,0,37,5.2569995,0.42710075
104,Martinelli,Arsenal,Wolves,1,38,5.524867,0.35329095
105,Reiss Nelson,Arsenal,Southampton,1,32,3.570805,1.0808954
106,Reiss Nelson,Arsenal,Manchester City,0,33,2.4315233,1.0604709
107,Reiss Nelson,Arsenal,Chelsea,1,34,2.9475734,1.1046157
108,Reiss Nelson,Arsenal,Newcastle Utd,0,35,2.7992663,1.0604476
109,Reiss Nelson,Arsenal,Brighton,1,36,2.8377106,1.1116557
110,Reiss Nelson,Arsenal,Nottingham Forest,0,37,3.3052204,1.2191918
111,Reiss Nelson,Arsenal,Wolves,1,38,3.4911563,1.1102675
112,William Saliba,Arsenal,Southampton,1,32,4.36976,0.115194656
113,William Saliba,Arsenal,Manchester City,0,33,2.476406,0.14478897
114,William Saliba,Arsenal,Chelsea,1,34,3.4975376,0.13643257
115,William Saliba,Arsenal,Newcastle Utd,0,35,3.2882679,0.106419116
116,William Saliba,Arsenal,Brighton,1,36,3.2134347,0.18981025
117,William Saliba,Arsenal,Nottingham Forest,0,37,3.9424558,0.13175334
118,William Saliba,Arsenal,Wolves,1,38,4.281756,0.09587831
119,Gabriel Jesus,Arsenal,Southampton,1,32,5.459559,0.4531694
120,Gabriel Jesus,Arsenal,Manchester City,0,33,3.4174602,0.19857939
121,Gabriel Jesus,Arsenal,Chelsea,1,34,4.2081985,0.253683
122,Gabriel Jesus,Arsenal,Newcastle Utd,0,35,4.057522,0.15799849
123,Gabriel Jesus,Arsenal,Brighton,1,36,3.9536223,0.33972776
124,Gabriel Jesus,Arsenal,Nottingham Forest,0,37,5.1747847,0.3266426
125,Gabriel Jesus,Arsenal,Wolves,1,38,5.3644266,0.38989606
126,Leandro Trossard,Arsenal,Southampton,1,32,4.447642,0.26122764
127,Leandro Trossard,Arsenal,Manchester City,0,33,2.8547416,0.18272102
128,Leandro Trossard,Arsenal,Chelsea,1,34,3.6262805,0.13840464
129,Leandro Trossard,Arsenal,Newcastle Utd,0,35,3.360558,0.15522178
130,Leandro Trossard,Arsenal,Brighton,1,36,3.5061347,0.33996153
131,Leandro Trossard,Arsenal,Nottingham Forest,0,37,4.09389,0.18813935
132,Leandro Trossard,Arsenal,Wolves,1,38,4.3902493,0.27542448
133,Oleksandr Zinchenko,Arsenal,Southampton,1,32,4.2532697,0.20028311
134,Oleksandr Zinchenko,Arsenal,Manchester City,0,33,2.4132705,0.1194026
135,Oleksandr Zinchenko,Arsenal,Chelsea,1,34,3.4659066,0.15644957
136,Oleksandr Zinchenko,Arsenal,Newcastle Utd,0,35,3.1872814,0.13419756
137,Oleksandr Zinchenko,Arsenal,Brighton,1,36,3.1659036,0.19205418
138,Oleksandr Zinchenko,Arsenal,Nottingham Forest,0,37,3.8504124,0.21425366
139,Oleksandr Zinchenko,Arsenal,Wolves,1,38,4.1794405,0.18481883
140,Ethan Nwaneri,Arsenal,Southampton,1,32,3.2209823,0.5523613
141,Ethan Nwaneri,Arsenal,Manchester City,0,33,1.9766626,0.25318712
142,Ethan Nwaneri,Arsenal,Chelsea,1,34,2.6944962,0.50143915
143,Ethan Nwaneri,Arsenal,Newcastle Utd,0,35,2.4206934,0.22771178
144,Ethan Nwaneri,Arsenal,Brighton,1,36,2.5885053,0.5043786
145,Ethan Nwaneri,Arsenal,Nottingham Forest,0,37,2.8306358,0.22642669
146,Ethan Nwaneri,Arsenal,Wolves,1,38,3.1466515,0.5338985
147,Jakub Kiwior,Arsenal,Southampton,1,32,3.2011266,0.6214847
148,Jakub Kiwior,Arsenal,Manchester City,0,33,1.9475491,0.36110705
149,Jakub Kiwior,Arsenal,Chelsea,1,34,2.7278774,0.5775972
150,Jakub Kiwior,Arsenal,Newcastle Utd,0,35,2.392941,0.326452
151,Jakub Kiwior,Arsenal,Brighton,1,36,2.6007543,0.5638461
152,Jakub Kiwior,Arsenal,Nottingham Forest,0,37,2.7534835,0.2362737
153,Jakub Kiwior,Arsenal,Wolves,1,38,3.132078,0.6134323
154,Philippe Coutinho,Aston Villa,Brentford,0,32,2.310278,0.115885764
155,Philippe Coutinho,Aston Villa,Fulham,1,33,2.845655,0.064465724
