,name,team,opp_team,was_home,gameweek,xP
0,Granit Xhaka,Arsenal,Fulham,1,4,3.220286
1,Granit Xhaka,Arsenal,Aston Villa,1,5,3.2825303
2,Granit Xhaka,Arsenal,Manchester Utd,0,6,2.638186
3,Granit Xhaka,Arsenal,Everton,1,7,2.923595
4,Granit Xhaka,Arsenal,Brentford,0,8,2.7106285
5,Granit Xhaka,Arsenal,Tottenham,1,9,2.532473
6,Granit Xhaka,Arsenal,Liverpool,1,10,2.2547085
7,Granit Xhaka,Arsenal,Leeds United,0,11,2.6622806
8,Granit Xhaka,Arsenal,Manchester City,1,12,2.22657
9,Granit Xhaka,Arsenal,Southampton,0,13,2.8704312
10,Rob Holding,Arsenal,Fulham,1,4,2.780088
11,Rob Holding,Arsenal,Aston Villa,1,5,2.973182
12,Rob Holding,Arsenal,Manchester Utd,0,6,2.297285
13,Rob Holding,Arsenal,Everton,1,7,2.8601918
14,Rob Holding,Arsenal,Brentford,0,8,2.4493785
15,Rob Holding,Arsenal,Tottenham,1,9,2.4100072
16,Rob Holding,Arsenal,Liverpool,1,10,1.8548189
17,Rob Holding,Arsenal,Leeds United,0,11,2.5518048
18,Rob Holding,Arsenal,Manchester City,1,12,2.0180764
19,Rob Holding,Arsenal,Southampton,0,13,2.994946
20,Thomas Partey,Arsenal,Fulham,1,4,3.110911
21,Thomas Partey,Arsenal,Aston Villa,1,5,3.0810485
22,Thomas Partey,Arsenal,Manchester Utd,0,6,2.3553581
23,Thomas Partey,Arsenal,Everton,1,7,2.8543558
24,Thomas Partey,Arsenal,Brentford,0,8,2.5774322
25,Thomas Partey,Arsenal,Tottenham,1,9,2.559191
26,Thomas Partey,Arsenal,Liverpool,1,10,2.4034615
27,Thomas Partey,Arsenal,Leeds United,0,11,2.738969
28,Thomas Partey,Arsenal,Manchester City,1,12,2.1979535
29,Thomas Partey,Arsenal,Southampton,0,13,2.9584603
30,Martin degaard,Arsenal,Fulham,1,4,4.7208605
31,Martin degaard,Arsenal,Aston Villa,1,5,5.495954
32,Martin degaard,Arsenal,Manchester Utd,0,6,5.1200266
33,Martin degaard,Arsenal,Everton,1,7,4.8984833
34,Martin degaard,Arsenal,Brentford,0,8,4.33732
35,Martin degaard,Arsenal,Tottenham,1,9,3.473039
36,Martin degaard,Arsenal,Liverpool,1,10,3.6489255
37,Martin degaard,Arsenal,Leeds United,0,11,4.087049
38,Martin degaard,Arsenal,Manchester City,1,12,3.4715796
39,Martin degaard,Arsenal,Southampton,0,13,4.3603597
40,Kieran Tierney,Arsenal,Fulham,1,4,3.6095943
41,Kieran Tierney,Arsenal,Aston Villa,1,5,3.410819
42,Kieran Tierney,Arsenal,Manchester Utd,0,6,3.0848303
43,Kieran Tierney,Arsenal,Everton,1,7,3.632322
44,Kieran Tierney,Arsenal,Brentford,0,8,2.8933423
45,Kieran Tierney,Arsenal,Tottenham,1,9,2.960318
46,Kieran Tierney,Arsenal,Liverpool,1,10,2.5847638
47,Kieran Tierney,Arsenal,Leeds United,0,11,2.9438105
48,Kieran Tierney,Arsenal,Manchester City,1,12,2.192323
49,Kieran Tierney,Arsenal,Southampton,0,13,3.5949671
50,Ben White,Arsenal,Fulham,1,4,3.7498012
51,Ben White,Arsenal,Aston Villa,1,5,3.5496674
52,Ben White,Arsenal,Manchester Utd,0,6,3.050263
53,Ben White,Arsenal,Everton,1,7,3.9402413
54,Ben White,Arsenal,Brentford,0,8,2.9759715
55,Ben White,Arsenal,Tottenham,1,9,2.836738
56,Ben White,Arsenal,Liverpool,1,10,2.6926167
57,Ben White,Arsenal,Leeds United,0,11,3.1132681
58,Ben White,Arsenal,Manchester City,1,12,2.4202201
59,Ben White,Arsenal,Southampton,0,13,3.6523285
60,Eddie Nketiah,Arsenal,Fulham,1,4,3.2040687
61,Eddie Nketiah,Arsenal,Aston Villa,1,5,3.0251036
62,Eddie Nketiah,Arsenal,Manchester Utd,0,6,2.473863
63,Eddie Nketiah,Arsenal,Everton,1,7,2.9546843
64,Eddie Nketiah,Arsenal,Brentford,0,8,2.721894
65,Eddie Nketiah,Arsenal,Tottenham,1,9,2.7432775
66,Eddie Nketiah,Arsenal,Liverpool,1,10,2.5966735
67,Eddie Nketiah,Arsenal,Leeds United,0,11,2.5665035
68,Eddie Nketiah,Arsenal,Manchester City,1,12,2.2229092
69,Eddie Nketiah,Arsenal,Southampton,0,13,3.170277
70,Emile Smith Rowe,Arsenal,Fulham,1,4,2.4403617
71,Emile Smith Rowe,Arsenal,Aston Villa,1,5,2.628071
72,Emile Smith Rowe,Arsenal,Manchester Utd,0,6,2.2406614
73,Emile Smith Rowe,Arsenal,Everton,1,7,2.802536
74,Emile Smith Rowe,Arsenal,Brentford,0,8,2.4647262
75,Emile Smith Rowe,Arsenal,Tottenham,1,9,2.4920456
76,Emile Smith Rowe,Arsenal,Liverpool,1,10,2.2917352
77,Emile Smith Rowe,Arsenal,Leeds United,0,11,2.6143973
78,Emile Smith Rowe,Arsenal,Manchester City,1,12,2.1633701
79,Emile Smith Rowe,Arsenal,Southampton,0,13,2.9796014
80,Bukayo Saka,Arsenal,Fulham,1,4,4.74949
81,Bukayo Saka,Arsenal,Aston Villa,1,5,4.544105
82,Bukayo Saka,Arsenal,Manchester Utd,0,6,3.9427223
83,Bukayo Saka,Arsenal,Everton,1,7,4.84057
84,Bukayo Saka,Arsenal,Brentford,0,8,3.9286242
85,Bukayo Saka,Arsenal,Tottenham,1,9,3.6321976
86,Bukayo Saka,Arsenal,Liverpool,1,10,3.5502489
87,Bukayo Saka,Arsenal,Leeds United,0,11,5.2423573
88,Bukayo Saka,Arsenal,Manchester City,1,12,3.4730566
89,Bukayo Saka,Arsenal,Southampton,0,13,4.7286363
90,Takehiro Tomiyasu,Arsenal,Fulham,1,4,2.886464
91,Takehiro Tomiyasu,Arsenal,Aston Villa,1,5,2.9404457
92,Takehiro Tomiyasu,Arsenal,Manchester Utd,0,6,2.4286604
93,Takehiro Tomiyasu,Arsenal,Everton,1,7,3.0336158
94,Takehiro Tomiyasu,Arsenal,Brentford,0,8,2.456719
95,Takehiro Tomiyasu,Arsenal,Tottenham,1,9,2.4003654
96,Takehiro Tomiyasu,Arsenal,Liverpool,1,10,2.1600204
97,Takehiro Tomiyasu,Arsenal,Leeds United,0,11,2.6137812
98,Takehiro Tomiyasu,Arsenal,Manchester City,1,12,1.9795127
99,Takehiro Tomiyasu,Arsenal,Southampton,0,13,3.0126479
100,Aaron Ramsdale,Arsenal,Fulham,1,4,3.750574
101,Aaron Ramsdale,Arsenal,Aston Villa,1,5,3.4712687
102,Aaron Ramsdale,Arsenal,Manchester Utd,0,6,3.0991092
103,Aaron Ramsdale,Arsenal,Everton,1,7,3.9946213
104,Aaron Ramsdale,Arsenal,Brentford,0,8,3.1419733
105,Aaron Ramsdale,Arsenal,Tottenham,1,9,2.9995713
106,Aaron Ramsdale,Arsenal,Liverpool,1,10,2.7949097
107,Aaron Ramsdale,Arsenal,Leeds United,0,11,3.4079378
108,Aaron Ramsdale,Arsenal,Manchester City,1,12,2.6708074
109,Aaron Ramsdale,Arsenal,Southampton,0,13,3.7471943
110,Gabriel Dos Santos,Arsenal,Fulham,1,4,4.354711
111,Gabriel Dos Santos,Arsenal,Aston Villa,1,5,4.002976
112,Gabriel Dos Santos,Arsenal,Manchester Utd,0,6,3.7448678
113,Gabriel Dos Santos,Arsenal,Everton,1,7,4.1864963
114,Gabriel Dos Santos,Arsenal,Brentford,0,8,3.3125556
115,Gabriel Dos Santos,Arsenal,Tottenham,1,9,3.1690469
116,Gabriel Dos Santos,Arsenal,Liverpool,1,10,3.73956
117,Gabriel Dos Santos,Arsenal,Leeds United,0,11,3.2190795
118,Gabriel Dos Santos,Arsenal,Manchester City,1,12,2.63477
119,Gabriel Dos Santos,Arsenal,Southampton,0,13,3.8180163
120,Nuno Tavares,Arsenal,Fulham,1,4,3.0595381
121,Nuno Tavares,Arsenal,Aston Villa,1,5,3.09865
122,Nuno Tavares,Arsenal,Manchester Utd,0,6,2.4018505
123,Nuno Tavares,Arsenal,Everton,1,7,2.9050784
124,Nuno Tavares,Arsenal,Brentford,0,8,2.5752776
125,Nuno Tavares,Arsenal,Tottenham,1,9,2.6042058
126,Nuno Tavares,Arsenal,Liverpool,1,10,2.12677
127,Nuno Tavares,Arsenal,Leeds United,0,11,2.5398414
128,Nuno Tavares,Arsenal,Manchester City,1,12,2.022478
129,Nuno Tavares,Arsenal,Southampton,0,13,2.9669812
130,Albert Sambi Lokonga,Arsenal,Fulham,1,4,2.328703
131,Albert Sambi Lokonga,Arsenal,Aston Villa,1,5,2.4763198
132,Albert Sambi Lokonga,Arsenal,Manchester Utd,0,6,2.1744168
133,Albert Sambi Lokonga,Arsenal,Everton,1,7,2.4451067
134,Albert Sambi Lokonga,Arsenal,Brentford,0,8,2.2646024
135,Albert Sambi Lokonga,Arsenal,Tottenham,1,9,2.3986611
136,Albert Sambi Lokonga,Arsenal,Liverpool,1,10,2.1478722
137,Albert Sambi Lokonga,Arsenal,Leeds United,0,11,2.320186
138,Albert Sambi Lokonga,Arsenal,Manchester City,1,12,2.1391847
139,Albert Sambi Lokonga,Arsenal,Southampton,0,13,2.6753848
140,Martinelli,Arsenal,Fulham,1,4,4.317202
141,Martinelli,Arsenal,Aston Villa,1,5,4.244505
142,Martinelli,Arsenal,Manchester Utd,0,6,3.8156078
143,Martinelli,Arsenal,Everton,1,7,4.560379
144,Martinelli,Arsenal,Brentford,0,8,4.031686
145,Martinelli,Arsenal,Tottenham,1,9,3.380907
146,Martinelli,Arsenal,Liverpool,1,10,3.6349707
147,Martinelli,Arsenal,Leeds United,0,11,3.7680826
148,Martinelli,Arsenal,Manchester City,1,12,3.1080759
149,Martinelli,Arsenal,Southampton,0,13,4.36779
150,Ainsley Maitland-Niles,Arsenal,Fulham,1,4,2.3018274
151,Ainsley Maitland-Niles,Arsenal,Aston Villa,1,5,2.52757
152,Ainsley Maitland-Niles,Arsenal,Manchester Utd,0,6,2.1857188
153,Ainsley Maitland-Niles,Arsenal,Everton,1,7,2.5005422
154,Ainsley Maitland-Niles,Arsenal,Brentford,0,8,2.2578483
155,Ainsley Maitland-Niles,Arsenal,Tottenham,1,9,2.3986611
156,Ainsley Maitland-Niles,Arsenal,Liverpool,1,10,2.1146219
157,Ainsley Maitland-Niles,Arsenal,Leeds United,0,11,2.3554792
158,Ainsley Maitland-Niles,Arsenal,Manchester City,1,12,2.131919
159,Ainsley Maitland-Niles,Arsenal,Southampton,0,13,2.6674016
160,Reiss Nelson,Arsenal,Fulham,1,4,2.4285204
161,Reiss Nelson,Arsenal,Aston Villa,1,5,2.7008235
162,Reiss Nelson,Arsenal,Manchester Utd,0,6,2.0196354
163,Reiss Nelson,Arsenal,Everton,1,7,2.7032595
164,Reiss Nelson,Arsenal,Brentford,0,8,2.3835726
165,Reiss Nelson,Arsenal,Tottenham,1,9,2.4298184
166,Reiss Nelson,Arsenal,Liverpool,1,10,2.1914587
167,Reiss Nelson,Arsenal,Leeds United,0,11,2.610565
168,Reiss Nelson,Arsenal,Manchester City,1,12,2.1385136
169,Reiss Nelson,Arsenal,Southampton,0,13,2.8953013
170,William Saliba,Arsenal,Fulham,1,4,3.6022818
171,William Saliba,Arsenal,Aston Villa,1,5,3.891208
172,William Saliba,Arsenal,Manchester Utd,0,6,3.7448678
173,William Saliba,Arsenal,Everton,1,7,4.0690536
174,William Saliba,Arsenal,Brentford,0,8,2.8802645
175,William Saliba,Arsenal,Tottenham,1,9,2.720595
176,William Saliba,Arsenal,Liverpool,1,10,3.3552682
177,William Saliba,Arsenal,Leeds United,0,11,2.798284
178,William Saliba,Arsenal,Manchester City,1,12,2.5699334
179,William Saliba,Arsenal,Southampton,0,13,3.031621
180,Gabriel Jesus,Arsenal,Fulham,1,4,4.843145
181,Gabriel Jesus,Arsenal,Aston Villa,1,5,5.1343713
182,Gabriel Jesus,Arsenal,Manchester Utd,0,6,4.3804693
183,Gabriel Jesus,Arsenal,Everton,1,7,4.690879
184,Gabriel Jesus,Arsenal,Brentford,0,8,4.0827475
185,Gabriel Jesus,Arsenal,Tottenham,1,9,3.8893912
186,Gabriel Jesus,Arsenal,Liverpool,1,10,3.6118965
187,Gabriel Jesus,Arsenal,Leeds United,0,11,4.735889
188,Gabriel Jesus,Arsenal,Manchester City,1,12,3.7375
189,Gabriel Jesus,Arsenal,Southampton,0,13,4.7273207
190,Oleksandr Zinchenko,Arsenal,Fulham,1,4,3.9726546
191,Oleksandr Zinchenko,Arsenal,Aston Villa,1,5,3.646673
192,Oleksandr Zinchenko,Arsenal,Manchester Utd,0,6,3.4407349
193,Oleksandr Zinchenko,Arsenal,Everton,1,7,4.1241293
194,Oleksandr Zinchenko,Arsenal,Brentford,0,8,3.276922
