,name,team,opp_team,was_home,gameweek,xP,std
0,Granit Xhaka,Arsenal,Leeds United,1,29,3.3926492,0.10934082
1,Granit Xhaka,Arsenal,Liverpool,0,30,2.536098,0.17475238
2,Granit Xhaka,Arsenal,West Ham,0,31,2.9584017,0.15314195
3,Granit Xhaka,Arsenal,Southampton,1,32,3.5932183,0.1530488
4,Granit Xhaka,Arsenal,Manchester City,0,33,2.2666337,0.09874022
5,Granit Xhaka,Arsenal,Chelsea,1,34,3.0243795,0.12436608
6,Granit Xhaka,Arsenal,Newcastle Utd,0,35,2.82397,0.36116508
7,Granit Xhaka,Arsenal,Brighton,1,36,2.8600445,0.1957446
8,Granit Xhaka,Arsenal,Nottingham Forest,0,37,3.404,0.2203102
9,Granit Xhaka,Arsenal,Wolves,1,38,3.59179,0.15448019
10,Mohamed Elneny,Arsenal,Leeds United,1,29,2.5493202,0.1453458
11,Mohamed Elneny,Arsenal,Liverpool,0,30,2.0088487,0.24865164
12,Mohamed Elneny,Arsenal,West Ham,0,31,2.258825,0.22785935
13,Mohamed Elneny,Arsenal,Southampton,1,32,2.6254022,0.19898035
14,Mohamed Elneny,Arsenal,Manchester City,0,33,1.8207834,0.21204294
15,Mohamed Elneny,Arsenal,Chelsea,1,34,2.3308344,0.22840098
16,Mohamed Elneny,Arsenal,Newcastle Utd,0,35,2.15546,0.23566872
17,Mohamed Elneny,Arsenal,Brighton,1,36,2.2511451,0.19465631
18,Mohamed Elneny,Arsenal,Nottingham Forest,0,37,2.563414,0.1667768
19,Mohamed Elneny,Arsenal,Wolves,1,38,2.6409726,0.17556946
20,Rob Holding,Arsenal,Leeds United,1,29,2.6958795,0.15413436
21,Rob Holding,Arsenal,Liverpool,0,30,2.0148776,0.27497402
22,Rob Holding,Arsenal,West Ham,0,31,2.3687015,0.24132976
23,Rob Holding,Arsenal,Southampton,1,32,2.865438,0.20402461
24,Rob Holding,Arsenal,Manchester City,0,33,1.7538002,0.24646094
25,Rob Holding,Arsenal,Chelsea,1,34,2.412607,0.22447623
26,Rob Holding,Arsenal,Newcastle Utd,0,35,2.235874,0.23060967
27,Rob Holding,Arsenal,Brighton,1,36,2.3208013,0.18286522
28,Rob Holding,Arsenal,Nottingham Forest,0,37,2.7599654,0.17768629
