,name,team,opp_team,was_home,gameweek,xP
0,Granit Xhaka,Arsenal,Tottenham,0,20,2.7049532
1,Granit Xhaka,Arsenal,Manchester Utd,1,21,2.9114702
2,Granit Xhaka,Arsenal,Everton,0,22,3.157759
3,Granit Xhaka,Arsenal,Brentford,1,23,2.9623957
4,Granit Xhaka,Arsenal,Manchester City,1,23,2.5023818
5,Granit Xhaka,Arsenal,Aston Villa,0,24,2.9665704
6,Granit Xhaka,Arsenal,Leicester City,0,25,2.5939648
7,Granit Xhaka,Arsenal,Bournemouth,1,26,3.585534
8,Granit Xhaka,Arsenal,Fulham,0,27,2.8828695
9,Granit Xhaka,Arsenal,Crystal Palace,1,28,3.2899916
10,Granit Xhaka,Arsenal,Leeds United,1,29,3.174817
11,Mohamed Elneny,Arsenal,Tottenham,0,20,1.8427817
12,Mohamed Elneny,Arsenal,Manchester Utd,1,21,2.029942
13,Mohamed Elneny,Arsenal,Everton,0,22,2.2930832
14,Mohamed Elneny,Arsenal,Brentford,1,23,2.398723
15,Mohamed Elneny,Arsenal,Manchester City,1,23,2.019831
16,Mohamed Elneny,Arsenal,Aston Villa,0,24,2.3211846
17,Mohamed Elneny,Arsenal,Leicester City,0,25,2.2681928
18,Mohamed Elneny,Arsenal,Bournemouth,1,26,2.7722497
19,Mohamed Elneny,Arsenal,Fulham,0,27,2.2309654
20,Mohamed Elneny,Arsenal,Crystal Palace,1,28,2.926985
21,Mohamed Elneny,Arsenal,Leeds United,1,29,2.7546515
22,Rob Holding,Arsenal,Tottenham,0,20,1.8483485
23,Rob Holding,Arsenal,Manchester Utd,1,21,2.065543
24,Rob Holding,Arsenal,Everton,0,22,2.6813068
25,Rob Holding,Arsenal,Brentford,1,23,2.4235663
26,Rob Holding,Arsenal,Manchester City,1,23,1.9898462
27,Rob Holding,Arsenal,Aston Villa,0,24,2.443895
28,Rob Holding,Arsenal,Leicester City,0,25,2.4031463
29,Rob Holding,Arsenal,Bournemouth,1,26,2.870521
30,Rob Holding,Arsenal,Fulham,0,27,2.4322886
