,name,team,opp_team,was_home,gameweek,xP
85,Eddie Nketiah,Arsenal,Manchester Utd,0,6,2.6077588
86,Eddie Nketiah,Arsenal,Everton,1,7,3.2610023
87,Eddie Nketiah,Arsenal,Brentford,0,8,2.7870252
88,Eddie Nketiah,Arsenal,Tottenham,1,9,2.3048906
89,Eddie Nketiah,Arsenal,Liverpool,1,10,2.6521661
90,Emile Smith Rowe,Arsenal,Crystal Palace,0,1,2.4491043
91,Emile Smith Rowe,Arsenal,Leicester City,1,2,2.7812538
92,Emile Smith Rowe,Arsenal,Bournemouth,0,3,2.7102365
93,Emile Smith Rowe,Arsenal,Fulham,1,4,2.9211996
94,Emile Smith Rowe,Arsenal,Aston Villa,1,5,2.7384496
95,Emile Smith Rowe,Arsenal,Manchester Utd,0,6,2.5602705
96,Emile Smith Rowe,Arsenal,Everton,1,7,3.1537416
97,Emile Smith Rowe,Arsenal,Brentford,0,8,2.610594
98,Emile Smith Rowe,Arsenal,Tottenham,1,9,2.361788
99,Emile Smith Rowe,Arsenal,Liverpool,1,10,2.5098832
100,Bukayo Saka,Arsenal,Crystal Palace,0,1,4.128421
101,Bukayo Saka,Arsenal,Leicester City,1,2,4.492983
102,Bukayo Saka,Arsenal,Bournemouth,0,3,4.204753
103,Bukayo Saka,Arsenal,Fulham,1,4,4.747644
104,Bukayo Saka,Arsenal,Aston Villa,1,5,4.5610776
105,Bukayo Saka,Arsenal,Manchester Utd,0,6,4.3152914
106,Bukayo Saka,Arsenal,Everton,1,7,4.920288
107,Bukayo Saka,Arsenal,Brentford,0,8,4.396153
108,Bukayo Saka,Arsenal,Tottenham,1,9,3.552638
109,Bukayo Saka,Arsenal,Liverpool,1,10,3.8886294
110,Takehiro Tomiyasu,Arsenal,Crystal Palace,0,1,3.2821584
111,Takehiro Tomiyasu,Arsenal,Leicester City,1,2,2.762013
112,Takehiro Tomiyasu,Arsenal,Bournemouth,0,3,3.1383662
113,Takehiro Tomiyasu,Arsenal,Fulham,1,4,3.5898051
114,Takehiro Tomiyasu,Arsenal,Aston Villa,1,5,3.197737
115,Takehiro Tomiyasu,Arsenal,Manchester Utd,0,6,2.583821
116,Takehiro Tomiyasu,Arsenal,Everton,1,7,3.6202123
117,Takehiro Tomiyasu,Arsenal,Brentford,0,8,2.8702176
118,Takehiro Tomiyasu,Arsenal,Tottenham,1,9,2.1768162
119,Takehiro Tomiyasu,Arsenal,Liverpool,1,10,2.6188052
120,Aaron Ramsdale,Arsenal,Crystal Palace,0,1,3.3410037
121,Aaron Ramsdale,Arsenal,Leicester City,1,2,3.3095744
122,Aaron Ramsdale,Arsenal,Bournemouth,0,3,3.2898836
123,Aaron Ramsdale,Arsenal,Fulham,1,4,3.8782225
124,Aaron Ramsdale,Arsenal,Aston Villa,1,5,3.6525161
125,Aaron Ramsdale,Arsenal,Manchester Utd,0,6,3.1665626
126,Aaron Ramsdale,Arsenal,Everton,1,7,3.7961123
127,Aaron Ramsdale,Arsenal,Brentford,0,8,3.2764297
128,Aaron Ramsdale,Arsenal,Tottenham,1,9,2.8201501
129,Aaron Ramsdale,Arsenal,Liverpool,1,10,3.009431
130,Gabriel dos Santos Magalhaes,Arsenal,Crystal Palace,0,1,3.5294063
131,Gabriel dos Santos Magalhaes,Arsenal,Leicester City,1,2,3.4699621
132,Gabriel dos Santos Magalhaes,Arsenal,Bournemouth,0,3,3.549008
133,Gabriel dos Santos Magalhaes,Arsenal,Fulham,1,4,4.045162
134,Gabriel dos Santos Magalhaes,Arsenal,Aston Villa,1,5,3.6914215
135,Gabriel dos Santos Magalhaes,Arsenal,Manchester Utd,0,6,3.1665626
136,Gabriel dos Santos Magalhaes,Arsenal,Everton,1,7,3.972342
137,Gabriel dos Santos Magalhaes,Arsenal,Brentford,0,8,3.4118204
138,Gabriel dos Santos Magalhaes,Arsenal,Tottenham,1,9,2.696065
139,Gabriel dos Santos Magalhaes,Arsenal,Liverpool,1,10,3.1079307
140,Albert Sambi Lokonga,Arsenal,Crystal Palace,0,1,2.1652083
141,Albert Sambi Lokonga,Arsenal,Leicester City,1,2,2.330737
142,Albert Sambi Lokonga,Arsenal,Bournemouth,0,3,2.3732347
143,Albert Sambi Lokonga,Arsenal,Fulham,1,4,2.5164218
144,Albert Sambi Lokonga,Arsenal,Aston Villa,1,5,2.4405894
145,Albert Sambi Lokonga,Arsenal,Manchester Utd,0,6,2.194303
146,Albert Sambi Lokonga,Arsenal,Everton,1,7,2.8108418
147,Albert Sambi Lokonga,Arsenal,Brentford,0,8,2.3405685
148,Albert Sambi Lokonga,Arsenal,Tottenham,1,9,2.3056858
149,Albert Sambi Lokonga,Arsenal,Liverpool,1,10,2.3411727
150,Gabriel Martinelli Silva,Arsenal,Crystal Palace,0,1,3.7774072
151,Gabriel Martinelli Silva,Arsenal,Leicester City,1,2,3.9500058
152,Gabriel Martinelli Silva,Arsenal,Bournemouth,0,3,3.6522334
153,Gabriel Martinelli Silva,Arsenal,Fulham,1,4,4.1941013
154,Gabriel Martinelli Silva,Arsenal,Aston Villa,1,5,3.8670428
155,Gabriel Martinelli Silva,Arsenal,Manchester Utd,0,6,2.9621222
156,Gabriel Martinelli Silva,Arsenal,Everton,1,7,3.7863052
157,Gabriel Martinelli Silva,Arsenal,Brentford,0,8,3.315498
158,Gabriel Martinelli Silva,Arsenal,Tottenham,1,9,2.8653839
159,Gabriel Martinelli Silva,Arsenal,Liverpool,1,10,3.323028
160,Ainsley Maitland-Niles,Arsenal,Crystal Palace,0,1,2.164157
161,Ainsley Maitland-Niles,Arsenal,Leicester City,1,2,2.351861
162,Ainsley Maitland-Niles,Arsenal,Bournemouth,0,3,2.3883107
163,Ainsley Maitland-Niles,Arsenal,Fulham,1,4,2.51379
164,Ainsley Maitland-Niles,Arsenal,Aston Villa,1,5,2.4652727
165,Ainsley Maitland-Niles,Arsenal,Manchester Utd,0,6,2.194303
166,Ainsley Maitland-Niles,Arsenal,Everton,1,7,2.8375564
167,Ainsley Maitland-Niles,Arsenal,Brentford,0,8,2.3375213
168,Ainsley Maitland-Niles,Arsenal,Tottenham,1,9,2.1870036
169,Ainsley Maitland-Niles,Arsenal,Liverpool,1,10,2.316806
170,Reiss Nelson,Arsenal,Crystal Palace,0,1,2.189195
171,Reiss Nelson,Arsenal,Leicester City,1,2,2.4979331
172,Reiss Nelson,Arsenal,Bournemouth,0,3,2.8997915
173,Reiss Nelson,Arsenal,Fulham,1,4,2.7787101
174,Reiss Nelson,Arsenal,Aston Villa,1,5,2.5115056
175,Reiss Nelson,Arsenal,Manchester Utd,0,6,2.33521
176,Reiss Nelson,Arsenal,Everton,1,7,2.9143932
177,Reiss Nelson,Arsenal,Brentford,0,8,2.592607
178,Reiss Nelson,Arsenal,Tottenham,1,9,2.1935983
179,Reiss Nelson,Arsenal,Liverpool,1,10,2.3783507
180,Gabriel Fernando de Jesus,Arsenal,Crystal Palace,0,1,3.6910017
181,Gabriel Fernando de Jesus,Arsenal,Leicester City,1,2,4.5479116
182,Gabriel Fernando de Jesus,Arsenal,Bournemouth,0,3,4.788025
183,Gabriel Fernando de Jesus,Arsenal,Fulham,1,4,4.6378145
184,Gabriel Fernando de Jesus,Arsenal,Aston Villa,1,5,4.827999
185,Gabriel Fernando de Jesus,Arsenal,Manchester Utd,0,6,3.932967
186,Gabriel Fernando de Jesus,Arsenal,Everton,1,7,5.202455
187,Gabriel Fernando de Jesus,Arsenal,Brentford,0,8,4.0431085
188,Gabriel Fernando de Jesus,Arsenal,Tottenham,1,9,3.8705132
189,Gabriel Fernando de Jesus,Arsenal,Liverpool,1,10,3.872501
190,Oleksandr Zinchenko,Arsenal,Crystal Palace,0,1,3.5889122
191,Oleksandr Zinchenko,Arsenal,Leicester City,1,2,3.4905407
192,Oleksandr Zinchenko,Arsenal,Bournemouth,0,3,3.5402417
193,Oleksandr Zinchenko,Arsenal,Fulham,1,4,3.926673
194,Oleksandr Zinchenko,Arsenal,Aston Villa,1,5,3.8141544
195,Oleksandr Zinchenko,Arsenal,Manchester Utd,0,6,2.9277356
196,Oleksandr Zinchenko,Arsenal,Everton,1,7,4.139596
197,Oleksandr Zinchenko,Arsenal,Brentford,0,8,3.0680826
198,Oleksandr Zinchenko,Arsenal,Tottenham,1,9,2.6665459
199,Oleksandr Zinchenko,Arsenal,Liverpool,1,10,3.0309129
200,Philippe Coutinho Correia,Aston Villa,Bournemouth,0,1,3.9927099
201,Philippe Coutinho Correia,Aston Villa,Everton,1,2,4.241689
202,Philippe Coutinho Correia,Aston Villa,Crystal Palace,0,3,3.7734149
203,Philippe Coutinho Correia,Aston Villa,West Ham,1,4,3.9804337
204,Philippe Coutinho Correia,Aston Villa,Arsenal,0,5,3.430262
205,Philippe Coutinho Correia,Aston Villa,Manchester City,1,6,3.3345366
206,Philippe Coutinho Correia,Aston Villa,Leicester City,0,7,4.0094485
207,Philippe Coutinho Correia,Aston Villa,Southampton,1,8,3.8801637
208,Philippe Coutinho Correia,Aston Villa,Leeds United,0,9,3.686624
209,Philippe Coutinho Correia,Aston Villa,Nottingham Forest,0,10,3.8352516
210,Danny Ings,Aston Villa,Bournemouth,0,1,3.4725573
211,Danny Ings,Aston Villa,Everton,1,2,3.8223786
212,Danny Ings,Aston Villa,Crystal Palace,0,3,3.5317142
213,Danny Ings,Aston Villa,West Ham,1,4,3.5155125
214,Danny Ings,Aston Villa,Arsenal,0,5,3.2628021
215,Danny Ings,Aston Villa,Manchester City,1,6,3.0187213
216,Danny Ings,Aston Villa,Leicester City,0,7,4.398789
217,Danny Ings,Aston Villa,Southampton,1,8,3.827615
218,Danny Ings,Aston Villa,Leeds United,0,9,3.4052415
219,Danny Ings,Aston Villa,Nottingham Forest,0,10,3.762703
220,Emiliano Martinez Romero,Aston Villa,Bournemouth,0,1,3.2496939
221,Emiliano Martinez Romero,Aston Villa,Everton,1,2,3.8161395
222,Emiliano Martinez Romero,Aston Villa,Crystal Palace,0,3,3.3675535
223,Emiliano Martinez Romero,Aston Villa,West Ham,1,4,3.337753
224,Emiliano Martinez Romero,Aston Villa,Arsenal,0,5,2.782521
225,Emiliano Martinez Romero,Aston Villa,Manchester City,1,6,2.4849362
226,Emiliano Martinez Romero,Aston Villa,Leicester City,0,7,3.3244455
227,Emiliano Martinez Romero,Aston Villa,Southampton,1,8,3.6626887
228,Emiliano Martinez Romero,Aston Villa,Leeds United,0,9,3.0284522
229,Emiliano Martinez Romero,Aston Villa,Nottingham Forest,0,10,3.4594646
230,Calum Chambers,Aston Villa,Bournemouth,0,1,2.860802
231,Calum Chambers,Aston Villa,Everton,1,2,3.0978606
232,Calum Chambers,Aston Villa,Crystal Palace,0,3,2.910333
233,Calum Chambers,Aston Villa,West Ham,1,4,2.7933013
234,Calum Chambers,Aston Villa,Arsenal,0,5,2.4333744
235,Calum Chambers,Aston Villa,Manchester City,1,6,2.1117175
236,Calum Chambers,Aston Villa,Leicester City,0,7,2.836237
237,Calum Chambers,Aston Villa,Southampton,1,8,3.2428014
238,Calum Chambers,Aston Villa,Leeds United,0,9,2.5208828
239,Calum Chambers,Aston Villa,Nottingham Forest,0,10,2.8426466
240,Lucas Digne,Aston Villa,Bournemouth,0,1,3.112172
241,Lucas Digne,Aston Villa,Everton,1,2,3.533575
242,Lucas Digne,Aston Villa,Crystal Palace,0,3,3.1770446
243,Lucas Digne,Aston Villa,West Ham,1,4,3.09022
244,Lucas Digne,Aston Villa,Arsenal,0,5,2.6711361
245,Lucas Digne,Aston Villa,Manchester City,1,6,2.2799537
246,Lucas Digne,Aston Villa,Leicester City,0,7,3.1947637
247,Lucas Digne,Aston Villa,Southampton,1,8,3.54635
248,Lucas Digne,Aston Villa,Leeds United,0,9,2.9263613
249,Lucas Digne,Aston Villa,Nottingham Forest,0,10,3.1790388
250,Bertrand Traore,Aston Villa,Bournemouth,0,1,2.391056
251,Bertrand Traore,Aston Villa,Everton,1,2,2.6487634
252,Bertrand Traore,Aston Villa,Crystal Palace,0,3,2.443414
253,Bertrand Traore,Aston Villa,West Ham,1,4,2.62737
254,Bertrand Traore,Aston Villa,Arsenal,0,5,2.3235855
255,Bertrand Traore,Aston Villa,Manchester City,1,6,1.9210161
256,Bertrand Traore,Aston Villa,Leicester City,0,7,2.368738
257,Bertrand Traore,Aston Villa,Southampton,1,8,3.1250892
258,Bertrand Traore,Aston Villa,Leeds United,0,9,2.7094514
259,Bertrand Traore,Aston Villa,Nottingham Forest,0,10,2.9050195
260,Robin Olsen,Aston Villa,Bournemouth,0,1,2.7895453
261,Robin Olsen,Aston Villa,Everton,1,2,3.2658017
262,Robin Olsen,Aston Villa,Crystal Palace,0,3,2.6718109
263,Robin Olsen,Aston Villa,West Ham,1,4,2.8268774
264,Robin Olsen,Aston Villa,Arsenal,0,5,2.3590338
265,Robin Olsen,Aston Villa,Manchester City,1,6,2.013365
266,Robin Olsen,Aston Villa,Leicester City,0,7,2.372322
267,Robin Olsen,Aston Villa,Southampton,1,8,3.2855601
268,Robin Olsen,Aston Villa,Leeds United,0,9,2.6339548
269,Robin Olsen,Aston Villa,Nottingham Forest,0,10,3.039068
270,Morgan Sanson,Aston Villa,Bournemouth,0,1,2.1733367
271,Morgan Sanson,Aston Villa,Everton,1,2,2.4495363
272,Morgan Sanson,Aston Villa,Crystal Palace,0,3,2.2552755
273,Morgan Sanson,Aston Villa,West Ham,1,4,2.3248944
274,Morgan Sanson,Aston Villa,Arsenal,0,5,2.109481
275,Morgan Sanson,Aston Villa,Manchester City,1,6,1.7654046
276,Morgan Sanson,Aston Villa,Leicester City,0,7,2.2348447
277,Morgan Sanson,Aston Villa,Southampton,1,8,2.6981978
278,Morgan Sanson,Aston Villa,Leeds United,0,9,2.3010032
279,Morgan Sanson,Aston Villa,Nottingham Forest,0,10,2.444495
280,John McGinn,Aston Villa,Bournemouth,0,1,2.6945913
281,John McGinn,Aston Villa,Everton,1,2,3.1308901
282,John McGinn,Aston Villa,Crystal Palace,0,3,2.643035
283,John McGinn,Aston Villa,West Ham,1,4,2.6888065
284,John McGinn,Aston Villa,Arsenal,0,5,2.343891
285,John McGinn,Aston Villa,Manchester City,1,6,2.040338
286,John McGinn,Aston Villa,Leicester City,0,7,2.5094047
287,John McGinn,Aston Villa,Southampton,1,8,3.0397658
288,John McGinn,Aston Villa,Leeds United,0,9,2.4555962
289,John McGinn,Aston Villa,Nottingham Forest,0,10,2.643738
290,Kortney Hause,Aston Villa,Bournemouth,0,1,2.5513072
291,Kortney Hause,Aston Villa,Everton,1,2,2.9402618
292,Kortney Hause,Aston Villa,Crystal Palace,0,3,2.7053578
293,Kortney Hause,Aston Villa,West Ham,1,4,2.597309
294,Kortney Hause,Aston Villa,Arsenal,0,5,2.209616
295,Kortney Hause,Aston Villa,Manchester City,1,6,1.8389777
296,Kortney Hause,Aston Villa,Leicester City,0,7,2.3337848
297,Kortney Hause,Aston Villa,Southampton,1,8,3.0818672
298,Kortney Hause,Aston Villa,Leeds United,0,9,2.4912667
299,Kortney Hause,Aston Villa,Nottingham Forest,0,10,2.802079
300,Tyrone Mings,Aston Villa,Bournemouth,0,1,2.8913364
301,Tyrone Mings,Aston Villa,Everton,1,2,3.2812438
302,Tyrone Mings,Aston Villa,Crystal Palace,0,3,2.881519
303,Tyrone Mings,Aston Villa,West Ham,1,4,2.8067021
304,Tyrone Mings,Aston Villa,Arsenal,0,5,2.4164288
305,Tyrone Mings,Aston Villa,Manchester City,1,6,2.1369212
306,Tyrone Mings,Aston Villa,Leicester City,0,7,2.9164696
307,Tyrone Mings,Aston Villa,Southampton,1,8,3.3467271
308,Tyrone Mings,Aston Villa,Leeds United,0,9,2.6074977
