,name,team,opp_team,was_home,gameweek,xP
0,Granit Xhaka,Arsenal,Liverpool,1,10,2.8275597
1,Granit Xhaka,Arsenal,Leeds United,0,11,2.9814165
2,Granit Xhaka,Arsenal,Southampton,0,13,3.1022446
3,Granit Xhaka,Arsenal,Nottingham Forest,1,14,3.5177083
4,Granit Xhaka,Arsenal,Chelsea,0,15,2.5062592
5,Granit Xhaka,Arsenal,Wolves,0,16,2.9394994
6,Granit Xhaka,Arsenal,West Ham,1,17,3.2591617
7,Granit Xhaka,Arsenal,Brighton,0,18,2.8419907
8,Granit Xhaka,Arsenal,Newcastle Utd,1,19,3.0937853
9,Mohamed Elneny,Arsenal,Liverpool,1,10,2.208728
10,Mohamed Elneny,Arsenal,Leeds United,0,11,2.641455
11,Mohamed Elneny,Arsenal,Southampton,0,13,2.4653316
12,Mohamed Elneny,Arsenal,Nottingham Forest,1,14,2.7726479
13,Mohamed Elneny,Arsenal,Chelsea,0,15,2.2361794
14,Mohamed Elneny,Arsenal,Wolves,0,16,2.3961453
15,Mohamed Elneny,Arsenal,West Ham,1,17,2.6294696
16,Mohamed Elneny,Arsenal,Brighton,0,18,2.5934455
17,Mohamed Elneny,Arsenal,Newcastle Utd,1,19,2.6457224
18,Rob Holding,Arsenal,Liverpool,1,10,2.0234394
19,Rob Holding,Arsenal,Leeds United,0,11,2.3860722
20,Rob Holding,Arsenal,Southampton,0,13,2.6350446
21,Rob Holding,Arsenal,Nottingham Forest,1,14,2.9832363
22,Rob Holding,Arsenal,Chelsea,0,15,2.1991558
23,Rob Holding,Arsenal,Wolves,0,16,2.5349345
24,Rob Holding,Arsenal,West Ham,1,17,2.954557
25,Rob Holding,Arsenal,Brighton,0,18,2.5911307
26,Rob Holding,Arsenal,Newcastle Utd,1,19,2.7881293
27,Thomas Partey,Arsenal,Liverpool,1,10,2.49681
28,Thomas Partey,Arsenal,Leeds United,0,11,2.7153468
29,Thomas Partey,Arsenal,Southampton,0,13,2.9096746
30,Thomas Partey,Arsenal,Nottingham Forest,1,14,3.379921
31,Thomas Partey,Arsenal,Chelsea,0,15,2.3671875
32,Thomas Partey,Arsenal,Wolves,0,16,3.0098944
33,Thomas Partey,Arsenal,West Ham,1,17,3.2468884
34,Thomas Partey,Arsenal,Brighton,0,18,2.738575
35,Thomas Partey,Arsenal,Newcastle Utd,1,19,2.9558191
36,Martin degaard,Arsenal,Liverpool,1,10,4.168218
37,Martin degaard,Arsenal,Leeds United,0,11,5.376479
38,Martin degaard,Arsenal,Southampton,0,13,5.089927
39,Martin degaard,Arsenal,Nottingham Forest,1,14,5.260093
40,Martin degaard,Arsenal,Chelsea,0,15,3.3077533
41,Martin degaard,Arsenal,Wolves,0,16,4.6968465
42,Martin degaard,Arsenal,West Ham,1,17,4.440596
43,Martin degaard,Arsenal,Brighton,0,18,3.789524
44,Martin degaard,Arsenal,Newcastle Utd,1,19,4.261143
45,Kieran Tierney,Arsenal,Liverpool,1,10,2.70594
46,Kieran Tierney,Arsenal,Leeds United,0,11,3.2115571
47,Kieran Tierney,Arsenal,Southampton,0,13,3.467482
48,Kieran Tierney,Arsenal,Nottingham Forest,1,14,3.7600548
49,Kieran Tierney,Arsenal,Chelsea,0,15,2.7569256
50,Kieran Tierney,Arsenal,Wolves,0,16,3.432932
51,Kieran Tierney,Arsenal,West Ham,1,17,3.471758
52,Kieran Tierney,Arsenal,Brighton,0,18,2.985789
53,Kieran Tierney,Arsenal,Newcastle Utd,1,19,3.4802225
54,Ben White,Arsenal,Liverpool,1,10,2.7430868
55,Ben White,Arsenal,Leeds United,0,11,3.3723984
56,Ben White,Arsenal,Southampton,0,13,3.753525
57,Ben White,Arsenal,Nottingham Forest,1,14,3.994318
58,Ben White,Arsenal,Chelsea,0,15,2.6447346
59,Ben White,Arsenal,Wolves,0,16,3.5924335
60,Ben White,Arsenal,West Ham,1,17,3.5917358
61,Ben White,Arsenal,Brighton,0,18,3.070943
62,Ben White,Arsenal,Newcastle Utd,1,19,3.5953937
63,Eddie Nketiah,Arsenal,Liverpool,1,10,2.0904016
64,Eddie Nketiah,Arsenal,Leeds United,0,11,2.5154083
65,Eddie Nketiah,Arsenal,Southampton,0,13,2.5856462
66,Eddie Nketiah,Arsenal,Nottingham Forest,1,14,2.809001
67,Eddie Nketiah,Arsenal,Chelsea,0,15,2.3295636
68,Eddie Nketiah,Arsenal,Wolves,0,16,2.764455
69,Eddie Nketiah,Arsenal,West Ham,1,17,2.8232725
70,Eddie Nketiah,Arsenal,Brighton,0,18,2.6326773
71,Eddie Nketiah,Arsenal,Newcastle Utd,1,19,2.7284806
72,Emile Smith Rowe,Arsenal,Liverpool,1,10,1.9760975
73,Emile Smith Rowe,Arsenal,Leeds United,0,11,2.3356462
74,Emile Smith Rowe,Arsenal,Southampton,0,13,2.5702567
75,Emile Smith Rowe,Arsenal,Nottingham Forest,1,14,2.923362
76,Emile Smith Rowe,Arsenal,Chelsea,0,15,2.3295636
77,Emile Smith Rowe,Arsenal,Wolves,0,16,2.5815077
78,Emile Smith Rowe,Arsenal,West Ham,1,17,2.8620017
79,Emile Smith Rowe,Arsenal,Brighton,0,18,2.6552117
80,Emile Smith Rowe,Arsenal,Newcastle Utd,1,19,2.8376667
81,Bukayo Saka,Arsenal,Liverpool,1,10,4.020578
82,Bukayo Saka,Arsenal,Leeds United,0,11,4.50521
83,Bukayo Saka,Arsenal,Southampton,0,13,4.761917
84,Bukayo Saka,Arsenal,Nottingham Forest,1,14,5.112835
85,Bukayo Saka,Arsenal,Chelsea,0,15,3.752238
86,Bukayo Saka,Arsenal,Wolves,0,16,4.4831066
87,Bukayo Saka,Arsenal,West Ham,1,17,5.3326845
88,Bukayo Saka,Arsenal,Brighton,0,18,3.6837633
89,Bukayo Saka,Arsenal,Newcastle Utd,1,19,4.428055
90,Takehiro Tomiyasu,Arsenal,Liverpool,1,10,1.9623023
91,Takehiro Tomiyasu,Arsenal,Leeds United,0,11,2.5473354
92,Takehiro Tomiyasu,Arsenal,Southampton,0,13,2.5794399
