,name,team,opp_team,was_home,gameweek,xP,std
0,Granit Xhaka,Arsenal,Wolves,0,16,3.2053585,0.15758401
1,Granit Xhaka,Arsenal,West Ham,1,17,3.047157,0.2173393
2,Granit Xhaka,Arsenal,Brighton,0,18,2.7923133,0.33888584
3,Granit Xhaka,Arsenal,Newcastle Utd,1,19,3.0284526,0.3822433
4,Granit Xhaka,Arsenal,Tottenham,0,20,2.6427364,0.1019669
5,Granit Xhaka,Arsenal,Manchester Utd,1,21,3.024278,0.18751813
6,Granit Xhaka,Arsenal,Everton,0,22,3.237564,0.15063
7,Granit Xhaka,Arsenal,Brentford,1,23,3.0481246,0.22447282
8,Granit Xhaka,Arsenal,Aston Villa,0,24,3.0921235,0.17488895
9,Granit Xhaka,Arsenal,Leicester City,0,25,2.8806002,0.15567969
10,Mohamed Elneny,Arsenal,Wolves,0,16,2.410108,0.14576823
11,Mohamed Elneny,Arsenal,West Ham,1,17,2.317952,0.20517665
12,Mohamed Elneny,Arsenal,Brighton,0,18,2.130224,0.17934574
13,Mohamed Elneny,Arsenal,Newcastle Utd,1,19,2.2720897,0.22590029
14,Mohamed Elneny,Arsenal,Tottenham,0,20,2.1083486,0.16603863
15,Mohamed Elneny,Arsenal,Manchester Utd,1,21,2.3218474,0.21588409
16,Mohamed Elneny,Arsenal,Everton,0,22,2.4394588,0.12845846
17,Mohamed Elneny,Arsenal,Brentford,1,23,2.313632,0.24418391
18,Mohamed Elneny,Arsenal,Aston Villa,0,24,2.3474905,0.13212284
19,Mohamed Elneny,Arsenal,Leicester City,0,25,2.2212148,0.1397528
20,Rob Holding,Arsenal,Wolves,0,16,2.6250007,0.21800126
21,Rob Holding,Arsenal,West Ham,1,17,2.4016535,0.24457078
22,Rob Holding,Arsenal,Brighton,0,18,2.1626015,0.20643306
23,Rob Holding,Arsenal,Newcastle Utd,1,19,2.3623672,0.2657168
24,Rob Holding,Arsenal,Tottenham,0,20,2.1335168,0.195792
25,Rob Holding,Arsenal,Manchester Utd,1,21,2.4057758,0.27024528
26,Rob Holding,Arsenal,Everton,0,22,2.6595473,0.18686035
27,Rob Holding,Arsenal,Brentford,1,23,2.3964553,0.29803059
28,Rob Holding,Arsenal,Aston Villa,0,24,2.4895988,0.20918451
29,Rob Holding,Arsenal,Leicester City,0,25,2.3038728,0.18896203
30,Thomas Partey,Arsenal,Wolves,0,16,3.073357,0.15326643
31,Thomas Partey,Arsenal,West Ham,1,17,2.897224,0.17558463
32,Thomas Partey,Arsenal,Brighton,0,18,2.5806527,0.12554233
33,Thomas Partey,Arsenal,Newcastle Utd,1,19,2.7823749,0.18867712
34,Thomas Partey,Arsenal,Tottenham,0,20,2.531858,0.110453576
35,Thomas Partey,Arsenal,Manchester Utd,1,21,2.9000688,0.14652699
36,Thomas Partey,Arsenal,Everton,0,22,3.1181614,0.14209962
37,Thomas Partey,Arsenal,Brentford,1,23,2.8799198,0.18382391
38,Thomas Partey,Arsenal,Aston Villa,0,24,2.963516,0.14971593
39,Thomas Partey,Arsenal,Leicester City,0,25,2.7651124,0.14084135
40,Martin degaard,Arsenal,Wolves,0,16,4.873374,0.16581649
41,Martin degaard,Arsenal,West Ham,1,17,4.4607725,0.2798876
42,Martin degaard,Arsenal,Brighton,0,18,4.0190196,0.42272878
43,Martin degaard,Arsenal,Newcastle Utd,1,19,4.41152,0.51616764
44,Martin degaard,Arsenal,Tottenham,0,20,3.957851,0.45592526
45,Martin degaard,Arsenal,Manchester Utd,1,21,4.507898,0.2686593
46,Martin degaard,Arsenal,Everton,0,22,4.974904,0.14453617
47,Martin degaard,Arsenal,Brentford,1,23,4.7709,0.33271983
48,Martin degaard,Arsenal,Aston Villa,0,24,4.720259,0.21655421
49,Martin degaard,Arsenal,Leicester City,0,25,4.648665,0.17362444
50,Kieran Tierney,Arsenal,Wolves,0,16,2.9052978,0.20886758
51,Kieran Tierney,Arsenal,West Ham,1,17,2.6218529,0.20938842
52,Kieran Tierney,Arsenal,Brighton,0,18,2.34303,0.15722233
53,Kieran Tierney,Arsenal,Newcastle Utd,1,19,2.5538068,0.22577883
54,Kieran Tierney,Arsenal,Tottenham,0,20,2.299566,0.1564475
55,Kieran Tierney,Arsenal,Manchester Utd,1,21,2.6297488,0.24808343
56,Kieran Tierney,Arsenal,Everton,0,22,2.9220634,0.20308407
57,Kieran Tierney,Arsenal,Brentford,1,23,2.6153007,0.26838753
58,Kieran Tierney,Arsenal,Aston Villa,0,24,2.7348824,0.18670312
59,Kieran Tierney,Arsenal,Leicester City,0,25,2.5085351,0.15291432
60,Ben White,Arsenal,Wolves,0,16,3.7230983,0.09293156
61,Ben White,Arsenal,West Ham,1,17,3.4043632,0.15638599
62,Ben White,Arsenal,Brighton,0,18,2.9670224,0.09390924
63,Ben White,Arsenal,Newcastle Utd,1,19,3.2538593,0.21453843
64,Ben White,Arsenal,Tottenham,0,20,2.9011288,0.06447879
65,Ben White,Arsenal,Manchester Utd,1,21,3.3757977,0.16195688
66,Ben White,Arsenal,Everton,0,22,3.7547975,0.1044709
67,Ben White,Arsenal,Brentford,1,23,3.3757234,0.20680666
68,Ben White,Arsenal,Aston Villa,0,24,3.4975033,0.14302257
69,Ben White,Arsenal,Leicester City,0,25,3.279407,0.09319272
70,Eddie Nketiah,Arsenal,Wolves,0,16,2.6804404,0.17997305
71,Eddie Nketiah,Arsenal,West Ham,1,17,2.467403,0.20707309
72,Eddie Nketiah,Arsenal,Brighton,0,18,2.282186,0.16263205
73,Eddie Nketiah,Arsenal,Newcastle Utd,1,19,2.427154,0.20758511
74,Eddie Nketiah,Arsenal,Tottenham,0,20,2.2509038,0.19446926
75,Eddie Nketiah,Arsenal,Manchester Utd,1,21,2.4563136,0.21819952
76,Eddie Nketiah,Arsenal,Everton,0,22,2.6971748,0.16624855
77,Eddie Nketiah,Arsenal,Brentford,1,23,2.4523363,0.23706204
78,Eddie Nketiah,Arsenal,Aston Villa,0,24,2.5523846,0.14706771
79,Eddie Nketiah,Arsenal,Leicester City,0,25,2.3760343,0.14944011
80,Emile Smith Rowe,Arsenal,Wolves,0,16,2.6940389,0.22162524
81,Emile Smith Rowe,Arsenal,West Ham,1,17,2.4848359,0.24464935
82,Emile Smith Rowe,Arsenal,Brighton,0,18,2.275044,0.19279507
83,Emile Smith Rowe,Arsenal,Newcastle Utd,1,19,2.4293342,0.23543093
84,Emile Smith Rowe,Arsenal,Tottenham,0,20,2.2460592,0.21458313
85,Emile Smith Rowe,Arsenal,Manchester Utd,1,21,2.4980295,0.2753183
86,Emile Smith Rowe,Arsenal,Everton,0,22,2.724197,0.19546448
87,Emile Smith Rowe,Arsenal,Brentford,1,23,2.4833043,0.2928652
88,Emile Smith Rowe,Arsenal,Aston Villa,0,24,2.5746639,0.18872863
89,Emile Smith Rowe,Arsenal,Leicester City,0,25,2.4059162,0.20103492
90,Bukayo Saka,Arsenal,Wolves,0,16,4.854097,0.25867823
