id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,ppg_estimate,ppg next 5,ppg next 10,value,valuePoints_metric,games_played
14,0,1,76,,,1,80201,0,0,0,0,0.0,0,1,4.0,3.5,3,Bernd,3.5,6,0,9.3,False,93.0,360,,,50,0,0,0,80201.jpg,3.5,0,14,Leno,6.2,False,,a,1,3,0.0,14,178391,22122,151780,23237,0.7,2.8,Leno,0,3.46,3.4939999999999998,3.8579999999999997,0.692,1.5473590404298545,4.0
15,0,0,0,100.0,75.0,0,37605,0,0,-2,2,0.0,0,3,0.5,0.0,0,Mesut,0.0,0,0,0.0,False,0.0,0,,2019-08-09T17:00:13.419733Z,73,0,0,0,37605.jpg,0.0,0,0,Özil,0.6,False,,a,1,3,0.0,0,3981,1457,71721,3304,0.0,0.0,Özil,0,3.7,3.7,3.7,0.5068493150684932,1.3694314388655697,0.0
16,0,0,3,0.0,,1,57249,0,0,-1,1,33.9,0,3,1.5,1.0,1,Henrikh,1.0,0,0,8.6,False,5.4,110,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,69,0,0,0,57249.jpg,1.3,0,0,Mkhitaryan,1.2,False,,n,1,3,46.0,4,22363,692,88258,18874,0.1,0.6,Mkhitaryan,1,1.6400000000000001,3.286,3.257,0.23768115942028986,0.6243373298540424,1.2222222222222223
18,0,0,30,75.0,100.0,1,84450,0,0,-1,1,63.5,0,3,1.7,1.2,1,Granit,1.2,5,0,13.3,False,55.2,270,Achilles injury - 75% chance of playing,2019-09-08T21:00:18.761460Z,54,0,0,0,84450.jpg,1.7,0,0,Xhaka,0.9,False,,d,1,3,14.0,5,17538,2625,64809,6456,0.2,0.9,Xhaka,2,1.86,2.662,2.6740000000000004,0.34444444444444444,0.8004165582161995,3.0
19,0,0,44,75.0,,0,198849,0,0,-1,1,42.4,0,3,2.7,2.2,2,Lucas,2.2,2,1,14.2,False,58.0,98,Knock - 75% chance of playing,2019-09-08T21:00:18.773636Z,49,0,0,0,198849.jpg,3.0,0,0,Torreira,1.7,False,,d,1,3,41.0,9,36857,6788,72333,12820,0.4,1.8,Torreira,0,2.87,1.6720000000000002,1.7900000000000003,0.5857142857142857,1.2965338406690357,1.0888888888888888
20,0,0,0,0.0,100.0,0,153256,0,0,-1,1,0.0,0,3,0.0,0.0,0,Mohamed,0.0,0,0,0.0,False,0.0,0,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,44,0,0,0,153256.jpg,0.0,0,0,Elneny,0.5,False,,n,1,3,0.0,0,29472,1104,26496,10193,0.0,0.0,Elneny,0,2.0,2.0,2.0,0.45454545454545453,0.9534625892455924,0.0
21,1,2,69,,,1,242166,1,-1,1,-1,37.8,0,3,4.0,3.5,7,Matteo,3.5,6,0,17.8,False,97.6,355,,,46,0,0,0,242166.jpg,3.5,0,0,Guendouzi,8.8,False,,a,1,3,42.0,14,368717,151101,179094,36560,0.8,3.1,Guendouzi,0,3.15,2.396,2.28,0.6847826086956522,1.4686950729784942,3.9444444444444446
106,0,0,36,,,0,41270,0,0,-1,1,5.8,0,2,1.0,0.5,1,David,0.5,6,0,8.1,False,72.0,270,,,59,0,0,0,41270.jpg,0.7,0,0,Luiz Moreira Marinho,6.3,False,,a,1,3,3.0,2,39439,6846,238373,34225,0.1,0.3,David Luiz,2,0.96,2.7760000000000002,3.232,0.16271186440677965,0.39522574540445676,3.0
427,0,0,0,,,0,98980,0,0,0,0,0.0,0,1,0.5,0.0,0,Emiliano,0.0,0,0,0.0,False,0.0,0,,,45,0,0,0,98980.jpg,0.0,0,0,Martínez,0.3,False,,a,1,3,0.0,0,1970,322,5963,921,0.0,0.0,Martínez,0,2.0,2.0,2.0,0.4444444444444444,0.9428090415820634,0.0
467,0,0,26,,,1,101184,0,0,0,0,0.2,0,2,2.0,1.5,0,Calum,1.5,0,0,1.5,False,15.0,90,,,45,0,0,0,101184.jpg,6.0,0,0,Chambers,0.9,False,,a,1,3,0.0,6,30765,1857,37201,5509,0.3,1.3,Chambers,0,3.96,2.3120000000000003,2.7239999999999993,0.88,1.8667619023324855,1.0
469,2,3,50,,,0,182539,0,0,2,-2,75.3,1,3,4.3,3.8,1,Daniel,3.8,4,0,18.3,False,71.4,195,,,57,0,0,0,182539.jpg,3.8,0,0,Ceballos Fernández,13.4,False,,a,1,3,37.0,15,839477,96499,279663,90540,0.7,2.6,Ceballos,0,3.44,3.9219999999999997,3.474999999999999,0.6035087719298246,1.4408574445234326,2.1666666666666665
488,1,0,32,100.0,100.0,0,195735,0,0,-1,1,74.8,0,3,2.7,2.2,5,Nicolas,2.2,5,0,25.2,False,53.4,244,,2019-08-09T09:30:12.533555Z,94,0,0,0,195735.jpg,2.2,0,0,Pépé,3.7,False,,a,1,3,123.0,9,86688,23233,189594,21998,0.2,1.0,Pépé,0,2.22,1.7079999999999997,1.474,0.23617021276595745,0.7240841610893208,2.7111111111111112
489,0,0,9,,,1,200641,-1,1,-1,1,41.1,0,3,1.3,0.8,0,Reiss,0.8,1,0,9.7,False,14.4,115,,,54,0,0,0,200641.jpg,1.5,0,0,Nelson,0.1,False,,a,1,3,41.0,3,5818,525,8398,1224,0.1,0.5,Nelson,1,1.58,1.544,1.6199999999999999,0.29259259259259257,0.6799237430008576,1.2777777777777777
490,0,0,33,75.0,,1,200089,0,0,0,0,45.9,0,3,2.3,1.8,0,Joseph,1.8,4,0,10.1,False,24.8,233,Calf injury - 75% chance of playing,2019-09-07T11:30:17.190466Z,50,0,0,0,200089.jpg,2.3,0,0,Willock,0.3,False,,d,1,3,30.0,7,17815,1342,14122,3742,0.4,1.4,Willock,0,2.2800000000000002,2.122,2.2439999999999998,0.45600000000000007,1.0196469977399043,2.588888888888889
504,0,0,2,,,0,444145,0,0,0,0,0.5,0,4,0.7,0.2,0,Gabriel Teodoro,0.2,0,0,0.2,False,1.0,6,,,45,0,0,0,444145.jpg,1.0,0,0,Martinelli Silva,1.5,False,,a,1,3,0.0,1,89530,6014,69898,12531,0.0,0.2,Martinelli,0,1.24,1.848,1.6960000000000002,0.27555555555555555,0.5845416057808793,0.06666666666666667
515,0,0,0,0.0,0.0,0,192895,0,0,-1,1,0.0,0,2,0.0,0.0,0,Kieran,0.0,0,0,0.0,False,0.0,0,Groin Injury - Expected back 30 Sep,2019-08-09T12:00:11.271398Z,54,0,0,0,192895.jpg,0.0,0,0,Tierney,0.4,False,,i,1,3,0.0,0,3193,672,34559,2503,0.0,0.0,Tierney,0,2.0,2.0,2.0,0.37037037037037035,0.8606629658238704,0.0
22,0,3,47,,,0,37339,0,0,0,0,71.9,0,2,1.0,1.0,0,Ahmed,1.5,5,0,12.3,False,50.2,184,,,45,0,0,0,37339.jpg,2.0,0,0,El Mohamady,1.6,False,,a,2,7,2.0,6,28902,2381,59532,14046,0.3,1.3,El Mohamady,0,2.0,2.16,1.9669999999999999,0.4444444444444444,0.9428090415820634,2.0444444444444443
23,0,0,0,0.0,0.0,0,43252,0,0,-1,1,0.0,0,2,0.0,0.0,0,James,0.0,0,0,0.0,False,0.0,0,Lack of match fitness - Unknown return date,2019-08-08T17:00:13.859858Z,44,0,0,0,43252.jpg,0.0,0,0,Chester,0.1,False,,i,2,7,0.0,0,127,23,4505,497,0.0,0.0,Chester,0,2.0,2.0,2.0,0.45454545454545453,0.9534625892455924,0.0
24,0,0,58,,,1,47390,0,0,0,0,20.9,0,2,1.7,1.7,1,Neil,2.2,6,0,10.9,False,62.2,360,,,45,0,0,0,47390.jpg,2.2,0,0,Taylor,0.3,False,,a,2,7,26.0,9,8673,1900,6824,1585,0.5,2.0,Taylor,1,2.22,2.2880000000000003,2.047,0.4933333333333334,1.0465180361560904,4.0
25,0,0,0,100.0,100.0,0,123354,0,0,0,0,0.0,0,2,-0.5,-0.5,0,Kortney,0.0,0,0,0.0,False,0.0,0,,2019-08-15T13:00:13.496241Z,45,0,0,0,123354.jpg,0.0,0,0,Hause,0.1,False,,a,2,7,0.0,0,262,79,2276,226,0.0,0.0,Hause,0,2.0,2.0,2.0,0.4444444444444444,0.9428090415820634,0.0
26,0,0,4,25.0,25.0,0,54764,0,0,-1,1,0.0,0,4,-0.1,-0.1,0,Jonathan,0.2,2,0,0.2,False,0.0,16,Head injury - 25% chance of playing,2019-08-15T13:00:13.507539Z,54,0,0,0,54764.jpg,1.0,0,0,Kodjia,0.1,False,,d,2,7,2.0,1,1977,92,20676,1722,0.0,0.2,Kodjia,0,1.24,1.848,1.7719999999999998,0.2296296296296296,0.5336110388107996,0.17777777777777778
27,0,0,0,100.0,100.0,0,98770,-1,1,-1,1,0.0,0,1,-0.5,-0.5,0,Ørjan,0.0,0,0,0.0,False,0.0,0,,2019-07-30T15:00:08.973693Z,44,0,0,0,98770.jpg,0.0,0,0,Nyland,0.2,False,,a,2,7,0.0,0,1270,417,4639,699,0.0,0.0,Nyland,0,2.0,2.0,2.0,0.45454545454545453,0.9534625892455924,0.0
