id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 10,form 5,value,valuePoints metric,team_name
1,2,1,144,100.0,100.0,2,69140,0,0,-4,4,15.4,0,2,0.0,4.8,1,Shkodran,4.3,9,0,29.8,False,174.2,620,,2020-01-27T22:30:15.833744Z,51,0,0,0,69140.jpg,3.2,0,0,Mustafi,0.4,False,,a,1,3,107.0,26,14331,649,36077,415,0.8,5.1,Mustafi,0,8.125,25.29846899989997,3.113657723064612,3.3411082137063812,3.2207529151625427,0.6105211221695318,1.3787508140114502,Arsenal
2,0,3,113,100.0,100.0,2,98745,0,0,-1,1,37.7,0,2,0.0,5.5,1,Héctor,5.0,10,1,19.4,False,116.6,622,,2019-12-09T20:00:21.228098Z,54,0,0,0,98745.jpg,3.4,0,0,Bellerín,1.0,False,,a,1,3,38.0,24,109492,2694,53841,5125,0.9,4.4,Bellerín,2,7.0588235294117645,18.18477143407145,2.5761759531601216,3.311333490057588,3.2326662526254775,0.47706962095557803,1.1086096181654632,Arsenal
3,2,1,222,50.0,100.0,2,111457,0,0,-3,3,157.3,0,2,0.0,0.8,1,Sead,0.3,19,0,41.2,False,190.0,1103,Shoulder injury - 50% chance of playing,2020-02-23T18:30:13.672943Z,52,0,0,0,111457.jpg,2.1,0,0,Kolasinac,0.5,False,,d,1,3,67.0,35,55446,34,126629,320,0.1,6.7,Kolasinac,3,16.666666666666664,45.387506655364895,2.7232503993218944,2.0321797667920327,1.100446603922023,0.5237019998695951,1.1942243006531685,Arsenal
4,2,3,216,100.0,100.0,3,154043,-1,1,-5,5,155.4,1,2,0.0,0.5,0,Ainsley,0.0,19,0,44.9,False,261.8,1210,,2019-09-22T18:00:10.824841Z,45,0,0,0,154043.jpg,2.6,1,0,Maitland-Niles,2.4,False,,a,1,3,37.0,36,589895,169,622639,2281,0.0,8.0,Maitland-Niles,3,13.846153846153845,38.216454821665415,2.760077292675836,2.8762222344773565,3.0246454570414443,0.6133505094835191,1.3011129135000605,Arsenal
5,0,5,286,100.0,75.0,3,39476,-1,1,-2,2,31.8,1,2,0.0,0.4,0,Sokratis,0.0,25,2,57.1,False,431.6,1606,,2020-02-21T01:30:19.929771Z,48,0,0,0,39476.jpg,2.9,0,0,Papastathopoulos,1.3,False,,a,1,3,106.0,52,144023,176,190205,1478,0.0,10.8,Sokratis,5,17.931034482758626,50.98085617160678,2.8431631326473017,5.4293503028753065,,0.5923256526348546,1.2977204853483166,Arsenal
6,0,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.2,False,,u,1,3,12.0,10,28151,5,88901,23,0.0,2.0,Monreal,0,3.0303030303030303,10.369725110586225,3.422009286493456,,,0.6844018572986912,1.5303690768469842,Arsenal
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,0,620,8,12708,12,0.0,0.0,Koscielny,0,,,,,,,,Arsenal
8,0,0,0,0.0,0.0,0,233963,0,0,-1,1,0.0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,Joined Nuremberg on loan until the end of the season on 13/1. - Expected back 01 Jul,2020-01-13T14:30:21.309535Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,n,1,3,0.0,0,1094,0,4859,12,0.0,0.0,Mavropanos,0,,,,,,,,Arsenal
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,430,4,2598,5,0.0,0.0,Jenkinson,0,,,,,,,,Arsenal
10,0,0,13,100.0,100.0,0,156074,0,0,0,0,0.4,0,2,0.0,0.5,0,Rob,0.0,3,0,1.6,False,13.4,85,,2019-12-09T10:00:19.335279Z,45,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,,a,1,3,2.0,2,12000,33,14672,107,0.0,0.4,Holding,0,2.0,3.8940185729869103,1.9470092864934552,1.9063506169289783,1.9063506169289788,0.4326687303318789,0.9178289796751358,Arsenal
11,3,29,589,100.0,100.0,6,54694,0,0,-1,1,347.3,3,4,0.0,8.2,13,Pierre-Emerick,7.7,33,17,205.3,True,734.4,2213,,2020-01-08T14:00:18.333339Z,109,0,0,0,54694.jpg,6.0,1,0,Aubameyang,19.0,False,,a,1,3,973.0,150,2327101,121692,2823361,40007,0.7,13.8,Aubameyang,3,25.0,124.82602782071095,4.993041112828438,4.668167552438627,5.62991266404141,0.4580771663145356,1.512348545890274,Arsenal
12,4,7,245,100.0,100.0,3,59966,0,0,-2,2,275.2,1,4,0.0,4.2,0,Alexandre,3.7,18,6,127.0,False,346.0,1280,,2019-09-01T18:30:14.246208Z,93,0,0,0,59966.jpg,3.7,0,0,Lacazette,2.1,False,,a,1,3,647.0,71,315764,2655,428656,10245,0.4,7.6,Lacazette,5,19.18918918918919,64.1080370942813,3.3408413697019834,3.30722586321174,3.4471878377959237,0.3592302548066649,1.0955050417532046,Arsenal
13,0,1,29,100.0,100.0,1,205533,0,0,-2,2,17.0,0,4,0.0,3.8,7,Edward,3.3,3,1,12.8,False,32.6,191,,2019-08-08T15:30:15.638344Z,43,0,0,0,205533.jpg,2.8,0,0,Nketiah,0.8,False,,a,1,3,78.0,11,76172,9013,128529,1717,0.8,2.6,Nketiah,0,3.928571428571429,11.7,2.978181818181818,,,0.692600422832981,1.436206804936609,Arsenal
14,0,6,527,,,6,80201,0,0,0,0,0.0,1,1,0.0,5.5,2,Bernd,5.0,36,0,73.7,False,738.6,2430,,,50,0,0,1,80201.jpg,3.6,0,98,Leno,5.2,False,,a,1,3,0.0,97,436736,2328,491218,5967,1.0,19.4,Leno,2,26.94444444444445,98.51663910829588,3.6562876370089192,3.4467466323251146,3.0114820438399383,0.7312575274017838,1.6351415403288039,Arsenal
15,2,1,233,100.0,100.0,4,37605,0,0,-3,3,564.8,0,3,0.0,4.5,2,Mesut,4.0,20,1,93.2,False,204.2,1351,,2019-12-20T10:30:11.550604Z,72,0,0,0,37605.jpg,2.8,0,0,Özil,1.2,False,,a,1,3,162.0,47,130419,2879,177576,3600,0.6,6.5,Özil,1,16.785714285714292,49.078075374389975,2.9238002350700403,2.5360573684990744,2.656439620124433,0.40608336598195005,1.0896360130410792,Arsenal
16,0,0,3,0.0,0.0,1,57249,0,0,-2,2,33.9,0,3,0.0,0.0,0,Henrikh,0.0,0,0,8.6,False,5.4,110,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,68,0,0,0,57249.jpg,1.3,0,0,Mkhitaryan,0.8,False,,n,1,3,46.0,4,22975,6,116359,46,0.0,0.6,Mkhitaryan,1,3.0769230769230766,5.328468681918043,1.731752321623364,,,0.2546694590622594,0.6640967000201355,Arsenal
18,1,0,276,100.0,100.0,6,84450,0,0,-4,4,233.3,0,3,0.0,2.5,2,Granit,2.0,25,0,64.3,False,322.6,1814,,2019-12-29T14:30:26.292159Z,51,0,0,0,84450.jpg,2.1,0,0,Xhaka,0.6,False,,a,1,3,84.0,44,41536,547,106666,493,0.4,8.6,Xhaka,7,20.952380952380953,44.362534107583656,2.117302764225584,1.9482440053046737,1.7627996871541398,0.4151574047501146,0.9375574225966841,Arsenal
19,1,0,238,100.0,75.0,3,198849,0,0,-3,3,200.7,0,3,0.0,0.9,1,Lucas,0.7,20,1,67.3,False,271.8,1365,,2020-02-19T14:30:22.859013Z,47,0,0,0,198849.jpg,1.8,0,0,Torreira,1.2,False,,a,1,3,199.0,44,92487,274,163026,1787,0.1,9.4,Torreira,4,24.44444444444445,50.78928824658588,2.0777436100876043,1.81330029531878,1.7115325425004553,0.4420731085292775,0.9583916612942072,Arsenal
20,0,0,0,0.0,0.0,0,153256,0,0,-2,2,0.0,0,3,0.0,0.0,0,Mohamed,0.0,0,0,0.0,False,0.0,0,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,43,0,0,0,153256.jpg,0.0,0,0,Elneny,0.6,False,,n,1,3,0.0,0,123248,82,119241,489,0.0,0.0,Elneny,0,,,,,,,,Arsenal
