id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 5,form 10,value,valuePoints metric,team_name
22,1,6,180,,,1,37339,0,0,-4,4,227.1,157,35,0,2,1.0,1.5,1,Ahmed,2.5,27,1,50.7,259,85,False,216.4,270,107,820,,,41,0,0,0,37339.jpg,2.0,0,0,El Mohamady,1.0,False,,a,2,7,63.0,310,103,30,97014,4187,163288,1600,0.6,7.3,El Mohamady,0,15.0,32.277768118730066,2.1518512079153376,2.3536702958972766,2.276555134685572,0.5248417580281312,1.0627235628220744,Aston Villa
23,0,0,0,0.0,0.0,0,43252,0,0,-3,3,0.0,535,206,0,2,0.0,0.0,0,James,0.0,0,0,0.0,552,205,False,0.0,548,205,0,Joined Stoke City on loan until the end of the season on 31/1. - Expected back 01 Aug,2020-01-31T15:00:12.372885Z,42,0,0,0,43252.jpg,0.0,0,0,Chester,0.0,False,,n,2,7,0.0,502,197,0,2007,31,8308,25,0.0,0.0,Chester,0,,,,,,,,Aston Villa
24,0,0,127,,,2,47390,0,0,-3,3,56.4,308,101,0,2,-1.0,-0.5,2,Neil,0.5,20,0,21.2,373,135,False,128.4,336,130,872,,,42,0,0,0,47390.jpg,1.7,0,0,Taylor,0.2,False,,a,2,7,27.0,361,130,19,25132,435,30337,274,0.1,4.5,Taylor,2,11.176470588235297,19.634477956132127,1.7567690802855065,3.285313582348195,3.285313582348195,0.4182783524489301,0.8572155368021767,Aston Villa
25,0,0,178,100.0,100.0,2,123354,0,0,-1,1,32.6,355,122,1,2,2.5,3.0,2,Kortney,4.0,28,1,58.9,233,68,False,314.8,203,79,1350,,2019-08-15T13:00:13.496241Z,44,0,0,0,123354.jpg,2.1,0,0,Hause,0.1,False,,a,2,7,242.0,143,22,31,6107,677,6371,358,0.9,7.0,Hause,3,14.76190476190476,39.22699218767328,2.657312374003673,3.861268200892544,3.3089358758870238,0.6039346304553802,1.266823968275947,Aston Villa
26,0,0,14,0.0,0.0,0,54764,0,0,-1,1,12.2,407,63,0,4,0.0,0.0,0,Jonathan,0.0,6,0,3.8,446,63,False,3.4,477,67,111,Joined Al-Gharafa on a permanent deal on 20/1.,2020-01-08T20:30:20.825750Z,54,0,0,0,54764.jpg,0.8,0,0,Kodjia,0.1,False,,u,2,7,24.0,373,62,5,4296,7,27903,19,0.0,0.9,Kodjia,1,6.25,5.4,0.8640000000000001,,,0.16,0.3718064012359121,Aston Villa
27,0,0,90,100.0,100.0,1,98770,0,0,-2,2,0.0,555,51,0,1,1.5,2.0,2,Ørjan,3.0,12,0,10.2,404,28,False,101.2,363,28,537,,2019-07-30T15:00:08.973693Z,43,0,0,0,98770.jpg,2.1,0,15,Nyland,0.5,False,,a,2,7,0.0,529,45,15,51278,2286,35073,1608,0.7,3.5,Nyland,0,7.142857142857142,15.367899445648355,2.1515059223907698,2.749140222678181,2.73587569168122,0.5003502145094814,1.0375482879300806,Aston Villa
28,3,7,258,100.0,100.0,3,85242,0,0,-3,3,460.3,49,38,2,3,1.3,1.8,1,Conor,2.8,28,3,102.5,111,64,False,312.2,207,82,1178,,2019-12-15T13:00:22.404997Z,57,0,0,0,85242.jpg,2.9,0,0,Hourihane,0.1,False,,a,2,7,254.0,136,76,63,19972,70,30561,288,0.5,11.1,Hourihane,4,21.724137931034484,60.83664759952097,2.8004171117239807,3.1064498151177395,2.85634089756218,0.4913012476708738,1.172965652092531,Aston Villa
29,7,15,518,100.0,100.0,5,114283,-1,1,2,-2,1060.0,6,5,3,3,0.5,1.0,2,Jack,2.0,56,7,245.7,9,6,False,734.6,20,5,2693,,2019-10-26T18:30:22.524063Z,62,0,1,0,114283.jpg,4.2,0,0,Grealish,18.6,False,,a,2,7,666.0,40,19,126,3346160,10686,2431634,187345,0.3,20.3,Grealish,8,30.0,119.14254939801044,3.9714183132670153,2.7919924760216093,3.15970753446826,0.6405513408495186,1.594959976186713,Aston Villa
30,5,0,265,100.0,100.0,5,193488,0,0,-1,1,465.9,45,35,0,3,0.5,1.0,1,Anwar,2.0,43,4,145.7,53,31,False,368.2,174,68,1887,,2020-02-22T17:30:19.276253Z,54,0,0,0,193488.jpg,3.0,0,0,El Ghazi,0.9,False,,a,2,7,624.0,47,23,87,306469,258,286115,4395,0.4,16.1,El Ghazi,3,29.0,90.8793143516757,3.1337694604026103,2.1488928740390434,2.1881958564228747,0.5803276778523352,1.3485596589991902,Aston Villa
31,2,4,280,100.0,100.0,4,122806,-1,1,-2,2,394.2,71,51,0,3,0.5,1.0,1,John,2.0,34,3,122.8,77,43,False,403.8,149,56,1804,,2019-12-21T17:00:13.681907Z,53,0,0,0,122806.jpg,3.1,0,0,McGinn,3.0,False,,a,2,7,432.0,69,37,69,1418931,230,1444520,11483,0.4,13.0,McGinn,2,22.258064516129032,69.81309313387924,3.1365302712322563,2.4022750600638267,2.4410505106413924,0.5917981643834446,1.3624216884094134,Aston Villa
32,0,0,0,0.0,0.0,0,174597,0,0,-2,2,0.0,619,256,0,3,0.0,0.0,0,Andre,0.0,0,0,0.0,628,257,False,0.0,625,254,0,Joined Charlton Athletic on loan until the end of the season on 2/1. - Expected back 01 Aug,2019-08-04T16:30:15.274646Z,48,0,0,0,174597.jpg,0.0,0,0,Green,0.0,False,,n,2,7,0.0,611,256,0,466,9,1509,13,0.0,0.0,Green,0,,,,,,,,Aston Villa
33,0,0,0,0.0,0.0,0,27770,0,0,0,0,0.0,575,227,0,3,0.0,0.0,0,Birkir,0.0,0,0,0.0,587,228,False,0.0,583,224,0,Left Aston Villa by mutual consent on 8/8.,2019-08-08T15:30:15.672945Z,45,0,0,0,27770.jpg,0.0,0,0,Bjarnason,0.0,False,,u,2,7,0.0,554,222,0,775,9,7856,16,0.0,0.0,Bjarnason,0,,,,,,,,Aston Villa
34,1,0,32,100.0,100.0,1,221239,0,0,-2,2,53.9,316,165,0,3,0.3,0.8,2,Keinan,1.8,4,0,26.1,357,155,False,22.2,434,180,354,,2020-02-03T23:00:14.489212Z,43,0,0,0,221239.jpg,1.5,0,0,Davis,0.3,False,,a,2,7,194.0,181,98,18,37349,1325,40969,1172,0.4,4.2,Davis,0,12.0,26.33969705004084,2.1949747541700693,2.654791074842966,2.6228714159211752,0.5104592451558301,1.0585108200437807,Aston Villa
35,0,0,34,100.0,100.0,0,40564,0,0,-1,1,27.2,373,182,0,3,-1.5,-1.0,0,Henri,0.0,6,0,5.5,437,188,False,13.4,449,187,189,,2019-11-08T18:00:15.526636Z,44,0,0,0,40564.jpg,1.2,0,0,Lansbury,0.3,False,,a,2,7,13.0,395,183,11,69337,19,67284,206,0.0,2.5,Lansbury,0,9.166666666666668,13.201367738812179,1.4401492078704194,,,0.32730663815236805,0.6865641963180594,Aston Villa
36,1,0,41,100.0,100.0,2,89274,0,0,-3,3,56.4,309,162,0,3,-1.3,-0.8,0,José Ignacio,0.2,4,0,15.0,388,167,False,42.6,414,173,313,,2019-10-17T13:00:14.384046Z,57,0,0,0,89274.jpg,1.8,0,0,Peleteiro Romallo,0.2,False,,a,2,7,55.0,322,155,16,17545,51,29982,304,0.0,2.8,Jota,0,8.888888888888891,15.864081332625787,1.7847091499204013,1.7214562228384551,1.7214562228384551,0.31310686840708796,0.7475324026081096,Aston Villa
94,0,3,346,0.0,0.0,4,21205,0,0,-2,2,0.3,465,12,1,1,0.0,0.0,0,Tom,0.0,35,0,50.7,260,15,False,507.4,82,15,1794,Knee injury - Unknown return date,2020-01-01T15:00:18.235936Z,43,1,0,0,21205.jpg,3.0,0,67,Heaton,2.2,False,,i,2,7,0.0,519,41,59,295228,38,562471,1053,0.0,13.7,Heaton,0,19.666666666666668,55.0262831403518,2.797946600356871,,,0.6506852558969467,1.3492896648382076,Aston Villa
120,0,0,32,100.0,75.0,0,61603,0,0,-1,1,21.2,384,188,0,3,-1.5,-0.8,0,Daniel,0.0,11,0,4.7,443,190,False,18.6,439,183,317,,2020-06-18T17:30:12.445760Z,44,0,0,0,61603.jpg,1.2,0,0,Drinkwater,0.6,False,,a,2,7,8.0,410,192,6,25821,75,140668,256,0.0,1.4,Drinkwater,1,5.0,7.2643824029884625,1.4528764805976924,,1.194118009840691,0.33019920013583914,0.6926316855223497,Aston Villa
309,3,10,385,0.0,100.0,4,169359,-1,1,-2,2,404.8,67,12,1,2,0.0,1.5,1,Matt,2.5,38,1,98.5,121,26,False,457.0,116,46,1968,Hamstring injury - Expected back 12 Jul,2020-06-27T15:30:23.724931Z,43,0,0,0,169359.jpg,2.9,0,0,Targett,1.5,False,,i,2,7,122.0,239,62,70,331945,117,305557,15828,0.6,16.3,Targett,3,24.13793103448276,66.37602563045175,2.7498639189758585,2.3802476259111387,2.243674223084696,0.6395032369711299,1.3261021368715074,Aston Villa
