id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 10,form 5,value,valuePoints metric,team_name
1,2,2,242,25.0,100.0,4,69140,0,0,-4,4,45.5,348,120,0,2,0.7,3.1,0,Shkodran,2.1,17,0,47.9,306,102,False,277.2,251,98,1205,Hamstring injury - 25% chance of playing,2020-07-18T22:30:20.553834Z,51,0,0,0,69140.jpg,2.9,0,0,Mustafi,0.4,False,,d,1,3,155.0,231,58,43,24993,121,46600,1034,0.4,8.4,Mustafi,2,14.827586206896553,41.17171009940432,2.7766967276342447,2.4996240643543266,2.5154110199507107,0.5444503387518127,1.2295419773116794,Arsenal
2,0,4,204,100.0,100.0,4,98745,0,0,-3,3,76.9,299,93,0,2,2.9,3.4,0,Héctor,2.4,18,1,37.0,336,119,False,187.8,315,122,1156,,2019-12-09T20:00:21.228098Z,52,0,0,0,98745.jpg,2.9,0,0,Bellerín,1.0,False,,a,1,3,103.0,272,79,44,204898,2511,157509,2484,0.5,8.5,Bellerín,2,15.172413793103447,39.89382051568553,2.629365443079273,3.0252762404786533,2.9054233137445835,0.5056472005921678,1.1530530237707282,Arsenal
3,2,1,325,100.0,100.0,4,111457,0,0,-3,3,172.1,216,53,0,2,3.1,3.6,1,Sead,2.6,25,0,51.2,292,96,False,263.8,265,106,1661,,2020-02-23T18:30:13.672943Z,52,0,0,0,111457.jpg,2.2,0,0,Kolasinac,0.5,False,,a,1,3,79.0,305,98,54,64377,684,133995,301,0.5,10.4,Kolasinac,4,24.54545454545455,64.32684307432686,2.620723236361465,2.333071473656028,2.047339661032448,0.5039852377618201,1.149263165417547,Arsenal
4,2,3,229,100.0,100.0,3,154043,0,0,-5,5,159.5,227,57,1,2,0.9,1.4,0,Ainsley,0.4,20,0,47.3,309,104,False,282.6,245,97,1292,,2019-09-22T18:00:10.824841Z,45,0,0,0,154043.jpg,2.1,1,0,Maitland-Niles,2.2,False,,a,1,3,37.0,364,133,40,610153,914,652977,644,0.1,8.9,Maitland-Niles,4,19.047619047619047,47.04737229911338,2.4699870457034527,1.614083672552512,1.574391177532605,0.5488860101563229,1.1643630596398922,Arsenal
5,0,5,305,100.0,100.0,4,39476,0,0,-2,2,36.8,363,128,1,2,0.5,1.0,0,Sokratis,0.0,25,2,58.5,268,86,False,436.2,162,60,1696,,2020-06-18T18:00:15.974146Z,48,0,0,0,39476.jpg,3.0,0,0,Papastathopoulos,1.3,False,,a,1,3,110.0,264,75,57,181927,358,230973,528,0.0,11.9,Sokratis,6,19.0,54.09976160032436,2.8473558737012823,3.519601265381432,,0.5931991403544339,1.299634201059186,Arsenal
6,0,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,355,123,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,421,155,False,47.2,422,158,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.2,False,,u,1,3,12.0,408,150,10,28270,12,89296,26,0.0,2.0,Monreal,0,3.0303030303030303,10.354826411534988,3.4170927158065463,,,0.6834185431613092,1.5281703195925616,Arsenal
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,642,221,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,648,221,False,0.0,646,221,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,638,220,0,774,18,12891,14,0.0,0.0,Koscielny,0,,,,,,,,Arsenal
8,0,0,0,0.0,0.0,0,233963,0,0,-2,2,0.0,571,217,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,586,217,False,0.0,582,217,0,Joined Stuttgart on loan until the end of the 2020/21 season on 16/7. - Expected back 01 Jul,2020-01-13T14:30:21.309535Z,43,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,n,1,3,0.0,551,211,0,1183,8,5053,10,0.0,0.0,Mavropanos,0,,,,,,,,Arsenal
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,589,218,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,601,218,False,0.0,597,218,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,574,214,0,525,13,2714,22,0.0,0.0,Jenkinson,0,,,,,,,,Arsenal
10,0,2,86,100.0,100.0,1,156074,0,0,-1,1,4.5,438,163,0,2,2.4,2.9,2,Rob,1.9,7,0,12.4,410,150,False,113.4,365,142,490,,2019-12-09T10:00:19.335279Z,44,0,0,0,156074.jpg,2.3,0,0,Holding,0.2,False,,a,1,3,6.0,428,158,16,26405,1536,22262,355,0.4,3.6,Holding,0,6.956521739130436,18.553688457784666,2.6670927158065454,2.929676702377725,2.898747137097124,0.6061574354105784,1.2714865632854837,Arsenal
11,4,34,739,100.0,100.0,10,54694,0,0,-1,1,465.4,64,5,4,4,5.2,5.7,2,Pierre-Emerick,4.7,42,20,266.6,13,6,False,911.6,11,3,3046,,2020-01-08T14:00:18.333339Z,109,0,0,0,54694.jpg,5.4,1,0,Aubameyang,22.4,False,,a,1,3,1292.0,9,7,189,3817682,50609,4095557,26728,0.4,17.3,Aubameyang,3,35.0,167.72549828178694,4.792157093765341,4.142958954849405,3.0886819487346,0.4396474397949854,1.4515025309551857,Arsenal
12,6,16,378,100.0,100.0,5,59966,0,0,-3,3,337.4,118,19,2,4,5.4,5.9,1,Alexandre,4.9,24,10,173.0,49,19,False,536.4,108,14,1811,,2019-09-01T18:30:14.246208Z,92,0,0,0,59966.jpg,3.9,0,0,Lacazette,2.4,False,,a,1,3,853.0,34,19,114,449331,12699,546871,5559,0.5,12.4,Lacazette,8,29.23076923076923,101.3082474226804,3.46580846446012,3.9114244997234007,3.914722390773034,0.3767183113543609,1.1426432129974198,Arsenal
13,0,1,58,100.0,100.0,3,205533,0,0,-2,2,56.0,332,51,0,4,1.8,2.3,2,Edward,1.3,8,2,34.1,344,52,False,80.2,389,50,595,,2020-07-07T22:00:20.841098Z,43,0,0,0,205533.jpg,2.0,1,0,Nketiah,1.5,False,,a,1,3,208.0,190,51,24,329261,6228,330855,2495,0.3,5.6,Nketiah,0,12.0,30.8,2.566666666666667,2.375675675675676,1.9,0.5968992248062016,1.237756576904058,Arsenal
14,0,10,591,0.0,0.0,7,80201,0,0,-2,2,0.0,634,66,1,1,0.0,0.0,0,Bernd,0.0,39,0,84.1,187,8,False,843.2,23,8,2649,Knee injury - Expected back 01 Aug,2020-06-20T16:00:17.901135Z,48,0,0,1,80201.jpg,3.8,0,113,Leno,4.2,False,,i,1,3,0.0,628,63,114,737083,88,862838,2692,0.0,23.8,Leno,2,30.0,114.26278147419636,3.808759382473212,4.952480747700302,,0.7934915380152525,1.7384528582416874,Arsenal
15,3,1,256,100.0,100.0,5,37605,0,0,-6,6,582.9,36,29,0,3,0.5,1.0,0,Mesut,0.0,20,1,99.8,145,77,False,223.6,292,121,1439,,2020-06-28T19:30:23.392750Z,69,0,0,0,37605.jpg,2.9,0,0,Özil,1.1,False,,a,1,3,190.0,205,110,53,246219,158,307490,363,0.0,7.7,Özil,1,18.27586206896552,54.3085128439046,2.9715978725910057,5.148124845899559,,0.43066635834652256,1.131267976325257,Arsenal
16,0,0,3,0.0,0.0,1,57249,0,0,-3,3,33.9,369,184,0,3,0.0,0.0,0,Henrikh,0.0,0,0,8.6,429,185,False,5.4,479,202,110,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Aug,2019-09-02T23:30:14.832021Z,67,0,0,0,57249.jpg,1.3,0,0,Mkhitaryan,0.7,False,,n,1,3,46.0,349,168,4,23254,32,117359,38,0.0,0.6,Mkhitaryan,1,3.0769230769230766,5.324686704466574,1.7305231789516369,,,0.25828704163457267,0.6685594306951884,Arsenal
18,2,2,396,100.0,100.0,10,84450,0,0,-4,4,295.9,138,85,0,3,3.9,4.4,1,Granit,3.4,29,1,88.5,172,88,False,475.0,139,54,2496,,2020-06-17T22:00:16.575871Z,51,0,0,0,84450.jpg,2.4,0,0,Xhaka,0.8,False,,a,1,3,110.0,265,135,72,81653,1466,137117,955,0.7,14.1,Xhaka,9,30.0,64.76844450944256,2.158948150314752,2.1718252948868333,1.7381308305906595,0.42332316672838277,0.9559983095139998,Arsenal
19,1,0,245,100.0,100.0,3,198849,0,0,-3,3,205.5,192,121,0,3,0.6,1.1,0,Lucas,0.1,23,1,69.6,226,114,False,281.8,248,99,1483,,2020-06-19T01:30:19.551092Z,47,0,0,0,198849.jpg,1.6,0,0,Torreira,1.0,False,,a,1,3,207.0,192,103,45,100202,103,181321,209,0.0,9.6,Torreira,7,28.125,52.625463978461504,1.871127608123076,0.4398503281806366,0.3981850293918191,0.398112257047463,0.8630868063489898,Arsenal
20,0,0,0,0.0,0.0,0,153256,0,0,-3,3,0.0,550,219,6,3,0.0,0.0,0,Mohamed,0.0,0,0,0.0,568,221,False,0.0,564,218,0,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Aug,2019-08-31T11:30:14.714406Z,42,0,0,0,153256.jpg,0.0,0,0,Elneny,0.5,False,,n,1,3,0.0,524,208,0,131075,71,132241,354,0.0,0.0,Elneny,0,,,,,,,,Arsenal
21,2,2,272,,,3,242166,0,0,-4,4,235.1,172,107,0,3,0.5,1.0,0,Matteo,0.0,31,0,71.6,222,111,False,333.6,218,88,1744,,,41,0,0,0,242166.jpg,2.0,0,0,Guendouzi,7.2,False,,a,1,3,146.0,239,125,48,1291919,14569,1210510,11468,0.0,11.7,Guendouzi,6,24.0,52.355305435732745,2.1814710598221976,2.0981952981763463,,0.5320661121517556,1.077351765010466,Arsenal
106,1,10,488,100.0,100.0,8,41270,0,0,-3,3,106.1,267,76,2,2,2.9,3.4,1,David,2.4,40,2,98.3,149,38,False,684.0,53,18,2719,,2020-06-28T16:30:14.772979Z,57,0,0,0,41270.jpg,2.9,2,0,Luiz Moreira Marinho,5.1,False,,a,1,3,191.0,203,43,93,345978,9054,650845,2660,0.4,16.3,David Luiz,5,32.06896551724138,90.71331338769112,2.8286947185409046,2.4405162456156804,2.4979284163684237,0.4962622313229657,1.1848098382249355,Arsenal
