id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 5,value,valuePoints metric,team_name
1,1,0,24,100.0,100.0,0,69140,0,0,-3,3,0.8,0,2,1.2,1.2,0,Shkodran,0.7,2,0,7.5,False,19.8,90,,2019-11-28T23:00:21.541666Z,52,0,0,0,69140.jpg,4.0,0,0,Mustafi,0.3,False,,a,1,3,54.0,4,7947,42,32342,135,0.1,0.8,Mustafi,0,1.0,4.475512455047248,4.475512455047248,,0.8606754721244707,1.9626420446038395,Arsenal
2,0,0,26,75.0,75.0,0,98745,0,0,-1,1,22.7,0,2,0.5,0.5,0,HÃÂ©ctor,0.2,6,0,6.9,False,30.8,262,Hamstring injury - 75% chance of playing,2019-12-09T20:00:21.228098Z,54,0,0,0,98745.jpg,0.3,0,0,BellerÃÂ­n,0.3,False,,d,1,3,15.0,1,34674,24,34578,341,0.0,0.2,BellerÃÂ­n,2,3.333333333333333,4.375909096732838,1.3127727290198512,1.0001675837379789,0.24310606092960205,0.5649274352054606,Arsenal
3,2,1,196,0.0,0.0,1,111457,0,0,-3,3,149.6,0,2,0.0,0.0,0,Sead,1.3,17,0,37.8,False,174.4,928,Ankle injury - Expected back 11 Jan,2019-12-15T19:30:19.136195Z,52,0,0,0,111457.jpg,1.9,0,0,Kolasinac,0.6,False,,i,1,3,55.0,27,46958,11,112204,1076,0.2,5.2,Kolasinac,2,14.210526315789476,38.818565601284256,2.7316768386088923,2.4869909226499884,0.5253224689632485,1.1979195387286012,Arsenal
4,2,3,150,100.0,100.0,2,154043,0,0,-4,4,143.5,1,2,2.0,2.0,6,Ainsley,1.5,14,0,35.4,False,182.8,760,,2019-09-22T18:00:10.824841Z,46,0,0,0,154043.jpg,2.9,1,0,Maitland-Niles,2.6,False,,a,1,3,33.0,26,548323,1040,569302,593,0.3,5.7,Maitland-Niles,0,8.965517241379311,27.47861426395691,3.064922360210578,3.1547552238766228,0.6662874696109953,1.4290274188898076,Arsenal
5,0,2,224,100.0,0.0,2,39476,0,0,-1,1,30.7,0,2,0.8,0.0,0,Sokratis,0.3,23,1,44.3,False,340.2,1350,,2019-12-15T19:30:19.149412Z,49,0,0,0,39476.jpg,2.2,0,0,Papastathopoulos,1.4,False,,a,1,3,71.0,33,107545,179,148456,862,0.1,6.7,Sokratis,5,14.999999999999998,35.84159093529777,2.389439395686518,1.5698908432207357,0.4876406929972486,1.0794386887579583,Arsenal
6,0,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.3,False,,u,1,3,12.0,10,28041,5,87948,37,0.0,2.0,Monreal,0,3.0303030303030303,10.296280997029852,3.397772729019851,,0.6795545458039702,1.519530158836672,Arsenal
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,0,489,2,12451,8,0.0,0.0,Koscielny,0,,,,,,,Arsenal
8,0,0,0,100.0,100.0,0,233963,0,0,-1,1,0.0,0,2,0.5,0.5,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,a,1,3,0.0,0,812,24,4207,20,0.0,0.0,Mavropanos,0,,,,,,,Arsenal
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,334,3,2457,4,0.0,0.0,Jenkinson,0,,,,,,,Arsenal
10,0,0,9,75.0,75.0,0,156074,0,0,0,0,0.4,0,2,0.4,0.4,0,Rob,0.0,2,0,1.1,False,8.4,76,Knee injury - 75% chance of playing,2019-12-09T10:00:19.335279Z,45,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,,d,1,3,2.0,1,10338,7,12357,114,0.0,0.2,Holding,0,1.0,1.9227727290198515,1.9227727290198515,,0.4272828286710781,0.9064037569136674,Arsenal
