id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 4,value,valuePoints metric
474,0,0,0,,,0,88175,0,0,-1,1,0.0,0,1,-1.0,-1.0,0,Lovre,0.0,0,0,0.0,False,0.0,0,,,44,0,0,0,88175.jpg,0.0,0,0,Kalinic,0.1,False,,a,2,7,0.0,0,1161,34,3731,82,0.0,0.0,Kalinic,0,,,,,,
491,0,0,137,,,1,184704,0,0,-1,1,96.8,0,3,-0.2,-0.2,2,Marvelous,0.8,15,0,29.5,False,176.8,772,,,44,0,0,0,184704.jpg,2.0,0,0,Nakamba,1.1,False,,a,2,7,20.0,18,121148,592,70947,3219,0.2,4.1,Nakamba,1,9.0,19.31985948241305,2.1466510536014507,2.0746123980048736,0.4878752394548751,1.023375735886809
58,0,5,242,0.0,100.0,3,56917,0,0,0,0,35.1,2,2,0.4,2.8,0,Steve,2.8,20,1,49.7,False,355.2,1260,Wrist Injury - Unknown return date,2019-12-03T21:30:11.928847Z,50,0,0,0,56917.jpg,3.1,0,0,Cook,0.4,False,,i,3,91,105.0,43,34530,80,28452,6826,0.6,8.6,Steve Cook,2,13.870967741935484,41.71615226206085,3.007443535171829,2.5399194351140744,0.6014887070343657,1.3449696366272978
59,1,5,285,,,3,126184,-1,1,0,0,64.3,0,2,0.2,1.2,2,Nathan,1.2,21,1,57.9,False,346.0,1350,,,50,0,0,0,126184.jpg,3.3,0,0,AkÃ©,13.1,False,,a,3,91,169.0,49,501110,5783,776809,43554,0.2,9.6,AkÃ©,1,14.84848484848485,49.21385094155775,3.314402206268175,2.836918933058993,0.662880441253635,1.4822457275981837
60,0,0,18,0.0,0.0,0,41320,0,0,-2,2,29.6,0,2,0.0,0.0,0,Charlie,0.0,2,0,5.2,False,22.4,126,Knee injury - Unknown return date,2019-08-25T15:30:14.994228Z,43,0,0,0,41320.jpg,1.5,0,0,Daniels,0.1,False,,i,3,91,0.0,3,3132,11,16111,104,0.0,0.7,Daniels,0,2.0,5.061398698250635,2.5306993491253174,,0.588534732354725,1.220411596187018
61,0,2,65,100.0,100.0,0,223911,0,0,-2,2,3.9,1,2,-0.5,0.5,2,Chris,0.5,8,1,21.4,False,117.2,361,,2019-10-04T11:30:13.479244Z,43,0,0,0,223911.jpg,3.0,0,0,Mepham,0.8,False,,a,3,91,93.0,15,84836,136,100256,757,0.1,3.5,Mepham,0,5.0,16.403496745626587,3.2806993491253174,3.7226783282134353,0.7629533370058877,1.5820937128148271
62,0,0,14,100.0,100.0,0,15149,0,0,-1,1,22.9,0,2,-1.2,-0.2,1,Simon,-0.2,3,0,8.5,False,26.0,98,,2019-11-23T17:00:22.119134Z,44,0,0,0,15149.jpg,0.2,1,0,Francis,0.0,False,,a,3,91,36.0,1,1119,76,1136,56,0.0,0.2,Francis,0,5.0,6.003496745626588,1.2006993491253175,,0.2728862157102994,0.5724109551612613
63,1,3,163,0.0,75.0,3,54469,0,0,-2,2,74.5,1,2,0.0,0.8,2,Adam,1.0,12,0,27.6,False,128.4,837,Ankle injury - Unknown return date,2019-11-30T15:00:18.860871Z,43,0,0,0,54469.jpg,3.2,0,0,Smith,0.8,False,,i,3,91,73.0,32,58767,184,102723,6457,0.2,7.4,Adam Smith,2,10.0,31.843793491253177,3.1843793491253187,2.684703108796687,0.7405533370058881,1.5356440841833738
64,0,0,0,25.0,25.0,0,235530,0,0,-1,1,0.0,0,2,-0.2,0.0,0,Lloyd,0.0,0,0,0.0,False,0.0,0,Thigh injury - 25% chance of playing,2019-11-11T23:30:19.870065Z,44,0,0,0,235530.jpg,0.0,0,0,Kelly,0.1,False,,d,3,91,0.0,0,3603,145,6974,209,0.0,0.0,Kelly,0,,,,,,
65,2,5,214,,,4,171129,0,0,3,-3,310.6,1,2,1.5,2.5,9,Diego,2.5,13,0,62.7,False,266.2,1028,,,43,0,0,0,171129.jpg,3.6,0,0,Rico,13.7,False,,a,3,91,48.0,43,970644,31928,405298,12829,0.6,10.0,Rico,4,11.944444444444445,38.19306444788574,3.1975588840090388,3.2581540340011927,0.7436183451183811,1.5419998202805922
66,0,0,0,,,0,222434,0,0,-1,1,0.0,0,2,-1.0,0.0,0,Jack,0.0,0,0,0.0,False,0.0,0,,,39,0,0,0,222434.jpg,0.0,0,0,Simpson,6.6,False,,a,3,91,0.0,0,200831,14540,289644,7782,0.0,0.0,Simpson,0,,,,,,
67,3,4,190,,,3,75115,-1,1,-5,5,217.0,1,4,1.0,2.0,2,Callum,2.0,21,5,81.0,False,233.4,1310,,,75,0,0,0,75115.jpg,4.0,0,0,Wilson,6.4,False,,a,3,91,363.0,60,736414,2442,1470171,49671,0.3,7.9,Callum Wilson,3,15.0,58.2104,3.8806933333333333,2.3962913868832274,0.5174257777777778,1.417028851617721
68,3,6,161,0.0,0.0,2,78007,0,0,-3,3,215.1,1,4,0.0,0.0,0,Joshua,0.5,15,3,71.3,False,248.4,1006,Hamstring injury - Unknown return date,2019-11-18T23:00:14.125607Z,62,0,0,0,78007.jpg,4.2,0,0,King,4.5,False,,i,3,91,249.0,50,604085,99,1568557,30671,0.1,8.1,King,0,11.904761904761903,51.4104,4.3184736,7.705919120415686,0.6965279999999999,1.734340733437579
69,0,0,34,100.0,100.0,1,154566,-1,1,-3,3,116.3,0,4,0.0,1.0,1,Dominic,1.0,10,0,41.0,False,52.0,661,,2019-11-24T12:00:21.142150Z,52,0,0,0,154566.jpg,1.5,0,0,Solanke,0.3,False,,a,3,91,243.0,19,23813,216,41891,650,0.2,3.7,Solanke,1,12.666666666666664,28.3,2.2342105263157888,2.474999999999999,0.429655870445344,0.9797661294627205
71,0,0,0,0.0,0.0,0,217331,-1,1,-2,2,0.0,0,4,0.0,0.0,0,Sam,0.0,0,0,0.0,False,0.0,0,Joined Swansea City on loan until the end of the season on 6/8. - Expected back 01 Jul,2019-08-07T20:00:14.104634Z,43,0,0,0,217331.jpg,0.0,0,0,Surridge,0.5,False,,n,3,91,0.0,0,41145,622,69413,832,0.0,0.0,Surridge,0,,,,,,
72,0,0,0,0.0,0.0,0,40349,-1,1,-3,3,0.0,0,1,0.0,0.0,0,Asmir,0.0,0,0,0.0,False,0.0,0,Joined Qarabag on loan until January on 2/9. - Expected back 01 Feb,2019-09-02T17:00:12.309749Z,42,0,0,0,40349.jpg,0.0,0,0,Begovic,0.9,False,,n,3,91,0.0,0,11670,19,144796,1019,0.0,0.0,Begovic,0,,,,,,
73,0,0,0,,,0,18726,0,0,-2,2,0.0,0,1,-1.0,0.0,0,Artur,0.0,0,0,0.0,False,0.0,0,,,43,0,0,0,18726.jpg,0.0,0,0,Boruc,0.3,False,,a,3,91,0.0,0,5879,67,17095,258,0.0,0.0,Boruc,0,,,,,,
74,0,0,0,,,0,229600,0,0,-2,2,0.0,0,1,-1.0,0.0,0,Mark,0.0,0,0,0.0,False,0.0,0,,,43,0,0,0,229600.jpg,0.0,0,0,Travers,0.2,False,,a,3,91,0.0,0,2427,12,10600,114,0.0,0.0,Travers,0,,,,,,
75,3,2,140,100.0,100.0,3,90105,0,0,-6,6,268.1,0,3,2.2,3.2,1,Ryan,3.2,15,1,67.4,False,180.0,985,,2019-11-29T10:30:15.625182Z,69,0,0,0,90105.jpg,2.9,0,0,Fraser,3.1,False,,a,3,91,228.0,41,115035,1026,1068901,6001,0.5,5.9,Fraser,2,14.13793103448276,43.1232166650119,3.050178739720353,2.796854399185853,0.4420548898145439,1.161183201179618
76,0,0,0,0.0,0.0,0,111317,0,0,-2,2,0.0,0,3,0.0,0.0,0,David,0.0,0,0,0.0,False,0.0,0,Ankle injury - Unknown return date,2019-07-31T21:00:14.727782Z,63,0,0,0,111317.jpg,0.0,0,0,Brooks,0.1,False,,i,3,91,0.0,0,581,16,18048,57,0.0,0.0,Brooks,0,,,,,,
77,0,0,0,0.0,0.0,0,56872,0,0,-1,1,0.0,0,3,0.0,0.0,0,Junior,0.0,0,0,0.0,False,0.0,0,Knee injury - Unknown return date,2019-06-25T11:30:06.990995Z,59,0,0,0,56872.jpg,0.0,0,0,Stanislas,0.0,False,,i,3,91,0.0,0,199,8,364,9,0.0,0.0,Stanislas,0,,,,,,
78,0,0,10,,,0,103912,0,0,-3,3,5.4,0,3,-1.0,0.0,0,Jordon,0.0,1,0,1.2,False,6.8,48,,,47,0,0,0,103912.jpg,1.0,0,0,Ibe,0.2,False,,a,3,91,0.0,2,5496,75,20424,262,0.0,0.4,Ibe,0,2.0,2.4403496745626594,1.2201748372813297,,0.25961166750666587,0.5628246833217967
79,1,0,91,100.0,100.0,1,155408,0,0,0,0,75.5,0,3,1.5,2.5,1,Lewis,2.5,8,0,18.3,False,81.8,430,,2019-06-25T11:30:07.007116Z,50,0,0,0,155408.jpg,2.0,0,0,Cook,0.0,False,,a,3,91,25.0,18,3672,162,2535,195,0.5,3.6,Lewis Cook,0,9.0,18.91837353553197,2.102041503947996,2.590902609263034,0.42040830078959923,0.9400615388707224
80,0,0,9,0.0,0.0,0,15237,0,0,-3,3,2.2,0,3,0.0,0.0,0,Andrew,0.0,1,0,0.9,False,6.4,57,Knee injury - Unknown return date,2019-11-01T23:00:18.535691Z,47,0,0,0,15237.jpg,1.0,0,0,Surman,0.0,False,,i,3,91,0.0,3,922,9,3660,56,0.0,0.6,Surman,0,3.0,3.660524511843988,1.2201748372813297,,0.25961166750666587,0.5628246833217967
81,0,0,3,100.0,100.0,0,40387,0,0,-1,1,10.3,0,3,-0.5,0.5,0,Dan,0.5,0,0,3.3,False,2.4,30,,2019-07-30T10:30:13.907385Z,49,0,0,0,40387.jpg,1.0,0,0,Gosling,0.0,False,,a,3,91,22.0,2,293,24,939,32,0.1,0.4,Gosling,0,2.0,4.240349674562658,2.1201748372813296,,0.43268874230231213,0.9577973605122682
82,0,0,141,100.0,100.0,2,152551,0,0,-2,2,70.4,0,3,-0.2,0.8,1,Jefferson,0.8,16,0,27.1,False,155.2,1048,,2019-11-02T14:30:18.542355Z,48,0,0,0,152551.jpg,1.5,0,0,Lerma,0.1,False,,a,3,91,45.0,19,7055,107,15397,214,0.2,4.0,Lerma,7,12.666666666666664,21.888881272230172,1.7280695741234346,1.5504904566567457,0.3600144946090489,0.7887522389047924
446,0,0,50,,,0,154131,0,0,-2,2,17.4,0,2,-0.8,0.2,0,Jack,0.2,8,0,11.9,False,75.8,436,,,43,0,0,0,154131.jpg,1.2,0,0,Stacey,0.1,False,,a,3,91,25.0,6,2249,33,7328,110,0.0,1.4,Stacey,2,5.0,11.303496745626587,2.2606993491253182,1.4594108208648198,0.5257440346803066,1.0902060342010074
476,1,0,157,100.0,100.0,3,168991,0,0,0,0,87.7,0,3,-0.2,0.8,1,Philip,0.8,17,0,51.6,False,263.8,1159,,2019-11-23T20:00:18.721417Z,50,0,0,0,168991.jpg,1.9,0,0,Billing,0.1,False,,a,3,91,164.0,26,13840,94,16739,363,0.2,5.2,Billing,6,13.68421052631579,29.149718825955034,2.1301717603582526,1.4760971451573184,0.4260343520716505,0.9526417719822889
492,1,0,49,100.0,100.0,2,220307,0,0,-2,2,38.6,0,3,1.5,2.5,3,Arnaut,2.5,3,0,18.0,False,43.2,315,,2019-08-12T10:00:14.019366Z,58,0,0,0,220307.jpg,2.0,0,0,Danjuma Groeneveld,0.0,False,,a,3,91,98.0,16,843,70,4164,58,0.4,2.8,Danjuma,0,8.0,17.198198698250636,2.149774837281329,2.370507017279926,0.37065083401402227,0.8926454146976187
494,1,7,283,,,3,225321,-1,1,1,-1,10.0,2,1,1.2,2.2,2,Aaron,2.2,21,0,37.8,False,367.6,1350,,,46,0,0,0,225321.jpg,3.8,0,50,Ramsdale,4.0,False,,a,3,91,0.0,57,368571,4161,114597,20946,0.5,12.1,Ramsdale,0,15.0,55.84729023687978,3.723152682458652,2.869801479923524,0.809381017925794,1.7359288891027576
505,0,5,190,0.0,,2,153682,0,0,0,0,135.9,2,3,0.0,6.2,2,Harry,6.2,16,6,73.1,False,269.6,873,Ineligible to face his parent club on 7/12. - Expected back 14 Dec,2019-12-04T12:30:15.337072Z,60,0,0,0,153682.jpg,4.2,0,0,Wilson,3.2,False,,n,3,91,324.0,59,496125,6388,371904,51163,1.0,9.8,Harry Wilson,1,14.047619047619047,44.29293223799962,3.1530561932135326,3.2657352349408626,0.5255093655355888,1.2872298006159204
564,0,0,0,,,0,461017,0,0,0,0,0.0,0,3,-1.0,0.0,0,Christian,0.0,0,0,0.0,False,0.0,0,,,45,0,0,0,461017.jpg,0.0,0,0,Saydee,0.0,False,,a,3,91,0.0,0,65,34,18,10,0.0,0.0,Saydee,0,,,,,,
565,0,0,0,,,0,444183,0,0,0,0,0.0,0,3,-1.0,0.0,0,Gavin,0.0,0,0,0.0,False,0.0,0,,,45,0,0,0,444183.jpg,0.0,0,0,Kilkenny,0.0,False,,a,3,91,0.0,0,52,27,15,12,0.0,0.0,Kilkenny,0,,,,,,
37,0,0,111,100.0,100.0,1,61933,0,0,-1,1,3.5,0,2,0.8,0.3,1,Shane,0.8,10,1,19.9,False,144.6,616,,2019-09-25T22:00:12.331496Z,49,0,0,0,61933.jpg,2.4,0,0,Duffy,1.1,False,,a,4,36,52.0,22,39993,632,151924,1735,0.2,4.5,Duffy,0,9.166666666666668,28.43371245477837,3.1018595405212768,2.9318158196655038,0.6330325592900564,1.4012773042815123
38,1,3,186,100.0,100.0,4,86153,0,0,0,0,161.8,1,2,0.8,0.3,1,MartÃ­n,0.8,16,0,44.0,False,187.6,1057,,2019-09-14T16:30:10.724610Z,45,0,0,0,86153.jpg,2.8,0,0,Montoya,0.7,False,,a,4,36,89.0,39,65782,924,67687,2049,0.2,8.7,Montoya,3,13.928571428571427,35.220492950767124,2.5286507759525114,1.7280830126139843,0.5619223946561136,1.1920174072857639
39,0,0,14,100.0,100.0,0,209362,0,0,-2,2,16.2,0,2,0.0,-0.5,0,Bernardo,0.0,3,0,2.9,False,10.8,67,,2019-09-14T16:30:10.738160Z,43,0,0,0,209362.jpg,1.0,0,0,Fernandes da Silva Junior,0.1,False,,a,4,36,2.0,2,1635,48,8129,46,0.0,0.5,Bernardo,0,2.0,3.49099180831528,1.74549590415764,,0.4059292800366605,0.8417528709078755
40,0,0,0,100.0,100.0,0,52484,0,0,-1,1,0.0,0,2,0.0,-0.5,0,Leon,0.0,0,0,0.0,False,0.0,0,,2019-09-12T13:00:14.154646Z,44,0,0,0,52484.jpg,0.0,0,0,Balogun,0.1,False,,a,4,36,0.0,0,876,23,4131,48,0.0,0.0,Balogun,0,,,,,,
41,0,0,15,,,0,42748,0,0,-2,2,27.9,0,2,0.0,-0.5,0,GaÃ«tan,0.0,3,0,5.0,False,16.0,57,,,43,0,0,0,42748.jpg,0.8,0,0,Bong,0.1,False,,a,4,36,6.0,3,1837,50,6404,102,0.0,0.7,Bong,0,3.75,6.39560964059115,1.70549590415764,,0.39662695445526513,0.8224631580210591
42,2,9,301,100.0,100.0,4,83299,1,-1,2,-2,75.2,2,2,4.0,3.5,2,Lewis,4.0,20,2,55.3,False,351.4,1260,,2019-11-10T16:30:22.420611Z,47,0,0,0,83299.jpg,4.1,0,0,Dunk,12.2,False,,a,4,36,127.0,58,833271,71734,541875,7708,0.9,12.6,Dunk,5,14.146341463414636,44.219639619791,3.1258710765714324,4.6363812503113415,0.6650789524620069,1.4418568102059974
43,0,0,0,0.0,0.0,0,178173,0,0,-1,1,0.0,0,2,0.0,0.0,0,Matthew,0.0,0,0,0.0,False,0.0,0,Joined Derby County on loan until the end of the season on 2/8. - Expected back 01 Jul,2019-08-02T11:00:13.040927Z,44,0,0,0,178173.jpg,0.0,0,0,Clarke,0.0,False,,n,4,36,0.0,0,268,7,1120,13,0.0,0.0,Clarke,0,,,,,,
44,0,0,17,,,2,20529,0,0,-5,5,29.6,0,4,0.5,0.0,0,Glenn,0.5,4,0,8.1,False,8.0,328,,,55,0,0,0,20529.jpg,1.3,0,0,Murray,0.8,False,,a,4,36,47.0,13,41706,342,208819,1273,0.1,2.4,Murray,0,10.0,16.6,1.66,1.000000000000001,0.3018181818181818,0.7078263783006267
45,0,0,5,0.0,0.0,1,106757,0,0,-3,3,1.3,0,4,0.0,0.0,0,JÃ¼rgen,0.0,1,0,3.3,False,3.2,85,Joined TSG Hoffenheim on loan until the end of the season on 29/8. - Expected back 01 Jul,2019-08-29T13:00:09.129312Z,52,0,0,0,106757.jpg,1.5,0,0,Locadia,0.1,False,,n,4,36,30.0,3,6487,7,23023,60,0.0,0.6,Locadia,0,2.0,4.6,2.3,,0.44230769230769224,1.0086167222030835
46,0,1,20,0.0,0.0,0,93284,0,0,-2,2,11.3,0,4,0.0,0.0,0,Florin,0.0,2,1,7.6,False,45.0,71,Joined Galatasaray on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-08-24T16:30:09.164349Z,48,0,0,0,93284.jpg,1.7,1,0,Andone,0.4,False,,n,4,36,21.0,5,159401,8,192669,496,0.0,1.0,Andone,0,2.9411764705882355,1.4,0.4759999999999999,,0.09916666666666665,0.21726328114371585
47,0,11,342,,,4,131897,0,0,3,-3,0.0,0,1,3.8,3.3,3,Mathew,3.8,22,0,47.7,False,477.4,1350,,,48,0,0,0,131897.jpg,4.2,0,60,Ryan,17.3,False,,a,4,36,0.0,63,810711,34834,468072,9418,0.8,13.1,Ryan,0,15.0,58.182438562364595,3.8788292374909727,3.625937437251937,0.808089424477286,1.7704352250703075
48,0,0,0,,,0,50093,0,0,0,0,0.0,0,1,0.0,-0.5,0,David,0.0,0,0,0.0,False,0.0,0,,,40,0,0,0,50093.jpg,0.0,0,0,Button,21.5,False,,a,4,36,0.0,0,380185,3264,542173,17672,0.0,0.0,Button,0,,,,,,
49,3,2,183,,,3,60307,0,0,-1,1,540.2,0,3,1.8,1.3,1,Pascal,1.8,13,1,97.9,False,211.4,947,,,64,0,0,0,60307.jpg,3.0,0,0,GroÃ,0.6,False,,a,4,36,227.0,42,84842,952,102970,1765,0.3,6.6,GroÃ,1,14.0,44.319635664551754,3.1656882617536963,3.3859447500540414,0.494638790899015,1.2513481586501227
50,0,0,0,100.0,100.0,0,165210,0,0,-2,2,0.0,0,3,0.0,-0.5,0,Alireza,0.0,0,0,0.0,False,0.0,0,,2019-09-19T14:00:12.919069Z,58,0,0,0,165210.jpg,0.0,0,0,Jahanbakhsh,0.1,False,,a,4,36,0.0,0,787,17,4657,54,0.0,0.0,Jahanbakhsh,0,,,,,,
51,0,0,0,0.0,0.0,0,167473,0,0,-1,1,0.0,0,3,0.0,0.0,0,JosÃ© Heriberto,0.0,0,0,0.0,False,0.0,0,Knee injury - Unknown return date,2019-06-25T11:30:06.929510Z,54,0,0,0,167473.jpg,0.0,0,0,Izquierdo Mena,0.0,False,,i,4,36,0.0,0,108,2,202,7,0.0,0.0,Izquierdo,0,,,,,,
52,0,0,0,0.0,0.0,0,83543,0,0,-1,1,0.0,0,3,0.0,0.0,0,Anthony,0.0,0,0,0.0,False,0.0,0,Joined Fulham on loan until the end of the season on 21/7. - Expected back 01 Jul,2019-07-21T20:00:14.555249Z,54,0,0,0,83543.jpg,0.0,0,0,Knockaert,0.0,False,,n,4,36,0.0,0,175,6,812,12,0.0,0.0,Knockaert,0,,,,,,
53,0,0,21,100.0,100.0,0,227127,0,0,0,0,26.0,0,3,0.8,0.3,0,Yves,0.8,3,0,4.6,False,12.8,144,,2019-06-25T11:30:06.944296Z,50,0,0,0,227127.jpg,1.2,0,0,Bissouma,0.0,False,,a,4,36,7.0,6,596,23,658,31,0.2,1.2,Bissouma,0,5.0,6.931869880197049,1.38637397603941,1.7426661026939445,0.277274795207882,0.6200052905321571
54,1,0,175,100.0,100.0,3,66242,0,0,-1,1,181.6,0,3,1.2,0.7,2,Davy,1.2,20,0,52.1,False,205.8,1170,,2019-09-29T10:30:09.519275Z,49,1,0,0,66242.jpg,2.2,0,0,PrÃ¶pper,0.4,False,,a,4,36,133.0,28,81103,163,82782,645,0.2,5.7,PrÃ¶pper,2,12.727272727272727,32.40883242231976,2.546408261753696,2.236981487407664,0.5196751554599379,1.150349994258844
55,1,3,88,0.0,0.0,2,109345,0,0,-3,3,141.6,0,3,0.0,0.0,0,Solomon,0.8,10,0,37.7,False,114.4,598,Groin Injury - Expected back 01 Jan,2019-11-28T14:00:24.105131Z,47,0,0,0,109345.jpg,2.6,0,0,March,0.2,False,,i,4,36,120.0,21,32616,11,51465,1191,0.2,4.5,March,1,8.076923076923077,21.14212826801062,2.6175968331822674,1.6935623206881063,0.556935496421759,1.2074073843241107
56,0,0,0,0.0,0.0,0,38490,0,0,-2,2,0.0,0,3,0.0,0.0,0,Beram,0.0,0,0,0.0,False,0.0,0,Joined Charlton Athletic on loan until the end of the season on 8/8. - Expected back 01 Jul,2019-08-08T22:00:09.076501Z,43,0,0,0,38490.jpg,0.0,0,0,Kayal,0.3,False,,n,4,36,0.0,0,25457,4449,13925,2126,0.0,0.0,Kayal,0,,,,,,
57,0,0,210,,,4,40845,-1,1,-1,1,147.3,0,3,1.5,1.0,2,Dale,1.5,20,0,44.2,False,222.6,1322,,,44,0,0,0,40845.jpg,2.0,0,0,Stephens,2.4,False,,a,4,36,72.0,30,150782,3457,192420,4811,0.3,6.8,Stephens,4,15.0,31.495609640591148,2.0997073093727434,2.039721932897799,0.47720620667562347,1.000996183926216
421,3,2,122,100.0,100.0,0,116216,0,0,-2,2,210.7,1,3,2.0,1.5,1,Leandro,2.0,11,2,53.1,False,137.0,483,,2019-11-16T11:00:16.932007Z,58,0,0,0,116216.jpg,3.8,0,0,Trossard,0.3,False,,a,4,36,186.0,34,65323,737,93266,1598,0.3,5.9,Trossard,0,8.947368421052632,32.67795662772103,3.652242211333527,2.566300704015787,0.6296969329885391,1.5165110349113855
475,0,0,241,,,4,78916,0,0,0,0,191.8,0,2,1.0,0.5,2,Dan,1.0,22,0,57.8,False,298.4,1350,,,45,0,0,0,78916.jpg,2.4,0,0,Burn,0.3,False,,a,4,36,89.0,36,23940,559,16469,595,0.2,8.0,Burn,1,15.0,37.78243856236461,2.5188292374909738,2.355332723694646,0.5597398305535497,1.1873874896538723
493,0,2,194,100.0,100.0,2,110735,0,0,-1,1,87.3,0,2,2.2,1.7,8,Adam,2.2,16,2,47.7,False,254.2,935,,2019-11-02T18:00:16.279714Z,44,1,0,0,110735.jpg,2.9,0,0,Webster,0.2,False,,a,4,36,134.0,32,18530,1505,15663,279,0.5,7.3,Webster,2,11.034482758620687,25.926161701049814,2.34955840415764,3.014587845062392,0.5339905463994635,1.1201080198059425
502,0,10,165,,,4,115382,0,0,-2,2,152.8,1,4,3.5,3.0,9,Neal,3.5,15,5,100.5,False,213.2,1064,,,58,0,0,0,115382.jpg,3.7,0,0,Maupay,1.0,False,,a,4,36,643.0,56,195290,8521,165271,4563,0.6,9.7,Maupay,1,15.135135135135135,64.6,4.2682142857142855,4.539999999999997,0.7358990147783251,1.772279517378654
516,1,3,100,100.0,100.0,2,74471,0,0,-2,2,129.9,0,3,3.0,2.5,8,Aaron,3.0,9,0,31.4,False,125.8,542,,2019-10-19T16:00:16.584270Z,48,0,0,0,74471.jpg,2.2,1,0,Mooy,0.2,False,,a,4,36,60.0,20,9397,1360,19033,257,0.6,4.2,Mooy,0,9.09090909090909,22.031108873085547,2.4234219760394105,5.088689949434738,0.5048795783415438,1.106135735525441
534,2,3,83,100.0,100.0,2,233425,0,0,2,-2,49.6,1,4,1.2,0.7,2,Aaron,1.2,11,2,39.2,False,85.4,558,,2019-11-11T12:00:15.203640Z,47,0,0,0,233425.jpg,3.0,0,0,Connolly,2.4,False,,a,4,36,263.0,33,339473,6704,186539,16440,0.3,7.0,Connolly,0,11.0,28.9736,2.633963636363636,2.3534220315863625,0.5604177949709864,1.21495682767935
536,0,0,0,,,0,213056,0,0,0,0,0.0,0,2,0.0,-0.5,0,Tudor,0.0,0,0,0.0,False,0.0,0,,,40,0,0,0,213056.jpg,0.0,0,0,Baluta,0.2,False,,a,4,36,0.0,0,19755,636,10703,532,0.0,0.0,Baluta,0,,,,,,
537,0,0,97,100.0,100.0,3,235382,0,0,0,0,126.2,0,3,1.2,0.7,2,Steven,1.2,9,0,33.2,False,94.6,654,,2019-10-06T11:00:17.795404Z,45,0,0,0,235382.jpg,2.0,0,0,Alzate,0.1,False,,a,4,36,111.0,18,8259,348,3903,347,0.3,4.0,Alzate,1,9.0,20.87736578435469,2.319707309372744,2.11657503181992,0.5154905131939431,1.0935205125503118
546,0,0,6,,,0,74375,0,0,0,0,1.2,0,2,0.2,-0.3,0,Ezequiel,0.2,2,0,0.4,False,1.0,41,,,40,0,0,0,74375.jpg,1.0,0,0,Schelotto,0.4,False,,a,4,36,4.0,3,35017,3494,11285,1511,0.0,0.8,Schelotto,0,3.0,5.23648771247292,1.74549590415764,1.4915111661456546,0.43637397603941,0.87274795207882
83,0,0,235,,,5,51927,0,0,0,0,55.4,0,2,2.3,1.8,0,Ben,2.8,24,0,51.1,False,304.0,1350,,,50,0,0,0,51927.jpg,2.5,0,0,Mee,0.8,False,,a,5,90,151.0,38,44155,557,48987,2544,0.6,7.6,Mee,2,15.2,41.10408689096572,2.7042162428266923,1.995191801484039,0.5408432485653385,1.2093622689639125
84,2,9,269,100.0,100.0,5,17761,0,0,1,-1,55.0,2,2,7.0,6.5,0,James,7.5,24,1,62.8,False,354.6,1350,,2019-08-03T18:30:13.047591Z,51,0,0,0,17761.jpg,3.8,0,0,Tarkowski,3.7,False,,a,5,90,219.0,57,249246,26795,113602,18152,1.5,11.2,Tarkowski,4,15.0,55.713159431874075,3.714210628791605,4.204513838609492,0.7282765938807069,1.6446801104445412
85,1,0,182,,,3,68983,0,0,0,0,170.5,0,2,-0.5,-1.0,0,Matthew,0.0,18,0,39.8,False,211.6,990,,,45,0,0,0,68983.jpg,2.6,0,0,Lowton,0.6,False,,a,5,90,15.0,29,96691,92,80342,5903,0.0,6.4,Lowton,1,11.153846153846152,32.989292910880714,2.957660743734133,,0.6572579430520296,1.3942546455624354
86,0,0,65,75.0,100.0,2,17997,0,0,-2,2,17.4,0,2,1.9,2.0,0,Phil,3.0,6,0,10.0,False,62.6,360,Knock - 75% chance of playing,2019-12-05T14:00:19.704275Z,43,0,0,0,17997.jpg,3.0,0,0,Bardsley,0.2,False,,d,5,90,20.0,12,6881,495,9103,849,0.7,2.8,Bardsley,1,4.0,10.790549181833084,2.697637295458271,,0.627357510571691,1.3009162225539546
87,0,0,61,25.0,50.0,2,103914,0,0,-3,3,41.3,0,2,0.7,1.1,0,Charlie,3.2,0,0,9.7,False,53.2,295,Hamstring injury - 25% chance of playing,2019-11-30T18:30:12.146951Z,42,0,0,0,103914.jpg,3.0,0,0,Taylor,0.8,False,,d,5,90,2.0,15,46028,713,85563,6391,0.8,3.6,Taylor,0,5.0,13.913186477291354,2.7826372954582714,3.018692749887165,0.6625326893948265,1.357787969813518
88,0,0,0,50.0,100.0,0,41674,0,0,-2,2,0.0,0,2,-0.2,-1.0,0,Kevin,0.0,0,0,0.0,False,0.0,0,Hip injury - 50% chance of playing,2019-12-05T14:00:19.724270Z,43,0,0,0,41674.jpg,0.0,0,0,Long,0.1,False,,d,5,90,0.0,0,3042,59,7228,283,0.0,0.0,Long,0,,,,,,
