id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,ppg_estimate,ppg next 5,ppg next 10,value,valuePoints_metric,games_played
1,0,0,0,,,0,69140,0,0,-2,2,0.0,0,2,1.0,0.5,0,Shkodran,0.0,0,0,0.0,False,0.0,0,,,53,0,0,0,69140.jpg,0.0,0,0,Mustafi,0.4,False,,a,1,3,0.0,0,4611,282,23615,1179,0.0,0.0,Mustafi,0,2.6,2.6,2.6000000000000005,0.4905660377358491,1.1293678311839803,0.0
2,0,0,0,25.0,0.0,0,98745,0,0,-1,1,0.0,0,2,0.0,0.0,0,Héctor,0.0,0,0,0.0,False,0.0,0,Lack of match fitness - 25% chance of playing,2019-06-25T11:30:06.897107Z,54,0,0,0,98745.jpg,0.0,0,0,Bellerín,0.1,False,,d,1,3,0.0,0,1272,295,5057,303,0.0,0.0,Bellerín,0,3.2,3.2,3.1999999999999997,0.5925925925925926,1.3770607453181927,0.0
3,1,0,38,75.0,100.0,0,111457,0,0,-1,1,58.0,0,2,2.3,1.8,3,Sead,1.3,4,0,12.0,False,48.8,199,Muscle injury - 75% chance of playing,2019-09-19T23:30:10.394662Z,54,0,0,0,111457.jpg,1.7,0,0,Kolasinac,0.9,False,,d,1,3,13.0,5,20497,6266,59786,2857,0.2,0.9,Kolasinac,1,1.9000000000000001,2.192,2.469,0.35185185185185186,0.8176298175326769,2.2111111111111112
4,2,3,104,,,1,154043,0,0,1,-1,95.6,1,2,3.0,2.5,4,Ainsley,2.0,8,0,25.5,False,136.4,450,,,51,0,0,0,154043.jpg,4.0,0,0,Maitland-Niles,7.4,False,,a,1,3,23.0,20,490089,57286,192639,18163,0.4,3.9,Maitland-Niles,0,3.7,2.468,3.2730000000000006,0.7254901960784315,1.6383875382491764,5.0
5,0,2,83,,,1,39476,0,0,0,0,12.5,0,2,1.7,1.2,1,Sokratis,0.7,8,0,11.4,False,99.4,450,,,50,0,0,0,39476.jpg,2.4,0,0,Papastathopoulos,2.0,False,,a,1,3,2.0,12,61353,4626,59364,7536,0.1,2.4,Sokratis,1,2.42,1.3519999999999999,2.183,0.484,1.0822569011098981,5.0
6,0,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.3,4,0,10.0,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.5,False,,u,1,3,12.0,10,27831,32,74770,5999,0.1,2.0,Monreal,0,3.37,2.772,3.173,0.674,1.5071098168348582,3.0
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,0,238,21,11277,282,0.0,0.0,Koscielny,0,3.6,3.6,3.6000000000000005,0.72,1.6099689437998486,0.0
8,0,0,0,50.0,0.0,0,233963,0,0,-1,1,0.0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,Lack of match fitness - 50% chance of playing,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,d,1,3,0.0,0,187,17,3172,131,0.0,0.0,Mavropanos,0,2.0,2.0,2.0,0.45454545454545453,0.9534625892455924,0.0
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,129,10,1992,74,0.0,0.0,Jenkinson,0,2.0,2.0,2.0,0.4444444444444444,0.9428090415820634,0.0
10,0,0,0,100.0,100.0,0,156074,0,0,0,0,0.0,0,2,1.0,0.5,0,Rob,0.0,0,0,0.0,False,0.0,0,,2019-06-25T11:30:06.913215Z,45,0,0,0,156074.jpg,0.0,0,0,Holding,0.1,False,,a,1,3,0.0,0,2401,1164,3333,320,0.0,0.0,Holding,0,2.4,2.4,2.3999999999999995,0.5333333333333333,1.131370849898476,0.0
11,1,7,156,,,1,54694,0,0,0,0,79.5,1,4,10.0,9.5,13,Pierre-Emerick,9.0,8,5,54.1,False,203.6,450,,,110,0,0,0,54694.jpg,7.8,0,0,Aubameyang,23.1,False,,a,1,3,259.0,39,459578,99112,699100,34232,0.8,3.5,Aubameyang,1,7.24,7.494,7.203,0.6581818181818182,2.1829421347430085,5.0
12,0,2,49,0.0,0.0,0,59966,0,0,-1,1,24.4,0,4,0.0,0.0,0,Alexandre,2.0,3,2,23.3,False,78.8,145,Ankle injury - Expected back 21 Oct,2019-09-01T18:30:14.246208Z,94,0,0,0,59966.jpg,4.7,0,0,Lacazette,1.9,False,,i,1,3,129.0,14,70673,591,193603,31042,0.2,1.5,Lacazette,1,4.68,5.784000000000001,5.638000000000002,0.49787234042553186,1.5264476909450546,1.6111111111111112
13,0,0,0,0.0,0.0,0,205533,0,0,-1,1,0.0,0,4,0.0,0.0,0,Edward,0.0,0,0,0.0,False,0.0,0,Joined Leeds United on loan until the end of the season on 8/8. - Expected back 01 Jul,2019-08-08T15:30:15.638344Z,44,0,0,0,205533.jpg,0.0,0,0,Nketiah,0.9,False,,n,1,3,0.0,0,27959,2356,72763,6270,0.0,0.0,Nketiah,0,2.0,2.0,2.0,0.45454545454545453,0.9534625892455924,0.0
14,0,1,97,,,1,80201,0,0,0,0,0.0,0,1,3.0,2.5,2,Bernd,2.0,8,0,13.8,False,138.4,450,,,50,0,0,0,80201.jpg,3.2,0,22,Leno,6.2,False,,a,1,3,0.0,16,198786,14482,172903,15251,0.4,3.2,Leno,1,3.21,2.786,3.1929999999999996,0.642,1.435555641554865,5.0
15,0,0,15,100.0,100.0,0,37605,0,0,-2,2,18.8,0,3,1.7,1.2,2,Mesut,0.7,1,0,2.7,False,6.4,70,,2019-08-09T17:00:13.419733Z,73,0,0,0,37605.jpg,2.0,0,0,Özil,0.7,False,,a,1,3,2.0,2,8129,3763,73901,1625,0.1,0.3,Özil,0,2.68,2.8840000000000003,2.9859999999999998,0.3671232876712329,0.9919125016647912,0.7777777777777778
