id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 5,value,valuePoints metric,team_name
1,1,0,24,100.0,100.0,0,69140,0,0,-3,3,0.8,0,2,0.5,1.5,0,Shkodran,1.0,2,0,7.5,False,19.8,90,,2019-11-28T23:00:21.541666Z,52,0,0,0,69140.jpg,4.0,0,0,Mustafi,0.3,False,,a,1,3,54.0,4,7667,72,31570,195,0.2,0.8,Mustafi,0,1.0,4.308388785199285,4.308388785199285,,0.8285363048460164,1.8893534671757513,Arsenal
2,0,0,26,75.0,100.0,0,98745,0,0,-1,1,22.7,0,2,-0.2,0.7,0,Héctor,0.2,6,0,6.9,False,30.8,262,Hamstring injury - 75% chance of playing,2019-12-09T20:00:21.228098Z,54,0,0,0,98745.jpg,0.3,0,0,Bellerín,0.3,False,,d,1,3,15.0,1,34509,502,30240,943,0.0,0.2,Bellerín,2,3.333333333333333,4.1477157037506975,1.2443147111252095,,0.2304286502083721,0.5354677948476477,Arsenal
3,2,1,191,100.0,100.0,1,111457,0,0,-3,3,148.9,0,2,1.5,2.5,5,Sead,2.0,14,0,37.3,False,172.6,889,,2019-11-21T14:30:19.207005Z,52,0,0,0,111457.jpg,2.1,0,0,Kolasinac,0.6,False,,a,1,3,53.0,27,45487,339,106342,720,0.4,5.2,Kolasinac,2,12.857142857142856,36.192194434043714,2.8149484559811766,3.2106287310193813,0.5413362415348416,1.2344365586271153,Arsenal
4,2,3,106,100.0,100.0,1,154043,0,0,-4,4,110.0,1,2,0.0,1.0,2,Ainsley,0.5,11,0,29.3,False,155.0,580,,2019-09-22T18:00:10.824841Z,46,0,0,0,154043.jpg,2.7,1,0,Maitland-Niles,2.6,False,,a,1,3,33.0,19,544862,228,560581,3143,0.1,4.1,Maitland-Niles,0,7.037037037037036,21.419992411621852,3.043893658493632,3.1757705497031914,0.661716012716007,1.4192227361587557,Arsenal
5,0,2,217,,,2,39476,0,0,-1,1,30.4,0,2,0.0,1.0,2,Sokratis,0.5,20,1,43.1,False,328.8,1260,,,49,0,0,0,39476.jpg,2.4,0,0,Papastathopoulos,1.6,False,,a,1,3,71.0,33,106569,326,134728,2389,0.1,6.7,Sokratis,4,13.75,33.14682727797164,2.4106783474888465,1.8607606420128733,0.4919751729569074,1.089033469159372,Arsenal
6,0,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.3,False,,u,1,3,12.0,10,28015,6,87566,143,0.0,2.0,Monreal,0,3.0303030303030303,10.08883245795518,3.32931471112521,,0.6658629422250419,1.4889148025132088,Arsenal
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,0,463,5,12379,13,0.0,0.0,Koscielny,0,,,,,,,Arsenal
8,0,0,0,100.0,100.0,0,233963,0,0,-1,1,0.0,0,2,-0.5,0.5,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,a,1,3,0.0,0,696,19,4053,32,0.0,0.0,Mavropanos,0,,,,,,,Arsenal
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,298,10,2414,12,0.0,0.0,Jenkinson,0,,,,,,,Arsenal
10,0,0,9,75.0,100.0,0,156074,0,0,0,0,0.4,0,2,-0.4,0.5,0,Rob,0.0,2,0,1.1,False,8.4,76,Knee injury - 75% chance of playing,2019-12-09T10:00:19.335279Z,45,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,,d,1,3,2.0,1,10293,95,11067,275,0.0,0.2,Holding,0,1.0,1.8543147111252096,1.8543147111252096,,0.41206993580560214,0.8741323377937398,Arsenal
11,3,18,386,,,2,54694,0,0,-1,1,258.4,2,4,7.5,8.5,12,Pierre-Emerick,8.0,24,11,136.4,True,487.2,1440,,,109,0,0,0,54694.jpg,6.3,0,0,Aubameyang,20.5,False,,a,1,3,619.0,101,1434633,4504,1846954,97245,0.7,9.3,Aubameyang,2,16.031746031746028,87.06222222222222,5.4306138613861386,7.350844832461917,0.49822145517304023,1.6448855098464101,Arsenal
12,2,6,160,100.0,100.0,0,59966,0,0,-2,2,156.2,1,4,4.7,5.7,0,Alexandre,5.2,12,5,80.6,False,237.8,661,,2019-09-01T18:30:14.246208Z,93,0,0,0,59966.jpg,4.7,0,0,Lacazette,2.1,False,,a,1,3,411.0,47,185994,1064,293304,14928,0.6,5.1,Lacazette,2,10.0,38.00814814814815,3.800814814814815,4.684194257922151,0.40868976503385107,1.2463362762929782,Arsenal
13,0,0,0,0.0,0.0,0,205533,0,0,-2,2,0.0,0,4,0.0,0.0,0,Edward,0.0,0,0,0.0,False,0.0,0,Joined Leeds United on loan until the end of the season on 8/8. - Expected back 01 Jul,2019-08-08T15:30:15.638344Z,43,0,0,0,205533.jpg,0.0,0,0,Nketiah,0.6,False,,n,1,3,0.0,0,45445,374,108354,1231,0.0,0.0,Nketiah,0,,,,,,,Arsenal
14,0,3,320,,,2,80201,0,0,0,0,0.0,0,1,4.0,5.0,3,Bernd,4.5,24,0,49.5,False,496.2,1440,,,50,0,0,1,80201.jpg,3.4,0,69,Leno,5.7,False,,a,1,3,0.0,54,344781,1673,359220,9775,0.9,10.8,Leno,2,15.882352941176471,59.56852776492981,3.7506110074215067,4.555082168364823,0.7501222014843013,1.6773242339506913,Arsenal
15,2,1,109,100.0,100.0,0,37605,0,0,-3,3,290.8,0,3,3.3,4.3,2,Mesut,3.8,11,0,48.0,False,91.8,608,,2019-08-09T17:00:13.419733Z,72,0,0,0,37605.jpg,3.0,0,0,Özil,0.9,False,,a,1,3,97.0,21,48150,1106,106462,2574,0.5,2.9,Özil,0,7.0,25.303198892617267,3.614742698945325,4.405358205112125,0.5020475970757395,1.347135066002134,Arsenal
16,0,0,3,0.0,0.0,1,57249,0,0,-2,2,33.9,0,3,0.0,0.0,0,Henrikh,0.0,0,0,8.6,False,5.4,110,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,68,0,0,0,57249.jpg,1.3,0,0,Mkhitaryan,0.8,False,,n,1,3,46.0,4,22713,20,114010,195,0.0,0.6,Mkhitaryan,1,3.0769230769230766,5.757165162404008,1.8710786777813024,,0.27515862908548566,0.7175259186185446,Arsenal
18,1,0,146,75.0,100.0,2,84450,-1,1,-4,4,140.4,0,3,0.8,2.0,2,Granit,1.5,18,0,38.3,False,187.6,1004,Head injury - 75% chance of playing,2019-12-09T22:00:20.814913Z,51,0,0,0,84450.jpg,2.1,0,0,Xhaka,0.6,False,,d,1,3,54.0,25,31679,176,95914,619,0.3,4.9,Xhaka,4,11.904761904761903,25.19667738099433,2.116520900003525,2.351182617422129,0.4150040980399069,0.9372112072999207,Arsenal
19,0,0,108,100.0,100.0,1,198849,0,0,-3,3,101.1,0,3,1.0,2.0,2,Lucas,1.5,11,1,39.1,False,124.6,633,,2019-09-08T21:00:18.773636Z,47,0,0,0,198849.jpg,1.8,0,0,Torreira,1.2,False,,a,1,3,164.0,24,60649,770,129106,1336,0.3,5.1,Torreira,1,13.333333333333332,30.047715703750697,2.2535786777813023,2.833554932075318,0.4794848250598515,1.0394983300008611,Arsenal
20,0,0,0,0.0,0.0,0,153256,0,0,-2,2,0.0,0,3,0.0,0.0,0,Mohamed,0.0,0,0,0.0,False,0.0,0,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,43,0,0,0,153256.jpg,0.0,0,0,Elneny,0.9,False,,n,1,3,0.0,0,116028,1564,89167,2109,0.0,0.0,Elneny,0,,,,,,,Arsenal
21,2,2,210,,,2,242166,-1,1,0,0,215.9,0,3,0.5,1.5,1,Matteo,1.0,20,0,61.5,False,272.2,1222,,,45,0,0,0,242166.jpg,2.3,0,0,Guendouzi,8.0,False,,a,1,3,126.0,35,807604,3094,663742,17756,0.2,7.8,Guendouzi,4,15.217391304347828,39.35825846221145,2.5863998418024665,2.15165299163334,0.5747555204005481,1.2192405779988917,Arsenal
106,0,3,217,100.0,100.0,1,41270,0,0,-2,2,55.5,1,2,0.0,1.0,0,David,0.5,23,2,53.2,False,352.6,1260,,2019-11-28T23:00:21.861570Z,58,0,0,0,41270.jpg,2.5,0,0,Luiz Moreira Marinho,5.2,False,,a,1,3,123.0,35,149128,949,436667,6697,0.1,6.0,David Luiz,3,14.0,38.160405955752935,2.7257432825537813,1.3801181756498673,0.46995573837134164,1.1318032942889356,Arsenal
427,0,0,0,,,0,98980,0,0,-1,1,0.0,0,1,-0.5,0.5,0,Emiliano,0.0,0,0,0.0,False,0.0,0,,,44,0,0,0,98980.jpg,0.0,0,0,Martínez,0.3,False,,a,1,3,0.0,0,4330,46,11414,144,0.0,0.0,Martínez,0,,,,,,,Arsenal
467,0,2,141,,,2,101184,0,0,-1,1,92.5,0,2,0.3,1.3,2,Calum,0.8,12,1,48.6,False,202.4,900,,,44,0,0,0,101184.jpg,2.6,0,0,Chambers,1.4,False,,a,1,3,193.0,29,134165,546,111810,3389,0.2,6.6,Chambers,4,11.153846153846152,31.128894854858107,2.7908664352631414,2.5457099038707507,0.6342878261961684,1.3304933688023055,Arsenal
