id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,ppg_estimate,value,valuePoints_metric,games_played
1,0,0,0,,,0,69140,-1,1,-1,1,0.0,0,2,-0.5,0.5,0,Shkodran,0.0,0,0,0.0,False,0.0,0,,,54,0,0,0,69140.jpg,0.0,0,0,Mustafi,0.5,False,,a,1,3,0.0,0,3330,462,14099,5951,0.0,0.0,Mustafi,0,2.6,0.48148148148148145,1.1188618555710315,0.0
2,0,0,0,0.0,0.0,0,98745,0,0,0,0,0.0,0,2,0.0,0.0,0,Héctor,0.0,0,0,0.0,False,0.0,0,Knee injury - Unknown return date,2019-06-25T11:30:06.897107Z,55,0,0,0,98745.jpg,0.0,0,0,Bellerín,0.1,False,,i,1,3,0.0,0,492,156,3054,1066,0.0,0.0,Bellerín,0,3.2,0.5818181818181819,1.3644845846759068,0.0
3,0,0,2,100.0,75.0,0,111457,0,0,0,0,0.3,0,2,0.0,0.8,1,Sead,0.5,0,0,0.3,False,2.2,19,,2019-08-09T17:00:13.224645Z,55,0,0,0,111457.jpg,1.0,0,0,Kolasinac,0.9,False,,a,1,3,0.0,1,1859,1443,39936,7394,0.1,0.2,Kolasinac,0,1.72,0.31272727272727274,0.7334104642632999,0.2111111111111111
4,1,3,51,,,1,154043,0,0,0,0,32.1,1,2,6.5,7.5,2,Ainsley,7.0,1,0,9.3,False,53.8,180,,,50,0,0,0,154043.jpg,7.0,0,0,Maitland-Niles,5.4,False,,a,1,3,7.0,14,237049,74293,63922,46011,1.4,2.8,Maitland-Niles,0,5.09,1.018,2.276317201094786,2.0
5,0,2,48,,,1,39476,0,0,0,0,11.8,0,2,4.5,5.5,2,Sokratis,5.0,1,0,5.8,False,44.2,180,,,50,0,0,0,39476.jpg,5.0,0,0,Papastathopoulos,1.9,False,,a,1,3,2.0,10,27955,8552,22032,12801,1.0,2.0,Sokratis,0,4.18,0.836,1.869352829189824,2.0
6,0,1,45,,,1,38411,0,0,0,0,39.6,0,2,4.0,5.0,2,Nacho,4.5,1,0,8.5,False,37.4,180,,,50,0,0,0,38411.jpg,4.5,0,0,Monreal,1.3,False,,a,1,3,8.0,9,19619,5799,13841,8090,0.9,1.8,Monreal,0,4.16,0.8320000000000001,1.8604085572798252,2.0
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,0,111,33,8642,1712,0.0,0.0,Koscielny,0,3.6,0.72,1.6099689437998486,0.0
8,0,0,0,0.0,0.0,0,233963,-1,1,-1,1,0.0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,Groin Injury - Expected back 06 Oct,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.1,False,,i,1,3,0.0,0,74,38,2204,482,0.0,0.0,Mavropanos,0,0.8,0.18181818181818182,0.38138503569823695,0.0
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,56,19,1351,328,0.0,0.0,Jenkinson,0,1.3,0.2888888888888889,0.6128258770283412,0.0
10,0,0,0,0.0,0.0,0,156074,0,0,0,0,0.0,0,2,0.0,0.0,0,Rob,0.0,0,0,0.0,False,0.0,0,Anterior cruciate ligament - Unknown return date,2019-06-25T11:30:06.913215Z,45,0,0,0,156074.jpg,0.0,0,0,Holding,0.1,False,,i,1,3,0.0,0,273,99,1747,736,0.0,0.0,Holding,0,2.4,0.5333333333333333,1.131370849898476,0.0
11,0,1,50,,,1,54694,0,0,0,0,25.4,0,4,5.5,6.5,6,Pierre-Emerick,6.0,1,2,21.6,False,79.6,180,,,110,0,0,0,54694.jpg,6.0,0,0,Aubameyang,26.4,False,,a,1,3,111.0,12,227126,45136,265666,197448,0.5,1.1,Aubameyang,1,5.87,0.5336363636363637,1.7698715926714725,2.0
