id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 5,value,valuePoints metric,team_name
12,2,6,160,100.0,100.0,0,59966,0,0,-2,2,156.2,1,4,4.7,3.7,0,Alexandre,4.2,12,5,80.6,False,237.8,661,,2019-09-01T18:30:14.246208Z,93,0,0,0,59966.jpg,4.7,0,0,Lacazette,1.7,False,,a,1,3,411.0,47,188016,1365,324680,7304,0.5,5.1,Lacazette,2,10.0,37.99056603773585,3.7990566037735847,4.573998055946513,0.4085007100831811,1.2457597361801784,Arsenal
13,0,0,0,0.0,0.0,0,205533,0,0,-2,2,0.0,0,4,0.0,0.0,0,Edward,0.0,0,0,0.0,False,0.0,0,Joined Leeds United on loan until the end of the season on 8/8. - Expected back 01 Jul,2019-08-08T15:30:15.638344Z,43,0,0,0,205533.jpg,0.0,0,0,Nketiah,0.6,False,,n,1,3,0.0,0,46263,406,111139,1373,0.0,0.0,Nketiah,0,,,,,,,Arsenal
14,0,3,336,,,2,80201,0,0,0,0,0.0,0,1,4.5,3.5,2,Bernd,4.0,27,0,52.1,False,522.6,1530,,,50,0,0,1,80201.jpg,3.3,0,73,Leno,5.4,False,,a,1,3,0.0,56,349830,2722,383443,9147,0.8,11.2,Leno,2,16.96969696969697,62.19681581426056,3.6651695033403553,3.8700395711685567,0.7330339006680711,1.6391136317056354,Arsenal
15,2,1,116,100.0,100.0,0,37605,0,0,-3,3,304.6,0,3,3.7,2.7,1,Mesut,3.2,14,0,49.9,False,95.2,666,,2019-08-09T17:00:13.419733Z,72,0,0,0,37605.jpg,2.8,0,0,ÃÂzil,0.9,False,,a,1,3,99.0,22,53080,3298,114571,3414,0.4,3.1,ÃÂzil,0,7.857142857142858,26.43388368460339,3.3643124689495214,3.4128923179693174,0.4672656206874335,1.25380522968688,Arsenal
16,0,0,3,0.0,0.0,1,57249,0,0,-2,2,33.9,0,3,0.0,0.0,0,Henrikh,0.0,0,0,8.6,False,5.4,110,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,68,0,0,0,57249.jpg,1.3,0,0,Mkhitaryan,0.8,False,,n,1,3,46.0,4,22739,13,114468,240,0.0,0.6,Mkhitaryan,1,3.0769230769230766,5.7435369805914815,1.866649518692232,,0.27450728216062237,0.7158274136428686,Arsenal
18,1,0,146,75.0,0.0,2,84450,0,0,-4,4,140.4,0,3,1.3,0.0,0,Granit,1.2,18,0,38.3,False,187.6,1004,Head injury - 75% chance of playing,2019-12-09T22:00:20.814913Z,51,0,0,0,84450.jpg,2.1,0,0,Xhaka,0.6,False,,d,1,3,54.0,25,31736,21,98368,1056,0.2,4.9,Xhaka,4,11.904761904761903,25.135158241394485,2.111353292277137,2.3533642984420258,0.41399084162296806,0.9349229521373601,Arsenal
19,0,0,126,100.0,100.0,1,198849,0,0,-3,3,112.9,0,3,2.1,1.1,2,Lucas,1.6,14,1,42.1,False,140.2,713,,2019-09-08T21:00:18.773636Z,47,0,0,0,198849.jpg,1.9,0,0,Torreira,1.2,False,,a,1,3,167.0,26,62890,966,132206,1587,0.3,5.5,Torreira,1,13.68421052631579,33.16204604526212,2.423380287923001,3.0518937658076277,0.5156128272176598,1.1178219722654967,Arsenal
20,0,0,0,0.0,0.0,0,153256,0,0,-2,2,0.0,0,3,0.0,0.0,0,Mohamed,0.0,0,0,0.0,False,0.0,0,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,43,0,0,0,153256.jpg,0.0,0,0,Elneny,0.8,False,,n,1,3,0.0,0,119004,802,94980,3564,0.0,0.0,Elneny,0,,,,,,,Arsenal
21,2,2,224,,,2,242166,0,0,0,0,222.7,0,3,1.7,0.7,2,Matteo,1.2,23,0,64.5,False,283.2,1312,,,45,0,0,0,242166.jpg,2.3,0,0,Guendouzi,7.5,False,,a,1,3,138.0,37,815489,4126,704652,18896,0.3,8.2,Guendouzi,4,16.086956521739133,41.45514525148044,2.5769414615785133,2.14926534206546,0.5726536581285585,1.2147818548019598,Arsenal
106,0,3,217,100.0,100.0,1,41270,-1,1,-3,3,55.5,1,2,0.9,-0.1,0,David,0.4,23,2,53.2,False,352.6,1260,,2019-11-28T23:00:21.861570Z,57,0,0,0,41270.jpg,2.5,0,0,Luiz Moreira Marinho,5.0,False,,a,1,3,123.0,35,151181,1366,454147,8007,0.1,6.0,David Luiz,3,14.0,37.91237304676497,2.708026646197498,1.2709722113569901,0.47509239406973647,1.1342675445178745,Arsenal
427,0,0,0,,,0,98980,0,0,-2,2,0.0,0,1,0.5,-0.5,0,Emiliano,0.0,0,0,0.0,False,0.0,0,,,43,0,0,0,98980.jpg,0.0,0,0,MartÃÂ­nez,0.3,False,,a,1,3,0.0,0,4520,79,11769,189,0.0,0.0,MartÃÂ­nez,0,,,,,,,Arsenal
467,0,2,153,,,2,101184,0,0,-1,1,92.7,0,2,1.3,0.3,1,Calum,0.8,15,1,51.0,False,226.2,990,,,44,0,0,0,101184.jpg,2.5,0,0,Chambers,1.3,False,,a,1,3,193.0,30,136375,962,119135,2958,0.2,6.8,Chambers,4,12.0,32.63917689722711,2.719931408102259,2.2421350358784626,0.6181662291141498,1.2966764214697948,Arsenal
469,2,3,130,0.0,0.0,1,182539,-1,1,-3,3,183.0,1,3,0.0,0.0,0,Daniel,0.0,10,0,42.9,False,150.0,659,Hamstring injury - Expected back 26 Dec,2019-11-06T17:30:16.584319Z,52,0,0,0,182539.jpg,2.5,0,0,Ceballos FernÃÂ¡ndez,3.4,False,,i,1,3,96.0,27,995119,33,1108461,5690,0.0,5.2,Ceballos,0,10.8,27.64938083961195,2.5601278555196245,,0.4923322799076201,1.1226903330673972,Arsenal
488,3,4,158,100.0,75.0,1,195735,0,0,-4,4,317.4,1,3,3.5,1.9,2,Nicolas,3.0,19,2,90.5,False,240.4,1006,,2019-12-11T12:30:12.556688Z,91,0,0,0,195735.jpg,3.1,0,0,PÃÂ©pÃÂ©,2.3,False,,a,1,3,344.0,47,214633,2913,428355,2596,0.3,5.2,PÃÂ©pÃÂ©,2,15.161290322580646,56.20682563032471,3.7072587117873743,3.271494594920336,0.4073910672293818,1.2289442961706936,Arsenal
489,0,0,18,100.0,100.0,1,200641,0,0,-2,2,51.9,0,3,0.7,-0.3,0,Reiss,0.2,2,0,14.7,False,27.4,152,,2019-10-07T15:00:21.389844Z,53,0,0,0,200641.jpg,1.2,0,0,Nelson,0.1,False,,a,1,3,67.0,6,7691,53,14041,76,0.0,1.1,Nelson,1,5.0,7.845747593461157,1.5691495186922315,1.2322474812243875,0.29606594692306254,0.6815949956649354,Arsenal
490,0,0,79,100.0,100.0,1,200089,0,0,-2,2,96.1,0,3,1.5,0.5,1,Joseph,1.0,9,0,28.9,False,74.0,491,,2019-09-07T11:30:17.190466Z,48,0,0,0,200089.jpg,1.4,0,0,Willock,0.2,False,,a,1,3,118.0,18,23996,95,28131,232,0.2,3.8,Willock,0,12.857142857142858,25.189065240328695,1.959149518692232,2.0799339630632177,0.4081561497275484,0.8942253207609372,Arsenal
504,1,1,61,,,0,444145,0,0,0,0,17.8,0,4,3.5,2.5,2,Gabriel Teodoro,3.0,6,1,20.7,False,66.6,276,,,45,0,0,0,444145.jpg,2.0,0,0,Martinelli Silva,1.9,False,,a,1,3,123.0,18,196111,12679,158457,4000,0.7,4.0,Martinelli,1,9.0,15.245283018867926,1.6939203354297692,2.8724620737648303,0.37642674120661535,0.798521703981454,Arsenal
515,0,0,51,0.0,0.0,0,192895,0,0,-1,1,75.1,0,2,0.0,0.0,0,Kieran,0.4,6,0,16.3,False,56.0,296,Shoulder injury - Unknown return date,2019-12-09T22:00:21.790216Z,54,0,0,0,192895.jpg,1.0,0,0,Tierney,0.5,False,,i,1,3,31.0,5,71752,15,97336,4991,0.1,0.9,Tierney,1,5.0,11.58299037384463,2.316598074768926,2.013642980464382,0.428999643475727,0.9969050848262461,Arsenal
541,1,0,48,100.0,100.0,1,223340,0,0,0,0,97.3,0,3,0.9,-0.1,1,Bukayo,0.4,4,0,27.1,False,76.4,404,,2019-11-22T10:00:21.980433Z,45,0,0,0,223340.jpg,1.8,0,0,Saka,0.6,False,,a,1,3,96.0,14,117503,797,82668,2845,0.1,3.1,Saka,1,7.777777777777778,18.27200149758529,2.3492573354038218,1.1843426687823737,0.5220571856452937,1.1074505284108547,Arsenal
576,0,0,5,,,0,209289,0,0,0,0,2.3,0,3,1.7,0.7,1,Emile,1.0,0,0,0.6,False,3.4,31,,,45,0,0,0,209289.jpg,1.0,0,0,Smith Rowe,0.0,False,,a,1,3,0.0,1,45,45,6,6,0.2,0.2,Smith Rowe,0,1.0,1.2091495186922314,1.2091495186922314,,0.2686998930427181,0.5699985494238179,Arsenal
22,1,5,102,,,0,37339,0,0,-3,3,154.0,0,2,1.2,0.7,0,Ahmed,1.2,15,0,31.4,False,133.0,431,,,42,0,0,0,37339.jpg,1.6,0,0,El Mohamady,1.0,False,,a,2,7,26.0,13,54343,2167,123538,1973,0.3,3.1,El Mohamady,0,8.125,19.192237077609423,2.3621214864750057,2.3825001367476357,0.5624098777321442,1.152597265482128,Aston Villa
23,0,0,0,100.0,100.0,0,43252,0,0,-2,2,0.0,0,2,0.0,-0.5,0,James,0.0,0,0,0.0,False,0.0,0,,2019-08-08T17:00:13.859858Z,43,0,0,0,43252.jpg,0.0,0,0,Chester,0.1,False,,a,2,7,0.0,0,1149,104,6636,107,0.0,0.0,Chester,0,,,,,,,Aston Villa
