id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 5,form 10,value,valuePoints metric,team_name
145,1,0,75,100.0,100.0,0,12745,0,0,-1,1,97.5,0,2,0.3,0.3,2,Leighton,0.8,6,0,17.7,False,73.8,332,,2019-07-30T15:00:09.168977Z,49,0,0,0,12745.jpg,2.2,0,0,Baines,0.2,False,,a,8,11,5.0,11,13402,212,15898,71,0.2,2.2,Baines,0,5.0,17.12212601239177,3.4244252024783544,3.667141898282411,3.5893391546121367,0.6988622862200723,1.5469976166735542,Everton
147,1,15,379,,,5,177815,1,-1,4,-4,209.9,2,4,6.0,6.0,7,Dominic,6.5,31,13,173.8,False,529.0,1829,,,64,0,0,0,177815.jpg,4.2,0,0,Calvert-Lewin,15.6,False,,a,8,11,1005.0,109,1583582,113127,582828,12772,1.0,17.3,Calvert-Lewin,7,25.952380952380953,104.99203007518796,4.045564461612748,6.236504278619505,5.6871798991709674,0.6321194471269918,1.5991497649661386,Everton
148,0,3,449,,,6,111234,0,0,-2,2,3.0,1,1,1.3,1.3,3,Jordan,1.8,42,0,54.7,False,546.2,2520,,,53,0,0,0,111234.jpg,2.9,0,68,Pickford,6.6,False,,a,8,11,0.0,82,479560,620,710797,2899,0.3,15.5,Pickford,1,28.27586206896552,90.40468047246289,3.1972386996358817,3.1975525010020243,3.1293006407410493,0.6032525848369589,1.3887917446097175,Everton
149,0,0,0,,,0,10318,0,0,0,0,0.0,0,1,-0.5,-0.5,0,Maarten,0.0,0,0,0.0,False,0.0,0,,,40,0,0,0,10318.jpg,0.0,0,0,Stekelenburg,7.1,False,,a,8,11,0.0,0,196421,157,256856,1987,0.0,0.0,Stekelenburg,0,,,,,,,,Everton
150,5,13,423,100.0,100.0,6,212319,0,0,3,-3,426.5,2,3,5.3,5.3,2,Richarlison,5.8,38,10,210.4,True,679.2,2262,,2020-01-17T14:00:19.894274Z,83,0,0,0,212319.jpg,5.0,0,0,de Andrade,12.9,False,,a,8,11,996.0,131,2045017,30239,1771954,24290,0.7,15.8,Richarlison,5,26.2,120.96657605367686,4.6170448875449175,6.7727899325339855,6.647476767822317,0.5562704683789057,1.602599676188986,Everton
151,3,4,297,100.0,100.0,5,55422,0,0,-7,7,675.9,0,3,2.5,2.5,2,Gylfi,3.0,33,1,141.5,False,332.2,1902,,2020-01-17T14:00:19.905907Z,73,0,0,0,55422.jpg,2.7,0,0,Sigurdsson,2.4,False,,a,8,11,407.0,67,141199,647,822278,731,0.4,9.2,Sigurdsson,3,24.81481481481481,82.68565370320566,3.33210843281575,3.922265757768208,3.866335424601445,0.4564532099747603,1.233268660974857,Everton
152,2,6,193,100.0,100.0,7,100649,0,0,-1,1,283.8,2,3,2.0,2.0,1,Bernard,2.5,8,3,76.7,False,267.2,971,,2020-01-01T17:30:18.170946Z,64,0,0,0,100649.jpg,3.3,0,0,Anício Caldeira Duarte,0.7,False,,a,8,11,218.0,59,199971,241,215290,743,0.4,9.2,Bernard,2,17.87878787878788,47.00641863969449,2.629172567982912,2.522832474890599,2.9164525377680497,0.41080821374732995,1.0392717095574864,Everton
153,3,1,130,100.0,100.0,3,20467,0,0,-3,3,213.0,0,3,3.0,3.0,2,Theo,3.5,12,1,81.3,False,149.0,1013,,2020-02-08T14:30:24.871274Z,62,0,0,0,20467.jpg,2.4,0,0,Walcott,0.4,False,,a,8,11,449.0,48,23578,281,59928,168,0.6,7.7,Walcott,1,20.0,55.40618616276772,2.7703093081383856,3.2818561236521515,3.4471121364550554,0.4468240819578041,1.11258299166763,Everton
154,1,3,157,,,3,173807,0,0,-2,2,94.3,1,3,0.0,0.0,1,Tom,0.5,22,1,50.5,False,189.6,1308,,,53,0,0,0,173807.jpg,2.0,0,0,Davies,0.1,False,,a,8,11,219.0,41,14550,61,17763,68,0.1,7.7,Davies,7,20.5,45.96537841082187,2.2422135810157013,1.4988115493621883,1.8823299576791648,0.4230591662293776,0.9739553419396033,Everton
155,0,0,0,0.0,0.0,0,219352,0,0,0,0,0.0,0,3,0.0,0.0,0,Ademola,0.0,0,0,0.0,False,0.0,0,Joined RB Leipzig on a permanent deal on 25/7,2019-07-25T09:00:14.381716Z,50,0,0,0,219352.jpg,0.0,0,0,Lookman,0.0,False,,u,8,11,0.0,0,229,3,622,1,0.0,0.0,Lookman,0,,,,,,,,Everton
