id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 10,form 5,value,valuePoints metric,team_name
1,2,1,101,100.0,50.0,1,69140,0,0,-4,4,13.2,0,2,3.7,1.9,6,Shkodran,3.2,7,0,22.2,False,128.8,440,,2020-01-27T22:30:15.833744Z,51,0,0,0,69140.jpg,3.2,0,0,Mustafi,0.3,False,,a,1,3,79.0,19,9864,499,34677,222,0.6,3.7,Mustafi,0,5.9375,19.00823165366181,3.2013863837746204,3.5359527819945766,3.4598653268191715,0.6277228203479648,1.41759771791809,Arsenal
2,0,3,81,100.0,100.0,1,98745,0,0,-1,1,28.1,0,2,4.5,4.5,8,Héctor,4.0,8,1,16.1,False,103.8,442,,2019-12-09T20:00:21.228098Z,54,0,0,0,98745.jpg,3.4,0,0,Bellerín,0.6,False,,a,1,3,28.0,17,68221,9644,42486,1148,0.7,3.1,Bellerín,2,5.0,12.619638810895172,2.523927762179034,3.9932547199163606,4.041054629898991,0.46739403003315444,1.086125576661106,Arsenal
3,2,1,219,50.0,50.0,2,111457,0,0,-3,3,156.3,0,2,0.5,0.5,0,Sead,0.5,18,0,41.2,False,190.0,1086,Thigh injury - 50% chance of playing,2020-01-15T13:30:21.603499Z,52,0,0,0,111457.jpg,2.1,0,0,Kolasinac,0.5,False,,d,1,3,67.0,34,55180,21,125496,354,0.1,6.5,Kolasinac,3,16.19047619047619,43.886300524812924,2.710624444179622,2.8741881027001184,3.2188866425315483,0.5212739315730043,1.1886874530486982,Arsenal
4,2,3,216,100.0,100.0,3,154043,0,0,-4,4,155.4,1,2,1.3,1.3,0,Ainsley,0.8,19,0,44.9,False,261.8,1210,,2019-09-22T18:00:10.824841Z,46,0,0,0,154043.jpg,2.6,1,0,Maitland-Niles,2.5,False,,a,1,3,37.0,36,588827,467,610286,3865,0.2,7.8,Maitland-Niles,3,13.846153846153845,38.17342958051042,2.756969914147976,2.8247563053907037,2.994848829538237,0.5993412856843428,1.2854438505584365,Arsenal
5,0,5,286,100.0,100.0,3,39476,0,0,-1,1,31.8,1,2,1.0,1.0,0,Sokratis,0.5,25,2,57.1,False,431.6,1606,,2020-01-18T17:00:22.046513Z,49,0,0,0,39476.jpg,2.9,0,0,Papastathopoulos,1.4,False,,a,1,3,106.0,52,142794,725,182802,1877,0.1,10.6,Sokratis,5,17.931034482758626,50.92560125286544,2.84008160833288,4.637741007063718,5.547515235577004,0.5796084914965061,1.2830180890123069,Arsenal
6,0,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.2,False,,u,1,3,12.0,10,28133,10,88782,60,0.0,2.0,Monreal,0,3.0303030303030303,10.360387158118284,3.4189277621790337,,,0.6837855524358067,1.5289909772787107,Arsenal
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,0,596,10,12672,12,0.0,0.0,Koscielny,0,,,,,,,,Arsenal
8,0,0,0,0.0,0.0,0,233963,0,0,-1,1,0.0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,Joined Nuremberg on loan until the end of the season on 13/1. - Expected back 01 Jul,2020-01-13T14:30:21.309535Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,n,1,3,0.0,0,1083,5,4774,32,0.0,0.0,Mavropanos,0,,,,,,,,Arsenal
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,413,5,2574,13,0.0,0.0,Jenkinson,0,,,,,,,,Arsenal
10,0,0,13,100.0,100.0,0,156074,0,0,0,0,0.4,0,2,0.7,0.7,0,Rob,0.2,3,0,1.6,False,13.4,85,,2019-12-09T10:00:19.335279Z,45,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,,a,1,3,2.0,2,11780,110,14185,160,0.0,0.4,Holding,0,2.0,3.887855524358068,1.943927762179034,1.9063506169289788,1.9063506169289788,0.43198394715089644,0.9163763351823901,Arsenal
