id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 10,form 5,value,valuePoints metric,team_name
1,2,1,189,100.0,100.0,3,69140,0,0,-4,4,41.5,331,112,0,2,3.3,2.8,5,Shkodran,2.3,14,0,38.3,315,113,False,215.8,264,105,890,,2020-02-27T23:00:18.104137Z,51,0,0,0,69140.jpg,3.0,0,0,Mustafi,0.4,False,,a,1,3,124.0,235,61,33,20707,1113,42031,367,0.5,6.5,Mustafi,1,11.0,30.533162500855546,2.775742045532322,2.587257717535215,1.9652829169889812,0.5442631461828082,1.2291192369714687,Arsenal
2,0,3,153,100.0,100.0,3,98745,-1,1,-1,1,42.5,330,111,0,2,3.7,3.2,6,Héctor,2.7,15,1,25.8,354,128,False,155.4,313,123,893,,2019-12-09T20:00:21.228098Z,54,0,0,0,98745.jpg,3.0,0,0,Bellerín,1.2,False,,a,1,3,58.0,314,107,33,191041,4676,126891,3931,0.5,6.1,Bellerín,2,11.0,27.077361395883173,2.461578308716652,2.7900256169349493,2.5519966213325085,0.4558478349475281,1.0592946438938904,Arsenal
3,2,1,243,100.0,100.0,2,111457,0,0,-3,3,159.8,198,49,0,2,1.7,1.2,1,Sead,0.7,21,0,43.1,295,102,False,206.2,272,109,1213,,2020-02-23T18:30:13.672943Z,52,0,0,0,111457.jpg,1.9,0,0,Kolasinac,0.5,False,,a,1,3,67.0,303,99,37,60838,330,131395,548,0.1,7.1,Kolasinac,3,19.473684210526315,49.219072475674636,2.5274658838859962,1.9269881544792264,2.0297050927184133,0.4860511315165377,1.1083671109935709,Arsenal
4,2,3,222,100.0,100.0,3,154043,0,0,-5,5,158.3,202,51,1,2,1.7,1.2,1,Ainsley,0.7,20,0,45.9,282,95,False,269.4,228,92,1243,,2019-09-22T18:00:10.824841Z,45,0,0,0,154043.jpg,2.4,1,0,Maitland-Niles,2.3,False,,a,1,3,37.0,344,123,38,606662,565,644497,1664,0.2,8.4,Maitland-Niles,3,15.833333333333336,41.417154629349646,2.6158202923799783,1.9180247150162213,1.781610789836255,0.5812933983066618,1.23310951140484,Arsenal
5,0,5,305,100.0,0.0,4,39476,0,0,-2,2,36.8,339,115,1,2,1.0,0.0,0,Sokratis,0.0,25,2,58.5,229,68,False,436.2,124,49,1696,,2020-06-18T18:00:15.974146Z,48,0,0,0,39476.jpg,3.0,0,0,Papastathopoulos,1.4,False,,a,1,3,110.0,249,68,57,180102,517,221563,2686,0.0,11.9,Sokratis,6,19.0,53.43362422925275,2.8122960120659344,3.5156254831815263,3.5196012653814317,0.5858950025137364,1.2836316368252776,Arsenal
6,0,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,332,113,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,399,146,False,47.2,402,151,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.2,False,,u,1,3,12.0,396,147,10,28214,1,89168,15,0.0,2.0,Monreal,0,3.0303030303030303,10.248584406579383,3.382032854171197,,,0.6764065708342394,1.512491072812886,Arsenal
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,620,215,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,627,215,False,0.0,624,215,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,616,214,0,710,5,12828,4,0.0,0.0,Koscielny,0,,,,,,,,Arsenal
8,0,0,0,0.0,0.0,0,233963,0,0,-2,2,0.0,561,211,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,575,211,False,0.0,571,211,0,Joined Nuremberg on loan until the end of the season on 13/1. - Expected back 01 Aug,2020-01-13T14:30:21.309535Z,43,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,n,1,3,0.0,540,204,0,1144,2,5000,11,0.0,0.0,Mavropanos,0,,,,,,,,Arsenal
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,576,212,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,589,212,False,0.0,585,212,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,558,206,0,478,3,2666,3,0.0,0.0,Jenkinson,0,,,,,,,,Arsenal
10,0,2,57,100.0,100.0,1,156074,0,0,-1,1,1.6,443,163,0,2,4.0,3.5,8,Rob,3.0,5,0,7.2,418,152,False,64.4,386,148,265,,2019-12-09T10:00:19.335279Z,44,0,0,0,156074.jpg,2.8,0,0,Holding,0.2,False,,a,1,3,6.0,415,153,11,18810,4285,16410,260,0.7,2.5,Holding,0,3.928571428571429,10.563343355672561,2.6888510359893787,3.2238118234174373,3.5226801906697385,0.6111025081794041,1.281859435435063,Arsenal
