id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,ppg_estimate,ppg next 5,ppg next 10,value,valuePoints_metric,games_played
1,0,0,0,,,0,69140,0,0,-1,1,0.0,0,2,0.0,-0.5,0,Shkodran,0.0,0,0,0.0,False,0.0,0,,,54,0,0,0,69140.jpg,0.0,0,0,Mustafi,0.5,False,,a,1,3,0.0,0,3610,208,18144,2580,0.0,0.0,Mustafi,0,2.6,2.6,2.6000000000000005,0.48148148148148145,1.1188618555710315,0.0
2,0,0,0,0.0,0.0,0,98745,0,0,0,0,0.0,0,2,0.0,0.0,0,Héctor,0.0,0,0,0.0,False,0.0,0,Knee injury - Unknown return date,2019-06-25T11:30:06.897107Z,55,0,0,0,98745.jpg,0.0,0,0,Bellerín,0.1,False,,i,1,3,0.0,0,600,85,3777,530,0.0,0.0,Bellerín,0,3.2,3.2,3.1999999999999997,0.5818181818181819,1.3644845846759068,0.0
3,0,0,2,100.0,100.0,0,111457,0,0,-1,1,0.3,0,2,0.3,-0.2,0,Sead,0.3,0,0,0.3,False,2.2,19,,2019-08-09T17:00:13.224645Z,54,0,0,0,111457.jpg,1.0,0,0,Kolasinac,0.8,False,,a,1,3,0.0,1,2596,516,47255,4452,0.1,0.2,Kolasinac,0,1.72,2.728,2.7279999999999998,0.3185185185185185,0.7401701506085285,0.2111111111111111
4,1,3,62,,,1,154043,1,-1,1,-1,41.7,1,2,5.0,4.5,1,Ainsley,5.0,4,0,12.6,False,77.2,270,,,51,0,0,0,154043.jpg,5.0,0,0,Maitland-Niles,5.8,False,,a,1,3,7.0,15,302025,48328,107118,26712,1.0,3.0,Maitland-Niles,0,4.24,2.8600000000000003,3.6480000000000006,0.831372549019608,1.8775035573450023,3.0
5,0,2,64,,,1,39476,0,0,0,0,12.1,0,2,3.7,3.2,1,Sokratis,3.7,4,0,9.2,False,77.6,270,,,50,0,0,0,39476.jpg,3.7,0,0,Papastathopoulos,1.9,False,,a,1,3,2.0,11,34500,5095,32929,7154,0.7,2.2,Sokratis,0,3.43,2.924,3.404000000000001,0.686,1.533942632564856,3.0
6,0,1,54,,,1,38411,0,0,0,0,40.8,0,2,3.3,2.8,1,Nacho,3.3,4,0,10.0,False,47.4,270,,,50,0,0,0,38411.jpg,3.3,0,0,Monreal,1.2,False,,a,1,3,12.0,10,24452,3576,22252,4955,0.7,2.0,Monreal,0,3.37,3.446,3.7560000000000002,0.674,1.5071098168348582,3.0
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,0,143,30,9705,685,0.0,0.0,Koscielny,0,3.6,3.6,3.6000000000000005,0.72,1.6099689437998486,0.0
8,0,0,0,0.0,0.0,0,233963,0,0,-1,1,0.0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,Groin Injury - Expected back 06 Oct,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,i,1,3,0.0,0,115,31,2563,243,0.0,0.0,Mavropanos,0,2.0,2.0,2.0,0.45454545454545453,0.9534625892455924,0.0
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,78,16,1564,127,0.0,0.0,Jenkinson,0,2.0,2.0,2.0,0.4444444444444444,0.9428090415820634,0.0
10,0,0,0,0.0,0.0,0,156074,0,0,0,0,0.0,0,2,0.0,0.0,0,Rob,0.0,0,0,0.0,False,0.0,0,Anterior cruciate ligament - Unknown return date,2019-06-25T11:30:06.913215Z,45,0,0,0,156074.jpg,0.0,0,0,Holding,0.1,False,,i,1,3,0.0,0,351,61,2182,296,0.0,0.0,Holding,0,2.4,2.4,2.3999999999999995,0.5333333333333333,1.131370849898476,0.0
