id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 5,form 10,value,valuePoints metric,team_name
1,2,1,77,25.0,100.0,0,69140,0,0,-4,4,12.9,0,2,0.6,1.8,5,Shkodran,1.8,7,0,20.0,False,111.6,350,Ankle injury - 25% chance of playing,2020-01-27T22:30:15.833744Z,51,0,0,0,69140.jpg,2.6,0,0,Mustafi,0.3,False,,d,1,3,75.0,13,9350,487,34279,435,0.4,2.5,Mustafi,0,5.0,15.673356897371695,3.134671379474339,3.552454468762573,3.631731509001379,0.6146414469557528,1.3880558174694897,Arsenal
2,0,1,54,100.0,100.0,0,98745,0,0,-1,1,24.8,0,2,2.5,2.0,8,Héctor,2.0,8,1,13.3,False,83.4,352,,2019-12-09T20:00:21.228098Z,54,0,0,0,98745.jpg,2.2,0,0,Bellerín,0.4,False,,a,1,3,24.0,9,50183,14761,39870,1725,0.4,1.7,Bellerín,2,4.090909090909091,7.852025549260228,1.9193840231525001,3.132856340229046,2.7774082141472016,0.3554414857689815,0.8259713729606916,Arsenal
3,2,1,219,0.0,0.0,2,111457,0,0,-3,3,156.3,0,2,0.0,0.0,0,Sead,1.8,18,0,41.2,False,190.0,1086,Thigh injury - Expected back 16 Feb,2020-01-15T13:30:21.603499Z,52,0,0,0,111457.jpg,2.1,0,0,Kolasinac,0.5,False,,i,1,3,67.0,34,55141,14,124629,1386,0.3,6.5,Kolasinac,3,16.19047619047619,44.28392414058619,2.7351835498597348,3.1280179590011783,2.847098605173155,0.5259968365114874,1.199457333340574,Arsenal
4,2,3,216,100.0,100.0,3,154043,0,0,-4,4,155.4,1,2,2.7,2.2,0,Ainsley,2.2,19,0,44.9,False,261.8,1210,,2019-09-22T18:00:10.824841Z,46,0,0,0,154043.jpg,2.6,1,0,Maitland-Niles,2.6,False,,a,1,3,37.0,36,587530,1193,603238,5597,0.5,7.8,Maitland-Niles,3,13.846153846153845,38.519189922695105,2.781941494416869,3.0037466067196545,2.8227572518120394,0.6047698900906238,1.2970869098934872,Arsenal
5,0,5,286,100.0,75.0,3,39476,0,0,-1,1,31.8,1,2,4.7,3.2,0,Sokratis,4.2,25,2,57.1,False,431.6,1606,,2020-01-18T17:00:22.046513Z,49,0,0,0,39476.jpg,2.9,0,0,Papastathopoulos,1.4,False,,a,1,3,106.0,52,139448,1455,179573,3904,0.9,10.6,Sokratis,5,17.931034482758626,51.32228823124024,2.862204535973013,5.960254437575951,4.259695971708767,0.58412337468837,1.2930122089914373,Arsenal
6,0,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.2,False,,u,1,3,12.0,10,28121,9,88685,87,0.0,2.0,Monreal,0,3.0303030303030303,10.427426332785354,3.441050689819168,,,0.6882101379638337,1.5388846512916408,Arsenal
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,0,579,16,12654,23,0.0,0.0,Koscielny,0,,,,,,,,Arsenal
8,0,0,0,0.0,0.0,0,233963,0,0,-1,1,0.0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,Joined Nuremberg on loan until the end of the season on 13/1. - Expected back 01 Jul,2020-01-13T14:30:21.309535Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,n,1,3,0.0,0,1075,10,4717,71,0.0,0.0,Mavropanos,0,,,,,,,,Arsenal
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,407,13,2560,12,0.0,0.0,Jenkinson,0,,,,,,,,Arsenal
10,0,0,13,100.0,100.0,0,156074,0,0,0,0,0.4,0,2,0.7,0.2,1,Rob,0.2,3,0,1.6,False,13.4,85,,2019-12-09T10:00:19.335279Z,45,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,,a,1,3,2.0,2,11546,428,13894,211,0.0,0.4,Holding,0,2.0,3.9321013796383335,1.9660506898191668,1.9063506169289788,1.9063506169289788,0.4369001532931482,0.9268051832850817,Arsenal
