id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,ppg_estimate,form 5,ppg next 1,ppg next 5,ppg next 10,value,valuePoints_metric,games_played
1,0,0,0,,,0,69140,-1,1,-3,3,0.0,0,2,0.5,1.0,0,Shkodran,0.0,0,0,0.0,False,0.0,0,,,52,0,0,0,69140.jpg,0.0,0,0,Mustafi,0.4,False,,a,1,3,0.0,0,6033,145,27779,417,0.0,0.0,Mustafi,0,2.6,2.6,2.6,2.6,2.6000000000000005,0.5,1.140175425099138,0.0
2,0,0,0,100.0,100.0,0,98745,0,0,-1,1,0.0,0,2,0.5,1.0,0,Héctor,0.0,0,0,0.0,False,0.0,0,,2019-06-25T11:30:06.897107Z,54,0,0,0,98745.jpg,0.0,0,0,Bellerín,0.3,False,,a,1,3,0.0,0,20059,1681,10792,1497,0.0,0.0,Bellerín,0,3.2,3.2,3.2,3.2,3.1999999999999997,0.5925925925925926,1.3770607453181927,0.0
3,1,1,109,100.0,100.0,1,111457,0,0,-1,1,108.7,0,2,3.3,3.8,1,Sead,2.8,8,0,24.7,False,106.0,559,,2019-09-19T23:30:10.394662Z,54,0,0,0,111457.jpg,2.3,0,0,Kolasinac,0.9,False,,a,1,3,33.0,16,38745,2321,78207,2153,0.5,3.0,Kolasinac,2,2.37,2.63,3.4,2.6719999999999997,2.8119999999999994,0.4388888888888889,1.0198856145012865,6.211111111111111
4,2,3,92,100.0,100.0,1,154043,-1,1,-1,1,108.2,1,2,-0.3,0.2,0,Ainsley,-0.8,10,0,27.1,False,136.4,490,,2019-09-22T18:00:10.824841Z,49,0,0,0,154043.jpg,2.8,1,0,Maitland-Niles,4.4,False,,a,1,3,31.0,17,540944,595,434791,23931,-0.2,3.4,Maitland-Niles,0,3.19,2.38,6.04,2.666,3.472,0.6510204081632652,1.4410951051338756,5.444444444444445
5,0,2,134,,,2,39476,0,0,0,0,24.8,0,2,3.0,3.5,1,Sokratis,2.5,12,0,19.6,False,159.4,810,,,50,0,0,0,39476.jpg,2.4,0,0,Papastathopoulos,1.8,False,,a,1,3,12.0,22,80115,2170,88037,2992,0.5,4.4,Sokratis,2,2.45,2.25,5.0,2.5860000000000003,3.1380000000000003,0.49000000000000005,1.095673308974897,9.0
6,0,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.3,False,,u,1,3,12.0,10,27923,11,84960,418,0.0,2.0,Monreal,0,3.37,3.37,5.05,3.2640000000000002,3.7559999999999993,0.674,1.5071098168348582,3.0
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,0,343,21,11993,60,0.0,0.0,Koscielny,0,3.6,3.6,3.6,3.6,3.6000000000000005,0.72,1.6099689437998486,0.0
8,0,0,0,100.0,100.0,0,233963,0,0,-1,1,0.0,0,2,0.5,1.0,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,a,1,3,0.0,0,392,33,3518,40,0.0,0.0,Mavropanos,0,2.0,2.0,2.0,2.0,2.0,0.45454545454545453,0.9534625892455924,0.0
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,203,14,2242,40,0.0,0.0,Jenkinson,0,2.0,2.0,2.0,2.0,2.0,0.4444444444444444,0.9428090415820634,0.0
10,0,0,0,100.0,100.0,0,156074,0,0,0,0,0.0,0,2,0.5,1.0,0,Rob,0.0,0,0,0.0,False,0.0,0,,2019-06-25T11:30:06.913215Z,45,0,0,0,156074.jpg,0.0,0,0,Holding,0.2,False,,a,1,3,0.0,0,8218,280,6247,490,0.0,0.0,Holding,0,2.4,2.4,2.4,2.4,2.3999999999999995,0.5333333333333333,1.131370849898476,0.0
11,1,10,222,,,2,54694,0,0,1,-1,124.3,1,4,5.0,5.5,2,Pierre-Emerick,4.5,12,7,80.0,True,285.0,810,,,111,0,0,0,54694.jpg,6.3,0,0,Aubameyang,29.0,False,,a,1,3,392.0,57,1073069,76017,914016,34698,0.4,5.1,Aubameyang,2,6.24,6.22,5.82,6.018000000000001,6.058,0.5621621621621622,1.8729367025855124,9.0
12,0,2,49,100.0,75.0,0,59966,0,0,-2,2,35.5,0,4,0.7,0.9,1,Alexandre,0.2,3,2,24.8,False,81.0,166,,2019-09-01T18:30:14.246208Z,93,0,0,0,59966.jpg,3.8,0,0,Lacazette,1.5,False,,a,1,3,131.0,15,77569,4945,223856,1168,0.0,1.6,Lacazette,1,3.94,2.37,4.7,4.65,4.676,0.42365591397849456,1.2919768964943872,1.8444444444444446
13,0,0,0,0.0,0.0,0,205533,0,0,-1,1,0.0,0,4,0.0,0.0,0,Edward,0.0,0,0,0.0,False,0.0,0,Joined Leeds United on loan until the end of the season on 8/8. - Expected back 01 Jul,2019-08-08T15:30:15.638344Z,44,0,0,0,205533.jpg,0.0,0,0,Nketiah,0.7,False,,n,1,3,0.0,0,32943,870,91391,1442,0.0,0.0,Nketiah,0,2.0,2.0,2.0,2.0,2.0,0.45454545454545453,0.9534625892455924,0.0
14,0,1,168,,,2,80201,0,0,0,0,0.0,0,1,3.7,4.2,2,Bernd,3.2,12,0,21.8,False,218.6,810,,,50,0,0,0,80201.jpg,3.2,0,35,Leno,6.5,False,,a,1,3,0.0,29,290142,7876,247440,9715,0.6,5.8,Leno,2,3.23,3.06,4.95,3.4300000000000006,3.812,0.646,1.4444999134648642,9.0
15,0,0,15,100.0,100.0,0,37605,0,0,-3,3,18.8,0,3,0.5,1.0,0,Mesut,0.0,1,0,2.7,False,6.4,70,,2019-08-09T17:00:13.419733Z,72,0,0,0,37605.jpg,2.0,0,0,Özil,0.6,False,,a,1,3,2.0,2,15498,497,87421,1095,0.0,0.3,Özil,0,2.68,2.68,3.7,3.088,3.2920000000000003,0.37222222222222223,0.9987770299499061,0.7777777777777778
16,0,0,3,0.0,0.0,1,57249,0,0,-2,2,33.9,0,3,0.0,0.0,0,Henrikh,0.0,0,0,8.6,False,5.4,110,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,68,0,0,0,57249.jpg,1.3,0,0,Mkhitaryan,0.9,False,,n,1,3,46.0,4,22559,25,110602,587,0.0,0.6,Mkhitaryan,1,1.6400000000000001,1.6400000000000001,2.7800000000000002,3.286,3.0620000000000003,0.24117647058823533,0.6289112908548439,1.2222222222222223
18,0,0,85,100.0,100.0,2,84450,0,0,-2,2,91.0,0,3,2.3,2.8,2,Granit,1.8,11,0,25.3,False,119.2,679,,2019-09-08T21:00:18.761460Z,53,0,0,0,84450.jpg,1.8,0,0,Xhaka,0.8,False,,a,1,3,42.0,14,27519,822,81457,1317,0.3,2.6,Xhaka,4,1.82,1.8,2.41,2.018,2.074,0.3433962264150944,0.7905574818287863,7.544444444444444
19,0,0,51,100.0,100.0,0,198849,0,0,-2,2,66.4,0,3,1.3,1.8,0,Lucas,0.8,4,1,23.9,False,75.4,200,,2019-09-08T21:00:18.773636Z,48,0,0,0,198849.jpg,1.9,0,0,Torreira,1.4,False,,a,1,3,97.0,13,49099,689,107630,2577,0.2,2.7,Torreira,0,1.8900000000000001,1.12,2.3000000000000003,1.4360000000000004,1.6800000000000004,0.39375000000000004,0.8626630280706367,2.2222222222222223
20,0,0,0,0.0,0.0,0,153256,0,0,-2,2,0.0,0,3,0.0,0.0,0,Mohamed,0.0,0,0,0.0,False,0.0,0,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,43,0,0,0,153256.jpg,0.0,0,0,Elneny,0.8,False,,n,1,3,0.0,0,76501,5709,54615,3818,0.0,0.0,Elneny,0,2.0,2.0,2.0,2.0,2.0,0.46511627906976744,0.9644856443408242,0.0
21,2,2,143,,,2,242166,0,0,2,-2,130.5,0,3,3.3,3.8,2,Matteo,2.8,11,0,39.4,False,171.0,781,,,47,0,0,0,242166.jpg,2.9,0,0,Guendouzi,10.9,False,,a,1,3,92.0,26,702554,16505,364264,21719,0.6,5.5,Guendouzi,2,2.7800000000000002,2.48,2.4,2.5700000000000003,2.59,0.5914893617021277,1.2823183791601505,8.677777777777777
106,0,3,129,,,1,41270,0,0,-2,2,24.5,1,2,5.5,6.0,2,David,5.0,12,1,26.6,False,197.6,720,,,58,0,0,0,41270.jpg,2.9,0,0,Luiz Moreira Marinho,5.7,False,,a,1,3,43.0,23,88994,8129,331510,5962,0.9,4.0,David Luiz,2,3.02,3.69,4.6000000000000005,3.812,3.9120000000000004,0.5206896551724138,1.2539867457914735,8.0
427,0,0,0,,,0,98980,0,0,-1,1,0.0,0,1,0.5,1.0,0,Emiliano,0.0,0,0,0.0,False,0.0,0,,,44,0,0,0,98980.jpg,0.0,0,0,Martínez,0.3,False,,a,1,3,0.0,0,3507,114,9021,263,0.0,0.0,Martínez,0,2.0,2.0,2.0,2.0,2.0,0.45454545454545453,0.9534625892455924,0.0
467,0,2,88,,,2,101184,0,0,-1,1,67.9,0,2,4.7,5.2,1,Calum,4.2,3,1,27.9,False,103.4,405,,,44,0,0,0,101184.jpg,4.6,0,0,Chambers,1.6,False,,a,1,3,108.0,23,94072,9261,58322,3027,1.0,5.2,Chambers,2,4.14,4.19,3.96,3.6800000000000006,3.5900000000000007,0.9409090909090908,1.973667559738376,4.5
469,2,3,99,,,1,182539,0,0,0,0,147.4,1,3,2.3,2.8,1,Daniel,1.8,7,0,32.9,False,107.6,479,,,55,0,0,0,182539.jpg,2.6,0,0,Ceballos Fernández,7.9,False,,a,1,3,74.0,23,985140,3958,788452,36407,0.3,4.2,Ceballos,0,2.52,1.75,1.24,2.4940000000000007,2.068,0.4581818181818182,1.0745316104322766,5.322222222222222
488,2,2,101,100.0,100.0,1,195735,0,0,-2,2,212.2,0,3,5.0,5.5,2,Nicolas,4.5,11,1,61.2,False,150.0,636,,2019-08-09T09:30:12.533555Z,93,0,0,0,195735.jpg,3.2,0,0,Pépé,3.4,False,,a,1,3,248.0,29,177272,9288,306432,12926,0.5,3.1,Pépé,1,3.12,3.72,1.24,2.982,2.524,0.3354838709677419,1.0230883038229666,7.066666666666666
489,0,0,15,0.0,0.0,1,200641,0,0,-2,2,50.3,0,3,0.0,0.0,0,Reiss,0.2,2,0,14.5,False,27.2,150,Knee injury - Expected back 23 Nov,2019-10-07T15:00:21.389844Z,53,0,0,0,200641.jpg,1.2,0,0,Nelson,0.1,False,,i,1,3,67.0,5,7270,7,12575,337,0.0,0.9,Nelson,1,1.31,1.07,2.0,1.32,1.496,0.24716981132075475,0.5690276380196209,1.6666666666666667
490,0,0,50,100.0,100.0,1,200089,0,0,0,0,91.4,0,3,1.5,2.0,1,Joseph,1.0,6,0,19.9,False,45.6,351,,2019-09-07T11:30:17.190466Z,50,0,0,0,200089.jpg,1.5,0,0,Willock,0.2,False,,a,1,3,62.0,12,21745,227,22802,565,0.2,2.4,Willock,0,1.52,1.06,2.61,1.52,1.7919999999999998,0.304,0.679764665159936,3.9
504,0,0,0,,,0,444145,0,0,0,0,5.1,0,4,0.7,1.2,1,Gabriel Teodoro,0.2,0,0,2.4,False,5.4,45,,,45,0,0,0,444145.jpg,0.7,0,0,Martinelli Silva,1.4,False,,a,1,3,14.0,2,119512,2360,112212,3084,0.0,0.4,Martinelli,1,0.74,0.55,1.24,1.014,1.1400000000000001,0.16444444444444445,0.34883934538536343,0.5
515,0,0,0,100.0,100.0,0,192895,0,0,-1,1,0.0,0,2,0.5,1.0,0,Kieran,0.0,0,0,0.0,False,0.0,0,,2019-08-09T12:00:11.271398Z,54,0,0,0,192895.jpg,0.0,0,0,Tierney,1.0,False,,a,1,3,0.0,0,51390,3712,43957,1972,0.0,0.0,Tierney,0,2.0,2.0,2.0,2.0,2.0,0.37037037037037035,0.8606629658238704,0.0
541,1,0,39,100.0,100.0,1,223340,0,0,0,0,89.3,0,3,3.0,3.5,1,Bukayo,2.5,3,0,23.3,False,58.6,296,,2019-09-24T21:30:13.707726Z,45,0,0,0,223340.jpg,2.5,0,0,Saka,1.1,False,,a,1,3,84.0,10,93110,7734,18292,4284,0.6,2.2,Saka,1,2.43,,2.0,2.1420000000000003,2.2,0.54,1.145512985522207,3.2888888888888888
22,0,3,53,,,0,37339,0,0,-2,2,88.2,0,2,-1.5,0.0,0,Ahmed,0.0,7,0,15.1,False,61.0,230,,,43,0,0,0,37339.jpg,1.4,0,0,El Mohamady,1.0,False,,a,2,7,2.0,7,35367,350,100707,2929,0.0,1.6,El Mohamady,0,1.44,0.61,2.0,1.37,1.5870000000000002,0.33488372093023255,0.6944296639253934,2.5555555555555554
23,0,0,0,100.0,0.0,0,43252,-1,1,-2,2,0.0,0,2,0.0,0.0,0,James,0.0,0,0,0.0,False,0.0,0,,2019-08-08T17:00:13.859858Z,43,0,0,0,43252.jpg,0.0,0,0,Chester,0.0,False,,a,2,7,0.0,0,202,14,5700,67,0.0,0.0,Chester,0,2.0,2.0,2.0,2.0,2.0,0.46511627906976744,0.9644856443408242,0.0
24,0,0,95,,,2,47390,0,0,0,0,27.5,0,2,-1.3,0.2,0,Neil,0.2,11,0,14.5,False,90.8,568,,,45,0,0,0,47390.jpg,2.3,0,0,Taylor,0.3,False,,a,2,7,26.0,16,16232,165,15439,1103,0.0,3.6,Taylor,1,2.2600000000000002,2.32,2.0,2.0480000000000005,2.136,0.5022222222222222,1.0653742169877316,6.311111111111111
25,0,0,0,100.0,100.0,0,123354,0,0,0,0,0.0,0,2,-1.5,0.0,0,Kortney,0.0,0,0,0.0,False,0.0,0,,2019-08-15T13:00:13.496241Z,45,0,0,0,123354.jpg,0.0,0,0,Hause,0.1,False,,a,2,7,0.0,0,545,26,3154,75,0.0,0.0,Hause,0,2.0,2.0,2.0,2.0,2.0,0.4444444444444444,0.9428090415820634,0.0
26,0,0,4,100.0,100.0,0,54764,0,0,-1,1,0.0,0,4,-1.5,0.0,0,Jonathan,0.0,2,0,0.2,False,0.0,16,,2019-10-03T12:30:10.314025Z,54,0,0,0,54764.jpg,1.0,0,0,Kodjia,0.1,False,,a,2,7,2.0,1,2323,137,24247,142,0.0,0.2,Kodjia,0,1.24,1.24,2.0,1.6960000000000002,1.7719999999999998,0.2296296296296296,0.5336110388107996,0.17777777777777778
27,0,0,0,100.0,100.0,0,98770,0,0,-1,1,0.0,0,1,-1.5,0.0,0,Ørjan,0.0,0,0,0.0,False,0.0,0,,2019-07-30T15:00:08.973693Z,44,0,0,0,98770.jpg,0.0,0,0,Nyland,0.2,False,,a,2,7,0.0,0,2003,37,6772,173,0.0,0.0,Nyland,0,2.0,2.0,2.0,2.0,2.0,0.45454545454545453,0.9534625892455924,0.0
28,1,1,71,,,1,85242,0,0,-3,3,118.2,1,3,2.3,3.8,1,Conor,3.8,5,1,32.6,False,97.2,334,,,57,0,0,0,85242.jpg,3.0,0,0,Hourihane,0.1,False,,a,2,7,111.0,18,4472,296,14344,480,0.7,3.2,Hourihane,2,2.89,3.37,2.0,2.12,2.4499999999999997,0.5070175438596491,1.210487794963,3.7111111111111112
29,3,5,190,,,2,114283,0,0,-1,1,322.2,1,3,5.5,7.0,13,Jack,7.0,13,2,81.9,False,290.2,810,,,59,0,0,0,114283.jpg,4.7,0,0,Grealish,4.7,False,,a,2,7,206.0,42,190656,64056,260755,5788,1.2,7.1,Grealish,2,4.38,5.34,2.0,3.116,3.532,0.7423728813559322,1.803217463407834,9.0
