id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,ppg_estimate,form 5,ppg next 1,ppg next 5,ppg next 10,value,adjusted value,valuePoints metric,valueAdjustedPoints metric
112,0,0,0,,,0,20310,0,0,-2,2,0.0,0,1,-0.5,0.5,0,Willy,0.0,0,0,0.0,False,0.0,0,,,48,0,0,0,20310.jpg,0.0,0,0,Caballero,0.2,False,,a,Chelsea,8,0.0,0,2609,56,9388,152,0.0,0.0,Caballero,0,,,,2.0,2.0,2.0,2.0,2.0,0.4166666666666667,,0.9128709291752769,
113,3,9,189,100.0,100.0,4,47431,0,0,1,-1,266.6,2,3,5.5,6.5,7,Willian,6.0,7,2,75.0,False,225.6,756,,2019-07-30T11:00:13.285605Z,71,0,0,0,47431.jpg,4.5,0,0,Borges Da Silva,2.9,False,,a,Chelsea,8,258.0,49,211884,10727,96271,4540,0.8,6.9,Willian,2,10.888888888888893,46.72431517288077,4.291008536284968,4.36,5.63,3.4,4.303999999999999,3.878,0.6140845070422536,0.6043673994767561,1.6362788425889476,1.6103868076357022
114,0,0,28,100.0,100.0,1,49579,-1,1,-2,2,95.7,0,3,-0.5,0.5,0,Pedro,0.0,5,0,25.8,False,48.4,242,,2019-08-24T13:30:14.550162Z,68,0,0,0,49579.jpg,2.3,0,0,Rodríguez Ledesma,1.3,False,,a,Chelsea,8,114.0,7,121110,163,255608,766,0.0,1.0,Pedro,0,3.0434782608695654,12.72156356397542,4.179942313877636,2.56,2.56,3.6,3.0839999999999996,3.051,0.3764705882352941,0.6146973990996524,0.9817151857246341,1.6029347050729066
115,0,0,0,0.0,0.0,0,126187,0,0,-1,1,0.0,0,3,0.0,0.0,0,Ruben,0.0,0,0,0.0,False,0.0,0,Achilles injury - Unknown return date,2019-06-25T11:30:07.068350Z,64,0,0,0,126187.jpg,0.0,0,0,Loftus-Cheek,0.1,False,,i,Chelsea,8,0.0,0,718,10,4843,36,0.0,0.0,Loftus-Cheek,0,,,,3.3000000000000003,3.3000000000000003,3.3000000000000003,3.3,3.3,0.515625,,1.3044395348194564,
116,3,3,67,100.0,100.0,1,209046,-1,1,-2,2,138.1,0,3,2.3,3.3,1,Callum,2.8,3,0,32.1,False,85.0,231,,2019-06-25T11:30:07.083018Z,58,0,0,0,209046.jpg,3.3,0,0,Hudson-Odoi,2.1,False,,a,Chelsea,8,99.0,20,272577,1424,147255,21131,0.5,3.4,Hudson-Odoi,1,6.0606060606060606,20.90367017687128,3.4491055791837613,3.18,3.19,2.0,2.316,2.812,0.5482758620689656,0.5946733757213382,1.3204231296744657,1.432163139447636
117,0,0,38,0.0,0.0,1,88894,0,0,-4,4,125.9,0,3,0.0,0.0,0,Ross,0.2,5,0,34.7,False,63.8,335,Ankle injury - Unknown return date,2019-10-19T16:00:15.801912Z,56,0,0,0,88894.jpg,1.5,0,0,Barkley,1.5,False,,i,Chelsea,8,157.0,9,70346,15,440130,1892,0.0,1.6,Barkley,0,6.0,19.613939597551536,3.2689899329252565,1.59,1.16,2.9,1.936,1.833,0.2839285714285715,0.5837482023080816,0.6718976325091708,1.3814003752382342
118,3,5,221,100.0,0.0,2,85955,0,0,1,-1,208.3,1,3,1.7,0.0,0,Jorge Luiz,2.2,16,1,49.1,False,238.0,952,,2019-11-02T20:00:14.959095Z,51,0,0,0,85955.jpg,3.5,0,0,Frello Filho,4.2,False,,a,Chelsea,8,42.0,38,377958,7155,369564,8577,0.4,7.5,Jorginho,5,10.857142857142858,37.51365940781436,3.4552054717723752,3.39,2.69,2.6,3.2680000000000002,3.2380000000000004,0.6647058823529413,0.6774912689749756,1.5011172309904617,1.5299906992006016
119,0,1,70,100.0,100.0,1,116594,0,0,0,0,61.6,0,3,0.3,1.3,3,N'Golo,0.8,5,2,22.3,False,124.0,377,,2019-10-18T13:00:12.209781Z,50,0,0,0,116594.jpg,4.0,0,0,Kanté,4.1,False,,a,Chelsea,8,38.0,20,251650,4851,484814,2172,0.2,4.0,Kanté,1,5.0,14.578282997959617,2.9156565995919235,3.87,4.4,3.2,3.676,4.059,0.774,0.5831313199183847,1.7307166145848374,1.3039212711466852
121,0,0,0,0.0,0.0,0,199598,0,0,-1,1,0.0,0,3,0.0,0.0,0,Ethan,0.0,0,0,0.0,False,0.0,0,Joined RB Leipzig on loan until the end of the season on 22/7. - Expected back 01 Jul,2019-07-22T13:30:07.199042Z,44,0,0,0,199598.jpg,0.0,0,0,Ampadu,0.0,False,,n,Chelsea,8,0.0,0,821,7,1652,15,0.0,0.0,Ampadu,0,,,,2.0,2.0,2.0,2.0,2.0,0.45454545454545453,,0.9534625892455924,
431,3,5,192,75.0,,1,176413,1,-1,-1,1,172.8,1,3,6.8,10.0,8,Christian,9.5,11,5,85.1,False,279.2,562,Hip injury - 75% chance of playing,2019-11-09T15:30:18.883584Z,74,0,0,0,176413.jpg,6.1,0,0,Pulisic,11.9,False,,d,Chelsea,8,399.0,55,856837,82654,645698,14807,1.3,7.4,Pulisic,0,9.016393442622947,48.49579971863579,5.378625059703243,5.5600000000000005,7.01,2.0,4.936,4.006,0.7513513513513513,0.7268412242842219,2.0438966494207857,1.9772218953270018
