id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,form 5,value,valuePoints metric,team_name
1,1,0,35,100.0,100.0,0,69140,0,0,-3,3,1.2,0,2,0.9,0.9,1,Shkodran,0.9,4,0,8.8,False,32.2,170,,2019-11-28T23:00:21.541666Z,52,0,0,0,69140.jpg,2.0,0,0,Mustafi,0.3,False,,a,1,3,54.0,6,8171,95,32845,141,0.2,1.2,Mustafi,0,3.0,8.338978640672735,2.779659546890912,3.8634661856254873,0.534549912863637,1.218961348272009,Arsenal
2,0,0,26,75.0,75.0,0,98745,0,0,-1,1,22.7,0,2,0.0,0.0,0,HÃÂ©ctor,0.0,6,0,6.9,False,30.8,262,Hamstring injury - 75% chance of playing,2019-12-09T20:00:21.228098Z,54,0,0,0,98745.jpg,0.3,0,0,BellerÃÂ­n,0.2,False,,d,1,3,15.0,1,34899,63,36164,428,0.0,0.2,BellerÃÂ­n,2,3.333333333333333,4.412004852015352,1.3236014556046054,,0.2451113806675195,0.5695873771747259,Arsenal
3,2,1,196,0.0,0.0,1,111457,0,0,-3,3,149.6,0,2,0.0,0.0,0,Sead,1.1,17,0,37.8,False,174.4,928,Ankle injury - Expected back 11 Jan,2019-12-15T19:30:19.136195Z,52,0,0,0,111457.jpg,1.9,0,0,Kolasinac,0.5,False,,i,1,3,55.0,27,46981,9,115767,764,0.2,5.2,Kolasinac,2,14.210526315789476,38.94331660104644,2.740455612666231,2.432315316790252,0.5270106947435059,1.201769285821938,Arsenal
4,2,3,171,100.0,100.0,2,154043,0,0,-4,4,148.0,1,2,1.4,1.4,0,Ainsley,1.4,17,0,38.9,False,211.2,940,,2019-09-22T18:00:10.824841Z,46,0,0,0,154043.jpg,2.5,1,0,Maitland-Niles,2.5,False,,a,1,3,35.0,27,553725,1843,576480,2783,0.3,5.9,Maitland-Niles,2,10.8,30.25924426824757,2.8017818766895903,2.5410175210862773,0.6090830166716501,1.3063375358268066,Arsenal
5,0,2,240,0.0,75.0,2,39476,0,0,-1,1,31.4,0,2,0.0,0.4,0,Sokratis,0.6,24,1,46.3,False,359.2,1426,Head injury - Expected back 11 Jan,2019-12-26T17:00:15.332949Z,49,0,0,0,39476.jpg,2.2,0,0,Papastathopoulos,1.3,False,,i,1,3,71.0,35,108153,23,154952,2491,0.1,7.1,Sokratis,5,15.909090909090908,38.852750430073264,2.442172884176034,2.4231865049990824,0.49840262942368035,1.1032612505569788,Arsenal
6,0,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.3,False,,u,1,3,12.0,10,28065,6,88174,66,0.0,2.0,Monreal,0,3.0303030303030303,10.329095320013957,3.408601455604605,,0.681720291120921,1.5243729125873258,Arsenal
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,0,513,8,12508,19,0.0,0.0,Koscielny,0,,,,,,,Arsenal
8,0,0,0,100.0,100.0,0,233963,0,0,-1,1,0.0,0,2,0.0,0.0,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,a,1,3,0.0,0,905,37,4312,45,0.0,0.0,Mavropanos,0,,,,,,,Arsenal
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,357,7,2481,6,0.0,0.0,Jenkinson,0,,,,,,,Arsenal
10,0,0,9,75.0,75.0,0,156074,0,0,0,0,0.4,0,2,0.0,0.0,0,Rob,0.0,2,0,1.1,False,8.4,76,Knee injury - 75% chance of playing,2019-12-09T10:00:19.335279Z,45,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,,d,1,3,2.0,1,10381,16,12827,136,0.0,0.2,Holding,0,1.0,1.9336014556046053,1.9336014556046053,,0.429689212356579,0.9115084675801303,Arsenal
