id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards,games played,adjusted points,adjusted points per game,ppg_estimate,form 5,ppg next 1,ppg next 5,ppg next 10,value,adjusted value,valuePoints metric,valueAdjustedPoints metric
1,1,0,24,100.0,75.0,0,69140,0,0,-3,3,0.8,0,2,1.5,1.5,4,Shkodran,1.0,2,0,7.5,False,19.8,90,,2019-11-28T23:00:21.541666Z,52,0,0,0,69140.jpg,4.0,0,0,Mustafi,0.3,False,,a,1,3,54.0,4,7249,95,30908,193,0.2,0.8,Mustafi,0,1.0,4.292122074215514,4.292122074215514,3.36,3.36,3.36,2.904,2.8280000000000003,0.6461538461538461,0.8254080911952911,1.473457472435809,1.8822200425177182
2,0,0,17,75.0,75.0,0,98745,0,0,-1,1,20.7,0,2,0.5,0.9,0,Héctor,0.2,4,0,5.1,False,20.4,172,Hamstring injury - 75% chance of playing,2019-11-27T11:30:17.257265Z,54,0,0,0,98745.jpg,0.5,0,0,Bellerín,0.4,False,,d,1,3,9.0,1,33207,56,25732,1363,0.0,0.2,Bellerín,1,2.0,2.9738993208448146,1.4869496604224075,0.72,0.72,1.6400000000000001,1.936,1.452,0.13333333333333333,0.27536104822637175,0.30983866769659335,0.6398812523849731
3,1,1,147,100.0,100.0,1,111457,0,0,-2,2,126.7,0,2,1.3,1.8,1,Sead,0.8,12,0,30.7,False,132.8,757,,2019-11-21T14:30:19.207005Z,53,0,0,0,111457.jpg,1.8,0,0,Kolasinac,0.7,False,,a,1,3,49.0,20,43972,276,103234,463,0.2,3.8,Kolasinac,2,11.111111111111109,28.954613085153195,2.6059151776637868,1.8800000000000001,1.09,2.24,1.8980000000000001,1.8160000000000003,0.3547169811320755,0.49168210899316733,0.8166198163945705,1.1319372201721414
4,2,3,92,100.0,100.0,1,154043,0,0,-3,3,108.2,1,2,0.5,1.0,0,Ainsley,0.0,10,0,27.1,False,136.4,490,,2019-09-22T18:00:10.824841Z,47,0,0,0,154043.jpg,2.8,1,0,Maitland-Niles,2.9,False,,a,1,3,31.0,17,544372,93,544105,3133,0.0,3.6,Maitland-Niles,0,6.071428571428572,18.491824908722254,3.045712337907195,3.19,3.19,2.0100000000000002,3.472,2.919,0.6787234042553191,0.6480239016823819,1.4714372768060717,1.4048823411990021
5,0,2,191,,,2,39476,0,0,0,0,29.9,0,2,1.0,1.5,0,Sokratis,0.5,17,1,37.8,False,276.8,1080,,,50,0,0,0,39476.jpg,2.6,0,0,Papastathopoulos,1.8,False,,a,1,3,71.0,31,105557,263,121394,2904,0.1,6.2,Sokratis,3,11.923076923076925,29.379015181959478,2.464046434615956,2.58,2.89,1.9000000000000001,3.2020000000000004,2.7039999999999997,0.516,0.49280928692319115,1.1538110763898914,1.1019550655034536
6,0,1,54,0.0,0.0,1,38411,0,0,0,0,40.8,0,2,0.0,0.0,0,Nacho,0.0,4,0,10.0,False,47.2,270,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31T11:30:14.661839Z,50,0,0,0,38411.jpg,3.3,0,0,Monreal,0.3,False,,u,1,3,12.0,10,28003,2,87146,78,0.0,2.0,Monreal,0,3.0303030303030303,10.036211092189113,3.3119496604224072,3.37,3.37,2.59,3.7560000000000002,3.692,0.674,0.6623899320844815,1.5071098168348582,1.4811489157523694
7,0,0,0,0.0,0.0,0,51507,0,0,0,0,0.0,0,2,0.0,0.0,0,Laurent,0.0,0,0,0.0,False,0.0,0,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08T11:00:09.045030Z,50,0,0,0,51507.jpg,0.0,0,0,Koscielny,0.1,False,,u,1,3,0.0,0,435,4,12310,14,0.0,0.0,Koscielny,0,,,,3.6,3.6,3.6,3.6,3.6000000000000005,0.72,,1.6099689437998486,
8,0,0,0,100.0,100.0,0,233963,0,0,-1,1,0.0,0,2,0.5,1.0,0,Konstantinos,0.0,0,0,0.0,False,0.0,0,,2019-08-09T09:30:11.868345Z,44,0,0,0,233963.jpg,0.0,0,0,Mavropanos,0.0,False,,a,1,3,0.0,0,646,17,3940,21,0.0,0.0,Mavropanos,0,,,,2.0,2.0,2.0,2.0,2.0,0.45454545454545453,,0.9534625892455924,
9,0,0,0,0.0,0.0,0,80254,0,0,0,0,0.0,0,2,0.0,0.0,0,Carl,0.0,0,0,0.0,False,0.0,0,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07T17:00:10.875251Z,45,0,0,0,80254.jpg,0.0,0,0,Jenkinson,0.0,False,,u,1,3,0.0,0,274,3,2382,6,0.0,0.0,Jenkinson,0,,,,2.0,2.0,2.0,2.0,2.0,0.4444444444444444,,0.9428090415820634,
10,0,0,9,100.0,100.0,0,156074,0,0,0,0,0.4,0,2,0.7,1.2,0,Rob,0.2,2,0,1.1,False,8.4,76,,2019-11-22T10:00:21.031396Z,45,0,0,0,156074.jpg,1.0,0,0,Holding,0.1,False,,a,1,3,2.0,1,10000,85,10111,132,0.0,0.2,Holding,0,1.0,1.8369496604224076,1.8369496604224076,1.35,1.35,2.4,2.1900000000000004,1.98,0.30000000000000004,0.4082110356494239,0.6363961030678928,0.8659463743886734
11,2,15,332,,,2,54694,0,0,-1,1,211.0,2,4,7.5,8.0,13,Pierre-Emerick,7.0,21,10,118.7,True,426.2,1260,,,109,0,0,0,54694.jpg,6.2,0,0,Aubameyang,23.1,False,,a,1,3,551.0,87,1343945,36904,1582796,10996,0.6,8.0,Aubameyang,2,14.032258064516126,71.9103448275862,5.12464526357511,6.16,6.0600000000000005,6.57,5.742,5.888999999999999,0.5651376146788991,0.4701509416123954,1.8658102010713786,1.5522102937744424
12,2,5,131,100.0,100.0,0,59966,0,0,-2,2,133.4,1,4,5.5,6.0,2,Alexandre,5.0,11,4,71.8,False,199.6,585,,2019-09-01T18:30:14.246208Z,93,0,0,0,59966.jpg,4.4,0,0,Lacazette,2.5,False,,a,1,3,384.0,40,170293,7563,251227,4562,0.5,4.3,Lacazette,2,9.09090909090909,34.11034482758621,3.752137931034484,4.47,4.8,5.25,4.814,4.583,0.48064516129032253,0.4034556915090843,1.4657707429771347,1.2303744972986812
13,0,0,0,0.0,0.0,0,205533,0,0,-2,2,0.0,0,4,0.0,0.0,0,Edward,0.0,0,0,0.0,False,0.0,0,Joined Leeds United on loan until the end of the season on 8/8. - Expected back 01 Jul,2019-08-08T15:30:15.638344Z,43,0,0,0,205533.jpg,0.0,0,0,Nketiah,0.7,False,,n,1,3,0.0,0,43678,856,104008,742,0.0,0.0,Nketiah,0,,,,2.0,2.0,2.0,2.0,2.0,0.46511627906976744,,0.9644856443408242,
14,0,3,276,,,2,80201,0,0,0,0,0.0,0,1,5.0,5.5,3,Bernd,4.5,21,0,42.2,False,423.0,1260,,,50,0,0,1,80201.jpg,3.4,0,59,Leno,6.0,False,,a,1,3,0.0,48,332866,4251,328637,3558,0.9,9.6,Leno,2,14.117647058823529,51.81575991184575,3.670282993755741,3.42,3.71,3.81,3.5940000000000003,3.393,0.6839999999999999,0.7340565987511483,1.529470496609856,1.6414004541398546
15,1,1,83,100.0,100.0,0,37605,0,0,-3,3,224.3,0,3,3.5,4.0,6,Mesut,3.0,8,0,36.5,False,64.8,428,,2019-08-09T17:00:13.419733Z,72,0,0,0,37605.jpg,2.8,0,0,Özil,0.9,False,,a,1,3,76.0,14,37997,2677,98635,650,0.4,1.9,Özil,0,5.0,16.601359489321116,3.320271897864223,2.91,2.95,3.11,3.2600000000000002,3.1149999999999998,0.4041666666666667,0.4611488747033643,1.0844929690873981,1.2373922779011068
16,0,0,3,0.0,0.0,1,57249,0,0,-2,2,33.9,0,3,0.0,0.0,0,Henrikh,0.0,0,0,8.6,False,5.4,110,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,2019-09-02T23:30:14.832021Z,68,0,0,0,57249.jpg,1.3,0,0,Mkhitaryan,0.8,False,,n,1,3,46.0,4,22668,6,113394,114,0.0,0.6,Mkhitaryan,1,3.0769230769230766,5.74380743109416,1.8667374151056024,1.6400000000000001,1.6400000000000001,3.9,3.0620000000000003,2.784,0.24117647058823533,0.2745202081037651,0.6289112908548439,0.7158611203787187
18,1,0,118,100.0,100.0,2,84450,0,0,-3,3,108.4,0,3,1.0,1.5,2,Granit,0.5,15,0,31.5,False,160.2,829,,2019-09-08T21:00:18.761460Z,52,0,0,0,84450.jpg,2.1,0,0,Xhaka,0.7,False,,a,1,3,46.0,21,30981,170,93935,326,0.1,4.0,Xhaka,4,10.0,20.447546564849123,2.0447546564849124,2.15,3.04,2.1,2.45,2.1599999999999997,0.41346153846153844,0.3932220493240216,0.9428373707550564,0.896684234492741
19,0,0,78,100.0,100.0,1,198849,0,0,-3,3,74.2,0,3,2.3,2.8,1,Lucas,1.8,8,1,31.8,False,100.6,453,,2019-09-08T21:00:18.773636Z,47,0,0,0,198849.jpg,1.8,0,0,Torreira,1.3,False,,a,1,3,142.0,20,58556,591,123822,1006,0.4,4.3,Torreira,1,11.111111111111109,23.224860167840017,2.090237415105602,1.84,1.76,1.33,1.8020000000000003,1.7890000000000001,0.39148936170212767,0.4447313649160855,0.8487287113865742,0.9641546238122726
20,0,0,0,0.0,0.0,0,153256,0,0,-2,2,0.0,0,3,0.0,0.0,0,Mohamed,0.0,0,0,0.0,False,0.0,0,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,2019-08-31T11:30:14.714406Z,43,0,0,0,153256.jpg,0.0,0,0,Elneny,0.9,False,,n,1,3,0.0,0,109560,1163,80891,1841,0.0,0.0,Elneny,0,,,,2.0,2.0,2.0,2.0,2.0,0.46511627906976744,,0.9644856443408242,
21,2,2,207,,,2,242166,0,0,1,-1,213.6,0,3,2.3,2.8,2,Matteo,1.8,20,0,60.8,False,267.4,1218,,,46,0,0,0,242166.jpg,2.4,0,0,Guendouzi,9.1,False,,a,1,3,126.0,34,797986,2479,579683,14418,0.4,7.4,Guendouzi,4,14.166666666666668,37.47454154158224,2.6452617558763927,2.39,1.69,2.08,2.226,2.4669999999999996,0.5195652173913045,0.5750569034513897,1.1143432458471751,1.2333596532044757
106,0,3,209,100.0,75.0,1,41270,0,0,-2,2,55.2,1,2,1.7,1.7,1,David,1.2,21,2,50.6,False,334.2,1170,,2019-11-28T23:00:21.861570Z,58,0,0,0,41270.jpg,2.7,0,0,Luiz Moreira Marinho,5.5,False,,a,1,3,116.0,35,144930,505,411087,7431,0.2,6.0,David Luiz,2,12.962962962962964,37.04934744992009,2.8580925175652645,2.79,2.47,3.14,3.846000000000001,3.3220000000000005,0.4810344827586207,0.49277457199401115,1.1584844439596726,1.1867583229379557
427,0,0,0,,,0,98980,0,0,-1,1,0.0,0,1,0.5,1.0,0,Emiliano,0.0,0,0,0.0,False,0.0,0,,,44,0,0,0,98980.jpg,0.0,0,0,Martínez,0.3,False,,a,1,3,0.0,0,4164,35,10901,97,0.0,0.0,Martínez,0,,,,2.0,2.0,2.0,2.0,2.0,0.45454545454545453,,0.9534625892455924,
467,0,2,127,,,2,101184,0,0,-1,1,92.2,0,2,1.5,2.0,0,Calum,1.0,11,1,45.9,False,175.4,810,,,44,0,0,0,101184.jpg,2.7,0,0,Chambers,1.6,False,,a,1,3,193.0,27,131162,809,93522,2361,0.2,6.1,Chambers,4,10.0,27.969496604224073,2.7969496604224067,2.65,0.9500000000000001,3.02,2.5180000000000002,2.166,0.6022727272727272,0.6356703773687288,1.2633379307504098,1.333393432607964
469,2,3,130,0.0,0.0,1,182539,0,0,-2,2,183.0,1,3,0.0,0.0,0,Daniel,0.5,10,0,42.9,False,150.0,659,Hamstring injury - Expected back 21 Dec,2019-11-06T17:30:16.584319Z,53,0,0,0,182539.jpg,2.5,0,0,Ceballos Fernández,4.0,False,,i,1,3,96.0,27,994989,14,1067804,7807,0.1,5.1,Ceballos,0,10.8,27.67010891072671,2.5620471213635843,2.43,2.11,3.18,2.128,1.8760000000000001,0.4584905660377359,0.4834051172384121,1.0555245499142587,1.1128821541713658
488,2,2,117,100.0,100.0,1,195735,-1,1,-4,4,282.0,0,3,0.7,1.2,0,Nicolas,0.2,14,1,73.2,False,180.8,784,,2019-08-09T09:30:12.533555Z,91,0,0,0,195735.jpg,2.7,0,0,Pépé,2.4,False,,a,1,3,267.0,32,207801,382,407393,3627,0.0,3.5,Pépé,2,11.851851851851851,45.79019567328224,3.8635477599331893,2.63,1.19,3.04,2.3579999999999997,2.4059999999999997,0.289010989010989,0.4245656879047461,0.8718365105333115,1.280753611140283
489,0,0,15,100.0,100.0,1,200641,0,0,-2,2,50.3,0,3,0.5,1.0,0,Reiss,0.0,2,0,14.5,False,27.2,150,,2019-10-07T15:00:21.389844Z,53,0,0,0,200641.jpg,1.2,0,0,Nelson,0.1,False,,a,1,3,67.0,5,7522,22,13699,31,0.0,0.9,Nelson,1,4.166666666666667,6.671822562940007,1.6012374151056017,1.31,1.31,1.12,1.496,1.4320000000000002,0.24716981132075475,0.30212026700105693,0.5690276380196209,0.6955330871955602
490,0,0,74,100.0,100.0,1,200089,0,0,-1,1,95.0,0,3,1.5,2.0,2,Joseph,1.0,8,0,26.3,False,67.8,437,,2019-09-07T11:30:17.190466Z,49,0,0,0,200089.jpg,1.5,0,0,Willock,0.2,False,,a,1,3,99.0,16,23355,84,26629,142,0.2,3.3,Willock,0,10.666666666666666,20.73186576112642,1.9436124151056018,1.47,1.35,1.32,1.796,1.627,0.3,0.3966555949195105,0.6640783086353597,0.8780345886163364
504,1,0,17,,,0,444145,0,0,0,0,5.5,0,4,2.0,2.5,1,Gabriel Teodoro,1.5,1,0,3.3,False,8.0,83,,,45,0,0,0,444145.jpg,1.3,0,0,Martinelli Silva,1.6,False,,a,1,3,20.0,8,156396,2326,139766,1895,0.3,1.8,Martinelli,1,6.1538461538461515,5.655172413793108,0.9189655172413801,1.37,1.83,1.44,1.472,1.6039999999999999,0.30444444444444446,0.20421455938697336,0.6458241934837134,0.43320449927865534
515,0,0,39,100.0,100.0,0,192895,0,0,-1,1,55.2,0,2,1.0,1.5,0,Kieran,0.5,5,0,13.1,False,44.2,250,,2019-08-09T12:00:11.271398Z,54,0,0,0,192895.jpg,1.0,0,0,Tierney,0.9,False,,a,1,3,31.0,3,70596,430,68395,1808,0.1,0.6,Tierney,1,3.0,7.910848981267222,2.6369496604224074,1.08,1.08,1.12,1.344,1.5080000000000002,0.2,0.48832401118933466,0.46475800154489005,1.1347624577336985
541,1,0,44,100.0,100.0,1,223340,0,0,0,0,96.2,0,3,1.0,1.5,1,Bukayo,0.5,4,0,26.0,False,68.4,354,,2019-11-22T10:00:21.980433Z,45,0,0,0,223340.jpg,1.9,0,0,Saka,0.8,False,,a,1,3,94.0,13,114184,435,66221,2092,0.1,2.9,Saka,1,6.842105263157895,17.0867968329367,2.497301075583056,1.87,1.12,1.44,1.7879999999999998,2.2359999999999998,0.41555555555555557,0.5549557945740125,0.8815264538792292,1.1772390168061584
22,0,3,59,,,0,37339,0,0,-3,3,88.3,0,2,-1.0,-1.0,0,Ahmed,0.0,9,0,16.1,False,70.6,251,,,42,0,0,0,37339.jpg,1.2,0,0,El Mohamady,0.9,False,,a,2,7,2.0,7,41954,235,116556,707,0.0,1.7,El Mohamady,0,5.833333333333334,13.58116453448426,2.328199634483016,1.21,0.0,0.39,1.3599999999999999,1.445,0.28809523809523807,0.55433324630548,0.5904195441338626,1.1360450965653617
23,0,0,0,100.0,100.0,0,43252,0,0,-2,2,0.0,0,2,-1.0,-1.0,0,James,0.0,0,0,0.0,False,0.0,0,,2019-08-08T17:00:13.859858Z,43,0,0,0,43252.jpg,0.0,0,0,Chester,0.1,False,,a,2,7,0.0,0,744,40,6241,33,0.0,0.0,Chester,0,,,,2.0,2.0,2.0,2.0,2.0,0.46511627906976744,,0.9644856443408242,
24,0,0,98,,,2,47390,0,0,-1,1,28.5,0,2,-0.8,-0.8,0,Neil,0.2,12,0,15.6,False,99.8,613,,,44,0,0,0,47390.jpg,2.1,0,0,Taylor,0.3,False,,a,2,7,27.0,17,17620,71,20545,229,0.0,3.9,Taylor,1,8.095238095238095,17.318758945814896,2.139376105071252,2.12,1.31,1.12,1.864,2.06,0.4818181818181818,0.48622184206164815,1.0106703446003278,1.0199075402556932
25,0,0,0,100.0,100.0,0,123354,0,0,-1,1,0.0,0,2,-1.0,-1.0,0,Kortney,0.0,0,0,0.0,False,0.0,0,,2019-08-15T13:00:13.496241Z,44,0,0,0,123354.jpg,0.0,0,0,Hause,0.1,False,,a,2,7,0.0,0,709,9,3593,21,0.0,0.0,Hause,0,,,,2.0,2.0,2.0,2.0,2.0,0.45454545454545453,,0.9534625892455924,
26,0,0,7,100.0,100.0,0,54764,0,0,-1,1,0.0,0,4,-0.8,-0.8,0,Jonathan,0.2,4,0,0.4,False,2.0,20,,2019-10-03T12:30:10.314025Z,54,0,0,0,54764.jpg,1.0,0,0,Kodjia,0.1,False,,a,2,7,2.0,2,2975,44,25312,56,0.0,0.4,Kodjia,0,2.0,2.0,1.0,1.12,1.05,1.12,1.6480000000000001,1.736,0.2074074074074074,0.18518518518518517,0.48197126086136743,0.4303314829119352
27,0,0,13,100.0,100.0,0,98770,0,0,-2,2,0.0,0,1,-0.5,-0.5,0,Ørjan,0.5,2,0,2.3,False,22.8,82,,2019-07-30T15:00:08.973693Z,43,0,0,0,98770.jpg,2.0,0,3,Nyland,0.2,False,,a,2,7,0.0,2,3494,44,8212,90,0.1,0.5,Nyland,0,1.0,2.7681996344830164,2.7681996344830164,2.0,2.0,2.0,2.0,2.0,0.46511627906976744,0.6437673568565154,0.9644856443408242,1.3349444040641931
28,2,4,131,,,2,85242,0,0,-3,3,163.2,2,3,3.2,3.2,2,Conor,4.2,9,2,47.1,False,159.4,521,,,57,0,0,0,85242.jpg,3.9,0,0,Hourihane,0.2,False,,a,2,7,149.0,35,8599,381,17302,251,0.7,6.1,Hourihane,2,8.974358974358974,30.0338696485417,3.3466311894089316,3.71,4.87,1.54,3.032,3.078,0.6508771929824562,0.5871282788436721,1.5539479997621903,1.4017495532948163
29,4,7,241,100.0,100.0,3,114283,0,0,-1,1,415.0,1,3,2.8,2.8,9,Jack,3.8,18,3,107.3,False,366.6,1073,,2019-10-26T18:30:22.524063Z,59,0,0,0,114283.jpg,4.8,0,0,Grealish,4.2,False,,a,2,7,290.0,58,278112,18268,383194,2097,0.6,9.8,Grealish,3,12.083333333333336,54.04129271767321,4.472382845600541,4.59,5.05,4.64,4.223999999999999,3.96,0.7779661016949152,0.7580309907797527,1.8896730952150589,1.84125087904852
30,4,0,173,75.0,100.0,3,193488,0,0,0,0,221.6,0,3,2.1,2.8,4,Anwar,3.8,14,3,82.9,False,269.6,852,Knee injury - 75% chance of playing,2019-12-01T18:30:17.584307Z,55,0,0,0,193488.jpg,4.0,0,0,El Ghazi,1.6,False,,d,2,7,339.0,52,190556,2210,119267,4517,0.7,9.5,El Ghazi,1,13.0,48.51733846724222,3.7321029590186328,3.86,3.34,2.85,3.63,3.5840000000000005,0.7018181818181818,0.6785641743670241,1.6459095302653126,1.5913740487513317
31,2,4,208,,,3,122806,0,0,4,-4,281.1,0,3,2.0,2.0,2,John,3.0,22,3,98.6,False,341.6,1260,,,59,0,0,0,122806.jpg,3.9,0,0,McGinn,11.2,False,,a,2,7,364.0,55,1242992,2878,690497,24651,0.5,9.3,McGinn,1,14.1025641025641,55.71874097480198,3.950965269122322,3.81,2.99,5.04,3.806,3.5410000000000004,0.6457627118644067,0.6696551303597156,1.5685521770739377,1.626586659954156
32,0,0,0,0.0,0.0,0,174597,0,0,-1,1,0.0,0,3,0.0,0.0,0,Andre,0.0,0,0,0.0,False,0.0,0,Joined Preston North End on loan until the end of the season on 1/8. - Expected back 01 Jul,2019-08-04T16:30:15.274646Z,49,0,0,0,174597.jpg,0.0,0,0,Green,0.0,False,,n,2,7,0.0,0,229,5,1239,5,0.0,0.0,Green,0,,,,2.0,2.0,2.0,2.0,2.0,0.4081632653061224,,0.9035079029052512,
33,0,0,0,0.0,0.0,0,27770,0,0,0,0,0.0,0,3,0.0,0.0,0,Birkir,0.0,0,0,0.0,False,0.0,0,Left Aston Villa by mutual consent on 8/8.,2019-08-08T15:30:15.672945Z,45,0,0,0,27770.jpg,0.0,0,0,Bjarnason,0.0,False,,u,2,7,0.0,0,498,4,7075,22,0.0,0.0,Bjarnason,0,,,,2.0,2.0,2.0,2.0,2.0,0.4444444444444444,,0.9428090415820634,
