Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,29,22,4,3,68,18,50,70,66.9,21.2,45.7,1.58,W L W W D,52681,"Riyad Mahrez, Raheem Sterling - 10",Ederson,,2.306896551724138,0.7310344827586207,0.48141072131839197
Liverpool,2,29,21,6,2,75,20,55,69,72.0,27.6,44.4,1.53,W W W W W,53459,Mohamed Salah - 20,Alisson,,2.4827586206896552,0.9517241379310345,0.3860748030794225
Chelsea,3,28,17,8,3,57,19,38,59,46.7,24.8,21.9,0.78,W W W W W,37932,Mason Mount - 8,Edouard Mendy,,1.667857142857143,0.8857142857142858,0.4124194827001578
Arsenal,4,28,17,3,8,44,31,13,54,43.1,34.2,9.0,0.32,W W W L W,59533,"Emile Smith Rowe, Bukayo Saka - 9",Aaron Ramsdale,,1.5392857142857144,1.2214285714285715,0.2948087106545629
Tottenham,5,29,16,3,10,47,36,11,51,48.5,32.5,16.0,0.55,W W L W W,55319,Son Heung-min - 13,Hugo Lloris,,1.6724137931034482,1.1206896551724137,0.3260548516504816
Manchester Utd,6,29,14,8,7,48,40,8,50,44.8,41.3,3.5,0.12,W W D L W,73066,Cristiano Ronaldo - 12,David de Gea,,1.5448275862068965,1.4241379310344826,0.2407158874845881
West Ham,7,30,14,6,10,49,39,10,48,40.8,38.6,2.2,0.07,D W L W L,57945,"Jarrod Bowen, Michail Antonio - 8",Łukasz Fabiański,,1.3599999999999999,1.2866666666666666,0.27618988334946576
Wolves,8,30,14,4,12,31,26,5,46,28.7,42.9,-14.3,-0.48,L L W W L,30700,Raúl Jiménez - 6,José Sá,,0.9566666666666667,1.43,0.23930892224375455
Aston Villa,9,29,11,3,15,41,40,1,36,32.6,36.6,-4.0,-0.14,W W W L L,41869,Ollie Watkins - 7,Emiliano Martínez,,1.1241379310344828,1.2620689655172415,0.2830677627889474
Leicester City,10,27,10,6,11,42,46,-4,36,37.8,46.3,-8.5,-0.31,L W W L W,32228,Jamie Vardy - 10,Kasper Schmeichel,,1.4,1.7148148148148148,0.17999705041404723
Southampton,11,29,8,11,10,36,45,-9,35,39.2,41.4,-2.2,-0.07,W W L L L,29784,Che Adams - 7,Alex McCarthy,,1.3517241379310345,1.4275862068965517,0.23988726218553846
Crystal Palace,12,29,7,13,9,39,38,1,34,34.9,34.2,0.7,0.02,L W D W D,24440,Wilfried Zaha - 9,Vicente Guaita,,1.2034482758620688,1.1793103448275863,0.30749072806399275
Brighton,13,29,7,12,10,26,36,-10,33,31.0,37.3,-6.3,-0.22,L L L L L,30836,Neal Maupay - 8,Robert Sánchez,,1.0689655172413792,1.286206896551724,0.27631689640004437
Newcastle Utd,14,29,7,10,12,32,49,-17,31,28.6,42.5,-14.0,-0.48,W W W L L,51249,Callum Wilson - 6,Martin Dúbravka,,0.9862068965517242,1.4655172413793103,0.2309584992841077
Brentford,15,30,8,6,16,33,47,-14,30,35.4,39.3,-3.9,-0.13,L L W W L,16889,Ivan Toney - 11,David Raya,,1.18,1.3099999999999998,0.2698200563846869
Leeds United,16,30,7,8,15,34,67,-33,29,39.4,55.0,-15.7,-0.52,L L L W W,36288,Raphael Dias Belloli - 9,Illan Meslier,,1.3133333333333332,1.8333333333333333,0.1598797460796939
Everton,17,27,7,4,16,29,47,-18,25,29.6,39.3,-9.7,-0.36,L L L L W,38266,Demarai Gray - 5,Jordan Pickford,,1.0962962962962963,1.4555555555555555,0.23327073304422288
Watford,18,29,6,4,19,29,55,-26,22,30.8,49.6,-18.7,-0.65,L D L L W,20573,Emmanuel Dennis - 9,Ben Foster,,1.0620689655172415,1.710344827586207,0.1808034358542104
Burnley,19,27,3,12,12,22,38,-16,21,23.9,39.2,-15.4,-0.57,W D L L L,18948,Maxwel Cornet - 6,Nick Pope,,0.8851851851851852,1.451851851851852,0.23413630063566548
Norwich City,20,29,4,5,20,18,63,-45,17,24.7,55.5,-30.8,-1.06,L L L L L,26878,Teemu Pukki - 8,Tim Krul,,0.8517241379310344,1.9137931034482758,0.14751976628802232
