,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
24,25,César Azpilicueta,es ESP,DF,Chelsea,32-097,1989,9,8,699,7.8,0,2,0,0,0,0,0,0.0,0.26,0.26,0.0,0.26,0.2,0.2,1.3,1.5,0.02,0.17,0.19,0.02,0.19,Matches
26,26,Daniel Bachmann,at AUT,GK,Watford,27-147,1994,6,6,540,6.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
27,27,Leon Bailey,jm JAM,"FW,MF",Aston Villa,24-116,1997,9,4,424,4.7,1,2,1,0,0,1,0,0.21,0.42,0.64,0.21,0.64,1.2,1.2,0.3,1.5,0.25,0.06,0.31,0.25,0.31,Matches
28,28,Eric Bailly,ci CIV,DF,Manchester Utd,27-235,1994,2,2,135,1.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
29,29,Folarin Balogun,eng ENG,FW,Arsenal,20-153,2001,2,1,70,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.35,0.0,0.35,0.35,0.35,Matches
30,30,Patrick Bamford,eng ENG,FW,Leeds United,28-089,1993,5,5,436,4.8,1,2,1,0,0,1,0,0.21,0.41,0.62,0.21,0.62,2.8,2.8,0.6,3.4,0.58,0.12,0.69,0.58,0.69,Matches
31,31,Shandon Baptiste,gd GRN,MF,Brentford,23-239,1998,8,3,248,2.8,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.03,0.03,0.06,0.03,0.06,Matches
32,32,Ross Barkley,eng ENG,MF,Chelsea,27-363,1993,4,1,128,1.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.5,1.3,0.58,0.36,0.93,0.58,0.93,Matches
33,33,Ashley Barnes,eng ENG,FW,Burnley,32-034,1989,8,4,382,4.2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.8,1.4,0.16,0.19,0.34,0.16,0.34,Matches
34,34,Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-359,1997,12,11,865,9.6,1,1,1,0,0,2,0,0.1,0.1,0.21,0.1,0.21,2.0,2.0,0.4,2.5,0.21,0.05,0.26,0.21,0.26,Matches
35,35,Mads Bech Sørensen,dk DEN,DF,Brentford,22-330,1999,1,0,20,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
36,36,Jan Bednarek,pl POL,DF,Southampton,25-235,1996,11,10,894,9.9,1,0,1,0,0,3,0,0.1,0.0,0.1,0.1,0.1,0.7,0.7,0.1,0.8,0.07,0.01,0.08,0.07,0.08,Matches
37,37,Donny van de Beek,nl NED,MF,Manchester Utd,24-229,1997,5,0,65,0.7,1,0,1,0,0,0,0,1.38,0.0,1.38,1.38,1.38,0.7,0.7,0.5,1.1,0.92,0.67,1.59,0.92,1.59,Matches
38,38,Asmir Begović,ba BIH,GK,Everton,34-166,1987,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
39,39,Saïd Benrahma,dz ALG,"MF,FW",West Ham,26-115,1995,14,14,1114,12.4,3,3,3,0,0,0,0,0.24,0.24,0.48,0.24,0.48,2.1,2.1,1.4,3.5,0.17,0.11,0.28,0.17,0.28,Matches
40,40,Christian Benteke,be BEL,FW,Crystal Palace,31-000,1990,14,9,883,9.8,4,1,4,0,0,3,0,0.41,0.1,0.51,0.41,0.51,4.4,4.4,1.1,5.4,0.45,0.11,0.55,0.45,0.55,Matches
41,41,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,31-037,1990,13,9,790,8.8,0,1,0,0,0,2,0,0.0,0.11,0.11,0.0,0.11,1.3,1.3,0.3,1.6,0.15,0.03,0.19,0.15,0.19,Matches
42,42,Steven Bergwijn,nl NED,FW,Tottenham,24-056,1997,6,3,274,3.0,0,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33,0.8,0.8,0.4,1.2,0.25,0.14,0.39,0.25,0.39,Matches
43,43,Ryan Bertrand,eng ENG,DF,Leicester City,32-120,1989,4,4,337,3.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.08,0.08,0.0,0.08,Matches
44,44,Mads Bidstrup,dk DEN,MF,Brentford,20-281,2001,3,0,25,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
45,45,Yves Bissouma,ml MLI,MF,Brighton,25-095,1996,10,10,857,9.5,0,1,0,0,0,3,0,0.0,0.11,0.11,0.0,0.11,0.4,0.4,0.5,0.9,0.04,0.05,0.09,0.04,0.09,Matches
46,46,Jarrod Bowen,eng ENG,FW,West Ham,24-348,1996,14,13,1134,12.6,2,4,2,0,0,1,0,0.16,0.32,0.48,0.16,0.48,4.0,4.0,2.4,6.3,0.31,0.19,0.5,0.31,0.5,Matches
47,47,Armando Broja,al ALB,"FW,MF",Southampton,20-084,2001,10,3,405,4.5,2,0,2,0,0,0,0,0.44,0.0,0.44,0.44,0.44,1.8,1.8,0.8,2.6,0.4,0.19,0.58,0.4,0.58,Matches
48,48,Josh Brownhill,eng ENG,MF,Burnley,25-349,1995,13,12,1092,12.1,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.0,1.6,0.05,0.08,0.13,0.05,0.13,Matches
