Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,28,22,3,3,68,18,50,69,64.7,20.4,44.3,1.58,W W L W W,52681,"Raheem Sterling, Riyad Mahrez - 10",Ederson,,2.310714285714286,0.7285714285714285,0.48259792348273184
Liverpool,2,27,19,6,2,71,20,51,63,68.9,26.5,42.5,1.57,W W W W W,53459,Mohamed Salah - 19,Alisson,,2.5518518518518523,0.9814814814814815,0.37475549406937403
Chelsea,3,27,16,8,3,56,19,37,56,45.9,24.6,21.4,0.79,D W W W W,37758,Mason Mount - 8,Edouard Mendy,,1.7,0.9111111111111112,0.402077223275563
Arsenal,4,25,15,3,7,41,29,12,48,38.8,32.7,6.2,0.25,D W W W W,59455,Emile Smith Rowe - 9,Aaron Ramsdale,,1.5519999999999998,1.308,0.270360236497509
Manchester Utd,5,28,13,8,7,45,38,7,47,43.7,39.9,3.8,0.14,D W W D L,73038,"Bruno Fernandes, Cristiano Ronaldo - 9",David de Gea,,1.5607142857142857,1.425,0.24050846320834213
West Ham,6,28,13,6,9,46,35,11,45,38.8,35.1,3.7,0.13,W D D W L,57802,"Michail Antonio, Jarrod Bowen - 8",Łukasz Fabiański,,1.3857142857142857,1.2535714285714286,0.2854833904684958
Tottenham,7,26,14,3,9,40,32,8,45,42.4,30.3,12.1,0.46,L W L W W,55060,Son Heung-min - 11,Hugo Lloris,,1.6307692307692307,1.1653846153846155,0.31180271484626404
Wolves,8,28,13,4,11,28,23,5,43,27.0,39.9,-12.9,-0.46,W L L L W,30619,Raúl Jiménez - 6,José Sá,,0.9642857142857143,1.425,0.24050846320834213
Aston Villa,9,27,11,3,13,40,37,3,36,31.1,34.0,-2.9,-0.11,L L W W W,41862,Ollie Watkins - 7,Emiliano Martínez,,1.151851851851852,1.2592592592592593,0.28386421843272697
Southampton,10,28,8,11,9,35,43,-8,35,38.0,39.8,-1.7,-0.06,D W W L L,29834,Che Adams - 7,Alex McCarthy,,1.3571428571428572,1.4214285714285713,0.24136895768815916
Crystal Palace,11,28,7,12,9,39,38,1,33,34.1,32.1,2.0,0.07,D L W D W,24378,Wilfried Zaha - 9,Vicente Guaita,,1.217857142857143,1.1464285714285716,0.3177696367572865
Leicester City,12,25,9,6,10,40,43,-3,33,36.1,42.8,-6.6,-0.27,L D L W W,32259,Jamie Vardy - 10,Kasper Schmeichel,,1.444,1.712,0.18050442252243923
Brighton,13,27,7,12,8,26,32,-6,33,29.7,32.8,-3.1,-0.12,W L L L L,30763,Neal Maupay - 8,Robert Sánchez,,1.0999999999999999,1.2148148148148148,0.296764965680923
Newcastle Utd,14,27,7,10,10,32,47,-15,31,27.5,41.2,-13.7,-0.51,W D W W W,51249,Callum Wilson - 6,Martin Dúbravka,,1.0185185185185186,1.5259259259259261,0.21741964914535822
Brentford,15,28,7,6,15,30,45,-15,27,32.3,37.4,-5.1,-0.18,L D L L W,16874,Ivan Toney - 9,David Raya,,1.1535714285714285,1.3357142857142856,0.2629702724469096
Leeds United,16,28,5,8,15,29,64,-35,23,34.4,53.0,-18.6,-0.66,L L L L L,36285,Raphael Dias Belloli - 9,Illan Meslier,,1.2285714285714284,1.8928571428571428,0.15064079112962872
Everton,17,25,6,4,15,28,46,-18,22,28.5,37.5,-9.0,-0.36,L W L L L,38128,Demarai Gray - 5,Jordan Pickford,,1.14,1.5,0.22313016014842982
Burnley,18,26,3,12,11,22,36,-14,21,23.4,37.3,-13.9,-0.54,W W D L L,18948,Maxwel Cornet - 6,Nick Pope,,0.8999999999999999,1.4346153846153844,0.23820696446134174
Watford,19,28,5,4,19,27,54,-27,19,29.3,48.3,-19.0,-0.68,W L D L L,20573,Emmanuel Dennis - 9,Ben Foster,,1.0464285714285715,1.7249999999999999,0.17817305177289844
Norwich City,20,28,4,5,19,17,61,-44,17,23.6,52.8,-29.3,-1.05,L L L L L,26892,Teemu Pukki - 8,Tim Krul,,0.8428571428571429,1.8857142857142857,0.15172064882394942
