Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,29,22,4,3,68,18,50,70,67.0,21.2,45.8,1.58,W L W W D,52681,"Riyad Mahrez, Raheem Sterling - 10",Ederson,,2.310344827586207,0.7310344827586207,0.48141072131839197
Liverpool,2,29,21,6,2,75,20,55,69,72.0,27.6,44.4,1.53,W W W W W,53459,Mohamed Salah - 20,Alisson,,2.4827586206896552,0.9517241379310345,0.3860748030794225
Chelsea,3,28,17,8,3,57,19,38,59,46.7,24.8,21.9,0.78,W W W W W,37932,Mason Mount - 8,Edouard Mendy,,1.667857142857143,0.8857142857142858,0.4124194827001578
Arsenal,4,27,16,3,8,43,31,12,51,41.7,33.8,7.9,0.29,W W W W L,59533,Emile Smith Rowe - 9,Aaron Ramsdale,,1.5444444444444445,1.2518518518518518,0.2859747233818206
Manchester Utd,5,29,14,8,7,48,40,8,50,44.8,41.3,3.6,0.12,W W D L W,73066,Cristiano Ronaldo - 12,David de Gea,,1.5448275862068965,1.4241379310344826,0.2407158874845881
West Ham,6,29,14,6,9,48,36,12,48,40.0,36.2,3.9,0.13,D D W L W,57945,"Jarrod Bowen, Michail Antonio - 8",Łukasz Fabiański,,1.3793103448275863,1.2482758620689656,0.2869991967321931
Tottenham,7,28,15,3,10,44,35,9,48,46.1,32.1,13.9,0.5,L W W L W,55060,Harry Kane - 12,Hugo Lloris,,1.6464285714285716,1.1464285714285716,0.3177696367572865
Wolves,8,29,14,4,11,29,23,6,46,27.9,40.5,-12.6,-0.43,L L L W W,30619,Raúl Jiménez - 6,José Sá,,0.9620689655172413,1.396551724137931,0.24744876608036614
Aston Villa,9,28,11,3,14,41,39,2,36,32.2,35.2,-3.0,-0.11,L W W W L,41862,Ollie Watkins - 7,Emiliano Martínez,,1.1500000000000001,1.2571428571428573,0.2844656254504483
Southampton,10,29,8,11,10,36,45,-9,35,39.3,41.4,-2.0,-0.07,W W L L L,29784,Che Adams - 7,Alex McCarthy,,1.3551724137931034,1.4275862068965517,0.23988726218553846
Crystal Palace,11,29,7,13,9,39,38,1,34,34.9,34.4,0.5,0.02,L W D W D,24440,Wilfried Zaha - 9,Vicente Guaita,,1.2034482758620688,1.186206896551724,0.30537739807425063
Leicester City,12,26,9,6,11,40,45,-5,33,36.5,45.1,-8.6,-0.33,D L W W L,32259,Jamie Vardy - 10,Kasper Schmeichel,,1.4038461538461537,1.7346153846153847,0.17646805956624434
Brighton,13,29,7,12,10,26,36,-10,33,31.0,37.4,-6.5,-0.22,L L L L L,30814,Neal Maupay - 8,Robert Sánchez,,1.0689655172413792,1.289655172413793,0.27536572041700247
Newcastle Utd,14,28,7,10,11,32,48,-16,31,27.8,42.0,-14.3,-0.51,D W W W L,51249,Callum Wilson - 6,Martin Dúbravka,,0.9928571428571429,1.5,0.22313016014842982
Brentford,15,29,8,6,15,32,45,-13,30,34.1,38.1,-3.9,-0.14,D L L W W,16889,Ivan Toney - 11,David Raya,,1.1758620689655173,1.313793103448276,0.26879853958261946
Leeds United,16,29,6,8,15,31,65,-34,26,37.1,54.2,-17.1,-0.59,L L L L W,36288,Raphael Dias Belloli - 9,Illan Meslier,,1.2793103448275862,1.8689655172413795,0.15428318258249038
Everton,17,26,6,4,16,28,47,-19,22,29.0,38.4,-9.3,-0.36,W L L L L,38204,Demarai Gray - 5,Jordan Pickford,,1.1153846153846154,1.4769230769230768,0.22833919072129027
Watford,18,29,6,4,19,29,55,-26,22,30.9,49.6,-18.7,-0.65,L D L L W,20573,Emmanuel Dennis - 9,Ben Foster,,1.0655172413793104,1.710344827586207,0.1808034358542104
Burnley,19,27,3,12,12,22,38,-16,21,24.1,39.2,-15.1,-0.56,W D L L L,18948,Maxwel Cornet - 6,Nick Pope,,0.8925925925925926,1.451851851851852,0.23413630063566548
Norwich City,20,29,4,5,20,18,63,-45,17,24.8,55.5,-30.8,-1.06,L L L L L,26878,Teemu Pukki - 8,Tim Krul,,0.8551724137931035,1.9137931034482758,0.14751976628802232
