Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,27,21,3,3,64,17,47,66,61.7,19.9,41.8,1.55,D W W L W,52644,Raheem Sterling - 10,Ederson,,2.285185185185185,0.7370370370370369,0.4785296827790431
Liverpool,2,26,18,6,2,70,20,50,60,66.7,24.9,41.8,1.61,W W W W W,52961,Mohamed Salah - 19,Alisson,,2.5653846153846156,0.9576923076923076,0.38377750526472937
Chelsea,3,25,14,8,3,49,18,31,50,42.0,22.8,19.2,0.77,D L D W W,37758,Mason Mount - 7,Edouard Mendy,,1.68,0.912,0.401719980097586
Manchester Utd,4,27,13,8,6,44,34,10,47,43.3,37.3,6.0,0.22,D D W W D,73038,"Bruno Fernandes, Cristiano Ronaldo - 9",David de Gea,,1.6037037037037036,1.3814814814814813,0.2512061200366916
West Ham,5,27,13,6,8,46,34,12,45,37.3,32.7,4.7,0.17,L W D D W,57802,"Michail Antonio, Jarrod Bowen - 8",Łukasz Fabiański,,1.3814814814814813,1.2111111111111112,0.29786613312364835
Arsenal,6,24,14,3,7,38,27,11,45,37.5,31.3,6.2,0.26,L D W W W,59455,Emile Smith Rowe - 9,Aaron Ramsdale,,1.5625,1.3041666666666667,0.2713986063414283
Tottenham,7,25,13,3,9,35,32,3,42,39.6,30.0,9.6,0.38,L L W L W,54677,Son Heung-min - 10,Hugo Lloris,,1.584,1.2,0.30119421191220214
Wolves,8,26,12,4,10,24,21,3,40,25.6,36.7,-11.1,-0.43,L W W L L,30634,"Hwang Hee-chan, Raúl Jiménez - 5",José Sá,,0.9846153846153847,1.4115384615384616,0.24376796688128338
Southampton,9,26,8,11,7,34,37,-3,35,36.0,36.1,-0.1,0.0,D W D W W,29834,Che Adams - 7,Alex McCarthy,,1.3846153846153846,1.3884615384615384,0.24945879232291776
Brighton,10,26,7,12,7,25,30,-5,33,28.8,31.5,-2.6,-0.1,D W L L L,30763,Neal Maupay - 8,Robert Sánchez,,1.1076923076923078,1.2115384615384615,0.2977388670998965
Crystal Palace,11,27,6,12,9,37,38,-1,30,31.5,31.6,-0.1,0.0,D D L W D,24378,"Conor Gallagher, Wilfried Zaha - 8",Vicente Guaita,,1.1666666666666667,1.1703703703703705,0.3102520118310401
Leicester City,12,24,8,6,10,39,43,-4,30,35.9,41.6,-5.7,-0.24,D L D L W,32261,Jamie Vardy - 10,Kasper Schmeichel,,1.4958333333333333,1.7333333333333334,0.17669444575659674
Aston Villa,13,25,9,3,13,33,37,-4,30,26.8,33.0,-6.2,-0.25,W D L L W,41863,Ollie Watkins - 6,Emiliano Martínez,,1.072,1.32,0.26713530196585034
Newcastle Utd,14,25,5,10,10,28,45,-17,25,25.3,38.7,-13.3,-0.53,W W W D W,51175,Callum Wilson - 6,Martin Dúbravka,,1.012,1.548,0.21267289455348304
Brentford,15,27,6,6,15,27,44,-17,24,30.2,35.9,-5.7,-0.21,L L D L L,16874,Ivan Toney - 6,David Raya,,1.1185185185185185,1.3296296296296295,0.2645752339830157
Leeds United,16,26,5,8,13,29,60,-31,23,32.4,51.2,-18.8,-0.72,D L L L L,36291,Raphael Dias Belloli - 9,Illan Meslier,,1.2461538461538462,1.9692307692307693,0.139564171989838
Everton,17,24,6,4,14,28,41,-13,22,28.2,34.6,-6.4,-0.27,L L W L L,38128,Demarai Gray - 5,Jordan Pickford,,1.175,1.4416666666666667,0.23653320796791125
Burnley,18,25,3,12,10,22,32,-10,21,22.5,35.2,-12.6,-0.5,L W W D L,18907,Maxwel Cornet - 6,Nick Pope,,0.9,1.4080000000000001,0.24463205833199744
Watford,19,26,5,4,17,25,47,-22,19,27.1,46.0,-18.9,-0.73,L L W L D,20529,Emmanuel Dennis - 9,Ben Foster,,1.0423076923076924,1.7692307692307692,0.1704640646087285
Norwich City,20,26,4,5,17,15,55,-40,17,21.1,48.8,-27.7,-1.06,W D L L L,26892,Teemu Pukki - 6,Tim Krul,,0.8115384615384615,1.876923076923077,0.1530603368360359
