Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Chelsea,1,9,7,1,1,23,3,20,22,15.1,10.2,4.9,0.54,W L W W W,39838,"Ben Chilwell, Romelu Lukaku... - 3",Edouard Mendy,,1.6777777777777778,1.1333333333333333,0.3219582715376759
Liverpool,2,9,6,3,0,27,6,21,21,25.1,10.1,15.0,1.67,W D D W W,52923,Mohamed Salah - 10,Alisson,,2.788888888888889,1.1222222222222222,0.3255555334454577
Manchester City,3,9,6,2,1,20,4,16,20,20.8,6.4,14.5,1.61,D W D W W,52281,Phil Foden - 3,Ederson,,2.3111111111111113,0.7111111111111111,0.4910982295021551
West Ham,4,9,5,2,2,16,10,6,17,14.4,9.6,4.9,0.54,L W L W W,57903,Michail Antonio - 6,Łukasz Fabiański,,1.6,1.0666666666666667,0.34415378686541237
Brighton,5,9,4,3,2,9,9,0,15,9.6,12.7,-3.1,-0.34,W D D D L,30718,Neal Maupay - 4,Robert Sánchez,,1.0666666666666667,1.411111111111111,0.2438721634887511
Tottenham,6,9,5,0,4,9,13,-4,15,9.6,11.8,-2.1,-0.24,L L W W L,57267,Son Heung-min - 4,Hugo Lloris,,1.0666666666666667,1.3111111111111111,0.26952042281595745
Manchester Utd,7,9,4,2,3,16,15,1,14,13.7,14.8,-1.1,-0.12,W L D L L,72920,"Mason Greenwood, Bruno Fernandes - 4",David de Gea,,1.5222222222222221,1.6444444444444446,0.19311982178671977
Everton,8,9,4,2,3,15,14,1,14,14.3,12.0,2.3,0.25,L W D L L,37055,"Andros Townsend, Demarai Gray... - 3",Jordan Pickford,,1.588888888888889,1.3333333333333333,0.26359713811572677
Leicester City,9,9,4,2,3,15,15,0,14,14.3,14.0,0.3,0.03,L D D W W,31985,Jamie Vardy - 7,Kasper Schmeichel,,1.588888888888889,1.5555555555555556,0.2110720877910902
Arsenal,10,9,4,2,3,10,13,-3,14,11.6,14.7,-3.1,-0.34,W W D D W,59124,Pierre-Emerick Aubameyang - 4,Aaron Ramsdale,,1.2888888888888888,1.6333333333333333,0.19527756283568573
Wolves,11,9,4,1,4,9,9,0,13,11.9,10.3,1.5,0.17,L W W W D,30368,Hwang Hee-chan - 4,José Sá,,1.3222222222222222,1.1444444444444446,0.3184007579735829
Brentford,12,9,3,3,3,11,9,2,12,12.3,9.1,3.2,0.35,W D W L L,16725,"Yoane Wissa, Bryan Mbeumo... - 2",David Raya,,1.3666666666666667,1.011111111111111,0.3638145165597285
Aston Villa,13,9,3,1,5,13,15,-2,10,10.4,13.6,-3.2,-0.36,W W L L L,41962,Danny Ings - 3,Emiliano Martínez,,1.1555555555555557,1.511111111111111,0.22066465874200492
Watford,14,9,3,1,5,12,17,-5,10,9.9,16.7,-6.8,-0.75,W D L L W,20451,Ismaila Sarr - 4,Ben Foster,,1.1,1.8555555555555554,0.1563660485129708
Crystal Palace,15,9,1,6,2,11,14,-3,9,10.2,10.0,0.2,0.02,L D D D D,24335,Odsonne Édouard - 3,Vicente Guaita,,1.1333333333333333,1.1111111111111112,0.32919298780790557
Southampton,16,9,1,5,3,8,12,-4,8,12.7,12.5,0.2,0.02,D L L W D,29931,"James Ward-Prowse, Armando Broja - 2",Alex McCarthy,,1.411111111111111,1.3888888888888888,0.24935220877729622
Leeds United,17,9,1,4,4,8,16,-8,7,12.3,15.6,-3.3,-0.37,D L W L D,36391,Raphael Dias Belloli - 3,Illan Meslier,,1.3666666666666667,1.7333333333333334,0.17669444575659674
Burnley,18,9,0,4,5,7,15,-8,4,9.2,14.8,-5.6,-0.62,L D D L D,18584,Maxwel Cornet - 3,Nick Pope,,1.0222222222222221,1.6444444444444446,0.19311982178671977
Newcastle Utd,19,9,0,4,5,11,20,-9,4,9.5,16.7,-7.3,-0.81,D D L L D,49328,Callum Wilson - 4,Karl Darlow,,1.0555555555555556,1.8555555555555554,0.1563660485129708
Norwich City,20,9,0,2,7,2,23,-21,2,7.0,18.2,-11.2,-1.24,L L D D L,26804,Teemu Pukki - 2,Tim Krul,,0.7777777777777778,2.022222222222222,0.13236100245958896
