,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
0,1,Max Aarons,eng ENG,DF,Norwich City,21-226,2000,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches
1,2,Che Adams,sct SCO,FW,Southampton,25-036,1996,1,1,90,1.0,0,1,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.4,0.4,0.0,0.43,0.43,0.0,0.43,Matches
2,3,Kristoffer Ajer,no NOR,DF,Brentford,23-123,1998,1,1,70,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.36,0.36,0.0,0.36,Matches
3,4,Nathan Aké,nl NED,DF,Manchester City,26-181,1995,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.2,0.2,0.2,Matches
4,5,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-315,1998,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.05,0.18,0.23,0.05,0.23,Matches
5,6,Alisson,br BRA,GK,Liverpool,28-320,1992,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
6,7,Allan,br BRA,MF,Everton,30-222,1991,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
7,8,Dele Alli,eng ENG,MF,Tottenham,25-129,1996,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
8,9,Miguel Almirón,py PAR,MF,Newcastle Utd,27-189,1994,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.08,0.03,0.12,0.08,0.12,Matches
9,10,Marcos Alonso,es ESP,DF,Chelsea,30-233,1990,1,1,85,0.9,1,0,1,0,0,0,0,1.06,0.0,1.06,1.06,1.06,0.1,0.1,0.2,0.3,0.12,0.17,0.3,0.12,0.3,Matches
10,11,Steven Alzate,co COL,MF,Brighton,22-344,1998,1,1,71,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.17,0.17,0.0,0.17,Matches
11,12,Daniel Amartey,gh GHA,DF,Leicester City,26-240,1994,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
12,13,Joachim Andersen,dk DEN,DF,Crystal Palace,25-079,1996,1,0,34,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.13,Matches
13,14,Michail Antonio,eng ENG,FW,West Ham,31-143,1990,1,1,89,1.0,1,1,1,0,1,0,0,1.01,1.01,2.02,1.01,2.02,1.1,0.8,0.1,0.9,1.11,0.12,1.23,0.84,0.96,Matches
14,15,Adam Armstrong,eng ENG,FW,Southampton,24-189,1997,1,1,90,1.0,1,0,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.5,0.48,0.0,0.48,0.48,0.48,Matches
15,16,Jordan Ayew,gh GHA,MF,Crystal Palace,29-341,1991,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.03,0.15,0.19,0.03,0.19,Matches
16,17,Luke Ayling,eng ENG,DF,Leeds United,29-358,1991,1,1,90,1.0,1,0,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,0.1,0.1,0.0,0.1,0.06,0.0,0.06,0.06,0.06,Matches
17,18,César Azpilicueta,es ESP,DF,Chelsea,31-355,1989,1,1,66,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
18,19,Daniel Bachmann,at AUT,GK,Watford,27-040,1994,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
19,20,Leon Bailey,jm JAM,"MF,FW",Aston Villa,24-009,1997,1,0,31,0.3,0,1,0,0,0,0,0,0.0,2.9,2.9,0.0,2.9,0.1,0.1,0.1,0.1,0.2,0.15,0.35,0.2,0.35,Matches
20,21,Folarin Balogun,eng ENG,FW,Arsenal,20-046,2001,1,1,58,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.44,0.0,0.44,0.44,0.44,Matches
21,22,Patrick Bamford,eng ENG,FW,Leeds United,27-347,1993,1,1,76,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.19,0.04,0.23,0.19,0.23,Matches
22,23,Ashley Barnes,eng ENG,FW,Burnley,31-292,1989,1,0,21,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.0,0.14,Matches
23,24,Harvey Barnes,eng ENG,FW,Leicester City,23-252,1997,1,1,71,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.14,0.0,0.14,0.14,0.14,Matches
24,25,Mads Bech Sørensen,dk DEN,DF,Brentford,22-223,1999,1,0,20,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
26,26,Saïd Benrahma,dz ALG,MF,West Ham,26-008,1995,1,1,87,1.0,1,1,1,0,0,0,0,1.03,1.03,2.07,1.03,2.07,0.2,0.2,0.2,0.4,0.26,0.16,0.42,0.26,0.42,Matches
27,27,Christian Benteke,be BEL,FW,Crystal Palace,30-258,1990,1,0,34,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.13,0.13,Matches
28,28,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30-295,1990,1,1,90,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.12,0.0,0.12,0.12,0.12,Matches
29,29,Steven Bergwijn,nl NED,FW,Tottenham,23-314,1997,1,1,76,0.8,0,1,0,0,0,0,0,0.0,1.18,1.18,0.0,1.18,0.5,0.5,0.1,0.6,0.58,0.09,0.68,0.58,0.68,Matches
30,30,Mads Bidstrup,dk DEN,MF,Brentford,20-174,2001,1,0,11,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
31,31,Yves Bissouma,ml MLI,MF,Brighton,24-353,1996,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
32,32,Jarrod Bowen,eng ENG,FW,West Ham,24-241,1996,1,1,89,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,0.49,0.14,0.63,0.49,0.63,Matches
33,33,Josh Brownhill,eng ENG,MF,Burnley,25-242,1995,1,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,0.24,Matches
34,34,Emi Buendía,ar ARG,"MF,FW",Aston Villa,24-236,1996,1,1,71,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
35,35,Dominic Calvert-Lewin,eng ENG,FW,Everton,24-155,1997,1,1,90,1.0,1,0,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,1.6,1.6,0.0,1.6,1.6,0.0,1.6,1.6,1.6,Matches
36,36,João Cancelo,pt POR,DF,Manchester City,27-083,1994,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.8,0.15,0.61,0.76,0.15,0.76,Matches
37,37,Sergi Canós,es ESP,DF,Brentford,24-197,1997,1,1,90,1.0,1,0,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,0.2,0.2,0.2,0.4,0.18,0.23,0.41,0.18,0.41,Matches
38,38,Todd Cantwell,eng ENG,"MF,FW",Norwich City,23-172,1998,1,1,85,0.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.07,0.21,0.28,0.07,0.28,Matches
39,39,Matty Cash,eng ENG,DF,Aston Villa,24-011,1997,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches
40,40,Craig Cathcart,nir NIR,DF,Watford,32-193,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
41,41,Trevoh Chalobah,eng ENG,DF,Chelsea,22-044,1999,1,1,90,1.0,1,0,1,0,0,0,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
42,42,Calum Chambers,eng ENG,DF,Arsenal,26-210,1995,1,1,80,0.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.06,0.16,0.1,0.16,Matches
43,43,Andreas Christensen,dk DEN,DF,Chelsea,25-130,1996,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
44,44,Ciaran Clark,ie IRL,DF,Newcastle Utd,31-326,1989,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.4,0.33,0.03,0.36,0.33,0.36,Matches
45,45,Tom Cleverley,eng ENG,MF,Watford,32-006,1989,1,1,78,0.9,0,1,0,0,0,0,0,0.0,1.15,1.15,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
46,46,Conor Coady,eng ENG,DF,Wolves,28-174,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
47,47,Séamus Coleman,ie IRL,DF,Everton,32-311,1988,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
48,48,Liam Cooper,sct SCO,DF,Leeds United,29-353,1991,1,1,90,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,Matches
