Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,32,24,5,3,75,20,55,77,71.8,22.5,49.2,1.54,W D W D W,52715,"Riyad Mahrez, Kevin De Bruyne - 11",Ederson,,2.24375,0.703125,0.4950358969261986
Liverpool,2,32,23,7,2,83,22,61,76,76.8,30.3,46.5,1.45,W W W D W,53435,Mohamed Salah - 22,Alisson,,2.4,0.946875,0.3879514795053044
Chelsea,3,31,18,8,5,66,27,39,62,53.6,30.0,23.6,0.76,W W L W L,37629,Mason Mount - 10,Edouard Mendy,,1.729032258064516,0.967741935483871,0.37993999923303906
Tottenham,4,32,18,3,11,56,38,18,57,53.0,35.5,17.5,0.55,W W W W L,55669,Son Heung-min - 17,Hugo Lloris,,1.65625,1.109375,0.3297649998062575
Arsenal,5,32,18,3,11,49,39,10,57,50.2,37.8,12.4,0.39,W L L L W,59569,"Emile Smith Rowe, Bukayo Saka - 10",Aaron Ramsdale,,1.56875,1.18125,0.30689488013940003
Manchester Utd,6,33,15,9,9,52,48,4,54,49.1,46.0,3.1,0.09,W D L W L,73106,Cristiano Ronaldo - 15,David de Gea,,1.487878787878788,1.393939393939394,0.24809602902877054
West Ham,7,33,15,7,11,52,43,9,52,44.5,42.5,2.0,0.06,W L W L D,58182,Jarrod Bowen - 9,Łukasz Fabiański,,1.3484848484848484,1.2878787878787878,0.27585531054564477
Wolves,8,32,15,4,13,33,28,5,49,30.3,46.5,-16.2,-0.51,W W L W L,30720,Raúl Jiménez - 6,José Sá,,0.946875,1.453125,0.23383840011408472
Leicester City,9,31,11,8,12,47,51,-4,41,41.3,52.1,-10.9,-0.35,W D W L D,32206,Jamie Vardy - 10,Kasper Schmeichel,,1.332258064516129,1.6806451612903226,0.1862537735437138
Brighton,10,33,9,13,11,29,40,-11,40,35.3,41.2,-5.9,-0.18,L D W W L,30861,Neal Maupay - 8,Robert Sánchez,,1.0696969696969696,1.2484848484848485,0.2869392240656613
Newcastle Utd,11,33,10,10,13,37,55,-18,40,32.9,47.3,-14.4,-0.44,L L W W W,51394,Callum Wilson - 6,Martin Dúbravka,,0.996969696969697,1.4333333333333333,0.23851255385430242
Brentford,12,33,11,6,16,41,49,-8,39,40.6,42.9,-2.4,-0.07,W L W W W,16898,Ivan Toney - 12,David Raya,,1.2303030303030305,1.3,0.2725317930340126
Southampton,13,33,9,12,12,38,54,-16,39,43.2,49.4,-6.2,-0.19,L D L W L,29976,"James Ward-Prowse, Che Adams - 7",Fraser Forster,,1.309090909090909,1.4969696969696968,0.22380733765721297
Crystal Palace,14,32,8,13,11,43,41,2,37,38.5,37.0,1.5,0.05,W D W L L,24484,Wilfried Zaha - 11,Vicente Guaita,,1.203125,1.15625,0.314663961018459
Aston Villa,15,31,11,3,17,42,46,-4,36,35.9,39.0,-3.1,-0.1,W L L L L,41874,Ollie Watkins - 8,Emiliano Martínez,,1.1580645161290322,1.2580645161290323,0.28420356593379886
Leeds United,16,32,8,9,15,38,68,-30,33,41.4,57.9,-16.5,-0.52,L W W D W,36306,Raphael Dias Belloli - 10,Illan Meslier,,1.29375,1.809375,0.1637564526085645
Everton,17,31,8,5,18,34,53,-19,29,34.7,43.6,-8.9,-0.29,W L L W D,38320,Richarlison - 7,Jordan Pickford,,1.1193548387096774,1.4064516129032258,0.24501113685898915
Burnley,18,32,5,13,14,28,45,-17,28,30.4,48.4,-18.0,-0.56,L W L D W,18997,Maxwel Cornet - 7,Nick Pope,,0.95,1.5125,0.22035839278323385
Watford,19,32,6,4,22,30,62,-32,22,34.0,53.9,-19.9,-0.62,L W L L L,20626,Emmanuel Dennis - 10,Ben Foster,,1.0625,1.684375,0.18556037095310593
Norwich City,20,32,5,6,21,22,66,-44,21,28.5,62.1,-33.6,-1.05,L L D W L,26846,Teemu Pukki - 10,Tim Krul,,0.890625,1.940625,0.1436141628704231
