Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,15,11,2,2,32,9,23,35,33.2,10.1,23.1,1.54,W W W W W,52565,Bernardo Silva - 7,Ederson,,2.2133333333333334,0.6733333333333333,0.5100057221966218
Liverpool,2,15,10,4,1,44,12,32,34,39.0,14.4,24.6,1.64,L W W W W,52918,Mohamed Salah - 13,Alisson,,2.6,0.9600000000000001,0.382892885975112
Chelsea,3,15,10,3,2,35,9,26,33,27.1,15.3,11.8,0.79,D W D W L,39862,Mason Mount - 5,Edouard Mendy,,1.8066666666666669,1.02,0.3605949401730783
West Ham,4,15,8,3,4,28,19,9,27,21.4,17.1,4.3,0.29,W L L D W,58624,Michail Antonio - 6,Łukasz Fabiański,,1.4266666666666665,1.1400000000000001,0.31981902181630384
Tottenham,5,14,8,1,5,16,17,-1,25,17.1,16.6,0.5,0.04,L D W W W,57463,Son Heung-min - 6,Hugo Lloris,,1.2214285714285715,1.1857142857142857,0.3055278673484055
Manchester Utd,6,15,7,3,5,25,24,1,24,20.8,24.8,-4.0,-0.27,L L D W W,72998,Cristiano Ronaldo - 6,David de Gea,,1.3866666666666667,1.6533333333333333,0.19141080801811572
Arsenal,7,15,7,2,6,18,22,-4,23,19.0,23.9,-5.0,-0.33,W L W L L,59334,Emile Smith-Rowe - 5,Aaron Ramsdale,,1.2666666666666666,1.5933333333333333,0.20324699135741284
Wolves,8,15,6,3,6,12,13,-1,21,16.1,18.6,-2.4,-0.16,L W D D L,30477,Hwang Hee-chan - 4,José Sá,,1.0733333333333335,1.24,0.2893842179390506
Brighton,9,15,4,8,3,14,16,-2,20,17.2,18.6,-1.4,-0.09,D L D D D,30861,Neal Maupay - 6,Robert Sánchez,,1.1466666666666667,1.24,0.2893842179390506
Aston Villa,10,15,6,1,8,21,24,-3,19,15.5,20.2,-4.7,-0.31,L W W L W,41827,Ollie Watkins - 4,Emiliano Martínez,,1.0333333333333334,1.3466666666666667,0.2601058366732977
Leicester City,11,15,5,4,6,23,27,-4,19,21.7,24.8,-3.1,-0.21,D L W D L,32524,Jamie Vardy - 9,Kasper Schmeichel,,1.4466666666666665,1.6533333333333333,0.19141080801811572
Everton,12,15,5,3,7,19,25,-6,18,19.0,21.2,-2.2,-0.14,D L L L W,37860,Demarai Gray - 5,Jordan Pickford,,1.2666666666666666,1.4133333333333333,0.2433308270553631
Brentford,13,15,4,5,6,19,21,-2,17,18.7,18.7,0.0,0.0,L D W L D,16774,Ivan Toney - 4,David Raya,,1.2466666666666666,1.2466666666666666,0.2874614063130629
Crystal Palace,14,15,3,7,5,19,21,-2,16,17.9,15.6,2.3,0.15,W D L L L,24467,"Wilfried Zaha, Conor Gallagher... - 4",Vicente Guaita,,1.1933333333333331,1.04,0.35345468195878016
Leeds United,15,15,3,7,5,15,22,-7,16,19.2,23.5,-4.3,-0.28,D L D W D,36204,Raphael Dias Belloli - 6,Illan Meslier,,1.28,1.5666666666666667,0.20873982339007963
Southampton,16,15,3,7,5,14,21,-7,16,20.5,20.3,0.3,0.02,W L L D D,29436,"Che Adams, Armando Broja - 3",Alex McCarthy,,1.3666666666666667,1.3533333333333333,0.2583775650684929
Watford,17,15,4,1,10,20,29,-9,13,18.3,29.2,-10.9,-0.73,L W L L L,20603,Emmanuel Dennis - 6,Ben Foster,,1.22,1.9466666666666665,0.14274910978227814
Burnley,18,14,1,7,6,14,21,-7,10,14.4,21.6,-7.1,-0.51,W D D D L,18531,Maxwel Cornet - 5,Nick Pope,,1.0285714285714287,1.542857142857143,0.21376945818647108
Newcastle Utd,19,15,1,7,7,17,30,-13,10,14.3,25.1,-10.8,-0.72,D D L D W,50544,Callum Wilson - 6,Karl Darlow,,0.9533333333333334,1.6733333333333333,0.18762062007593105
Norwich City,20,15,2,4,9,8,31,-23,10,14.3,25.3,-11.1,-0.74,W W D D L,26846,Teemu Pukki - 5,Tim Krul,,0.9533333333333334,1.6866666666666668,0.18513561532139172
