Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,37,28,6,3,96,24,72,90,86.1,26.8,59.3,1.6,W W W W D,52739,Kevin De Bruyne - 15,Ederson,,2.327027027027027,0.7243243243243244,0.48465192586683464
Liverpool,2,37,27,8,2,91,25,66,89,86.1,33.2,52.9,1.43,W W D W W,53367,Mohamed Salah - 22,Alisson,,2.327027027027027,0.8972972972972973,0.4076699829122367
Chelsea,3,37,20,11,6,74,32,42,71,64.9,35.0,30.0,0.81,D L D W D,36685,Mason Mount - 11,Edouard Mendy,,1.7540540540540541,0.9459459459459459,0.3883120748804756
Tottenham,4,37,21,5,11,64,40,24,68,61.5,39.0,22.5,0.61,D W D W W,56523,Son Heung-min - 21,Hugo Lloris,,1.662162162162162,1.054054054054054,0.3485219543540323
Arsenal,5,37,21,3,13,56,47,9,66,56.9,46.1,10.8,0.29,W W W L L,59636,Bukayo Saka - 11,Aaron Ramsdale,,1.537837837837838,1.2459459459459459,0.2876686603821799
Manchester Utd,6,37,16,10,11,57,56,1,58,53.9,54.3,-0.4,-0.01,L L D W L,73150,Cristiano Ronaldo - 18,David de Gea,,1.4567567567567568,1.4675675675675675,0.23048544414901148
West Ham,7,37,16,8,13,59,48,11,56,49.8,49.4,0.4,0.01,D L L W D,58370,Jarrod Bowen - 12,Łukasz Fabiański,,1.345945945945946,1.335135135135135,0.26312261594315045
Wolves,8,37,15,6,16,37,40,-3,51,34.8,57.0,-22.2,-0.6,L L D L D,30777,Raúl Jiménez - 6,José Sá,,0.9405405405405405,1.5405405405405406,0.2142652510642606
Leicester City,9,37,13,10,14,58,58,0,49,48.5,59.9,-11.3,-0.31,L L W W D,32521,Jamie Vardy - 14,Kasper Schmeichel,,1.3108108108108107,1.6189189189189188,0.198112759310547
Brighton,10,37,11,15,11,39,43,-4,48,44.3,45.3,-1.0,-0.03,L D W W D,30931,"Leandro Trossard, Neal Maupay - 8",Robert Sánchez,,1.1972972972972973,1.2243243243243243,0.29395625232700956
Brentford,11,37,13,7,17,47,54,-7,46,46.7,47.8,-1.1,-0.03,W D L W W,16916,Ivan Toney - 12,David Raya,,1.2621621621621621,1.2918918918918918,0.2747504928487819
Newcastle Utd,12,37,12,10,15,42,61,-19,46,38.6,54.1,-15.5,-0.42,W W L L W,51487,Callum Wilson - 6,Martin Dúbravka,,1.0432432432432432,1.462162162162162,0.23173468469875844
Crystal Palace,13,37,10,15,12,49,46,3,45,46.0,40.1,5.9,0.16,D W W D L,24541,Wilfried Zaha - 13,Vicente Guaita,,1.2432432432432432,1.0837837837837838,0.3383129975366521
Aston Villa,14,37,13,6,18,50,51,-1,45,43.7,46.1,-2.5,-0.07,W W L D D,41681,Ollie Watkins - 11,Emiliano Martínez,,1.1810810810810812,1.2459459459459459,0.2876686603821799
Southampton,15,37,9,13,15,42,63,-21,40,45.7,56.2,-10.5,-0.28,L D L L L,30134,James Ward-Prowse - 9,Fraser Forster,,1.2351351351351352,1.518918918918919,0.218948460089737
Everton,16,37,11,6,20,42,61,-19,39,41.7,51.5,-9.8,-0.26,W W D L W,38446,Richarlison - 10,Jordan Pickford,,1.127027027027027,1.3918918918918919,0.24860452655339918
Burnley,17,37,7,14,16,33,51,-18,35,37.4,54.9,-17.5,-0.47,W W L L D,19163,Maxwel Cornet - 8,Nick Pope,,1.0108108108108107,1.4837837837837837,0.2267779840832238
Leeds United,18,37,8,11,18,40,78,-38,35,45.8,69.1,-23.4,-0.63,D L L L D,36308,Raphael Dias Belloli - 10,Illan Meslier,,1.2378378378378379,1.8675675675675674,0.15449901353251017
Watford,19,37,6,5,26,33,75,-42,23,37.8,64.1,-26.3,-0.71,L L L D L,20614,Emmanuel Dennis - 10,Ben Foster,,1.0216216216216216,1.7324324324324323,0.17685370166808884
Norwich City,20,37,5,7,25,23,79,-56,22,33.0,73.3,-40.4,-1.09,L L L L D,26826,Teemu Pukki - 11,Tim Krul,,0.8918918918918919,1.981081081081081,0.13792005392475457
