Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,26,20,3,3,63,17,46,63,60.1,19.1,41.0,1.58,W D W W L,52644,Raheem Sterling - 10,Ederson,,2.3115384615384618,0.7346153846153847,0.47968991962235036
Liverpool,2,26,18,6,2,70,20,50,60,66.6,24.9,41.7,1.6,W W W W W,52956,Mohamed Salah - 19,Alisson,,2.5615384615384613,0.9576923076923076,0.38377750526472937
Chelsea,3,25,14,8,3,49,18,31,50,42.0,22.8,19.2,0.77,D L D W W,37758,Mason Mount - 7,Edouard Mendy,,1.68,0.912,0.401719980097586
Manchester Utd,4,26,13,7,6,44,34,10,46,40.7,36.9,3.8,0.15,W D D W W,73029,"Bruno Fernandes, Cristiano Ronaldo - 9",David de Gea,,1.5653846153846156,1.419230769230769,0.241900022287551
West Ham,5,26,12,6,8,45,34,11,42,35.4,31.9,3.5,0.14,L L W D D,57637,"Michail Antonio, Jarrod Bowen - 8",Łukasz Fabiański,,1.3615384615384616,1.2269230769230768,0.2931933245120464
Arsenal,6,23,13,3,7,36,26,10,42,34.8,30.3,4.5,0.2,W L D W W,59419,Emile Smith Rowe - 9,Aaron Ramsdale,,1.5130434782608695,1.317391304347826,0.2678330864245537
Wolves,7,24,12,4,8,23,18,5,40,23.9,32.0,-8.2,-0.34,W W L W W,30634,Raúl Jiménez - 5,José Sá,,0.9958333333333332,1.3333333333333333,0.26359713811572677
Tottenham,8,24,12,3,9,31,32,-1,39,37.4,28.5,8.8,0.37,L L L W L,54677,Son Heung-min - 9,Hugo Lloris,,1.5583333333333333,1.1875,0.3049827687110593
Brighton,9,25,7,12,6,25,28,-3,33,28.3,30.3,-2.0,-0.08,D D W L L,30704,Neal Maupay - 8,Robert Sánchez,,1.1320000000000001,1.212,0.29760148086818883
Southampton,10,25,7,11,7,32,37,-5,32,33.1,35.5,-2.5,-0.1,L D W D W,29722,"James Ward-Prowse, Armando Broja... - 6",Alex McCarthy,,1.324,1.42,0.24171401689703645
Crystal Palace,11,26,6,11,9,36,37,-1,29,30.6,31.4,-0.8,-0.03,L D D L W,24392,"Conor Gallagher, Wilfried Zaha - 8",Vicente Guaita,,1.176923076923077,1.2076923076923076,0.29888622162536144
Leicester City,12,23,7,6,10,37,43,-6,27,34.4,40.6,-6.2,-0.27,L D L D L,32261,Jamie Vardy - 9,Kasper Schmeichel,,1.4956521739130435,1.7652173913043478,0.17114957601090314
Aston Villa,13,24,8,3,13,31,37,-6,27,25.7,32.5,-6.7,-0.28,D W D L L,41863,"Jacob Ramsey, Ollie Watkins - 5",Emiliano Martínez,,1.0708333333333333,1.3541666666666667,0.25816234012045264
Brentford,14,26,6,6,14,27,42,-15,24,30.0,33.7,-3.8,-0.14,L L L D L,16862,Ivan Toney - 6,"David Raya, Álvaro Fernández",,1.1538461538461537,1.2961538461538462,0.27358201059249393
Leeds United,15,25,5,8,12,29,56,-27,23,31.1,48.9,-17.8,-0.71,L D L L L,36265,Raphael Dias Belloli - 9,Illan Meslier,,1.244,1.956,0.14142298297609007
Everton,16,23,6,4,13,28,40,-12,22,27.6,32.8,-5.2,-0.23,L L L W L,38040,Demarai Gray - 5,Jordan Pickford,,1.2,1.4260869565217391,0.24024718299156686
Newcastle Utd,17,24,4,10,10,26,45,-19,22,22.7,38.5,-15.8,-0.66,D W W W D,51175,Callum Wilson - 6,Martin Dúbravka,,0.9458333333333333,1.6041666666666667,0.20105703264535488
Burnley,18,23,3,11,9,21,29,-8,20,21.4,33.0,-11.6,-0.51,D D L W W,19006,Maxwel Cornet - 6,Nick Pope,,0.9304347826086956,1.434782608695652,0.23816713385120772
Watford,19,25,5,3,17,25,47,-22,18,26.7,43.2,-16.4,-0.66,D L L W L,20529,Emmanuel Dennis - 9,Ben Foster,,1.068,1.7280000000000002,0.17763933359513492
Norwich City,20,25,4,5,16,15,53,-38,17,20.5,46.1,-25.6,-1.02,W W D L L,26892,Teemu Pukki - 6,Tim Krul,,0.82,1.844,0.15818342524954201
