,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
0,1,Max Aarons,eng ENG,DF,Norwich City,21-283,2000,7,7,630,7.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.7,0.03,0.07,0.11,0.03,0.11,Matches
1,2,Che Adams,sct SCO,"FW,MF",Southampton,25-093,1996,5,5,380,4.2,0,1,0,0,0,0,0,0.0,0.24,0.24,0.0,0.24,0.6,0.6,1.1,1.6,0.14,0.25,0.39,0.14,0.39,Matches
2,3,Rayan Aït Nouri,fr FRA,FW,Wolves,20-130,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.35,0.35,0.35,Matches
3,4,Kristoffer Ajer,no NOR,DF,Brentford,23-180,1998,6,6,520,5.8,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,0.01,0.05,0.06,0.01,0.06,Matches
4,5,Nathan Aké,nl NED,DF,Manchester City,26-238,1995,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.1,0.0,0.1,0.1,0.1,Matches
5,6,Marc Albrighton,eng ENG,"MF,FW",Leicester City,31-330,1989,3,2,191,2.1,1,0,1,0,0,1,0,0.47,0.0,0.47,0.47,0.47,0.0,0.0,0.2,0.3,0.02,0.1,0.12,0.02,0.12,Matches
6,7,Thiago Alcántara,es ESP,MF,Liverpool,30-186,1991,4,2,177,2.0,0,1,0,0,0,0,0,0.0,0.51,0.51,0.0,0.51,0.4,0.4,0.4,0.8,0.21,0.21,0.42,0.21,0.42,Matches
7,8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-007,1998,5,5,450,5.0,0,2,0,0,0,0,0,0.0,0.4,0.4,0.0,0.4,0.5,0.5,2.4,3.0,0.11,0.49,0.59,0.11,0.59,Matches
8,9,Alisson,br BRA,GK,Liverpool,29-012,1992,7,7,630,7.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
