,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
0,1,Max Aarons,eng ENG,DF,Norwich City,21-326,2000,12,12,1080,12.0,0,1,0,0,0,3,0,0.0,0.08,0.08,0.0,0.08,0.3,0.3,0.7,1.1,0.03,0.06,0.09,0.03,0.09,Matches
1,2,Che Adams,sct SCO,FW,Southampton,25-136,1996,9,8,633,7.0,2,1,2,0,0,0,0,0.28,0.14,0.43,0.28,0.43,1.7,1.7,1.3,3.1,0.25,0.19,0.43,0.25,0.43,Matches
2,3,Rayan Aït Nouri,fr FRA,DF,Wolves,20-173,2001,5,4,359,4.0,0,1,0,0,0,1,0,0.0,0.25,0.25,0.0,0.25,0.2,0.2,0.4,0.6,0.04,0.1,0.14,0.04,0.14,Matches
3,4,Kristoffer Ajer,no NOR,DF,Brentford,23-223,1998,7,6,565,6.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,0.03,0.05,0.07,0.03,0.07,Matches
4,5,Nathan Aké,nl NED,DF,Manchester City,26-281,1995,4,3,285,3.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.06,0.0,0.06,0.06,0.06,Matches
5,6,Marc Albrighton,eng ENG,"MF,FW",Leicester City,32-008,1989,4,3,281,3.1,1,0,1,0,0,1,0,0.32,0.0,0.32,0.32,0.32,0.0,0.0,0.2,0.3,0.01,0.07,0.09,0.01,0.09,Matches
6,7,Thiago Alcántara,es ESP,MF,Liverpool,30-229,1991,6,3,283,3.1,0,1,0,0,0,0,0,0.0,0.32,0.32,0.0,0.32,0.7,0.7,0.8,1.4,0.21,0.24,0.45,0.21,0.45,Matches
7,8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-050,1998,10,10,874,9.7,1,6,1,0,0,1,0,0.1,0.62,0.72,0.1,0.72,1.2,1.2,4.9,6.1,0.13,0.5,0.63,0.13,0.63,Matches
8,9,Alisson,br BRA,GK,Liverpool,29-055,1992,11,11,990,11.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
9,10,Allan,br BRA,MF,Everton,30-322,1991,12,12,1051,11.7,0,1,0,0,0,1,0,0.0,0.09,0.09,0.0,0.09,0.1,0.1,0.4,0.4,0.01,0.03,0.04,0.01,0.04,Matches
10,11,Dele Alli,eng ENG,MF,Tottenham,25-229,1996,8,6,516,5.7,1,0,0,1,1,1,0,0.17,0.0,0.17,0.0,0.0,1.1,0.3,0.0,0.3,0.18,0.0,0.18,0.05,0.05,Matches
11,12,Miguel Almirón,py PAR,MF,Newcastle Utd,27-289,1994,10,8,697,7.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,1.0,0.07,0.05,0.13,0.07,0.13,Matches
12,13,Marcos Alonso,es ESP,DF,Chelsea,30-333,1990,6,6,535,5.9,1,1,1,0,0,2,0,0.17,0.17,0.34,0.17,0.34,0.9,0.9,0.8,1.7,0.14,0.14,0.28,0.14,0.28,Matches
13,14,Steven Alzate,co COL,MF,Brighton,23-079,1998,2,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.14,0.14,0.0,0.14,Matches
14,15,Daniel Amartey,gh GHA,DF,Leicester City,26-340,1994,8,7,606,6.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Matches
15,16,Joachim Andersen,dk DEN,DF,Crystal Palace,25-179,1996,12,11,1024,11.4,0,1,0,0,0,3,0,0.0,0.09,0.09,0.0,0.09,0.2,0.2,0.5,0.8,0.02,0.05,0.07,0.02,0.07,Matches
16,17,Michail Antonio,jm JAM,FW,West Ham,31-243,1990,11,11,985,10.9,6,3,6,0,1,4,1,0.55,0.27,0.82,0.55,0.82,5.3,5.0,3.0,8.0,0.48,0.27,0.76,0.46,0.73,Matches
17,18,Cameron Archer,eng ENG,"MF,FW",Aston Villa,20-128,2001,3,0,27,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
18,19,Adam Armstrong,eng ENG,FW,Southampton,24-289,1997,11,10,875,9.7,2,2,2,0,0,0,0,0.21,0.21,0.41,0.21,0.41,3.0,3.0,1.6,4.5,0.31,0.16,0.47,0.31,0.47,Matches
19,20,Stuart Armstrong,sct SCO,MF,Southampton,29-241,1992,4,1,125,1.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.6,0.24,0.17,0.41,0.24,0.41,Matches
20,21,Kepa Arrizabalaga,es ESP,GK,Chelsea,27-054,1994,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
21,22,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32-161,1989,11,10,878,9.8,4,1,4,0,2,2,0,0.41,0.1,0.51,0.41,0.51,4.4,2.8,0.8,3.6,0.45,0.08,0.54,0.28,0.37,Matches
22,23,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,30-076,1991,11,9,708,7.9,0,1,0,0,0,1,0,0.0,0.13,0.13,0.0,0.13,1.2,1.2,0.6,1.8,0.16,0.07,0.23,0.16,0.23,Matches
23,24,Luke Ayling,eng ENG,DF,Leeds United,30-093,1991,5,5,448,5.0,1,0,1,0,0,0,0,0.2,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.04,0.0,0.05,0.04,0.05,Matches
24,25,César Azpilicueta,es ESP,DF,Chelsea,32-090,1989,8,7,631,7.0,0,2,0,0,0,0,0,0.0,0.29,0.29,0.0,0.29,0.2,0.2,1.3,1.5,0.03,0.19,0.22,0.03,0.22,Matches
26,26,Daniel Bachmann,at AUT,GK,Watford,27-140,1994,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
27,27,Leon Bailey,jm JAM,"FW,MF",Aston Villa,24-109,1997,7,2,318,3.5,1,2,1,0,0,1,0,0.28,0.57,0.85,0.28,0.85,0.9,0.9,0.2,1.1,0.24,0.06,0.3,0.24,0.3,Matches
28,28,Eric Bailly,ci CIV,DF,Manchester Utd,27-228,1994,1,1,45,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
29,29,Folarin Balogun,eng ENG,FW,Arsenal,20-146,2001,2,1,70,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.35,0.0,0.35,0.35,0.35,Matches
30,30,Patrick Bamford,eng ENG,FW,Leeds United,28-082,1993,5,5,436,4.8,1,2,1,0,0,1,0,0.21,0.41,0.62,0.21,0.62,2.8,2.8,0.6,3.4,0.58,0.12,0.69,0.58,0.69,Matches
31,31,Shandon Baptiste,gd GRN,MF,Brentford,23-232,1998,6,3,192,2.1,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.03,0.0,0.03,0.03,0.03,Matches
32,32,Ross Barkley,eng ENG,MF,Chelsea,27-356,1993,4,1,128,1.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.5,1.3,0.58,0.36,0.93,0.58,0.93,Matches
33,33,Ashley Barnes,eng ENG,FW,Burnley,32-027,1989,8,4,382,4.2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.8,1.5,0.16,0.19,0.35,0.16,0.35,Matches
34,34,Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-352,1997,10,9,701,7.8,1,1,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,1.5,1.5,0.2,1.8,0.2,0.03,0.23,0.2,0.23,Matches
35,35,Mads Bech Sørensen,dk DEN,DF,Brentford,22-323,1999,1,0,20,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
36,36,Jan Bednarek,pl POL,DF,Southampton,25-228,1996,9,8,765,8.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.02,0.0,0.03,0.02,0.03,Matches
37,37,Donny van de Beek,nl NED,MF,Manchester Utd,24-222,1997,3,0,62,0.7,1,0,1,0,0,0,0,1.45,0.0,1.45,1.45,1.45,0.7,0.7,0.5,1.1,0.96,0.7,1.66,0.96,1.66,Matches
38,38,Asmir Begović,ba BIH,GK,Everton,34-159,1987,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
39,39,Saïd Benrahma,dz ALG,"MF,FW",West Ham,26-108,1995,12,12,981,10.9,3,3,3,0,0,0,0,0.28,0.28,0.55,0.28,0.55,2.1,2.1,1.4,3.5,0.19,0.13,0.32,0.19,0.32,Matches
40,40,Christian Benteke,be BEL,FW,Crystal Palace,30-358,1990,12,8,770,8.6,4,1,4,0,0,3,0,0.47,0.12,0.58,0.47,0.58,3.4,3.4,1.0,4.4,0.4,0.12,0.52,0.4,0.52,Matches
41,41,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,31-030,1990,12,8,719,8.0,0,1,0,0,0,2,0,0.0,0.13,0.13,0.0,0.13,1.3,1.3,0.3,1.6,0.17,0.04,0.2,0.17,0.2,Matches
42,42,Steven Bergwijn,nl NED,FW,Tottenham,24-049,1997,5,3,270,3.0,0,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33,0.8,0.8,0.4,1.2,0.25,0.14,0.39,0.25,0.39,Matches
43,43,Ryan Bertrand,eng ENG,DF,Leicester City,32-113,1989,4,4,337,3.7,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.08,0.08,0.0,0.08,Matches
44,44,Mads Bidstrup,dk DEN,MF,Brentford,20-274,2001,3,0,25,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
45,45,Yves Bissouma,ml MLI,MF,Brighton,25-088,1996,8,8,677,7.5,0,1,0,0,0,2,0,0.0,0.13,0.13,0.0,0.13,0.3,0.3,0.4,0.6,0.04,0.05,0.08,0.04,0.08,Matches
46,46,Jarrod Bowen,eng ENG,FW,West Ham,24-341,1996,12,12,1027,11.4,2,4,2,0,0,1,0,0.18,0.35,0.53,0.18,0.53,3.6,3.6,2.3,5.8,0.31,0.2,0.51,0.31,0.51,Matches
47,47,Armando Broja,al ALB,FW,Southampton,20-077,2001,8,2,289,3.2,2,0,2,0,0,0,0,0.62,0.0,0.62,0.62,0.62,1.6,1.6,0.8,2.4,0.49,0.26,0.75,0.49,0.75,Matches
48,48,Josh Brownhill,eng ENG,MF,Burnley,25-342,1995,12,11,1002,11.1,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.9,1.5,0.05,0.08,0.13,0.05,0.13,Matches
49,49,Bryan,es ESP,"FW,MF",Tottenham,20-288,2001,5,0,62,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
50,50,Emi Buendía,ar ARG,"MF,FW",Aston Villa,24-336,1996,10,8,615,6.8,1,1,1,0,0,1,0,0.15,0.15,0.29,0.15,0.29,0.9,0.9,1.3,2.2,0.13,0.19,0.32,0.13,0.32,Matches
52,51,Dan Burn,eng ENG,DF,Brighton,29-201,1992,5,4,302,3.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.2,0.06,0.02,0.07,0.06,0.07,Matches
53,52,Dominic Calvert-Lewin,eng ENG,FW,Everton,24-255,1997,3,3,248,2.8,3,0,1,2,2,0,0,1.09,0.0,1.09,0.36,0.36,3.8,2.3,0.1,2.4,1.38,0.05,1.44,0.83,0.89,Matches
54,53,João Cancelo,pt POR,DF,Manchester City,27-183,1994,12,12,1067,11.9,0,3,0,0,0,3,0,0.0,0.25,0.25,0.0,0.25,1.5,1.5,1.9,3.4,0.13,0.16,0.29,0.13,0.29,Matches
55,54,Sergi Canós,es ESP,DF,Brentford,24-297,1997,12,12,994,11.0,1,2,1,0,0,3,0,0.09,0.18,0.27,0.09,0.27,1.1,1.1,1.2,2.2,0.1,0.11,0.2,0.1,0.2,Matches
56,55,Todd Cantwell,eng ENG,"FW,MF",Norwich City,23-272,1998,6,4,360,4.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.03,0.05,0.08,0.03,0.08,Matches
57,56,Matty Cash,pl POL,DF,Aston Villa,24-111,1997,12,12,1063,11.8,1,0,1,0,0,3,0,0.08,0.0,0.08,0.08,0.08,0.7,0.7,0.4,1.1,0.06,0.03,0.09,0.06,0.09,Matches
58,57,Timothy Castagne,be BEL,DF,Leicester City,25-356,1995,10,7,778,8.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.01,0.02,0.03,0.01,0.03,Matches
59,58,Craig Cathcart,nir NIR,DF,Watford,32-293,1989,10,10,833,9.3,0,1,0,0,0,2,0,0.0,0.11,0.11,0.0,0.11,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01,Matches
60,59,Edinson Cavani,uy URU,FW,Manchester Utd,34-285,1987,5,2,213,2.4,1,0,1,0,0,0,0,0.42,0.0,0.42,0.42,0.42,1.4,1.4,0.0,1.5,0.61,0.01,0.62,0.61,0.62,Matches
61,60,Trevoh Chalobah,eng ENG,DF,Chelsea,22-144,1999,7,6,544,6.0,2,0,2,0,0,0,0,0.33,0.0,0.33,0.33,0.33,0.5,0.5,0.0,0.5,0.09,0.0,0.09,0.09,0.09,Matches
62,61,Calum Chambers,eng ENG,DF,Arsenal,26-310,1995,2,2,170,1.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.05,0.03,0.07,0.05,0.07,Matches
63,62,Ben Chilwell,eng ENG,DF,Chelsea,24-340,1996,6,6,540,6.0,3,1,3,0,0,0,0,0.5,0.17,0.67,0.5,0.67,1.2,1.2,1.0,2.1,0.19,0.16,0.36,0.19,0.36,Matches
64,63,Hamza Choudhury,eng ENG,MF,Leicester City,24-056,1997,1,1,59,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
65,64,Andreas Christensen,dk DEN,DF,Chelsea,25-230,1996,8,8,720,8.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.04,0.02,0.05,0.04,0.05,Matches
66,65,Carney Chukwuemeka,eng ENG,MF,Aston Villa,17-323,2004,1,1,62,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
67,66,Ciaran Clark,ie IRL,DF,Newcastle Utd,32-061,1989,10,10,893,9.9,0,1,0,0,0,2,0,0.0,0.1,0.1,0.0,0.1,0.8,0.8,0.3,1.1,0.08,0.03,0.11,0.08,0.11,Matches
68,67,Tom Cleverley,eng ENG,MF,Watford,32-106,1989,8,5,494,5.5,0,1,0,0,0,0,0,0.0,0.18,0.18,0.0,0.18,0.2,0.2,0.7,0.8,0.03,0.12,0.15,0.03,0.15,Matches
69,68,Conor Coady,eng ENG,DF,Wolves,28-274,1993,12,12,1076,12.0,1,0,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,1.0,1.0,0.0,1.0,0.08,0.0,0.08,0.08,0.08,Matches
70,69,Séamus Coleman,ie IRL,DF,Everton,33-046,1988,9,9,810,9.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.6,0.7,0.02,0.06,0.08,0.02,0.08,Matches
71,70,Nathan Collins,ie IRL,DF,Burnley,20-210,2001,3,3,270,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.4,0.02,0.13,0.15,0.02,0.15,Matches
72,71,Aaron Connolly,ie IRL,FW,Brighton,21-302,2000,2,0,60,0.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.64,0.0,0.64,0.64,0.64,Matches
73,72,Liam Cooper,sct SCO,DF,Leeds United,30-088,1991,12,12,1080,12.0,0,1,0,0,0,4,0,0.0,0.08,0.08,0.0,0.08,0.2,0.2,0.0,0.2,0.02,0.0,0.02,0.02,0.02,Matches
74,73,Jack Cork,eng ENG,MF,Burnley,32-154,1989,4,4,314,3.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.03,0.0,0.03,0.03,0.03,Matches
75,74,Maxwel Cornet,ci CIV,"FW,MF",Burnley,25-060,1996,7,6,447,5.0,5,0,5,0,0,2,0,1.01,0.0,1.01,1.01,1.01,1.4,1.4,0.5,2.0,0.29,0.11,0.4,0.29,0.4,Matches
76,75,Hélder Costa,ao ANG,MF,Leeds United,27-318,1994,1,0,22,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,Matches
78,76,Vladimír Coufal,cz CZE,DF,West Ham,29-096,1992,9,7,638,7.1,0,1,0,0,0,0,0,0.0,0.14,0.14,0.0,0.14,0.1,0.1,1.3,1.4,0.02,0.19,0.2,0.02,0.2,Matches
79,77,Aaron Cresswell,eng ENG,DF,West Ham,31-346,1989,12,12,1080,12.0,1,1,1,0,0,0,0,0.08,0.08,0.17,0.08,0.17,0.4,0.4,1.4,1.7,0.03,0.11,0.14,0.03,0.14,Matches
80,78,Charlie Cresswell,eng ENG,DF,Leeds United,18-354,2002,2,1,91,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
81,79,Cucho,co COL,"MF,FW",Watford,22-220,1999,9,3,399,4.4,1,1,1,0,0,0,0,0.23,0.23,0.45,0.23,0.45,0.4,0.4,0.7,1.1,0.09,0.15,0.25,0.09,0.25,Matches
82,80,Marc Cucurella,es ESP,DF,Brighton,23-127,1998,9,9,749,8.3,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,1.0,0.02,0.1,0.12,0.02,0.12,Matches
83,81,Patson Daka,zm ZAM,"FW,MF",Leicester City,23-048,1998,4,0,107,1.2,1,1,1,0,0,0,0,0.84,0.84,1.68,0.84,1.68,0.9,0.9,0.9,1.8,0.77,0.72,1.49,0.77,1.49,Matches
84,82,Stuart Dallas,nir NIR,"DF,MF",Leeds United,30-221,1991,12,12,1067,11.9,0,1,0,0,0,0,0,0.0,0.08,0.08,0.0,0.08,1.0,1.0,1.3,2.3,0.08,0.11,0.19,0.08,0.19,Matches
85,83,Diogo Dalot,pt POR,"DF,FW",Manchester Utd,22-253,1999,4,0,93,1.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,Matches
86,84,Karl Darlow,eng ENG,GK,Newcastle Utd,31-049,1990,8,8,720,8.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
87,85,Ben Davies,wls WAL,DF,Tottenham,28-216,1993,4,3,301,3.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.15,0.01,0.16,0.15,0.16,Matches
88,86,Tom Davies,eng ENG,MF,Everton,23-149,1998,5,1,158,1.8,1,0,1,0,0,0,0,0.57,0.0,0.57,0.57,0.57,0.9,0.9,0.0,0.9,0.52,0.0,0.52,0.52,0.52,Matches
89,87,Keinan Davis,eng ENG,FW,Aston Villa,23-286,1998,1,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
90,88,Craig Dawson,eng ENG,DF,West Ham,31-204,1990,9,5,533,5.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.9,0.15,0.01,0.15,0.15,0.15,Matches
91,89,Kevin De Bruyne,be BEL,MF,Manchester City,30-151,1991,8,5,453,5.0,2,0,2,0,0,0,0,0.4,0.0,0.4,0.4,0.4,1.4,1.4,1.8,3.2,0.28,0.35,0.63,0.28,0.63,Matches
