Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Chelsea,1,14,10,3,1,33,6,27,33,25.9,13.6,12.4,0.88,W D W D W,39862,"Reece James, Mason Mount - 4",Edouard Mendy,,1.8499999999999999,0.9714285714285714,0.37854187754140095
Manchester City,2,14,10,2,2,29,8,21,32,29.5,9.4,20.1,1.44,L W W W W,52565,Bernardo Silva - 5,Ederson,,2.107142857142857,0.6714285714285715,0.5109780874356168
Liverpool,3,14,9,4,1,43,12,31,31,36.5,14.2,22.3,1.59,D L W W W,52918,Mohamed Salah - 13,Alisson,,2.607142857142857,1.0142857142857142,0.3626613811825573
West Ham,4,14,7,3,4,25,17,8,24,19.6,16.0,3.6,0.26,W W L L D,58436,Michail Antonio - 6,Łukasz Fabiański,,1.4000000000000001,1.1428571428571428,0.31890655732397044
Arsenal,5,14,7,2,5,17,20,-3,23,17.9,22.9,-5.0,-0.36,W W L W L,59334,Emile Smith-Rowe - 5,Aaron Ramsdale,,1.2785714285714285,1.6357142857142857,0.19481316932630613
Tottenham,6,13,7,1,5,13,17,-4,22,15.4,15.0,0.4,0.03,L L D W W,57517,Son Heung-min - 5,Hugo Lloris,,1.1846153846153846,1.1538461538461537,0.3154212746389477
Manchester Utd,7,14,6,3,5,24,24,0,21,19.7,23.9,-4.2,-0.3,W L L D W,72973,Cristiano Ronaldo - 6,David de Gea,,1.407142857142857,1.707142857142857,0.18138329095590106
Wolves,8,14,6,3,5,12,12,0,21,16.0,16.1,-0.1,-0.01,W L W D D,30441,Hwang Hee-chan - 4,José Sá,,1.1428571428571428,1.1500000000000001,0.31663676937905316
Brighton,9,14,4,7,3,13,15,-2,19,15.8,17.2,-1.4,-0.1,D D L D D,30861,Neal Maupay - 5,Robert Sánchez,,1.1285714285714286,1.2285714285714284,0.29271043690592835
Leicester City,10,14,5,4,5,22,25,-3,19,20.5,22.9,-2.4,-0.17,L D L W D,32524,Jamie Vardy - 9,Kasper Schmeichel,,1.4642857142857142,1.6357142857142857,0.19481316932630613
Crystal Palace,11,14,3,7,4,19,20,-1,16,17.0,14.6,2.5,0.18,W W D L L,24467,"Wilfried Zaha, Conor Gallagher... - 4",Vicente Guaita,,1.2142857142857142,1.042857142857143,0.3524462527380765
Brentford,12,14,4,4,6,17,19,-2,16,17.7,17.4,0.3,0.02,L L D W L,16774,Ivan Toney - 4,David Raya,,1.2642857142857142,1.2428571428571427,0.28855858592375816
Aston Villa,13,14,5,1,8,19,23,-4,16,13.6,19.0,-5.4,-0.38,L L W W L,41864,Ollie Watkins - 4,Emiliano Martínez,,0.9714285714285714,1.3571428571428572,0.257395142052568
Everton,14,14,4,3,7,17,24,-7,15,18.0,19.9,-1.9,-0.14,L D L L L,37389,Demarai Gray - 4,Jordan Pickford,,1.2857142857142858,1.4214285714285713,0.24136895768815916
Southampton,15,14,3,6,5,13,20,-7,15,19.3,19.1,0.2,0.02,W W L L D,29540,Che Adams - 3,Alex McCarthy,,1.3785714285714286,1.3642857142857143,0.25556315592028644
Leeds United,16,14,3,6,5,13,20,-7,15,18.1,22.5,-4.4,-0.31,W D L D W,36284,Raphael Dias Belloli - 6,Illan Meslier,,1.292857142857143,1.6071428571428572,0.20045953818931547
Watford,17,14,4,1,9,19,26,-7,13,17.6,25.8,-8.2,-0.58,L L W L L,20593,Emmanuel Dennis - 6,Ben Foster,,1.2571428571428573,1.842857142857143,0.1583643096497964
Burnley,18,13,1,7,5,14,20,-6,10,13.8,20.3,-6.5,-0.5,D W D D D,18531,Maxwel Cornet - 5,Nick Pope,,1.0615384615384615,1.5615384615384615,0.20981303349163993
Norwich City,19,14,2,4,8,8,28,-20,10,13.0,23.7,-10.8,-0.77,L W W D D,26846,Teemu Pukki - 5,Tim Krul,,0.9285714285714286,1.6928571428571428,0.18399307777715854
Newcastle Utd,20,14,0,7,7,16,30,-14,7,13.1,24.5,-11.4,-0.82,L D D L D,50344,Callum Wilson - 5,Karl Darlow,,0.9357142857142857,1.75,0.17377394345044514
