Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,31,23,5,3,72,20,52,74,70.6,22.4,48.2,1.55,W W D W D,52715,Kevin De Bruyne - 11,Ederson,,2.2774193548387096,0.7225806451612903,0.485497740531694
Liverpool,2,31,22,7,2,79,22,57,73,75.2,30.3,44.9,1.45,W W W W D,53435,Mohamed Salah - 20,Alisson,,2.425806451612903,0.9774193548387097,0.3762808944335526
Chelsea,3,30,18,8,4,64,23,41,62,53.0,27.5,25.4,0.85,W W W L W,38013,Mason Mount - 10,Edouard Mendy,,1.7666666666666666,0.9166666666666666,0.39984965434484737
Tottenham,4,31,18,3,10,56,37,19,57,52.6,34.7,17.8,0.58,L W W W W,55468,Son Heung-min - 17,Hugo Lloris,,1.696774193548387,1.1193548387096774,0.3264903656351737
Arsenal,5,30,17,3,10,45,36,9,54,45.9,36.4,9.5,0.32,W L W L L,59569,"Emile Smith Rowe, Bukayo Saka - 9",Aaron Ramsdale,,1.53,1.2133333333333334,0.29720494331081576
West Ham,6,32,15,6,11,51,42,9,51,42.3,40.9,1.3,0.04,L W L W L,58071,Jarrod Bowen - 9,Łukasz Fabiański,,1.321875,1.278125,0.2785591094345902
Manchester Utd,7,31,14,9,8,49,42,7,51,46.9,42.4,4.6,0.15,D L W D L,73089,Cristiano Ronaldo - 12,David de Gea,,1.5129032258064516,1.367741935483871,0.25468139777667154
Wolves,8,32,15,4,13,33,28,5,49,30.3,46.5,-16.2,-0.51,W W L W L,30720,Raúl Jiménez - 6,José Sá,,0.946875,1.453125,0.23383840011408472
Leicester City,9,29,11,7,11,45,48,-3,40,39.7,49.0,-9.3,-0.32,W L W D W,32206,Jamie Vardy - 10,Kasper Schmeichel,,1.3689655172413795,1.6896551724137931,0.18458316238656206
Crystal Palace,10,31,8,13,10,43,40,3,37,37.8,36.0,1.8,0.06,D W D W L,24484,Wilfried Zaha - 11,Vicente Guaita,,1.2193548387096773,1.1612903225806452,0.31308194343912854
Brighton,11,31,8,13,10,28,37,-9,37,34.5,39.6,-5.1,-0.16,L L L D W,30861,Neal Maupay - 8,Robert Sánchez,,1.1129032258064515,1.2774193548387098,0.27875574269078973
Aston Villa,12,31,11,3,17,42,46,-4,36,35.9,39.0,-3.1,-0.1,W L L L L,41874,Ollie Watkins - 8,Emiliano Martínez,,1.1580645161290322,1.2580645161290323,0.28420356593379886
Brentford,13,32,10,6,16,39,48,-9,36,39.2,41.5,-2.4,-0.07,W W L W W,16898,Ivan Toney - 12,David Raya,,1.225,1.296875,0.27338478699614155
Southampton,14,31,8,12,11,37,52,-15,36,41.3,46.1,-4.8,-0.15,L L L D L,29883,"James Ward-Prowse, Che Adams - 7",Alex McCarthy,,1.332258064516129,1.4870967741935484,0.2260279139704136
Newcastle Utd,15,31,8,10,13,34,54,-20,34,30.5,46.1,-15.6,-0.5,W L L L W,51310,Callum Wilson - 6,Martin Dúbravka,,0.9838709677419355,1.4870967741935484,0.2260279139704136
Leeds United,16,32,8,9,15,38,68,-30,33,41.4,57.9,-16.5,-0.52,L W W D W,36306,Raphael Dias Belloli - 10,Illan Meslier,,1.29375,1.809375,0.1637564526085645
Everton,17,30,8,4,18,33,52,-19,28,33.1,42.5,-9.4,-0.31,L W L L W,38320,Richarlison - 6,Jordan Pickford,,1.1033333333333333,1.4166666666666667,0.24252107463564868
Burnley,18,30,4,12,14,25,44,-19,24,27.4,45.0,-17.7,-0.59,L L L W L,19113,Maxwel Cornet - 7,Nick Pope,,0.9133333333333333,1.5,0.22313016014842982
Watford,19,31,6,4,21,29,60,-31,22,32.6,52.6,-20.0,-0.65,L L W L L,20598,Emmanuel Dennis - 9,Ben Foster,,1.0516129032258066,1.696774193548387,0.18327377725267827
Norwich City,20,31,5,6,20,20,63,-43,21,26.6,60.1,-33.5,-1.08,L L L D W,26846,Teemu Pukki - 9,Tim Krul,,0.8580645161290323,1.9387096774193548,0.14388949390917705
