Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Chelsea,1,8,6,1,1,16,3,13,19,11.9,10.1,1.8,0.23,W W L W W,39770,Romelu Lukaku - 3,Edouard Mendy,,1.4875,1.2625,0.2829457771141329
Liverpool,2,8,5,3,0,22,6,16,18,21.5,8.6,12.9,1.62,W W D D W,52923,Mohamed Salah - 7,Alisson,,2.6875,1.075,0.3412977553009937
Manchester City,3,8,5,2,1,16,3,13,17,16.9,5.0,11.8,1.48,W D W D W,52281,"Gabriel Jesus, Ferrán Torres... - 2",Ederson,,2.1125,0.625,0.5352614285189903
Brighton,4,8,4,3,1,8,5,3,15,8.3,8.8,-0.5,-0.06,W W D D D,30594,Neal Maupay - 4,Robert Sánchez,,1.0375,1.1,0.33287108369807955
Tottenham,5,8,5,0,3,9,12,-3,15,8.9,10.5,-1.5,-0.19,L L L W W,57267,Son Heung-min - 4,Hugo Lloris,,1.1125,1.3125,0.26914634872918386
Manchester Utd,6,8,4,2,2,16,10,6,14,12.1,11.0,1.1,0.14,W W L D L,72879,"Mason Greenwood, Bruno Fernandes - 4",David de Gea,,1.5125,1.375,0.25283959580474646
West Ham,7,8,4,2,2,15,10,5,14,13.1,8.8,4.3,0.53,D L W L W,57398,Michail Antonio - 5,Łukasz Fabiański,,1.6375,1.1,0.33287108369807955
Everton,8,8,4,2,2,13,9,4,14,12.1,8.8,3.3,0.41,W L W D L,36610,"Andros Townsend, Demarai Gray... - 3",Jordan Pickford,,1.5125,1.1,0.33287108369807955
Brentford,9,8,3,3,2,10,7,3,12,11.1,7.7,3.4,0.42,L W D W L,16703,"Yoane Wissa, Bryan Mbeumo... - 2",David Raya,,1.3875,0.9625,0.3819368493039489
Wolves,10,8,4,0,4,8,8,0,12,10.8,8.5,2.3,0.29,W L W W W,30368,Hwang Hee-chan - 3,José Sá,,1.35,1.0625,0.3455907525769745
Leicester City,11,8,3,2,3,13,14,-1,11,12.8,12.8,0.0,0.0,L L D D W,31985,Jamie Vardy - 7,Kasper Schmeichel,,1.6,1.6,0.20189651799465538
Arsenal,12,8,3,2,3,7,12,-5,11,8.9,13.2,-4.3,-0.54,W W W D D,59031,Pierre-Emerick Aubameyang - 3,Aaron Ramsdale,,1.1125,1.65,0.19204990862075413
Aston Villa,13,8,3,1,4,12,12,0,10,9.0,11.0,-2.0,-0.25,L W W L L,41962,Danny Ings - 3,Emiliano Martínez,,1.125,1.375,0.25283959580474646
Crystal Palace,14,8,1,5,2,10,13,-3,8,8.4,9.6,-1.2,-0.15,W L D D D,24267,Odsonne Édouard - 3,Vicente Guaita,,1.05,1.2,0.30119421191220214
Southampton,15,8,1,4,3,6,10,-4,7,11.1,11.9,-0.8,-0.09,D D L L W,30127,James Ward-Prowse - 2,Alex McCarthy,,1.3875,1.4875,0.22593679205511083
Watford,16,8,2,1,5,7,15,-8,7,6.7,14.4,-7.7,-0.96,L W D L L,20451,Ismaila Sarr - 4,"Ben Foster, Daniel Bachmann",,0.8375,1.8,0.16529888822158653
Leeds United,17,8,1,3,4,7,15,-8,6,10.4,14.7,-4.2,-0.53,L D L W L,36370,Raphael Dias Belloli - 3,Illan Meslier,,1.3,1.8375,0.15921496639049026
Burnley,18,8,0,3,5,5,13,-8,3,8.5,13.2,-4.8,-0.6,L L D D L,18584,"Chris Wood, Maxwel Cornet... - 1",Nick Pope,,1.0625,1.65,0.19204990862075413
Newcastle Utd,19,8,0,3,5,10,19,-9,3,9.1,15.0,-5.8,-0.73,L D D L L,49328,Callum Wilson - 3,"Freddie Woodman, Karl Darlow",,1.1375,1.875,0.15335496684492847
Norwich City,20,8,0,2,6,2,16,-14,2,6.8,14.9,-8.1,-1.01,L L L D D,26804,Teemu Pukki - 2,Tim Krul,,0.85,1.8625,0.155283934863903
