Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester Utd,1,1,1,0,0,5,1,4,3,1.5,0.6,0.8,0.84,W,72732.0,Bruno Fernandes - 3,David de Gea,,1.5,0.6,0.5488116360940265
Chelsea,2,1,1,0,0,3,0,3,3,0.9,0.3,0.6,0.57,W,38965.0,"Trevoh Chalobah, Marcos Alonso... - 1",Edouard Mendy,,0.9,0.3,0.7408182206817179
Liverpool,3,1,1,0,0,3,0,3,3,2.0,1.4,0.6,0.61,W,,"Diogo Jota, Roberto Firmino... - 1",Alisson,,2.0,1.4,0.2465969639416065
West Ham,4,1,1,0,0,4,2,2,3,2.2,1.4,0.8,0.79,W,,"Aaron Cresswell, Tomáš Souček... - 1",Łukasz Fabiański,,2.2,1.4,0.2465969639416065
Everton,5,1,1,0,0,3,1,2,3,2.4,0.7,1.7,1.69,W,,"Abdoulaye Doucouré, Richarlison... - 1",Jordan Pickford,,2.4,0.7,0.4965853037914095
Brentford,6,1,1,0,0,2,0,2,3,1.3,1.5,-0.2,-0.21,W,16479.0,"Sergi Canós, Christian Nørgaard - 1",David Raya,,1.3,1.5,0.22313016014842982
Watford,7,1,1,0,0,3,2,1,3,1.2,1.1,0.1,0.13,W,20051.0,"Ismaila Sarr, Cucho... - 1",Daniel Bachmann,,1.2,1.1,0.33287108369807955
Brighton,8,1,1,0,0,2,1,1,3,1.2,1.1,0.1,0.08,W,,"Alexis Mac Allister, Neal Maupay - 1",Robert Sánchez,,1.2,1.1,0.33287108369807955
Leicester City,9,1,1,0,0,1,0,1,3,0.8,1.1,-0.3,-0.33,W,31983.0,Jamie Vardy - 1,Kasper Schmeichel,,0.8,1.1,0.33287108369807955
Tottenham,10,1,1,0,0,1,0,1,3,1.3,1.9,-0.6,-0.61,W,58262.0,Son Heung-min - 1,Hugo Lloris,,1.3,1.9,0.14956861922263506
Aston Villa,11,1,0,0,1,2,3,-1,0,1.1,1.2,-0.1,-0.13,L,,"John McGinn, Danny Ings - 1",Emiliano Martínez,,1.1,1.2,0.30119421191220214
Burnley,12,1,0,0,1,1,2,-1,0,1.1,1.2,-0.1,-0.08,L,,James Tarkowski - 1,Nick Pope,,1.1,1.2,0.30119421191220214
Manchester City,13,1,0,0,1,0,1,-1,0,1.9,1.3,0.6,0.61,L,,,Ederson,,1.9,1.3,0.2725317930340126
Wolves,14,1,0,0,1,0,1,-1,0,1.1,0.8,0.3,0.33,L,,,José Sá,,1.1,0.8,0.44932896411722156
Newcastle Utd,15,1,0,0,1,2,4,-2,0,1.4,2.2,-0.8,-0.79,L,50673.0,"Jacob Murphy, Callum Wilson - 1",Freddie Woodman,,1.4,2.2,0.11080315836233387
Southampton,16,1,0,0,1,1,3,-2,0,0.7,2.4,-1.7,-1.69,L,,Adam Armstrong - 1,Alex McCarthy,,0.7,2.4,0.09071795328941251
Arsenal,17,1,0,0,1,0,2,-2,0,1.5,1.3,0.2,0.21,L,,,Bernd Leno,,1.5,1.3,0.2725317930340126
Crystal Palace,18,1,0,0,1,0,3,-3,0,0.3,0.9,-0.6,-0.57,L,,,Vicente Guaita,,0.3,0.9,0.4065696597405991
Norwich City,19,1,0,0,1,0,3,-3,0,1.4,2.0,-0.6,-0.61,L,27023.0,,Tim Krul,,1.4,2.0,0.1353352832366127
Leeds United,20,1,0,0,1,1,5,-4,0,0.6,1.5,-0.8,-0.84,L,,Luke Ayling - 1,Illan Meslier,,0.6,1.5,0.22313016014842982
