Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,30,23,4,3,70,18,52,73,68.8,21.3,47.4,1.58,L W W D W,52681,"Riyad Mahrez, Raheem Sterling... - 10",Ederson,,2.2933333333333334,0.7100000000000001,0.49164419746096505
Liverpool,2,30,22,6,2,77,20,57,72,74.0,28.1,45.9,1.53,W W W W W,53435,Mohamed Salah - 20,Alisson,,2.466666666666667,0.9366666666666668,0.39193210071098405
Chelsea,3,29,17,8,4,58,23,35,59,48.6,27.0,21.6,0.75,W W W W L,38013,Mason Mount - 8,Edouard Mendy,,1.6758620689655173,0.9310344827586207,0.3941457624048215
Tottenham,4,30,17,3,10,52,37,15,54,51.7,33.1,18.5,0.62,W L W W W,55468,Son Heung-min - 14,Hugo Lloris,,1.7233333333333334,1.1033333333333333,0.3317633606498357
Arsenal,5,29,17,3,9,44,34,10,54,44.0,35.8,8.1,0.28,W W L W L,59533,"Emile Smith Rowe, Bukayo Saka - 9",Aaron Ramsdale,,1.5172413793103448,1.2344827586206895,0.2909852330529678
West Ham,6,31,15,6,10,51,40,11,51,42.0,39.4,2.6,0.08,W L W L W,58071,Jarrod Bowen - 9,Łukasz Fabiański,,1.3548387096774193,1.270967741935484,0.2805599807016054
Manchester Utd,7,30,14,9,7,49,41,8,51,46.2,42.2,4.0,0.13,W D L W D,73089,Cristiano Ronaldo - 12,David de Gea,,1.54,1.4066666666666667,0.24495845195716895
Wolves,8,31,15,4,12,33,27,6,49,30.0,45.1,-15.0,-0.48,L W W L W,30720,Raúl Jiménez - 6,José Sá,,0.967741935483871,1.4548387096774194,0.23343801215720344
Crystal Palace,9,30,8,13,9,42,38,4,37,36.5,35.0,1.5,0.05,W D W D W,24484,Wilfried Zaha - 10,Vicente Guaita,,1.2166666666666666,1.1666666666666667,0.3114032239145977
Leicester City,10,28,10,7,11,43,47,-4,37,38.7,47.7,-9.0,-0.32,W W L W D,32228,Jamie Vardy - 10,Kasper Schmeichel,,1.3821428571428573,1.7035714285714287,0.1820322465831439
Aston Villa,11,30,11,3,16,42,42,0,36,34.7,38.0,-3.2,-0.11,W W L L L,41869,Ollie Watkins - 8,Emiliano Martínez,,1.1566666666666667,1.2666666666666666,0.28176928909495835
Southampton,12,30,8,12,10,37,46,-9,36,40.9,42.5,-1.6,-0.05,W L L L D,29784,"James Ward-Prowse, Che Adams - 7",Alex McCarthy,,1.3633333333333333,1.4166666666666667,0.24252107463564868
Brighton,13,30,7,13,10,26,36,-10,34,33.8,37.7,-3.8,-0.13,L L L L D,30861,Neal Maupay - 8,Robert Sánchez,,1.1266666666666665,1.2566666666666668,0.28460111752954986
Brentford,14,31,9,6,16,37,48,-11,33,37.5,41.2,-3.6,-0.12,L W W L W,16889,Ivan Toney - 11,David Raya,,1.2096774193548387,1.3290322580645162,0.26473333092123663
Newcastle Utd,15,30,7,10,13,33,54,-21,31,29.2,45.7,-16.5,-0.55,W W L L L,51249,Callum Wilson - 6,Martin Dúbravka,,0.9733333333333333,1.5233333333333334,0.21798406104613025
Leeds United,16,31,7,9,15,35,68,-33,30,40.5,56.8,-16.3,-0.52,L L W W D,36306,Raphael Dias Belloli - 9,Illan Meslier,,1.3064516129032258,1.832258064516129,0.16005175224501608
Everton,17,29,7,4,18,32,52,-20,25,32.8,41.9,-9.1,-0.31,L L W L L,38266,Richarlison - 6,Jordan Pickford,,1.1310344827586205,1.4448275862068964,0.23578672593528796
Burnley,18,29,4,12,13,25,42,-17,24,25.5,43.5,-18.0,-0.62,L L L L W,19113,Maxwel Cornet - 7,Nick Pope,,0.8793103448275862,1.5,0.22313016014842982
Watford,19,30,6,4,20,29,57,-28,22,31.4,51.6,-20.2,-0.67,D L L W L,20573,Emmanuel Dennis - 9,Ben Foster,,1.0466666666666666,1.72,0.17906614791149322
Norwich City,20,30,4,6,20,18,63,-45,18,25.1,58.4,-33.3,-1.11,L L L L D,26878,Teemu Pukki - 8,Tim Krul,,0.8366666666666667,1.9466666666666665,0.14274910978227814
