Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Manchester City,1,24,19,3,2,57,14,43,60,53.5,16.7,36.8,1.53,W W W D W,52597,"Raheem Sterling, Kevin De Bruyne... - 7",Ederson,,2.2291666666666665,0.6958333333333333,0.4986587258534279
Liverpool,2,23,15,6,2,60,19,41,51,57.0,23.3,33.6,1.46,L D W W W,52929,Mohamed Salah - 16,Alisson,,2.4782608695652173,1.0130434782608695,0.36311217215150304
Chelsea,3,24,13,8,3,48,18,30,47,40.8,22.1,18.7,0.78,D D L D W,37758,Mason Mount - 7,Edouard Mendy,,1.7,0.9208333333333334,0.39818708021984806
West Ham,4,24,12,4,8,42,31,11,40,34.0,29.8,4.2,0.18,W W L L W,57444,Michail Antonio - 8,Łukasz Fabiański,,1.4166666666666667,1.2416666666666667,0.2889023126084798
Arsenal,5,22,12,3,7,34,25,9,39,32.7,29.7,3.0,0.14,W W L D W,59435,Emile Smith Rowe - 8,Aaron Ramsdale,,1.4863636363636366,1.3499999999999999,0.25924026064589156
Manchester Utd,6,23,11,6,6,37,31,6,39,34.0,33.5,0.4,0.02,L D W W D,73025,Cristiano Ronaldo - 8,David de Gea,,1.4782608695652173,1.4565217391304348,0.2330454595387605
Tottenham,7,21,11,3,7,28,27,1,36,33.1,23.9,9.1,0.43,D W W L L,54516,Son Heung-min - 9,Hugo Lloris,,1.5761904761904764,1.138095238095238,0.32042878144457665
Wolves,8,22,10,4,8,19,17,2,34,21.9,28.9,-7.0,-0.32,D W W W L,30548,"Hwang Hee-chan, Raúl Jiménez - 4",José Sá,,0.9954545454545454,1.3136363636363635,0.2688406743171649
Brighton,9,22,6,12,4,23,23,0,30,25.7,26.9,-1.3,-0.06,D W D D D,30735,Neal Maupay - 7,Robert Sánchez,,1.1681818181818182,1.2227272727272727,0.2944260907074565
Southampton,10,23,6,10,7,29,36,-7,28,29.8,33.1,-3.3,-0.14,D W L D W,29578,"James Ward-Prowse, Armando Broja - 6",Alex McCarthy,,1.2956521739130435,1.4391304347826088,0.23713387242178796
Aston Villa,11,22,8,3,11,31,35,-4,27,23.9,30.9,-7.0,-0.32,L L D W D,41856,"Jacob Ramsey, Ollie Watkins - 5",Emiliano Martínez,,1.0863636363636362,1.4045454545454545,0.24547861228480966
Leicester City,12,21,7,5,9,34,39,-5,26,31.4,39.2,-7.8,-0.37,L W L D L,32279,Jamie Vardy - 9,Kasper Schmeichel,,1.4952380952380953,1.8666666666666667,0.1546382645492548
Crystal Palace,13,23,5,10,8,32,35,-3,25,28.7,27.7,1.0,0.04,W L D L D,24332,Conor Gallagher - 7,Vicente Guaita,,1.2478260869565216,1.2043478260869565,0.29988751456525514
Brentford,14,24,6,5,13,26,40,-14,23,27.9,31.2,-3.3,-0.14,L L L L L,16854,Ivan Toney - 6,Álvaro Fernández,,1.1624999999999999,1.3,0.2725317930340126
Leeds United,15,22,5,8,9,27,43,-16,23,29.1,39.1,-10.0,-0.45,L W W L D,36207,Raphael Dias Belloli - 8,Illan Meslier,,1.3227272727272728,1.7772727272727273,0.1690986972256228
Everton,16,21,5,4,12,25,38,-13,19,25.2,30.4,-5.2,-0.25,D L L L L,37929,Demarai Gray - 5,Jordan Pickford,,1.2,1.4476190476190476,0.23512945418950243
Newcastle Utd,17,22,3,9,10,24,44,-20,18,21.5,37.4,-15.9,-0.72,L D D W W,51089,Callum Wilson - 6,Martin Dúbravka,,0.9772727272727273,1.7,0.18268352405273466
Norwich City,18,23,4,5,14,14,46,-32,17,19.4,38.7,-19.3,-0.84,L L W W D,26882,Teemu Pukki - 6,Tim Krul,,0.8434782608695651,1.682608695652174,0.1858884166721072
Watford,19,22,4,3,15,23,41,-18,15,24.1,39.6,-15.5,-0.71,L D L D L,20552,Emmanuel Dennis - 8,"Ben Foster, Daniel Bachmann",,1.0954545454545455,1.8,0.16529888822158653
Burnley,20,20,1,11,8,17,28,-11,14,18.7,30.0,-11.3,-0.56,L L D D D,18890,Maxwel Cornet - 6,Nick Pope,,0.9349999999999999,1.5,0.22313016014842982
