Squad,Rk,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes,xG per game,xGA per game,probability no goals allowed
Chelsea,1,13,9,3,1,31,5,26,30,24.6,12.6,12.0,0.92,W W D W D,39862,Reece James - 4,Edouard Mendy,,1.8923076923076925,0.9692307692307692,0.3793747526239096
Manchester City,2,13,9,2,2,27,7,20,29,28.6,8.5,20.1,1.55,W L W W W,52451,Bernardo Silva - 4,Ederson,,2.2,0.6538461538461539,0.5200417647285799
Liverpool,3,13,8,4,1,39,11,28,28,34.4,13.6,20.8,1.6,W D L W W,52897,Mohamed Salah - 11,Alisson,,2.646153846153846,1.0461538461538462,0.3512862551492971
West Ham,4,13,7,2,4,24,16,8,23,18.0,14.8,3.2,0.25,W W W L L,58238,Michail Antonio - 6,Łukasz Fabiański,,1.3846153846153846,1.1384615384615384,0.32031142975885524
Arsenal,5,13,7,2,4,15,17,-2,23,16.5,21.1,-4.6,-0.35,W W W L W,59334,"Emile Smith-Rowe, Pierre-Emerick Aubameyang - 4",Aaron Ramsdale,,1.2692307692307692,1.623076923076923,0.19729071584800636
Wolves,6,13,6,2,5,12,12,0,20,15.2,15.8,-0.6,-0.05,D W L W D,30459,Hwang Hee-chan - 4,José Sá,,1.169230769230769,1.2153846153846155,0.296595917000972
Tottenham,7,12,6,1,5,11,17,-6,19,13.0,14.7,-1.6,-0.14,W L L D W,58069,Son Heung-min - 4,Hugo Lloris,,1.0833333333333333,1.2249999999999999,0.2937577003235329
Manchester Utd,8,13,5,3,5,21,22,-1,18,17.8,22.4,-4.6,-0.36,L W L L D,72948,"Mason Greenwood, Bruno Fernandes... - 4",David de Gea,,1.3692307692307693,1.723076923076923,0.17851602193037627
Brighton,9,13,4,6,3,12,14,-2,18,14.7,15.7,-1.0,-0.08,L D D L D,30861,Neal Maupay - 4,Robert Sánchez,,1.1307692307692307,1.2076923076923076,0.29888622162536144
Leicester City,10,13,5,3,5,20,23,-3,18,19.0,21.3,-2.3,-0.18,W L D L W,32851,Jamie Vardy - 9,Kasper Schmeichel,,1.4615384615384615,1.6384615384615384,0.1942787028051353
Crystal Palace,11,13,3,7,3,19,19,0,16,16.0,12.8,3.2,0.25,D W W D L,24467,"Wilfried Zaha, Conor Gallagher... - 4",Vicente Guaita,,1.2307692307692308,0.9846153846153847,0.37358288503334575
Brentford,12,13,4,4,5,17,17,0,16,17.3,15.0,2.3,0.18,L L L D W,16744,Ivan Toney - 4,David Raya,,1.330769230769231,1.1538461538461537,0.3154212746389477
Aston Villa,13,13,5,1,7,18,21,-3,16,12.7,18.1,-5.3,-0.41,L L L W W,41941,"Danny Ings, John McGinn... - 3",Emiliano Martínez,,0.9769230769230769,1.3923076923076925,0.24850117817552658
Everton,14,13,4,3,6,16,20,-4,15,17.4,17.9,-0.4,-0.03,L L D L L,37389,"Demarai Gray, Andros Townsend... - 3",Jordan Pickford,,1.3384615384615384,1.376923076923077,0.25235383304209874
Southampton,15,13,3,5,5,11,18,-7,14,17.7,17.6,0.1,0.01,D W W L L,29972,"Adam Armstrong, Armando Broja... - 2",Alex McCarthy,,1.3615384615384616,1.353846153846154,0.2582450977219625
Watford,16,13,4,1,8,18,24,-6,13,16.7,24.4,-7.8,-0.6,W L L W L,20627,"Emmanuel Dennis, Joshua King... - 5",Ben Foster,,1.2846153846153845,1.876923076923077,0.1530603368360359
Leeds United,17,13,2,6,5,12,20,-8,12,16.3,21.4,-5.1,-0.39,D W D L D,36405,Raphael Dias Belloli - 5,Illan Meslier,,1.2538461538461538,1.646153846153846,0.1927899844258294
Burnley,18,12,1,6,5,14,20,-6,9,13.5,19.6,-6.0,-0.5,L D W D D,18531,Maxwel Cornet - 5,Nick Pope,,1.125,1.6333333333333335,0.1952775628356857
Norwich City,19,13,2,3,8,7,27,-20,9,11.5,22.6,-11.1,-0.85,L L W W D,26846,Teemu Pukki - 4,Tim Krul,,0.8846153846153846,1.7384615384615385,0.17579063982557414
Newcastle Utd,20,13,0,6,7,15,29,-14,6,11.9,23.0,-11.1,-0.85,D L D D L,50275,Callum Wilson - 4,Karl Darlow,,0.9153846153846155,1.7692307692307692,0.1704640646087285
