,General,General,General,General,General,General,General,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,General
,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
0,1,Max Aarons,eng ENG,DF,Norwich City,22-101,2000,28,27,2398,26.6,0,1,0,0,0,6,0,0.0,0.04,0.04,0.0,0.04,0.7,0.7,0.9,1.6,0.02,0.04,0.06,0.02,0.06,Matches
1,2,Che Adams,sct SCO,FW,Southampton,25-276,1996,25,21,1823,20.3,7,3,7,0,0,0,0,0.35,0.15,0.49,0.35,0.49,6.3,6.3,2.5,8.8,0.31,0.13,0.44,0.31,0.44,Matches
2,3,Rayan Aït Nouri,fr FRA,DF,Wolves,20-313,2001,18,15,1378,15.3,0,2,0,0,0,4,0,0.0,0.13,0.13,0.0,0.13,0.4,0.4,1.2,1.6,0.03,0.08,0.11,0.03,0.11,Matches
3,4,Kristoffer Ajer,no NOR,DF,Brentford,23-363,1998,19,18,1577,17.5,0,2,0,0,0,4,0,0.0,0.11,0.11,0.0,0.11,0.4,0.4,1.0,1.4,0.02,0.05,0.08,0.02,0.08,Matches
4,5,Nathan Aké,nl NED,DF,Manchester City,27-056,1995,10,8,761,8.5,1,0,1,0,0,0,0,0.12,0.0,0.12,0.12,0.12,0.7,0.7,0.5,1.2,0.09,0.06,0.14,0.09,0.14,Matches
5,6,Marc Albrighton,eng ENG,"FW,DF",Leicester City,32-148,1989,15,10,997,11.1,1,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,0.5,0.5,1.3,1.8,0.05,0.12,0.17,0.05,0.17,Matches
6,7,Thiago Alcántara,es ESP,MF,Liverpool,31-004,1991,19,13,1188,13.2,1,2,1,0,0,2,0,0.08,0.15,0.23,0.08,0.23,1.6,1.6,1.7,3.3,0.12,0.13,0.25,0.12,0.25,Matches
7,8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-190,1998,27,27,2403,26.7,2,12,2,0,0,1,0,0.07,0.45,0.52,0.07,0.52,2.3,2.3,9.9,12.2,0.09,0.37,0.46,0.09,0.46,Matches
8,9,Alisson,br BRA,GK,Liverpool,29-195,1992,29,29,2610,29.0,0,1,0,0,0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.4,0.4,0.0,0.02,0.02,0.0,0.02,Matches
9,10,Allan,br BRA,MF,Everton,31-097,1991,24,23,2024,22.5,0,2,0,0,0,6,1,0.0,0.09,0.09,0.0,0.09,0.2,0.2,0.9,1.1,0.01,0.04,0.05,0.01,0.05,Matches
10,11,Dele Alli,eng ENG,MF,Everton,26-004,1996,6,0,175,1.9,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.04,0.13,0.17,0.04,0.17,Matches
11,12,Dele Alli,eng ENG,"MF,FW",Tottenham,26-004,1996,10,8,657,7.3,1,0,0,1,1,1,0,0.14,0.0,0.14,0.0,0.0,1.5,0.7,0.8,1.5,0.2,0.11,0.31,0.1,0.21,Matches
12,13,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,28-064,1994,23,13,1215,13.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.6,1.6,0.08,0.04,0.12,0.08,0.12,Matches
13,14,Marcos Alonso,es ESP,DF,Chelsea,31-108,1990,21,18,1592,17.7,2,3,2,0,0,6,0,0.11,0.17,0.28,0.11,0.28,2.2,2.2,3.7,5.9,0.13,0.21,0.33,0.13,0.33,Matches
14,15,Steven Alzate,co COL,MF,Brighton,23-219,1998,9,5,404,4.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.02,0.04,0.06,0.02,0.06,Matches
15,16,Daniel Amartey,gh GHA,DF,Leicester City,27-115,1994,20,18,1623,18.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.01,0.01,0.0,0.01,Matches
16,17,Joachim Andersen,dk DEN,DF,Crystal Palace,25-319,1996,27,25,2286,25.4,0,3,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12,0.5,0.5,1.8,2.3,0.02,0.07,0.09,0.02,0.09,Matches
17,18,Michail Antonio,jm JAM,FW,West Ham,32-018,1990,31,30,2637,29.3,8,7,8,0,1,8,1,0.27,0.24,0.51,0.27,0.51,9.2,9.0,6.3,15.2,0.31,0.21,0.53,0.31,0.52,Matches
18,19,Cameron Archer,eng ENG,"MF,FW",Aston Villa,20-268,2001,3,0,27,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches
19,20,Alphonse Areola,fr FRA,GK,West Ham,29-047,1993,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
20,21,Adam Armstrong,eng ENG,"FW,MF",Southampton,25-064,1997,21,15,1261,14.0,2,2,2,0,0,1,0,0.14,0.14,0.29,0.14,0.29,4.1,4.1,1.7,5.8,0.29,0.12,0.41,0.29,0.41,Matches
21,22,Stuart Armstrong,sct SCO,MF,Southampton,30-016,1992,18,11,1084,12.0,2,0,2,0,0,1,0,0.17,0.0,0.17,0.17,0.17,2.5,2.5,1.0,3.5,0.2,0.09,0.29,0.2,0.29,Matches
22,23,Kepa Arrizabalaga,es ESP,GK,Chelsea,27-194,1994,4,4,360,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
23,24,Harrison Ashby,sct SCO,DF,West Ham,20-152,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
24,25,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32-301,1989,14,12,1037,11.5,4,1,4,0,2,3,0,0.35,0.09,0.43,0.35,0.43,5.8,4.1,0.8,5.0,0.5,0.07,0.57,0.36,0.43,Matches
26,26,Jordan Ayew,gh GHA,FW,Crystal Palace,30-216,1991,27,20,1722,19.1,2,3,2,0,0,1,0,0.1,0.16,0.26,0.1,0.26,2.9,2.9,2.2,5.2,0.15,0.12,0.27,0.15,0.27,Matches
27,27,Luke Ayling,eng ENG,DF,Leeds United,30-233,1991,23,23,2066,23.0,2,2,2,0,0,4,0,0.09,0.09,0.17,0.09,0.17,1.5,1.5,0.8,2.3,0.07,0.03,0.1,0.07,0.1,Matches
28,28,César Azpilicueta,es ESP,DF,Chelsea,32-230,1989,19,18,1525,16.9,0,2,0,0,0,0,0,0.0,0.12,0.12,0.0,0.12,0.7,0.7,1.9,2.6,0.04,0.11,0.16,0.04,0.16,Matches
29,29,Daniel Bachmann,at AUT,GK,Watford,27-280,1994,11,11,990,11.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
30,30,Leon Bailey,jm JAM,"FW,MF",Aston Villa,24-249,1997,16,5,632,7.0,1,2,1,0,0,2,0,0.14,0.28,0.43,0.14,0.43,1.4,1.4,0.6,2.0,0.2,0.08,0.28,0.2,0.28,Matches
31,31,Eric Bailly,ci CIV,DF,Manchester Utd,28-003,1994,4,3,217,2.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
32,32,Folarin Balogun,eng ENG,FW,Arsenal,20-286,2001,2,1,70,0.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.35,0.0,0.35,0.35,0.35,Matches
33,33,Patrick Bamford,eng ENG,FW,Leeds United,28-222,1993,9,7,559,6.2,2,2,2,0,0,2,0,0.32,0.32,0.64,0.32,0.64,3.9,3.9,1.0,4.9,0.63,0.15,0.78,0.63,0.78,Matches
34,34,Shandon Baptiste,gd GRN,MF,Brentford,24-007,1998,20,9,880,9.8,1,1,1,0,0,2,1,0.1,0.1,0.2,0.1,0.2,0.8,0.8,0.5,1.3,0.08,0.05,0.13,0.08,0.13,Matches
35,35,Ross Barkley,eng ENG,MF,Chelsea,28-131,1993,5,1,154,1.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.5,1.4,0.48,0.32,0.8,0.48,0.8,Matches
36,36,Ashley Barnes,eng ENG,FW,Burnley,32-167,1989,17,4,442,4.9,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.8,1.4,0.13,0.16,0.3,0.13,0.3,Matches
37,37,Harvey Barnes,eng ENG,"FW,MF",Leicester City,24-127,1997,24,20,1670,18.6,3,6,3,0,0,2,0,0.16,0.32,0.49,0.16,0.49,5.0,5.0,2.6,7.7,0.27,0.14,0.41,0.27,0.41,Matches
38,38,Lewis Bate,eng ENG,MF,Leeds United,19-168,2002,1,0,43,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
39,39,Mads Bech Sørensen,dk DEN,DF,Brentford,23-098,1999,5,4,380,4.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.01,0.03,0.04,0.01,0.04,Matches
40,40,Jan Bednarek,pl POL,DF,Southampton,26-003,1996,26,25,2179,24.2,3,0,3,0,0,8,0,0.12,0.0,0.12,0.12,0.12,2.2,2.2,0.6,2.8,0.09,0.02,0.12,0.09,0.12,Matches
